訓練日期,20150608 - 20150908
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10804312.300000000745058
真實報酬,804312.300000000745058

夏普值報酬,0.071731230000000
夏普值風險,0.030409430152109
夏普值,2.358848213899380

預期報酬,17756.084801259818050
風險,274233.774633874825668
趨勢值,0.064747986731269
找到最佳解世代,2591
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
FS( 24 ),5144181.109999999403954,5447553.200000000186265,10591734.309999998658895
FS( 25 ),5226050.509999999776483,5541204.200000000186265,10767254.710000000894070
FS( 26 ),5246972.689999999478459,5537261.000000000931323,10784233.690000001341105
FS( 27 ),5256978.949999999254942,5515573.400000000372529,10772552.349999999627471
FS( 28 ),5218318.399999999441206,5537261.000000000931323,10755579.400000000372529
FS( 29 ),5206492.819999999366701,5559934.400000000372529,10766427.219999998807907
FS( 30 ),5158280.839999999850988,5576693.000000000000000,10734973.839999999850988
FS( 31 ),5178748.189999999478459,5569792.400000000372529,10748540.589999999850988
FS( 32 ),5226050.509999999776483,5624011.400000000372529,10850061.910000000149012
FS( 33 ),5211950.779999999329448,5619082.400000000372529,10831033.179999999701977
FS( 34 ),5166467.779999999329448,5569792.400000000372529,10736260.179999999701977
FS( 35 ),5142816.619999999180436,5507687.000000000000000,10650503.619999999180436
FS( 36 ),5223321.529999999329448,5593451.600000000558794,10816773.129999998956919
FS( 37 ),5292910.519999999552965,5664429.200000000186265,10957339.719999998807907
FS( 38 ),5297003.989999999292195,5669358.200000000186265,10966362.189999999478459
FS( 39 ),5322929.299999999813735,5679216.200000000186265,11002145.500000000000000
FS( 40 ),5316561.679999999701977,5660486.000000000931323,10977047.679999999701977
FS( 41 ),5345670.799999999813735,5706818.600000000558794,11052489.400000000372529
FS( 42 ),5367047.809999999590218,5755122.800000000745058,11122170.609999999403954
FS( 43 ),5301552.290000000037253,5674287.200000000186265,10975839.490000000223517
FS( 44 ),5318381.000000000000000,5644713.200000000186265,10963094.199999999254942
FS( 45 ),5348854.609999999403954,5686116.800000000745058,11034971.410000000149012
FS( 46 ),5352948.079999999143183,5641755.799999999813735,10994703.879999998956919
FS( 47 ),5352948.079999999143183,5572749.800000000745058,10925697.879999998956919
FS( 48 ),5413440.469999999739230,5599366.400000000372529,11012806.870000001043081
FS( 49 ),5446643.059999999590218,5636826.800000000745058,11083469.859999999403954
FS( 50 ),5444368.910000000149012,5667386.600000000558794,11111755.510000001639128
FS( 51 ),5585366.209999999031425,5659500.200000000186265,11244866.410000000149012
FS( 52 ),5583546.889999999664724,5666400.799999999813735,11249947.689999999478459
FS( 53 ),5482574.629999999888241,5535289.400000000372529,11017864.030000001192093
FS( 54 ),5283359.089999999850988,5268137.600000000558794,10551496.690000001341105
FS( 55 ),5118710.629999999888241,5120267.600000000558794,10238978.230000000447035
FS( 56 ),5047302.319999999366701,5103509.000000000931323,10150811.320000000298023
FS( 57 ),5272898.000000000000000,5360802.800000000745058,10633700.800000000745058
FS( 58 ),5351583.589999999850988,5551062.200000000186265,10902645.789999999105930
FS( 59 ),5345215.969999999739230,5545147.400000000372529,10890363.370000001043081
FS( 60 ),5297003.989999999292195,5508672.800000000745058,10805676.789999999105930
FS( 61 ),5142816.619999999180436,5354888.000000000000000,10497704.619999999180436
FS( 62 ),5297913.649999999441206,5456425.400000000372529,10754339.050000000745058
FS( 63 ),5303371.609999999403954,5464311.800000000745058,10767683.410000000149012
FS( 64 ),5204218.669999999925494,5407135.400000000372529,10611354.070000000298023
FS( 65 ),5295639.500000000000000,5508672.800000000745058,10804312.300000000745058
