訓練日期,20160524 - 20160824
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10841086.349999999627471
真實報酬,841086.349999999627471

夏普值報酬,0.075408635000000
夏普值風險,0.026604539961369
夏普值,2.834427323663406

預期報酬,15149.239956440500464
風險,79000.552749237729586
趨勢值,0.191761189374547
找到最佳解世代,2702
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](18),MSFT[18](15),PG[21](1),VZ[26](12),WBA[27](16),
FS( 23 ),1908069.500000000000000,1931770.079999999841675,2031863.000000000232831,2195639.299999999813735,2120023.489999999757856,10187365.369999999180436
FS( 24 ),1880286.060000000055879,1877496.280000000027940,2006422.000000000000000,2208144.080000000074506,2058067.519999999785796,10030415.939999999478459
FS( 25 ),1911951.010000000009313,1916650.949999999953434,2036802.999999999767169,2211371.120000000111759,2070769.789999999804422,10147545.869999999180436
FS( 26 ),1928498.500000000000000,1959294.649999999906868,2072618.000000000000000,2221052.240000000223517,2156574.919999999925494,10338038.310000000521541
FS( 27 ),1953013.299999999813735,1983717.860000000102445,2091390.000000000000000,2252515.879999999888241,2158648.759999999776483,10439285.800000000745058
FS( 28 ),1958937.709999999962747,1983330.189999999944121,2094107.000000000000000,2268247.699999999720603,2153204.929999999701977,10457827.529999999329448
FS( 29 ),1940551.609999999869615,1983717.860000000102445,2110409.000000000000000,2280349.100000000093132,2165129.509999999776483,10480157.080000000074506
FS( 30 ),1951583.270000000018626,1991858.930000000167638,2100282.000000000000000,2269457.839999999850988,2114061.199999999720603,10427243.240000000223517
FS( 31 ),1959959.159999999916181,1991858.930000000167638,2095342.000000000000000,2233960.399999999906868,2086842.049999999813735,10367962.539999999105930
FS( 32 ),1975076.620000000111759,2027524.569999999832362,2118560.000000000000000,2254936.159999999683350,2120541.949999999720603,10496639.299999998882413
FS( 33 ),1981205.320000000065193,2038767.000000000000000,2118066.000000000000000,2256146.299999999813735,2125985.779999999795109,10520170.400000000372529
FS( 34 ),1990194.079999999841675,2062802.540000000037253,2118066.000000000000000,2237590.819999999832362,2105506.609999999869615,10514160.049999998882413
FS( 35 ),1978958.129999999888241,2074432.639999999897555,2121524.000000000000000,2258969.959999999962747,2119764.259999999776483,10553648.990000000223517
FS( 36 ),2018181.810000000055879,2083349.050000000046566,2121030.000000000000000,2252515.879999999888241,2171869.489999999757856,10646946.230000000447035
FS( 37 ),2017977.520000000018626,2081798.370000000111759,2124488.000000000000000,2252515.879999999888241,2138947.279999999795109,10615727.049999998882413
FS( 38 ),2039427.969999999972060,2091877.790000000037253,2122512.000000000000000,2256146.299999999813735,2145946.489999999757856,10655910.549999998882413
FS( 39 ),2040245.129999999888241,2058150.500000000000000,2128440.000000000000000,2246868.560000000055879,2131170.379999999422580,10604874.569999998435378
FS( 40 ),2042083.739999999757856,2167473.439999999478459,2107445.000000000000000,2243641.520000000018626,2138947.279999999795109,10699590.979999998584390
FS( 41 ),2031256.370000000111759,2163209.070000000298023,2105963.000000000000000,2233557.020000000018626,2117949.649999999906868,10651935.110000001266599
FS( 42 ),2015526.039999999804422,2193059.660000000149012,2117325.000000000000000,2263003.760000000242144,2108876.599999999627471,10697791.060000000521541
FS( 43 ),1988559.760000000009313,2199262.379999999888241,2119301.000000000000000,2253726.020000000018626,2114579.659999999683350,10675428.820000000298023
FS( 44 ),1974872.329999999841675,2200425.389999999664724,2106210.000000000000000,2210967.740000000223517,2108358.139999999664724,10600833.600000001490116
FS( 45 ),2103166.450000000186265,2178328.200000000186265,2086202.999999999767169,2231540.120000000111759,2072325.169999999692664,10671562.939999999478459
FS( 46 ),2131562.759999999776483,2179103.540000000037253,2094848.000000000000000,2212984.640000000130385,2059882.129999999655411,10678381.069999998435378
FS( 47 ),2128906.989999999757856,2197324.030000000260770,2114114.000000000000000,2235170.540000000037253,2054438.299999999813735,10729953.859999999403954
FS( 48 ),2166496.349999999627471,2193447.330000000074506,2134368.000000000000000,2198462.959999999962747,2054956.759999999776483,10747731.400000000372529
FS( 49 ),2134422.819999999832362,2193447.330000000074506,2143013.000000000000000,2178293.959999999962747,2046661.399999999906868,10695838.509999999776483
FS( 50 ),2161184.810000000055879,2208566.459999999962747,2123500.000000000000000,2174260.159999999683350,2063511.349999999627471,10731022.779999999329448
FS( 51 ),2162819.129999999888241,2224848.599999999627471,2125476.000000000000000,2175470.299999999813735,2069992.099999999627471,10758606.129999998956919
FS( 52 ),2195709.819999999832362,2246945.790000000037253,2118807.000000000000000,2163772.279999999795109,2087619.739999999757856,10812854.629999998956919
FS( 53 ),2213891.629999999888241,2250822.490000000223517,2118313.000000000000000,2161755.379999999888241,2090212.039999999804422,10834994.539999999105930
FS( 54 ),2222880.390000000130385,2256249.870000000111759,2123994.000000000000000,2164579.040000000037253,2096952.019999999785796,10864655.320000000298023
FS( 55 ),2206332.899999999906868,2249271.810000000521541,2131898.000000000000000,2170629.740000000223517,2138688.049999999813735,10896820.500000000000000
FS( 56 ),2204902.870000000111759,2260126.570000000298023,2142272.000000000000000,2172646.640000000130385,2149316.479999999515712,10929264.559999998658895
FS( 57 ),2210010.120000000111759,2246170.450000000186265,2149929.000000000000000,2164175.659999999683350,2159944.909999999683350,10930230.140000000596046
FS( 58 ),2236567.819999999832362,2253148.509999999776483,2149435.000000000000000,2162562.140000000130385,2167462.579999999608845,10969176.050000000745058
FS( 59 ),2234524.919999999925494,2226786.950000000186265,2138567.000000000000000,2128274.839999999850988,2146464.949999999720603,10874618.660000000149012
FS( 60 ),2231256.279999999795109,2231438.990000000223517,2147953.000000000000000,2144813.419999999925494,2139206.509999999776483,10894668.199999999254942
FS( 61 ),2228396.219999999739230,2232989.669999999925494,2159809.000000000000000,2132712.020000000018626,2142576.500000000000000,10896483.410000000149012
FS( 62 ),2234116.339999999850988,2233765.009999999776483,2156598.000000000000000,2115770.060000000055879,2141021.120000000111759,10881270.530000001192093
FS( 63 ),2216751.689999999944121,2235703.360000000335276,2145236.000000000000000,2119803.859999999869615,2144909.569999999832362,10862404.480000000447035
FS( 64 ),2223697.549999999813735,2244232.099999999627471,2158821.000000000000000,2123030.899999999906868,2135577.289999999571592,10885358.839999997988343
FS( 65 ),2206945.770000000018626,2246558.120000000111759,2156598.000000000000000,2118997.100000000093132,2111987.359999999869615,10841086.349999999627471
