訓練日期,20180410 - 20180711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11244580.589999999850988
真實報酬,1244580.589999999850988

夏普值報酬,0.115758059000000
夏普值風險,0.033706900923551
夏普值,3.434253990378554

預期報酬,18407.211644050603354
風險,102848.744507904397324
趨勢值,0.178973615401167
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),V[25](3),VZ[26](16),
FS( 21 ),2666435.500000000000000,2554476.979999999981374,2690108.620000000111759,2435260.000000000000000,10346281.100000001490116
FS( 22 ),2685456.700000000186265,2535447.350000000093132,2709575.080000000074506,2402113.119999999646097,10332592.250000000000000
FS( 23 ),2696984.700000000186265,2534327.959999999962747,2709575.080000000074506,2444582.560000000055879,10385470.300000000745058
FS( 24 ),2742376.200000000186265,2553357.590000000316650,2729869.899999999906868,2518127.199999999720603,10543730.890000000596046
FS( 25 ),2753471.900000000372529,2568655.919999999925494,2717237.410000000149012,2511394.239999999757856,10550759.470000000670552
FS( 26 ),2708800.899999999906868,2593282.500000000000000,2714959.419999999925494,2475139.839999999850988,10492182.660000000149012
FS( 27 ),2685744.899999999906868,2661938.419999999925494,2710610.529999999795109,2478765.279999999795109,10537059.129999998956919
FS( 28 ),2670614.400000000372529,2647013.219999999739230,2690729.890000000130385,2478247.359999999869615,10486604.869999999180436
FS( 29 ),2700731.299999999813735,2661192.159999999683350,2690729.890000000130385,2472550.239999999757856,10525203.589999999850988
FS( 30 ),2734883.000000000000000,2663430.939999999944121,2705847.459999999962747,2508286.719999999739230,10612448.119999999180436
FS( 31 ),2692805.800000000279397,2660819.030000000260770,2706882.910000000149012,2527967.679999999701977,10588475.419999999925494
FS( 32 ),2689923.799999999813735,2661938.419999999925494,2731112.439999999944121,2516573.439999999944121,10599548.099999999627471
FS( 33 ),2696840.600000000093132,2693281.340000000316650,2731319.529999999795109,2519163.039999999571592,10640604.509999999776483
FS( 34 ),2692517.600000000093132,2695893.250000000000000,2718687.040000000037253,2512948.000000000000000,10620045.890000000596046
FS( 35 ),2665859.100000000093132,2646266.959999999962747,2685759.729999999981374,2496374.560000000055879,10494260.350000001490116
FS( 36 ),2695976.000000000000000,2695146.990000000223517,2705433.279999999795109,2517091.359999999869615,10613647.629999998956919
FS( 37 ),2688194.600000000093132,2679102.399999999906868,2707090.000000000000000,2468924.799999999813735,10543311.800000000745058
FS( 38 ),2699722.600000000093132,2714922.880000000353903,2709782.169999999925494,2476175.679999999701977,10600603.330000000074506
FS( 39 ),2757506.700000000186265,2754847.790000000037253,2755756.149999999906868,2476693.599999999627471,10744804.240000000223517
FS( 40 ),2765864.500000000000000,2763056.649999999906868,2765903.560000000055879,2484462.399999999441206,10779287.109999999403954
FS( 41 ),2789641.000000000000000,2789175.750000000000000,2822232.040000000037253,2507250.879999999422580,10908299.669999998062849
FS( 42 ),2826818.799999999813735,2789548.880000000353903,2771702.080000000074506,2538326.079999999608845,10926395.839999999850988
FS( 43 ),2857944.400000000372529,2794772.700000000186265,2790340.180000000167638,2547130.719999999739230,10990188.000000000000000
FS( 44 ),2876821.500000000000000,2783205.669999999925494,2773151.709999999962747,2553345.759999999310821,10986524.639999998733401
FS( 45 ),2900886.200000000186265,2772011.770000000018626,2792825.260000000242144,2527967.679999999701977,10993690.910000000149012
FS( 46 ),2886476.200000000186265,2765295.430000000167638,2783299.120000000111759,2454940.959999999497086,10890011.709999999031425
FS( 47 ),2877253.799999999813735,2787310.100000000093132,2795724.520000000018626,2476693.599999999627471,10936982.019999999552965
FS( 48 ),2889790.500000000000000,2829846.919999999925494,2797795.419999999925494,2489123.679999999701977,11006556.519999999552965
FS( 49 ),2891952.000000000000000,2821264.930000000167638,2820575.319999999832362,2458048.479999999515712,10991840.730000000447035
FS( 50 ),2870625.200000000186265,2770892.380000000353903,2798002.510000000242144,2511912.159999999683350,10951432.250000000000000
FS( 51 ),2868751.900000000372529,2788056.359999999869615,2806079.020000000018626,2490677.439999999944121,10953564.719999998807907
FS( 52 ),2886476.200000000186265,2758952.219999999739230,2785991.290000000037253,2518645.119999999646097,10950064.830000000074506
FS( 53 ),2844687.200000000186265,2739922.590000000316650,2802558.490000000223517,2577170.079999999608845,10964338.360000001266599
FS( 54 ),2829844.899999999906868,2699624.549999999813735,2711438.890000000130385,2568883.359999999869615,10809791.699999999254942
FS( 55 ),2829556.700000000186265,2707460.280000000260770,2744987.470000000204891,2553345.759999999310821,10835350.210000000894070
FS( 56 ),2810247.300000000279397,2662311.549999999813735,2713302.700000000186265,2553863.679999999701977,10739725.230000000447035
FS( 57 ),2812985.200000000186265,2675371.100000000093132,2748922.180000000167638,2634141.279999999795109,10871419.759999999776483
FS( 58 ),2811400.100000000093132,2973128.840000000316650,2742916.569999999832362,2605655.679999999701977,11133101.189999999478459
FS( 59 ),2795837.300000000279397,2923502.549999999813735,2743952.020000000018626,2611352.799999999813735,11074644.669999998062849
FS( 60 ),2790073.300000000279397,2846264.640000000130385,2722207.569999999832362,2625854.560000000055879,10984400.070000000298023
FS( 61 ),2801457.200000000186265,2856339.149999999906868,2760312.129999999888241,2655893.919999999925494,11074002.400000000372529
FS( 62 ),2802465.899999999906868,2853727.240000000223517,2776879.330000000074506,2666252.319999999366701,11099324.789999999105930
FS( 63 ),2825521.900000000372529,2883577.640000000130385,2806493.200000000186265,2627926.239999999757856,11143518.980000002309680
FS( 64 ),2847569.200000000186265,2894398.409999999683350,2830722.729999999981374,2659001.439999999944121,11231691.779999999329448
FS( 65 ),2838058.600000000093132,2886562.680000000167638,2860957.870000000111759,2659001.439999999944121,11244580.589999999850988
