訓練日期,20120813 - 20121114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10887680.910000000149012
真實報酬,887680.910000000149012

夏普值報酬,0.080068091000000
夏普值風險,0.031641077196900
夏普值,2.530510908391081

預期報酬,18177.176692574605113
風險,116673.192598955123685
趨勢值,0.155795656977140
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),JNJ[12](10),V[25](2),
FS( 34 ),3809790.849999999627471,3355243.500000000000000,3488152.939999999944121,10653188.289999999105930
FS( 35 ),3822412.250000000000000,3365955.299999999813735,3551535.600000000093132,10739904.150000000372529
FS( 36 ),3807266.569999999832362,3357678.000000000000000,3532832.520000000018626,10697778.089999999850988
FS( 37 ),3898140.649999999906868,3359625.600000000093132,3598293.300000000279397,10856060.550000000745058
FS( 38 ),3896247.439999999944121,3372771.899999999906868,3628426.040000000037253,10897446.379999998956919
FS( 39 ),3988383.660000000149012,3391274.100000000558794,3644011.939999999944121,11023670.700000001117587
FS( 40 ),3905082.419999999925494,3381049.200000000186265,3603488.600000000093132,10889621.220000000670552
FS( 41 ),3846392.910000000149012,3330898.500000000000000,3552574.659999999683350,10729867.070000000298023
FS( 42 ),3770033.439999999944121,3321647.399999999906868,3569199.620000000111759,10660881.460000000894070
FS( 43 ),3723965.329999999608845,3309474.899999999906868,3611801.079999999608845,10645242.309999998658895
FS( 44 ),3758674.179999999701977,3309474.899999999906868,3613879.200000000186265,10682029.280000001192093
FS( 45 ),3827460.809999999590218,3340149.599999999627471,3633621.339999999850988,10801232.750000000000000
FS( 46 ),3840713.279999999795109,3386405.100000000093132,3666871.259999999776483,10893990.640000000596046
FS( 47 ),3874159.989999999757856,3457005.600000000093132,3703238.359999999869615,11034404.949999999254942
FS( 48 ),3900033.859999999403954,3531014.399999999906868,3685574.339999999850988,11116623.599999999627471
FS( 49 ),3905713.489999999757856,3498879.000000000000000,3635699.460000000428408,11040292.950000001117587
FS( 50 ),3915179.539999999571592,3494983.800000000279397,3610762.020000000018626,11020926.359999999403954
FS( 51 ),3896878.509999999776483,3451649.700000000186265,3549457.479999999515712,10897986.689999999478459
FS( 52 ),3867218.219999999739230,3444346.199999999720603,3545301.239999999757856,10856866.660000000149012
FS( 53 ),3816732.619999999646097,3463822.200000000186265,3573355.859999999869615,10853911.679999999701977
FS( 54 ),3788965.539999999571592,3452136.600000000558794,3593098.000000000000000,10834201.140000000596046
FS( 55 ),3873528.919999999925494,3448241.399999999906868,3604527.659999999683350,10926298.980000000447035
FS( 56 ),3929063.079999999608845,3481350.600000000093132,3737527.339999999850988,11147942.019999999552965
FS( 57 ),3913917.399999999906868,3452136.600000000558794,3725058.620000000111759,11091113.620000001043081
FS( 58 ),3936635.919999999925494,3446780.700000000186265,3676222.800000000279397,11059640.419999999925494
FS( 59 ),3951781.599999999627471,3457492.500000000465661,3737527.339999999850988,11146802.439999999478459
FS( 60 ),3912024.189999999944121,3424870.200000000186265,3703238.359999999869615,11040133.750000000000000
FS( 61 ),3840713.279999999795109,3391274.100000000558794,3690769.640000000130385,10922758.020000001415610
FS( 62 ),3847023.979999999981374,3401985.900000000372529,3712589.899999999906868,10961600.780000001192093
FS( 63 ),3859645.379999999422580,3392734.800000000279397,3720902.380000000353903,10973283.560000000521541
FS( 64 ),3999742.919999999925494,3384457.500000000465661,3700121.180000000167638,11084322.599999999627471
FS( 65 ),3879208.549999999813735,3372771.899999999906868,3635699.460000000428408,10887680.910000000149012
