訓練日期,20120125 - 20120426
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11593756.759999999776483
真實報酬,1593756.759999999776483

夏普值報酬,0.150675676000000
夏普值風險,0.043322213169003
夏普值,3.478023512146128

預期報酬,24897.043733091330068
風險,112160.089913669697125
趨勢值,0.221977744064352
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
AXP[1](2),HD[9](1),KO[14](9),UNH[23](4),V[25](5),
FS( 26 ),2135537.599999999627471,2097215.799999999813735,2033898.099999999860302,2171416.440000000409782,2330944.640000000130385,10769012.580000000074506
FS( 27 ),2112416.479999999515712,2095006.349999999860302,2021624.650000000372529,2165599.140000000596046,2310260.600000000093132,10704907.220000000670552
FS( 28 ),2111619.200000000186265,2094122.570000000065193,2023378.000000000000000,2134573.540000000037253,2311851.679999999701977,10675544.990000000223517
FS( 29 ),2062586.479999999981374,2049933.570000000065193,2009351.200000000186265,2112079.980000000447035,2284007.779999999795109,10517959.009999999776483
FS( 30 ),2083714.399999999906868,2094122.570000000065193,2010520.100000000093132,2109365.240000000223517,2299918.580000000074506,10597640.890000000596046
FS( 31 ),2110821.919999999925494,2113123.839999999850988,2024546.900000000139698,2156679.280000000260770,2346059.899999999906868,10751231.840000001713634
FS( 32 ),2120787.919999999925494,2125496.759999999776483,2031560.300000000046566,2163272.219999999739230,2330149.100000000093132,10771266.299999998882413
FS( 33 ),2103646.400000000372529,2147149.370000000111759,2050262.699999999953434,2133797.900000000372529,2317420.459999999962747,10752276.830000001937151
FS( 34 ),2162645.120000000111759,2171453.320000000298023,2053184.950000000186265,2145820.320000000298023,2332535.719999999739230,10865639.429999999701977
FS( 35 ),2238386.719999999739230,2186035.690000000409782,2052016.050000000046566,2163272.219999999739230,2322193.700000000186265,10961904.379999998956919
FS( 36 ),2261109.200000000186265,2174104.660000000149012,2055522.750000000232831,2160557.480000000447035,2326966.939999999944121,10978261.029999999329448
FS( 37 ),2254332.319999999366701,2167476.309999999590218,2050262.699999999953434,2155903.640000000596046,2320602.620000000111759,10948577.589999999850988
FS( 38 ),2283034.400000000372529,2157754.730000000447035,2057276.100000000325963,2176845.919999999925494,2363561.779999999795109,11038472.930000001564622
FS( 39 ),2268683.359999999403954,2182058.680000000633299,2063120.599999999860302,2124490.219999999739230,2317420.459999999962747,10955773.320000000298023
FS( 40 ),2274264.319999999366701,2200176.169999999925494,2078316.300000000279397,2093076.800000000046566,2322193.700000000186265,10968027.289999999105930
FS( 41 ),2283831.679999999701977,2195315.379999999888241,2087083.050000000046566,2089586.420000000158325,2332535.719999999739230,10988352.250000000000000
FS( 42 ),2282237.120000000111759,2189128.919999999925494,2088836.400000000139698,2081054.379999999888241,2362766.239999999757856,11004023.060000000521541
FS( 43 ),2338445.359999999403954,2215200.430000000633299,2101109.850000000093132,2136900.459999999962747,2388223.520000000018626,11179879.620000001043081
FS( 44 ),2320905.200000000186265,2211223.419999999925494,2100525.399999999906868,2149698.519999999552965,2382654.739999999757856,11165007.279999999329448
FS( 45 ),2354390.959999999962747,2205478.849999999627471,2123318.950000000186265,2150086.339999999850988,2373903.799999999813735,11207178.899999998509884
FS( 46 ),2307750.080000000074506,2205478.849999999627471,2157217.049999999813735,2253634.280000000260770,2366743.939999999944121,11290824.199999999254942
FS( 47 ),2306554.160000000149012,2223154.450000000186265,2163061.549999999813735,2285823.339999999850988,2346855.439999999944121,11325448.939999999478459
FS( 48 ),2312533.759999999776483,2209013.969999999739230,2166568.250000000000000,2292804.099999999627471,2366743.939999999944121,11347664.019999997690320
FS( 49 ),2327682.080000000074506,2209455.860000000335276,2155463.700000000186265,2303663.059999999590218,2393792.299999999813735,11390057.000000000000000
FS( 50 ),2287020.799999999813735,2202827.509999999776483,2146696.949999999720603,2290477.179999999701977,2366743.939999999944121,11293766.379999998956919
FS( 51 ),2316121.519999999552965,2236853.040000000037253,2147281.400000000372529,2288538.080000000074506,2406520.939999999944121,11395314.979999998584390
FS( 52 ),2278649.359999999403954,2235085.480000000447035,2129747.899999999906868,2254797.740000000223517,2377085.959999999962747,11275366.440000001341105
FS( 53 ),2239582.639999999664724,2181174.900000000372529,2104616.549999999813735,2232304.179999999701977,2322193.700000000186265,11079871.969999998807907
FS( 54 ),2270277.919999999925494,2198408.610000000335276,2107538.800000000279397,2250143.900000000372529,2334922.339999999850988,11161291.570000000298023
FS( 55 ),2313729.679999999701977,2237294.930000000633299,2110461.050000000279397,2267207.980000000447035,2407316.479999999981374,11336010.120000001043081
FS( 56 ),2283433.040000000037253,2251877.299999999813735,2102278.750000000000000,2251307.360000000335276,2449480.100000000093132,11338376.549999998882413
FS( 57 ),2305358.240000000223517,2284135.269999999552965,2116890.000000000000000,2224547.780000000260770,2403338.779999999795109,11334270.069999998435378
FS( 58 ),2319310.639999999664724,2299159.530000000260770,2161308.199999999720603,2253246.459999999962747,2428000.520000000018626,11461025.349999997764826
FS( 59 ),2313729.679999999701977,2289437.950000000186265,2167737.150000000372529,2222996.500000000000000,2422431.739999999757856,11416333.020000001415610
FS( 60 ),2294993.599999999627471,2278390.700000000186265,2157217.049999999813735,2276903.480000000447035,2410498.640000000130385,11418003.470000000670552
FS( 61 ),2290209.919999999925494,2273971.799999999813735,2166568.250000000000000,2307929.080000000074506,2406520.939999999944121,11445199.990000000223517
FS( 62 ),2285027.599999999627471,2258063.759999999776483,2153710.350000000093132,2295518.839999999850988,2349242.060000000055879,11341562.609999999403954
FS( 63 ),2297385.440000000409782,2263808.330000000074506,2165983.800000000279397,2277291.299999999813735,2365152.859999999869615,11369621.730000000447035
FS( 64 ),2348411.359999999403954,2293856.849999999627471,2189946.250000000000000,2283108.599999999627471,2422431.739999999757856,11537754.799999998882413
FS( 65 ),2375518.879999999888241,2292089.290000000037253,2212155.350000000093132,2263717.599999999627471,2450275.640000000130385,11593756.759999999776483
