代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,19103737.590000003576279
真實報酬,9103737.590000003576279

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35812.046666787784488
風險,643235.047346824896522
起點值,0.055674899579093
找到最佳解世代,2461
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),IBM[10](2),
FS( 101 ),7445984.680000000633299,5991171.639999999664724,13437156.320000000298023
FS( 102 ),7484564.879999999888241,6082162.570000000298023,13566727.449999999254942
FS( 103 ),7681323.900000000372529,6201767.000000000000000,13883090.900000000372529
FS( 104 ),7689039.940000000409782,6113637.419999999925494,13802677.359999999403954
FS( 105 ),7770058.360000000335276,6094180.239999999292195,13864238.599999999627471
FS( 106 ),7920521.140000000596046,6085023.919999999925494,14005545.060000000521541
FS( 107 ),7974533.420000000856817,6137100.489999999292195,14111633.910000000149012
FS( 108 ),7928237.180000000633299,6151407.239999999292195,14079644.419999999925494
FS( 109 ),7866508.860000000335276,6188604.790000000037253,14055113.650000000372529
FS( 110 ),7731478.160000000149012,6200622.459999999031425,13932100.619999999180436
FS( 111 ),7712188.059999999590218,6260710.810000000521541,13972898.870000001043081
FS( 112 ),7550151.219999999739230,6192610.679999999701977,13742761.899999998509884
FS( 113 ),7499996.960000000894070,6158846.750000000000000,13658843.710000000894070
FS( 114 ),7515429.040000000037253,6141678.649999999441206,13657107.689999999478459
FS( 115 ),7472990.820000000298023,6123366.009999999776483,13596356.830000000074506
FS( 116 ),7488422.900000000372529,6085023.919999999925494,13573446.820000000298023
FS( 117 ),7689039.940000000409782,6059844.040000000037253,13748883.980000000447035
FS( 118 ),7569441.320000000298023,5981443.049999999813735,13550884.370000001043081
FS( 119 ),7384256.360000000335276,5976864.889999999664724,13361121.250000000000000
FS( 120 ),7507713.000000000000000,5960269.060000000521541,13467982.060000000521541
FS( 121 ),7708330.040000000037253,6069572.629999999888241,13777902.669999999925494
FS( 122 ),7851076.780000000260770,6047826.370000000111759,13898903.150000000372529
FS( 123 ),7824070.640000000596046,6056410.419999999925494,13880481.060000000521541
FS( 124 ),7851076.780000000260770,5975720.349999999627471,13826797.129999998956919
FS( 125 ),7870366.879999999888241,5999755.690000000409782,13870122.570000000298023
FS( 126 ),7716046.080000000074506,5821779.719999999739230,13537825.800000000745058
FS( 127 ),7638885.680000000633299,5817201.560000000521541,13456087.240000002086163
FS( 128 ),7461416.759999999776483,5733650.139999999664724,13195066.899999998509884
FS( 129 ),7561725.280000000260770,5761691.370000000111759,13323416.650000000372529
FS( 130 ),7515429.040000000037253,5841809.169999999925494,13357238.210000000894070
FS( 131 ),7635027.660000000149012,5770275.419999999925494,13405303.080000000074506
FS( 132 ),7843360.739999999292195,5929938.750000000000000,13773299.489999998360872
FS( 133 ),7839502.719999999739230,5908764.759999999776483,13748267.480000000447035
FS( 134 ),8094132.040000000037253,6135955.949999999254942,14230087.989999998360872
FS( 135 ),8128854.219999999739230,6331672.290000000037253,14460526.509999999776483
FS( 136 ),8364193.440000000409782,6605217.349999999627471,14969410.789999999105930
FS( 137 ),8425921.759999999776483,6663588.889999999664724,15089510.649999998509884
FS( 138 ),8348761.360000000335276,6697925.089999999850988,15046686.449999999254942
FS( 139 ),8638112.859999999403954,6613801.399999999441206,15251914.259999997913837
FS( 140 ),8699841.179999999701977,6699069.629999999888241,15398910.809999998658895
FS( 141 ),8819439.800000000745058,6732261.290000000037253,15551701.089999999850988
FS( 142 ),8823297.820000000298023,6731689.019999999552965,15554986.839999999850988
FS( 143 ),8819439.800000000745058,6711659.570000000298023,15531099.370000001043081
FS( 144 ),8819439.800000000745058,6710515.030000000260770,15529954.830000001937151
FS( 145 ),8973760.600000001490116,6744851.229999999515712,15718611.830000001937151
FS( 146 ),9004624.759999999776483,6748857.120000000111759,15753481.879999998956919
FS( 147 ),9174377.640000000596046,6862738.849999999627471,16037116.490000000223517
FS( 148 ),9124223.379999998956919,6844426.209999999031425,15968649.589999997988343
FS( 149 ),9101075.259999999776483,6779759.699999999254942,15880834.959999999031425
FS( 150 ),9035488.919999999925494,6717382.269999999552965,15752871.189999999478459
FS( 151 ),9120365.359999999403954,6828974.919999999925494,15949340.279999999329448
FS( 152 ),9077927.140000000596046,6792921.910000000149012,15870849.050000000745058
FS( 153 ),8973760.600000001490116,6740845.339999999850988,15714605.940000001341105
FS( 154 ),9112649.320000000298023,6826685.839999999850988,15939335.160000000149012
FS( 155 ),9282402.199999999254942,6843281.669999999925494,16125683.869999999180436
FS( 156 ),9193667.740000000223517,6785482.399999999441206,15979150.140000000596046
FS( 157 ),8796291.679999999701977,6687624.229999999515712,15483915.910000000149012
FS( 158 ),9039346.939999999478459,6731689.019999999552965,15771035.959999999031425
FS( 159 ),9070211.100000001490116,6785482.399999999441206,15855693.500000000000000
FS( 160 ),9166661.600000001490116,6807228.660000000149012,15973890.260000001639128
FS( 161 ),9324840.419999999925494,6861594.310000000521541,16186434.730000000447035
FS( 162 ),9317124.379999998956919,6828402.649999999441206,16145527.029999997466803
FS( 163 ),9336414.480000000447035,6800361.419999999925494,16136775.900000000372529
FS( 164 ),9228389.919999999925494,6836986.699999999254942,16065376.619999999180436
FS( 165 ),9340272.500000000000000,6834697.620000000111759,16174970.120000001043081
FS( 166 ),9371136.660000000149012,6765452.949999999254942,16136589.609999999403954
FS( 167 ),9270828.140000000596046,6755724.359999999403954,16026552.500000000000000
FS( 168 ),9108791.300000000745058,6677895.639999999664724,15786686.940000001341105
FS( 169 ),9104933.280000001192093,6643559.440000000409782,15748492.720000002533197
FS( 170 ),9178235.660000000149012,6657293.919999999925494,15835529.580000000074506
FS( 171 ),9386568.740000000223517,6721960.429999999701977,16108529.169999999925494
FS( 172 ),9529315.480000000447035,6704792.329999999143183,16234107.809999998658895
FS( 173 ),9432864.980000000447035,6681901.530000000260770,16114766.510000001639128
FS( 174 ),9510025.379999998956919,6733978.099999999627471,16244003.479999998584390
FS( 175 ),9486877.259999999776483,6755724.359999999403954,16242601.619999999180436
FS( 176 ),9575611.720000000670552,6803222.769999999552965,16378834.490000000223517
FS( 177 ),9652772.119999999180436,6830119.459999999031425,16482891.579999998211861
FS( 178 ),10023142.040000000968575,6971470.149999999441206,16994612.190000001341105
FS( 179 ),10169746.800000000745058,6974903.769999999552965,17144650.570000000298023
FS( 180 ),10196752.939999999478459,6988065.979999999515712,17184818.919999998062849
FS( 181 ),10142740.660000000149012,6957163.399999999441206,17099904.059999998658895
FS( 182 ),10165888.780000001192093,6959452.479999999515712,17125341.260000001639128
FS( 183 ),10223759.080000000074506,6914243.149999999441206,17138002.230000000447035
FS( 184 ),10131166.600000001490116,6921110.389999999664724,17052276.990000002086163
FS( 185 ),10050148.179999999701977,6929122.169999999925494,16979270.350000001490116
FS( 186 ),10258481.259999999776483,6828974.919999999925494,17087456.179999999701977
FS( 187 ),10216043.040000000968575,6799216.879999999888241,17015259.920000001788139
FS( 188 ),10216043.040000000968575,6844998.479999999515712,17061041.519999999552965
FS( 189 ),9969129.759999999776483,6747140.310000000521541,16716270.070000000298023
FS( 190 ),10189036.900000000372529,6811234.549999999813735,17000271.449999999254942
FS( 191 ),10250765.220000000670552,6853010.259999999776483,17103775.480000000447035
FS( 192 ),10470672.359999999403954,6944573.459999999031425,17415245.820000000298023
FS( 193 ),10486104.439999999478459,7026408.070000000298023,17512512.509999997913837
FS( 194 ),10432092.160000000149012,6998366.839999999850988,17430459.000000000000000
FS( 195 ),10497678.500000000000000,7206673.120000000111759,17704351.620000001043081
FS( 196 ),10516968.600000001490116,7270195.089999999850988,17787163.690000001341105
FS( 197 ),10474530.379999998956919,7269050.549999999813735,17743580.929999999701977
FS( 198 ),10543974.740000000223517,7345162.459999999031425,17889137.199999999254942
FS( 199 ),10501536.519999999552965,7323988.469999999739230,17825524.989999998360872
FS( 200 ),10362647.800000000745058,6961169.290000000037253,17323817.089999999850988
FS( 201 ),10462956.320000000298023,7042431.629999999888241,17505387.949999999254942
FS( 202 ),10952924.859999999403954,7028697.149999999441206,17981622.009999997913837
FS( 203 ),11292430.619999999180436,6917104.500000000000000,18209535.119999997317791
FS( 204 ),11307862.699999999254942,7021257.639999999664724,18329120.339999999850988
FS( 205 ),11238418.339999999850988,6887918.729999999515712,18126337.070000000298023
FS( 206 ),11161257.939999999478459,6873611.979999999515712,18034869.919999998062849
FS( 207 ),10879622.480000000447035,6904514.560000000521541,17784137.039999999105930
FS( 208 ),10605703.059999998658895,6953157.509999999776483,17558860.570000000298023
FS( 209 ),10821752.179999999701977,7031558.500000000000000,17853310.679999999701977
FS( 210 ),10389653.939999999478459,6902225.479999999515712,17291879.419999998062849
FS( 211 ),10432092.160000000149012,6899364.129999999888241,17331456.289999999105930
FS( 212 ),10401228.000000000000000,6933700.329999999143183,17334928.329999998211861
FS( 213 ),10516968.600000001490116,6941139.839999999850988,17458108.440000001341105
FS( 214 ),10694437.519999999552965,7044720.709999999031425,17739158.229999996721745
FS( 215 ),10709869.600000001490116,7067039.239999999292195,17776908.839999999850988
FS( 216 ),11103387.640000000596046,7210679.009999999776483,18314066.649999998509884
FS( 217 ),11188264.080000000074506,7262755.579999999143183,18451019.660000000149012
FS( 218 ),11203696.160000000149012,7278779.139999999664724,18482475.300000000745058
FS( 219 ),11134251.800000000745058,7225558.030000000260770,18359809.830000001937151
FS( 220 ),11269282.500000000000000,7269622.820000000298023,18538905.320000000298023
FS( 221 ),11388881.119999999180436,7337150.680000000633299,18726031.800000000745058
FS( 222 ),11408171.220000000670552,7361186.019999999552965,18769357.240000002086163
FS( 223 ),11350300.919999999925494,7333717.060000000521541,18684017.980000000447035
FS( 224 ),11049375.359999999403954,7298808.589999999850988,18348183.949999999254942
FS( 225 ),11018511.199999999254942,7265616.929999999701977,18284128.129999998956919
FS( 226 ),11346442.900000000372529,7336578.409999999217689,18683021.309999998658895
FS( 227 ),11269282.500000000000000,7321127.120000000111759,18590409.620000001043081
FS( 228 ),11253850.419999999925494,7283929.570000000298023,18537779.990000002086163
FS( 229 ),11057091.400000000372529,7193510.910000000149012,18250602.310000002384186
FS( 230 ),11018511.199999999254942,7230708.459999999031425,18249219.659999996423721
FS( 231 ),10856474.359999999403954,7321699.389999999664724,18178173.750000000000000
FS( 232 ),10814036.140000000596046,7279923.679999999701977,18093959.820000000298023
FS( 233 ),10829468.220000000670552,7299380.859999999403954,18128849.079999998211861
FS( 234 ),10655857.320000000298023,7282212.759999999776483,17938070.079999998211861
FS( 235 ),10412802.059999998658895,7270195.089999999850988,17682997.149999998509884
FS( 236 ),10462956.320000000298023,7256460.609999999403954,17719416.929999999701977
FS( 237 ),10902770.600000001490116,7347451.539999999105930,18250222.140000000596046
FS( 238 ),10825610.199999999254942,7401817.190000000409782,18227427.390000000596046
FS( 239 ),10729159.699999999254942,7421274.370000000111759,18150434.070000000298023
FS( 240 ),10856474.359999999403954,7435581.120000000111759,18292055.480000000447035
FS( 241 ),10702153.559999998658895,7353174.240000000223517,18055327.799999997019768
FS( 242 ),10748449.800000000745058,7365764.180000000633299,18114213.980000000447035
FS( 243 ),10574838.900000000372529,7290796.810000000521541,17865635.710000000894070
FS( 244 ),10771597.919999999925494,7319982.579999999143183,18091580.500000000000000
FS( 245 ),10925918.720000000670552,7362330.560000000521541,18288249.280000001192093
FS( 246 ),11041659.320000000298023,7435581.120000000111759,18477240.440000001341105
FS( 247 ),11138109.820000000298023,7439587.009999999776483,18577696.829999998211861
FS( 248 ),11520053.800000000745058,7472206.399999999441206,18992260.199999999254942
FS( 249 ),11662800.540000000968575,7571781.379999999888241,19234581.920000001788139
FS( 250 ),11523911.820000000298023,7545456.959999999031425,19069368.780000001192093
FS( 251 ),11662800.540000000968575,7586660.399999999441206,19249460.940000001341105
FS( 252 ),11612646.280000001192093,7491091.310000000521541,19103737.590000003576279
