代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11606564.660000000149012
真實報酬,1606564.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12507.319673731741204
風險,139063.020351202780148
起點值,0.089939939763602
找到最佳解世代,2815
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PG[21](1),WMT[28](20),
FS( 22 ),3787878.149999999906868,3538566.039999999571592,2968729.080000000540167,10295174.269999999552965
FS( 23 ),3783153.850000000093132,3548758.199999999720603,2987918.760000000242144,10319831.810000000521541
FS( 24 ),3782141.500000000000000,3569605.799999999813735,3013850.760000000242144,10365599.060000000521541
FS( 25 ),3792939.899999999906868,3570069.080000000074506,3027335.399999999906868,10390345.380000000819564
FS( 26 ),3808125.149999999906868,3539029.319999999832362,3039782.760000000242144,10386938.230000000447035
FS( 27 ),3823647.850000000093132,3501040.359999999403954,3048599.640000000130385,10373288.849999999627471
FS( 28 ),3810824.750000000000000,3493164.600000000093132,3033559.080000000540167,10337549.429999999701977
FS( 29 ),3820610.799999999813735,3510305.959999999497086,3043413.240000000223517,10374331.000000000000000
FS( 30 ),3841870.149999999906868,3519108.279999999795109,2986362.840000000316650,10347342.269999999552965
FS( 31 ),3783153.850000000093132,3458881.879999999888241,2953688.520000000484288,10195725.250000000000000
FS( 32 ),3710939.549999999813735,3426452.279999999795109,2926200.600000000093132,10063593.429999999701977
FS( 33 ),3747721.600000000093132,3488531.799999999813735,3001403.399999999906868,10237657.800000000745058
FS( 34 ),3743672.199999999720603,3477876.359999999403954,3107724.600000000093132,10329274.159999998286366
FS( 35 ),3797326.750000000000000,3516328.600000000093132,3160107.240000000223517,10473763.589999999850988
FS( 36 ),3823310.399999999906868,3531153.560000000055879,3148178.520000000484288,10502643.480000000447035
FS( 37 ),3843894.849999999627471,3512622.359999999403954,3115504.200000000186265,10472022.410000000149012
FS( 38 ),3862792.049999999813735,3519571.560000000055879,3125358.359999999869615,10507722.969999998807907
FS( 39 ),3856380.500000000000000,3541809.000000000000000,3107724.600000000093132,10505915.099999999627471
FS( 40 ),3860429.899999999906868,3516328.600000000093132,3124321.080000000540167,10501080.580000000074506
FS( 41 ),3854693.250000000000000,3507063.000000000000000,3106168.680000000167638,10467925.929999999701977
FS( 42 ),3852331.099999999627471,3467220.919999999925494,3051711.480000000447035,10371264.500000000000000
FS( 43 ),3862117.149999999906868,3518181.719999999739230,3059491.080000000540167,10439790.949999999254942
FS( 44 ),3837483.299999999813735,3511232.520000000018626,3026298.120000000111759,10375014.940000001341105
FS( 45 ),3826347.449999999720603,3508916.119999999646097,3062084.280000000260770,10397348.849999999627471
FS( 46 ),3921170.899999999906868,3605741.639999999664724,3094239.959999999962747,10621153.500000000000000
FS( 47 ),3928594.799999999813735,3630758.760000000242144,3137805.720000000204891,10697160.280000001192093
FS( 48 ),3932306.750000000000000,3602035.399999999906868,3091646.760000000242144,10625989.910000000149012
FS( 49 ),3933994.000000000000000,3599719.000000000000000,3066752.040000000502914,10600466.040000000968575
FS( 50 ),3954915.899999999906868,3603888.520000000018626,3089053.560000000521541,10647858.980000000447035
FS( 51 ),3917121.500000000000000,3603425.239999999757856,3078680.760000000242144,10599228.500000000000000
FS( 52 ),3923195.600000000093132,3627052.520000000018626,3132100.680000000167638,10682349.800000000745058
FS( 53 ),3945804.750000000000000,3691448.440000000409782,3093202.680000000167638,10730456.870000001043081
FS( 54 ),3976512.700000000186265,3752138.119999999646097,3127432.919999999925494,10856084.740000000223517
FS( 55 ),3965039.399999999906868,3719708.520000000018626,3058972.439999999944121,10743721.359999999403954
FS( 56 ),3936693.599999999627471,3619640.039999999571592,3052230.120000000111759,10608564.759999997913837
FS( 57 ),3971450.949999999720603,3657629.000000000000000,3088534.919999999925494,10717615.869999999180436
FS( 58 ),3972463.299999999813735,3687742.199999999720603,3139880.280000000260770,10800086.780000001192093
FS( 59 ),4008907.899999999906868,3702567.160000000149012,3168405.480000000447035,10879881.540000000968575
FS( 60 ),4001146.549999999813735,3696544.520000000018626,3154920.840000000316650,10852612.910000000149012
FS( 61 ),4007220.649999999906868,3702567.160000000149012,3150771.720000000204891,10860560.530000001192093
FS( 62 ),4051764.049999999813735,3722951.479999999981374,3195374.760000000242144,10970091.289999999105930
FS( 63 ),4030167.250000000000000,3709516.359999999403954,3199005.240000000223517,10938689.849999999627471
FS( 64 ),3986636.199999999720603,3678939.879999999888241,3179296.919999999925494,10844874.000000000000000
FS( 65 ),3967739.000000000000000,3630758.760000000242144,3187595.160000000149012,10786093.919999999925494
FS( 66 ),4022405.899999999906868,3642340.760000000242144,3263316.600000000093132,10928064.259999999776483
FS( 67 ),3995409.899999999906868,3607131.479999999981374,3295990.919999999925494,10898533.300000000745058
FS( 68 ),3902948.599999999627471,3575628.440000000409782,3372749.640000000130385,10851327.679999999701977
FS( 69 ),3896874.500000000000000,3519571.560000000055879,3295472.280000000260770,10711919.339999999850988
FS( 70 ),3937705.949999999720603,3552001.160000000149012,3330739.800000000279397,10820447.910000000149012
FS( 71 ),3963014.699999999720603,3544588.680000000167638,3299621.399999999906868,10807225.779999999329448
FS( 72 ),3884726.300000000279397,3514012.199999999720603,3211452.600000000093132,10610192.099999999627471
FS( 73 ),3935343.800000000279397,3527910.600000000093132,3270577.560000000521541,10733832.960000000894070
FS( 74 ),3886751.000000000000000,3473706.840000000316650,3211971.240000000223517,10572430.080000000074506
FS( 75 ),3965039.399999999906868,3554780.840000000316650,3244645.560000000521541,10764466.800000000745058
FS( 76 ),3906998.000000000000000,3513085.639999999664724,3155439.480000000447035,10575524.120000001043081
FS( 77 ),3976512.700000000186265,3554317.560000000055879,3209378.040000000502914,10740209.300000000745058
FS( 78 ),3995409.899999999906868,3583967.479999999981374,3251387.879999999888241,10830766.259999999776483
FS( 79 ),4022405.899999999906868,3560340.199999999720603,3290804.520000000484288,10873551.620000001043081
FS( 80 ),4063912.250000000000000,3651143.080000000074506,3319329.720000000204891,11034386.050000000745058
FS( 81 ),4078760.050000000279397,3650679.799999999813735,3316736.520000000484288,11046177.370000001043081
FS( 82 ),4129714.999999999534339,3697934.359999999403954,3330739.800000000279397,11158390.160000000149012
FS( 83 ),4176958.000000000000000,3784567.719999999739230,3441728.760000000242144,11403255.480000000447035
FS( 84 ),4204966.349999999627471,3758160.760000000242144,3500853.720000000204891,11463981.830000000074506
FS( 85 ),4182694.649999999906868,3716465.560000000055879,3467660.760000000242144,11366821.970000000670552
FS( 86 ),4099007.049999999813735,3757234.199999999720603,3437061.000000000000000,11293303.250000000000000
FS( 87 ),4071673.599999999627471,3738703.000000000000000,3444840.600000000093132,11255218.199999999254942
FS( 88 ),3894174.899999999906868,3761867.000000000000000,3474921.720000000204891,11130964.620000001043081
FS( 89 ),3916109.149999999906868,3827652.760000000242144,3469735.320000000298023,11213498.230000000447035
FS( 90 ),3948504.350000000093132,3828579.319999999832362,3413203.560000000521541,11190288.230000000447035
FS( 91 ),3966389.200000000186265,3781324.760000000242144,3412166.280000000726432,11159881.240000002086163
FS( 92 ),3939055.750000000000000,3701640.600000000093132,3387790.199999999720603,11028487.549999998882413
FS( 93 ),3979549.750000000000000,3752138.119999999646097,3432393.240000000689179,11164082.109999999403954
FS( 94 ),4021731.000000000000000,3774375.560000000055879,3417871.320000000298023,11213978.880000000819564
FS( 95 ),4003508.699999999720603,3819777.000000000000000,3428762.760000000242144,11252049.459999999031425
FS( 96 ),3953903.549999999813735,3798002.840000000316650,3325553.400000000372529,11077460.790000000968575
FS( 97 ),3932306.750000000000000,3789200.520000000018626,3353559.959999999962747,11075068.230000000447035
FS( 98 ),3970776.049999999813735,3804952.039999999571592,3403868.040000000037253,11179597.129999998956919
FS( 99 ),3944792.399999999906868,3790127.080000000074506,3447952.440000000409782,11182872.920000001788139
FS( 100 ),3950191.600000000093132,3778545.080000000074506,3481145.400000000372529,11209883.080000000074506
FS( 101 ),3994397.550000000279397,3814680.919999999925494,3528860.280000000726432,11337939.750000001862645
FS( 102 ),3950191.600000000093132,3757234.199999999720603,3449508.360000000335276,11156935.160000000149012
FS( 103 ),3954578.449999999720603,3719708.520000000018626,3440691.480000000447035,11114979.449999999254942
FS( 104 ),4010595.149999999906868,3763256.840000000316650,3446915.159999999683350,11220768.150000000372529
FS( 105 ),3998109.500000000000000,3824409.799999999813735,3433949.159999999683350,11256469.459999999031425
FS( 106 ),3937705.949999999720603,3837844.919999999925494,3430318.680000000167638,11205870.549999998882413
FS( 107 ),3954241.000000000000000,3867958.119999999646097,3463511.640000000130385,11285711.759999999776483
FS( 108 ),3953228.649999999906868,3849890.199999999720603,3521080.680000000167638,11324200.529999999329448
FS( 109 ),3996084.799999999813735,3848037.080000000074506,3528860.280000000726432,11372983.160000000149012
FS( 110 ),4037253.699999999720603,3843404.279999999795109,3502409.640000000130385,11383068.619999999180436
FS( 111 ),4048727.000000000000000,3811901.239999999757856,3496185.959999999962747,11356815.199999999254942
FS( 112 ),4101706.649999999906868,3787347.399999999906868,3483738.600000000093132,11372793.650000000372529
FS( 113 ),4147262.399999999906868,3760477.160000000149012,3493592.760000000242144,11401333.320000000298023
FS( 114 ),4165147.250000000000000,3766963.080000000074506,3531453.480000000447035,11463564.810000000521541
FS( 115 ),4168184.299999999813735,3768352.919999999925494,3526267.080000000074506,11462805.300000000745058
FS( 116 ),4156036.099999999627471,3833675.399999999906868,3498260.520000000484288,11487973.019999999552965
FS( 117 ),4187081.500000000000000,3852206.600000000093132,3472328.520000000484288,11511617.620000001043081
FS( 118 ),4177970.350000000093132,3860082.359999999403954,3525229.800000000279397,11563283.509999999776483
FS( 119 ),4178307.799999999813735,3833212.119999999646097,3520043.400000000372529,11531564.320000000298023
FS( 120 ),4190793.449999999720603,3836918.359999999403954,3498779.159999999683350,11526491.969999998807907
FS( 121 ),4160422.950000000186265,3840161.319999999832362,3526785.720000000204891,11527370.990000000223517
FS( 122 ),4156373.549999999813735,3827652.760000000242144,3533009.400000000372529,11517036.710000000894070
FS( 123 ),4183369.549999999813735,3835991.799999999813735,3528341.640000000130385,11547703.990000000223517
FS( 124 ),4246135.250000000000000,3830432.440000000409782,3568276.919999999925494,11644845.609999999403954
FS( 125 ),4241073.500000000000000,3813291.080000000074506,3552199.080000000074506,11606564.660000000149012
