代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12916373.829999998211861
真實報酬,2916373.829999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,28021.056701826662902
風險,269137.213254180038348
起點值,0.104114389693717
找到最佳解世代,1708
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](6),CSCO[4](1),INTC[11](7),NKE[19](3),
FS( 26 ),2578909.279999999795109,2548888.839999999850988,2990515.760000000242144,2700981.490000000223517,10819295.369999999180436
FS( 27 ),2599027.239999999757856,2548148.100000000093132,2995638.640000000130385,2658086.160000000149012,10800900.140000000596046
FS( 28 ),2593558.279999999795109,2555555.500000000000000,2990515.760000000242144,2687486.330000000074506,10827115.869999999180436
FS( 29 ),2565529.859999999403954,2522222.199999999720603,2964901.359999999869615,2705319.220000000670552,10757972.639999998733401
FS( 30 ),2547462.759999999776483,2517777.760000000242144,2918795.439999999944121,2703391.340000000316650,10687427.299999998882413
FS( 31 ),2562795.379999999888241,2514814.800000000279397,2929681.560000000055879,2694715.880000000353903,10702007.620000001043081
FS( 32 ),2556349.819999999366701,2521481.459999999962747,2936725.520000000018626,2698089.670000000391155,10712646.469999998807907
FS( 33 ),2567092.419999999925494,2526666.640000000130385,2911111.120000000111759,2729417.720000000670552,10734287.900000002235174
FS( 34 ),2575295.859999999403954,2657777.620000000111759,2923277.959999999962747,2758335.920000000391155,10914687.359999999403954
FS( 35 ),2561232.819999999366701,2659259.100000000093132,2857961.240000000223517,2852802.040000000037253,10931255.199999999254942
FS( 36 ),2584378.239999999757856,2703703.500000000000000,2857320.879999999888241,2855693.860000000335276,11001096.480000000447035
FS( 37 ),2607426.000000000000000,2714814.600000000093132,2877812.399999999906868,2862441.440000000409782,11062494.440000001341105
FS( 38 ),2589456.559999999590218,2699999.800000000279397,2859241.959999999962747,2847018.400000000372529,10995716.719999998807907
FS( 39 ),2596585.739999999757856,2702962.760000000242144,2865645.560000000055879,2859067.650000000372529,11024261.710000000894070
FS( 40 ),2593655.939999999478459,2731110.879999999888241,2848996.200000000186265,2874008.720000000670552,11047771.740000000223517
FS( 41 ),2617192.000000000000000,2794814.519999999552965,2864364.839999999850988,2871598.870000000111759,11147970.230000000447035
FS( 42 ),2629985.459999999962747,2776296.019999999552965,2814416.760000000242144,2909192.530000000260770,11129890.769999999552965
FS( 43 ),2703230.459999999962747,2762962.699999999720603,2871408.800000000279397,2912084.350000000558794,11249686.310000002384186
FS( 44 ),2650298.739999999757856,2785184.899999999906868,2861163.040000000037253,2886057.970000000670552,11182704.650000000372529
FS( 45 ),2714656.680000000167638,2794073.779999999795109,2848996.200000000186265,2896661.310000000521541,11254387.970000000670552
FS( 46 ),2690925.299999999813735,2763703.439999999944121,2781758.399999999906868,2912084.350000000558794,11148471.490000002086163
FS( 47 ),2717586.479999999515712,2771110.839999999850988,2782398.760000000242144,2878346.450000000186265,11149442.530000001192093
FS( 48 ),2753720.680000000167638,2770370.100000000093132,2758705.439999999944121,2920759.810000000521541,11203556.030000001192093
FS( 49 ),2792101.059999999590218,2785925.640000000130385,2775995.160000000149012,2954497.710000000428408,11308519.570000000298023
FS( 50 ),2765342.219999999739230,2811851.540000000037253,2795846.319999999832362,2983897.880000000353903,11356937.960000000894070
FS( 51 ),2831555.699999999720603,2808147.839999999850988,2774714.439999999944121,2996429.100000000558794,11410847.079999998211861
FS( 52 ),2850111.099999999627471,2825925.600000000093132,2775354.800000000279397,3099088.710000000428408,11550480.210000000894070
FS( 53 ),2870033.739999999757856,2807407.100000000093132,2770231.919999999925494,3110174.020000000484288,11557846.780000001192093
FS( 54 ),2870619.699999999720603,2828888.560000000055879,2853478.720000000204891,3122705.240000000689179,11675692.220000000670552
FS( 55 ),2892104.899999999441206,2850370.019999999552965,2962339.919999999925494,3123669.180000000633299,11828484.019999999552965
FS( 56 ),2902945.159999999683350,2837036.699999999720603,3012288.000000000000000,3096196.890000000130385,11848466.750000000000000
FS( 57 ),2909293.059999999590218,2869629.260000000242144,3045586.720000000204891,3064868.840000000316650,11889377.880000000819564
FS( 58 ),2881264.639999999199063,2854073.720000000204891,2994357.919999999925494,3121741.300000000279397,11851437.580000000074506
FS( 59 ),2881948.259999999776483,2855555.199999999720603,2990515.760000000242144,3050409.740000000223517,11778428.959999999031425
FS( 60 ),2884487.419999999925494,2850370.019999999552965,2950813.439999999944121,3067760.660000000149012,11753431.539999999105930
FS( 61 ),2887026.579999999608845,2856295.939999999944121,2952734.520000000018626,3034022.760000000242144,11730079.799999998882413
FS( 62 ),2894155.759999999776483,2858518.160000000149012,2959778.479999999981374,3034022.760000000242144,11746475.160000000149012
FS( 63 ),2880092.719999999739230,2837036.699999999720603,2955936.319999999832362,3014743.960000000428408,11687809.700000001117587
FS( 64 ),2898941.099999999627471,2878518.140000000130385,3000121.160000000149012,3060049.140000000596046,11837629.540000000968575
FS( 65 ),2908316.459999999962747,2901481.080000000074506,2898303.919999999925494,3059567.170000000391155,11767668.630000000819564
FS( 66 ),2897280.879999999888241,2888147.760000000242144,2845154.040000000037253,3057639.290000000037253,11688221.969999998807907
FS( 67 ),3016133.099999999627471,2928147.720000000204891,2865005.200000000186265,3083665.670000000391155,11892951.689999999478459
FS( 68 ),3028926.559999999590218,2958518.060000000055879,2865005.200000000186265,3111137.960000000428408,11963587.780000001192093
FS( 69 ),3109789.039999999571592,2939999.560000000055879,2793284.879999999888241,3088967.340000000316650,11932040.820000000298023
FS( 70 ),3127660.819999999366701,2956295.839999999850988,2721564.560000000055879,3095232.950000000186265,11900754.169999998062849
FS( 71 ),3204421.579999999608845,2970369.899999999906868,2779837.319999999832362,3098606.740000000689179,12053235.539999999105930
FS( 72 ),3283428.519999999552965,3027406.879999999888241,2768951.200000000186265,3116921.600000000558794,12196708.199999999254942
FS( 73 ),3273174.219999999739230,3002962.459999999962747,2762547.600000000093132,3056675.350000000558794,12095359.629999998956919
FS( 74 ),3427965.319999999366701,3051851.300000000279397,2842592.600000000093132,3075472.180000000633299,12397881.399999998509884
FS( 75 ),3322004.219999999739230,3059258.699999999720603,2848355.839999999850988,3089931.280000000260770,12319550.039999999105930
FS( 76 ),3298272.839999999850988,3058517.959999999962747,2870128.080000000074506,3239341.979999999981374,12466260.859999999403954
FS( 77 ),3300909.659999999683350,3085925.339999999850988,2929681.560000000055879,3199820.440000000409782,12516337.000000000000000
FS( 78 ),3277373.599999999627471,3118517.899999999906868,2949532.720000000204891,3235968.190000000409782,12581392.410000000149012
FS( 79 ),3268584.199999999720603,3123703.080000000074506,2914312.919999999925494,3277417.610000000335276,12584017.809999998658895
FS( 80 ),3350813.919999999925494,3103703.100000000093132,2900865.359999999869615,3263440.479999999981374,12618822.859999999403954
FS( 81 ),3351888.180000000167638,3152591.939999999944121,3206957.439999999944121,3279345.490000000689179,12990783.050000000745058
FS( 82 ),3328449.779999999795109,3174073.399999999906868,3200553.839999999850988,3257174.870000000111759,12960251.890000000596046
FS( 83 ),3298077.519999999552965,3129629.000000000000000,3124351.000000000000000,3245125.620000000111759,12797183.140000000596046
FS( 84 ),3460779.079999999608845,3077036.459999999962747,3082727.600000000093132,3288020.950000000186265,12908564.089999999850988
FS( 85 ),3485877.699999999720603,3088888.300000000279397,3051349.959999999962747,3260548.660000000614673,12886664.620000001043081
FS( 86 ),3407456.719999999739230,3031851.319999999832362,2955295.959999999962747,3239823.950000000186265,12634427.949999999254942
FS( 87 ),3211843.739999999757856,2872592.220000000204891,2850917.280000000260770,3103426.440000000409782,12038779.679999999701977
FS( 88 ),3329328.719999999739230,2975555.080000000074506,2875891.319999999832362,3143429.950000000186265,12324205.070000000298023
FS( 89 ),3399741.579999999608845,2988147.660000000149012,2894461.760000000242144,3163190.720000000204891,12445541.720000000670552
FS( 90 ),3219461.219999999739230,2871851.480000000447035,2737573.560000000055879,3011852.140000000596046,11840738.400000000372529
FS( 91 ),3250419.439999999478459,2928147.720000000204891,2814416.760000000242144,3156443.140000000130385,12149427.060000000521541
FS( 92 ),3357552.459999999962747,3007406.899999999906868,2870768.439999999944121,3180059.670000000391155,12415787.469999998807907
FS( 93 ),3351302.219999999739230,3054073.519999999552965,2847075.120000000111759,3174758.000000000465661,12427208.859999999403954
FS( 94 ),3367806.759999999776483,3117777.160000000149012,2905988.240000000223517,3275489.729999999981374,12667061.890000000596046
FS( 95 ),3481190.019999999552965,3265184.419999999925494,2940567.680000000167638,3291394.740000000689179,12978336.859999999403954
FS( 96 ),3467322.299999999813735,3283702.919999999925494,2917514.720000000204891,3291876.710000000428408,12960416.650000000372529
FS( 97 ),3450817.759999999776483,3263702.939999999944121,2966182.080000000074506,3252837.140000000130385,12933539.919999999925494
FS( 98 ),3441247.079999999608845,3208147.439999999944121,2941848.399999999906868,3231630.460000000428408,12822873.380000000819564
FS( 99 ),3475916.379999999888241,3180740.060000000055879,2932883.359999999869615,3235486.220000000204891,12825026.019999999552965
FS( 100 ),3483143.219999999739230,3259258.500000000000000,3056472.839999999850988,3285129.130000000353903,13084003.689999999478459
FS( 101 ),3549747.339999999850988,3359999.140000000130385,3144842.520000000018626,3356942.660000000614673,13411531.660000000149012
FS( 102 ),3561075.899999999441206,3336295.459999999962747,3196071.319999999832362,3278863.520000000484288,13372306.199999999254942
FS( 103 ),3537344.519999999552965,3317036.220000000204891,3156369.000000000000000,3230666.520000000484288,13241416.260000001639128
FS( 104 ),3415074.199999999720603,3244443.699999999720603,3063516.800000000279397,3196446.649999999906868,12919481.349999999627471
FS( 105 ),3366048.879999999888241,3263702.939999999944121,3136517.839999999850988,3175721.940000000409782,12941991.600000001490116
FS( 106 ),3444958.159999999683350,3297776.980000000447035,3185825.560000000055879,3135236.460000000428408,13063797.160000002011657
FS( 107 ),3407554.379999999888241,3280739.959999999962747,3247300.120000000111759,3144393.890000000130385,13079988.350000001490116
FS( 108 ),3389194.299999999813735,3274073.300000000279397,3286362.080000000074506,3092823.100000000558794,13042452.780000001192093
FS( 109 ),3405698.839999999850988,3284443.660000000149012,3249221.200000000186265,3138128.280000000260770,13077491.980000000447035
FS( 110 ),3462243.979999999515712,3360739.879999999888241,3342073.399999999906868,3195482.710000000428408,13360539.970000000670552
FS( 111 ),3361361.199999999720603,3374073.199999999720603,3299169.280000000260770,3220545.149999999906868,13255148.830000000074506
FS( 112 ),3307452.879999999888241,3345184.339999999850988,3315818.640000000130385,3189217.100000000558794,13157672.960000000894070
FS( 113 ),3225320.819999999366701,3354073.220000000204891,3320941.520000000018626,3190663.010000000242144,13090998.569999998435378
FS( 114 ),3222586.339999999850988,3357776.919999999925494,3258186.240000000223517,3199820.440000000409782,13038369.940000001341105
FS( 115 ),3227371.680000000167638,3334073.239999999757856,3276756.680000000167638,3176685.880000000353903,13014887.480000000447035
FS( 116 ),3239969.819999999366701,3279258.480000000447035,3254984.439999999944121,3167046.479999999981374,12941259.220000000670552
FS( 117 ),3297296.239999999757856,3286665.879999999888241,3301090.359999999869615,3219581.210000000428408,13104633.689999999478459
FS( 118 ),3292120.259999999776483,3282221.439999999944121,3301730.720000000204891,3197892.560000000055879,13073964.980000000447035
FS( 119 ),3121312.919999999925494,3190369.680000000167638,3254984.439999999944121,3104872.350000000558794,12671539.390000000596046
FS( 120 ),3134887.659999999683350,3142221.580000000074506,3160851.520000000018626,3114993.720000000204891,12552954.480000000447035
FS( 121 ),3212722.680000000167638,3263702.939999999944121,3360643.839999999850988,3176203.910000000614673,13013273.370000001043081
FS( 122 ),3136059.579999999608845,3161480.819999999832362,3278037.399999999906868,3189217.100000000558794,12764794.899999998509884
FS( 123 ),3125316.979999999515712,3085925.339999999850988,3176220.160000000149012,3154033.290000000037253,12541495.769999999552965
FS( 124 ),3202077.739999999757856,3177036.359999999869615,3335029.439999999944121,3202230.290000000037253,12916373.829999998211861
