代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11754563.500000000000000
真實報酬,1754563.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18352.702106257289415
風險,297693.124841457931325
起點值,0.061649734490951
找到最佳解世代,2464
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),HD[9](1),UNH[23](11),
FS( 93 ),4212269.099999999627471,4183328.580000000074506,3557490.919999999925494,11953089.599999999627471
FS( 94 ),4186209.000000000000000,4167852.469999999739230,3569105.320000000298023,11923167.789999999105930
FS( 95 ),4181470.799999999348074,4186899.990000000223517,3627177.320000000298023,11995549.109999999403954
FS( 96 ),4138826.999999999534339,4188090.459999999962747,3598141.320000000298023,11925059.779999999329448
FS( 97 ),4386397.950000000186265,4198804.690000000409782,3514517.640000000596046,12099721.280000001192093
FS( 98 ),4509591.149999999441206,4252375.839999999850988,3537746.440000000409782,12299714.429999999701977
FS( 99 ),4583033.250000000000000,4332137.330000000074506,3594657.000000000000000,12509828.580000000074506
FS( 100 ),4560526.799999999813735,4344042.030000000260770,3466898.600000000558794,12371468.429999999701977
FS( 101 ),4433779.950000000186265,4201185.629999999888241,3461091.400000000372529,12096057.980000000447035
FS( 102 ),4426672.649999999441206,4189280.929999999701977,3535423.560000000521541,12151378.139999998733401
FS( 103 ),4546312.200000000186265,4233328.320000000298023,3635307.400000000372529,12414948.919999999925494
FS( 104 ),4418380.799999999813735,4194042.809999999590218,3520324.839999999850988,12132749.449999999254942
FS( 105 ),4507222.049999999813735,4270232.889999999664724,3514517.640000000596046,12291973.580000000074506
FS( 106 ),4376921.549999999813735,4216661.740000000223517,3425086.759999999776483,12018671.049999998882413
FS( 107 ),4331908.649999999441206,4195233.280000000260770,3484320.200000000186265,12011463.129999998956919
FS( 108 ),4167256.199999999720603,4042853.120000000111759,3396050.759999999776483,11606161.080000000074506
FS( 109 ),3990758.249999999534339,3979758.209999999962747,3370499.080000000074506,11341016.539999999105930
FS( 110 ),4297556.700000000186265,4201185.629999999888241,3470382.919999999925494,11969126.250000000000000
FS( 111 ),4341385.049999999813735,4241661.610000000335276,3466898.600000000558794,12049946.260000001639128
FS( 112 ),4434964.500000000000000,4272613.830000000074506,3521486.280000000260770,12229065.609999999403954
FS( 113 ),4372183.349999999627471,4198804.690000000409782,3505226.120000000111759,12076215.160000000149012
FS( 114 ),4295187.599999999627471,4190471.400000000372529,3529616.360000000335276,12015276.359999999403954
FS( 115 ),4302294.899999999441206,4236899.730000000447035,3535423.560000000521541,12074619.189999999478459
FS( 116 ),4270312.049999999813735,4134519.309999999590218,3505226.120000000111759,11910058.480000000447035
FS( 117 ),4202792.699999999254942,4092852.860000000335276,3483158.759999999776483,11778805.320000000298023
FS( 118 ),4023925.649999999906868,3915472.830000000074506,3363530.440000000409782,11302929.920000001788139
FS( 119 ),4100921.399999999441206,3930948.940000000409782,3333333.000000000000000,11365204.339999999850988
FS( 120 ),4175548.049999999813735,3954758.339999999850988,3348431.720000000204891,11478739.109999999403954
FS( 121 ),4149487.949999999720603,4045234.059999999590218,3353077.480000000447035,11547800.490000000223517
FS( 122 ),4130535.149999999441206,4052376.879999999888241,3343785.959999999962747,11526698.989999998360872
FS( 123 ),4286895.750000000000000,4113090.849999999627471,3405342.280000000260770,11805329.879999998956919
FS( 124 ),4347307.799999999813735,4030948.419999999925494,3376306.280000000260770,11754563.500000000000000
