代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12046800.020000001415610
真實報酬,2046800.020000001415610

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17450.348315941733745
風險,109822.609656594373519
起點值,0.158895771740514
找到最佳解世代,2784
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](3),MMM[16](4),PFE[20](8),UNH[23](1),XOM[29](2),
FS( 19 ),2027018.419999999925494,2128284.379999999888241,2003977.459999999729916,2093878.080000000074506,2143133.899999999906868,10396292.240000000223517
FS( 20 ),2016096.079999999608845,2109458.580000000074506,1966854.500000000000000,2055394.969999999972060,2101189.899999999906868,10248994.029999999329448
FS( 21 ),2054611.699999999720603,2146034.419999999925494,1991382.169999999692664,2099745.459999999962747,2130812.850000000093132,10422586.599999999627471
FS( 22 ),2051162.540000000037253,2143613.959999999962747,1987404.709999999729916,2092842.659999999916181,2168038.149999999906868,10443062.019999999552965
FS( 23 ),2043689.359999999869615,2143210.549999999813735,1981438.519999999785796,2102334.009999999776483,2160173.649999999906868,10430846.089999999850988
FS( 24 ),2040815.059999999823049,2152488.980000000447035,1969506.139999999897555,2101988.870000000111759,2157290.000000000000000,10422089.050000000745058
FS( 25 ),2045413.939999999711290,2159212.480000000447035,1974809.419999999692664,2101298.590000000316650,2214176.549999999813735,10494910.980000000447035
FS( 26 ),2035449.699999999720603,2154237.089999999850988,1946304.289999999804422,2099572.890000000130385,2166203.099999999627471,10401767.069999998435378
FS( 27 ),2047330.139999999897555,2152757.919999999925494,1971494.869999999646097,2089908.969999999972060,2160173.649999999906868,10421665.549999998882413
FS( 28 ),2053078.739999999757856,2150068.519999999552965,1961551.219999999739230,2106993.399999999906868,2154406.350000000093132,10426098.229999998584390
FS( 29 ),2064001.079999999608845,2176828.049999999813735,2021876.029999999795109,2158936.969999999739230,2154668.500000000000000,10576310.629999998956919
FS( 30 ),2063042.979999999748543,2175886.759999999776483,1995359.629999999888241,2161007.810000000055879,2160435.799999999813735,10555732.980000000447035
FS( 31 ),2064959.179999999934807,2183954.959999999962747,1958236.669999999692664,2154622.719999999739230,2171183.949999999720603,10532957.479999998584390
FS( 32 ),2058252.479999999748543,2190409.519999999552965,1925091.169999999692664,2155485.570000000298023,2172494.700000000186265,10501733.439999999478459
FS( 33 ),2045413.939999999711290,2201973.940000000409782,1944978.469999999739230,2149100.479999999981374,2204739.149999999906868,10546205.980000000447035
FS( 34 ),2059977.059999999823049,2223220.200000000186265,1952270.479999999748543,2186893.310000000055879,2207360.649999999906868,10629721.699999999254942
FS( 35 ),2055761.419999999925494,2216631.169999999925494,1993370.899999999906868,2187238.449999999720603,2192155.950000000186265,10645157.890000000596046
FS( 36 ),2057677.619999999646097,2217572.459999999962747,2013921.109999999636784,2209327.410000000149012,2205263.450000000186265,10703762.050000000745058
FS( 37 ),2079139.059999999823049,2208966.379999999888241,2001325.819999999832362,2239872.299999999813735,2195563.899999999906868,10724867.459999999031425
FS( 38 ),2075498.279999999795109,2211521.310000000521541,1994033.809999999590218,2219163.899999999906868,2201593.350000000093132,10701810.649999998509884
FS( 39 ),2073965.319999999832362,2235994.850000000558794,1974146.509999999776483,2224858.709999999962747,2207884.949999999720603,10716850.339999999850988
FS( 40 ),2091402.739999999757856,2210580.019999999552965,1992045.079999999841675,2240562.580000000074506,2216011.600000000093132,10750602.019999999552965
FS( 41 ),2088336.819999999832362,2242314.940000000409782,1993370.899999999906868,2237974.030000000260770,2215749.449999999720603,10777746.140000000596046
FS( 42 ),2073390.459999999962747,2240701.299999999813735,1964865.769999999785796,2224513.570000000298023,2191369.500000000000000,10694840.599999999627471
FS( 43 ),2092360.839999999850988,2252803.600000000558794,1991382.169999999692664,2242115.709999999962747,2174854.049999999813735,10753516.370000001043081
FS( 44 ),2080863.639999999897555,2237608.490000000223517,2036460.049999999813735,2234695.200000000186265,2180097.049999999813735,10769724.429999999701977
FS( 45 ),2087761.959999999962747,2229674.759999999776483,2078886.289999999804422,2192415.550000000279397,2155192.799999999813735,10743931.359999999403954
FS( 46 ),2096768.099999999860302,2243121.759999999776483,2182963.159999999683350,2209499.979999999981374,2184029.299999999813735,10916382.300000000745058
FS( 47 ),2093893.799999999813735,2247828.209999999962747,2171693.689999999478459,2189481.859999999869615,2159387.200000000186265,10862284.759999997913837
FS( 48 ),2090636.259999999776483,2240701.299999999813735,2154458.029999999795109,2168946.030000000260770,2181407.799999999813735,10836149.420000001788139
FS( 49 ),2088145.199999999720603,2240163.419999999925494,2114020.520000000018626,2180163.080000000074506,2184291.449999999720603,10806783.669999998062849
FS( 50 ),2100217.259999999776483,2259527.100000000558794,2118660.889999999664724,2188273.870000000111759,2211292.899999999906868,10877972.020000001415610
FS( 51 ),2105391.000000000000000,2267057.419999999925494,2157109.669999999925494,2204840.590000000316650,2223876.100000000093132,10958274.779999999329448
FS( 52 ),2104816.139999999664724,2261275.209999999962747,2164401.679999999701977,2208637.129999999888241,2239605.100000000093132,10978735.259999999776483
FS( 53 ),2111331.219999999739230,2269612.350000000558794,2154458.029999999795109,2197420.080000000074506,2227546.199999999720603,10960367.879999998956919
FS( 54 ),2125702.719999999739230,2279966.540000000037253,2161750.039999999571592,2205703.439999999944121,2248780.350000000093132,11021903.089999997988343
FS( 55 ),2159236.219999999739230,2281311.240000000223517,2180311.520000000018626,2252124.770000000018626,2260052.799999999813735,11133036.550000000745058
FS( 56 ),2176482.019999999552965,2271763.870000000111759,2202850.459999999497086,2311316.280000000260770,2275519.649999999906868,11237932.279999999329448
FS( 57 ),2176290.399999999441206,2267998.709999999962747,2203513.370000000111759,2294576.990000000223517,2275257.500000000000000,11217636.969999998807907
FS( 58 ),2171499.899999999441206,2267998.709999999962747,2205502.100000000093132,2314767.680000000167638,2294656.600000000093132,11254424.989999998360872
FS( 59 ),2175140.679999999701977,2264233.549999999813735,2201524.639999999664724,2308727.729999999981374,2289413.600000000093132,11239040.199999999254942
FS( 60 ),2163643.479999999515712,2234650.150000000372529,2190918.079999999608845,2316665.950000000186265,2297278.099999999627471,11203155.759999999776483
FS( 61 ),2160960.799999999813735,2255896.410000000149012,2187603.529999999795109,2291815.870000000111759,2319036.549999999813735,11215313.160000000149012
FS( 62 ),2155403.820000000298023,2245676.690000000409782,2181637.339999999385327,2279218.259999999776483,2307764.100000000093132,11169700.209999999031425
FS( 63 ),2147739.019999999552965,2250786.549999999813735,2168379.139999999664724,2272488.030000000260770,2317463.649999999906868,11156856.389999998733401
FS( 64 ),2160577.559999999590218,2263695.669999999925494,2174345.329999999608845,2279735.969999999739230,2336600.599999999627471,11214955.129999997094274
FS( 65 ),2159427.839999999850988,2258720.280000000260770,2234007.229999999981374,2285948.490000000223517,2309861.299999999813735,11247965.140000000596046
FS( 66 ),2150421.700000000186265,2247828.209999999962747,2214119.929999999701977,2278527.979999999981374,2305404.750000000000000,11196302.570000000298023
FS( 67 ),2163068.620000000111759,2256030.879999999888241,2225389.399999999906868,2283359.939999999944121,2308026.250000000000000,11235875.089999999850988
FS( 68 ),2160385.939999999478459,2271091.519999999552965,2226052.309999999590218,2278700.549999999813735,2320347.299999999813735,11256577.619999997317791
FS( 69 ),2179164.700000000186265,2266116.129999999888241,2241962.149999999906868,2289572.459999999962747,2321920.199999999720603,11298735.640000000596046
FS( 70 ),2197368.599999999627471,2289513.910000000149012,2240636.329999999608845,2305103.759999999776483,2359145.500000000000000,11391768.099999999627471
FS( 71 ),2191620.000000000000000,2282924.879999999888241,2198210.089999999385327,2255403.600000000093132,2328211.799999999813735,11256370.369999997317791
FS( 72 ),2188937.320000000298023,2288034.740000000223517,2200198.819999999832362,2239009.450000000186265,2350756.699999999720603,11266937.030000001192093
FS( 73 ),2176098.780000000260770,2263426.730000000447035,2200198.819999999832362,2226239.270000000018626,2324279.549999999813735,11190243.149999998509884
FS( 74 ),2192961.339999999850988,2279966.540000000037253,2212794.109999999869615,2254540.750000000000000,2348135.199999999720603,11288397.939999999478459
FS( 75 ),2181272.519999999552965,2256568.759999999776483,2189592.259999999776483,2235903.189999999944121,2347086.600000000093132,11210423.329999998211861
FS( 76 ),2176673.639999999664724,2243256.230000000447035,2198873.000000000000000,2252297.339999999850988,2342367.899999999906868,11213468.110000001266599
FS( 77 ),2162493.759999999776483,2220261.860000000335276,2212794.109999999869615,2243496.270000000018626,2362291.299999999813735,11201337.300000000745058
FS( 78 ),2158469.740000000223517,2218917.160000000149012,2236658.870000000111759,2259717.850000000093132,2352591.750000000000000,11226355.370000001043081
FS( 79 ),2149271.979999999515712,2233708.860000000335276,2232018.500000000000000,2250744.209999999962747,2348921.649999999906868,11214665.200000001117587
FS( 80 ),2159427.839999999850988,2267595.299999999813735,2260523.629999999888241,2288191.899999999906868,2350756.699999999720603,11326495.369999999180436
FS( 81 ),2172074.759999999776483,2285883.220000000670552,2277096.379999999888241,2302515.209999999962747,2366223.549999999813735,11403793.120000001043081
FS( 82 ),2163451.860000000335276,2271360.459999999962747,2282399.659999999683350,2294922.129999999888241,2354164.649999999906868,11366298.759999999776483
FS( 83 ),2166517.780000000260770,2271091.519999999552965,2294332.039999999571592,2312524.270000000018626,2359669.799999999813735,11404135.410000000149012
FS( 84 ),2159427.839999999850988,2263426.730000000447035,2300298.229999999981374,2306829.459999999962747,2333716.949999999720603,11363699.210000000894070
FS( 85 ),2161152.419999999925494,2268402.120000000111759,2303612.779999999795109,2321670.479999999981374,2339484.250000000000000,11394322.050000000745058
FS( 86 ),2193919.439999999478459,2259661.570000000298023,2311567.699999999720603,2347728.549999999813735,2320871.600000000093132,11433748.859999997541308
FS( 87 ),2199093.179999999701977,2264233.549999999813735,2299635.319999999832362,2361534.149999999906868,2316677.200000000186265,11441173.399999998509884
FS( 88 ),2218446.799999999813735,2287093.450000000186265,2315545.159999999683350,2384140.820000000298023,2342105.750000000000000,11547331.980000000447035
FS( 89 ),2217680.320000000298023,2298254.459999999962747,2309578.970000000204891,2363259.850000000093132,2378020.299999999813735,11566793.899999998509884
FS( 90 ),2219021.660000000149012,2305112.429999999701977,2336758.279999999795109,2422969.070000000298023,2380117.500000000000000,11663978.939999999478459
FS( 91 ),2242016.059999999590218,2287765.799999999813735,2340735.739999999757856,2427801.030000000260770,2376971.699999999720603,11675290.329999998211861
FS( 92 ),2242207.679999999701977,2266654.009999999776483,2339409.919999999925494,2402950.950000000186265,2358883.350000000093132,11610105.909999998286366
FS( 93 ),2237992.040000000037253,2247424.799999999813735,2302949.870000000111759,2383105.399999999906868,2374874.500000000000000,11546346.609999999403954
FS( 94 ),2244315.500000000000000,2253879.360000000335276,2319522.620000000111759,2379308.859999999869615,2370680.100000000093132,11567706.439999999478459
FS( 95 ),2230710.479999999515712,2256434.290000000037253,2306264.419999999925494,2368782.089999999850988,2363602.049999999813735,11525793.329999998211861
FS( 96 ),2235117.740000000223517,2285076.400000000372529,2303612.779999999795109,2392941.890000000130385,2391389.949999999720603,11608138.759999999776483
FS( 97 ),2212889.820000000298023,2271763.870000000111759,2268478.549999999813735,2376202.600000000093132,2378282.449999999720603,11507617.289999999105930
FS( 98 ),2233201.540000000037253,2302557.500000000000000,2287040.029999999795109,2390525.910000000149012,2388768.450000000186265,11602093.429999999701977
FS( 99 ),2226303.219999999739230,2304440.080000000074506,2303612.779999999795109,2384831.100000000093132,2399516.600000000093132,11618703.779999999329448
FS( 100 ),2231668.580000000074506,2302557.500000000000000,2285051.299999999813735,2379826.570000000298023,2390079.199999999720603,11589183.149999998509884
FS( 101 ),2249297.620000000111759,2341284.860000000335276,2293006.220000000204891,2402088.100000000093132,2406594.649999999906868,11692271.450000001117587
FS( 102 ),2215764.120000000111759,2274184.330000000074506,2251905.799999999813735,2369299.799999999813735,2343416.500000000000000,11454570.550000000745058
FS( 103 ),2233393.160000000149012,2248231.620000000111759,2240636.329999999608845,2366193.540000000037253,2329522.549999999813735,11417977.199999999254942
FS( 104 ),2265585.320000000298023,2280504.419999999925494,2283062.569999999832362,2393804.740000000223517,2383263.299999999813735,11606220.350000001490116
FS( 105 ),2286663.519999999552965,2306457.129999999888241,2320848.439999999478459,2425039.910000000149012,2423896.549999999813735,11762905.550000000745058
FS( 106 ),2324412.660000000149012,2354866.330000000074506,2334106.639999999664724,2436774.669999999925494,2457451.750000000000000,11907612.050000000745058
FS( 107 ),2324221.040000000037253,2360514.070000000298023,2357971.399999999906868,2430907.290000000037253,2460073.250000000000000,11933687.050000000745058
FS( 108 ),2342999.799999999813735,2361724.299999999813735,2373881.239999999757856,2442987.189999999944121,2438576.949999999720603,11960169.479999998584390
FS( 109 ),2350089.740000000223517,2355404.209999999962747,2377195.789999999571592,2457137.930000000167638,2466627.000000000000000,12006454.669999999925494
FS( 110 ),2347598.679999999701977,2351504.580000000074506,2371229.600000000093132,2429871.870000000111759,2437004.049999999813735,11937208.780000001192093
FS( 111 ),2354113.759999999776483,2381760.330000000074506,2394431.449999999720603,2437982.660000000149012,2452208.750000000000000,12020496.949999999254942
FS( 112 ),2355646.719999999739230,2393728.160000000149012,2396420.179999999701977,2421588.509999999776483,2461384.000000000000000,12028767.570000000298023
FS( 113 ),2355455.099999999627471,2409192.209999999962747,2402386.370000000111759,2413650.290000000037253,2489171.899999999906868,12069855.869999999180436
FS( 114 ),2356988.059999999590218,2409864.560000000521541,2407026.739999999757856,2441606.629999999888241,2487336.849999999627471,12102822.839999997988343
FS( 115 ),2360437.219999999739230,2432589.990000000223517,2447464.250000000000000,2430562.149999999906868,2489171.899999999906868,12160225.509999999776483
FS( 116 ),2356988.059999999590218,2439313.490000000223517,2437520.600000000093132,2439018.080000000074506,2493628.450000000186265,12166468.679999999701977
FS( 117 ),2359670.740000000223517,2435413.860000000335276,2428902.770000000018626,2429009.020000000018626,2485763.949999999720603,12138760.339999999850988
FS( 118 ),2400102.559999999590218,2437161.970000000670552,2428902.770000000018626,2460761.899999999906868,2476588.699999999720603,12203517.900000000372529
FS( 119 ),2397994.740000000223517,2439582.429999999701977,2431554.409999999683350,2468182.410000000149012,2462432.600000000093132,12199746.589999999850988
FS( 120 ),2398186.360000000335276,2423983.910000000149012,2433543.139999999664724,2465593.859999999869615,2460335.399999999906868,12181642.669999999925494
FS( 121 ),2395886.919999999925494,2426404.370000000111759,2435531.870000000111759,2479744.600000000093132,2464529.799999999813735,12202097.559999998658895
FS( 122 ),2393204.240000000223517,2415512.299999999813735,2438183.509999999776483,2445920.879999999888241,2417080.649999999906868,12109901.580000000074506
FS( 123 ),2398186.360000000335276,2389021.709999999962747,2441498.059999999590218,2445403.169999999925494,2399516.600000000093132,12073625.900000000372529
FS( 124 ),2390904.799999999813735,2397224.379999999888241,2442823.879999999888241,2445058.030000000260770,2383263.299999999813735,12059274.390000000596046
FS( 125 ),2384964.580000000074506,2393324.750000000000000,2430891.500000000000000,2463695.589999999850988,2364650.649999999906868,12037527.070000000298023
FS( 126 ),2399719.320000000298023,2398434.610000000335276,2445475.520000000018626,2471288.669999999925494,2331881.899999999906868,12046800.020000001415610
