代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12263335.279999999329448
真實報酬,2263335.279999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18027.033528731462866
風險,197455.616139272809960
起點值,0.091296636080568
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),KO[14](11),VZ[26](12),
FS( 50 ),3856113.119999999646097,3548084.460000000428408,3292538.819999999366701,10696737.399999998509884
FS( 51 ),4019409.779999999795109,3568092.360000000335276,3332741.779999999329448,10920244.919999999925494
FS( 52 ),3899774.299999999813735,3534078.930000000633299,3294312.479999999515712,10728166.710000000894070
FS( 53 ),3880347.959999999962747,3592768.770000000018626,3328603.239999999292195,10801720.969999998807907
FS( 54 ),3971901.799999999813735,3628782.990000000223517,3349295.939999999478459,10949981.730000000447035
FS( 55 ),4045952.699999999720603,3647457.030000000260770,3369988.639999999664724,11063399.370000001043081
FS( 56 ),4046145.040000000037253,3593435.700000000651926,3326829.580000000074506,10966411.320000000298023
FS( 57 ),4089998.559999999590218,3608108.160000000614673,3345748.619999999646097,11043856.339999999850988
FS( 58 ),4086536.439999999944121,3634118.430000000633299,3356981.799999999813735,11077637.670000001788139
FS( 59 ),3897658.559999999590218,3584098.680000000633299,3306136.879999999888241,10787895.120000001043081
FS( 60 ),3971709.459999999962747,3637453.080000000074506,3352843.259999999776483,10962006.800000000745058
FS( 61 ),3926894.239999999757856,3649457.820000000298023,3380630.599999999627471,10956983.660000000149012
FS( 62 ),3953244.819999999832362,3675468.090000000316650,3426154.540000000037253,11054868.449999999254942
FS( 63 ),4020179.139999999664724,3671466.510000000242144,3425563.319999999366701,11117209.969999998807907
FS( 64 ),4014985.959999999962747,3670799.580000000074506,3438570.159999999683350,11124356.699999999254942
FS( 65 ),3956514.599999999627471,3688139.760000000242144,3431475.519999999552965,11076130.879999998956919
FS( 66 ),4023641.259999999776483,3719485.470000000670552,3439752.599999999627471,11182880.330000000074506
FS( 67 ),4102308.319999999832362,3676135.020000000018626,3463992.619999999646097,11242436.959999999031425
FS( 68 ),4101923.639999999664724,3683471.250000000000000,3491779.959999999962747,11277175.849999999627471
FS( 69 ),4119426.579999999608845,3636119.220000000670552,3468131.159999999683350,11223677.960000000894070
FS( 70 ),4168088.599999999627471,3628116.060000000055879,3530209.259999999776483,11326414.919999999925494
FS( 71 ),4300610.860000000335276,3652792.470000000670552,3555040.500000000000000,11508444.830000001937151
FS( 72 ),4290993.860000000335276,3675468.090000000316650,3572777.099999999627471,11539240.050000000745058
FS( 73 ),4207518.299999999813735,3618779.040000000037253,3544989.759999999776483,11371288.099999999627471
FS( 74 ),4229637.400000000372529,3598771.140000000596046,3517793.639999999664724,11346203.179999999701977
FS( 75 ),4245024.599999999627471,3617445.180000000633299,3539668.779999999329448,11402139.559999998658895
FS( 76 ),4284838.980000000447035,3616778.250000000000000,3543216.099999999627471,11444834.330000000074506
FS( 77 ),4250025.440000000409782,3636119.220000000670552,3546172.199999999254942,11432317.859999999403954
FS( 78 ),4187899.619999999646097,3595436.490000000223517,3564500.019999999552965,11347837.129999998956919
FS( 79 ),4206941.279999999329448,3610775.880000000353903,3559770.259999999776483,11377488.419999999925494
FS( 80 ),4186937.919999999925494,3621446.760000000242144,3577506.859999999403954,11385892.539999999105930
FS( 81 ),4251371.820000000298023,3612776.670000000391155,3563317.580000000074506,11427467.070000000298023
FS( 82 ),4229445.059999999590218,3627449.130000000353903,3573368.319999999366701,11430263.509999997913837
FS( 83 ),4208864.679999999701977,3622113.690000000409782,3565091.239999999292195,11396070.609999999403954
FS( 84 ),4307919.779999999329448,3630783.780000000260770,3568638.559999999590218,11507343.119999999180436
FS( 85 ),4319844.860000000335276,3644789.310000000055879,3538486.339999999850988,11503121.509999999776483
FS( 86 ),4211557.440000000409782,3540081.300000000279397,3482911.659999999683350,11234551.400000000372529
FS( 87 ),4247332.679999999701977,3590767.980000000447035,3488823.859999999403954,11326925.519999999552965
FS( 88 ),4366391.139999999664724,3637453.080000000074506,3541442.439999999478459,11545287.660000000149012
FS( 89 ),4367352.839999999850988,3592768.770000000018626,3562135.139999999664724,11522257.750000000000000
FS( 90 ),4316190.400000000372529,3573427.800000000279397,3530800.479999999515712,11420419.679999999701977
FS( 91 ),4366775.820000000298023,3590101.050000000279397,3501239.479999999515712,11458117.350000001490116
FS( 92 ),4425631.860000000335276,3578763.240000000223517,3537303.899999999441206,11541700.000000000000000
FS( 93 ),4543343.940000000409782,3554753.760000000242144,3543216.099999999627471,11641314.800000000745058
FS( 94 ),4536804.379999999888241,3554753.760000000242144,3523705.839999999850988,11615264.980000000447035
FS( 95 ),4526225.679999999701977,3568759.290000000037253,3579871.739999999292195,11674857.709999999031425
FS( 96 ),4507953.379999999888241,3567425.430000000633299,3564500.019999999552965,11639879.830000000074506
FS( 97 ),4525456.320000000298023,3587433.330000000074506,3571594.659999999683350,11684485.310000000521541
FS( 98 ),4547190.739999999292195,3653459.400000000372529,3609432.739999999292195,11810083.879999998956919
FS( 99 ),4626050.139999999664724,3616778.250000000000000,3591696.139999999664724,11834525.529999999329448
FS( 100 ),4615471.440000000409782,3591434.910000000614673,3592878.580000000074506,11799785.930000001564622
FS( 101 ),4677404.919999999925494,3644122.380000000353903,3599382.000000000000000,11920910.300000000745058
FS( 102 ),4685098.520000000484288,3642121.590000000316650,3581645.399999999441206,11908866.510000001639128
FS( 103 ),4742800.520000000484288,3584765.610000000335276,3569229.779999999329448,11896796.910000000149012
FS( 104 ),4790308.500000000000000,3572760.870000000577420,3557996.599999999627471,11921066.970000000670552
FS( 105 ),4679520.659999999217689,3562089.990000000223517,3558587.819999999366701,11800199.469999998807907
FS( 106 ),4678943.639999999664724,3597437.280000000260770,3595834.679999999701977,11872216.599999999627471
FS( 107 ),4784730.639999999664724,3630116.850000000093132,3575141.979999999515712,11989990.469999998807907
FS( 108 ),4920522.679999999701977,3594769.560000000055879,3569229.779999999329448,12084523.019999999552965
FS( 109 ),4952835.799999999813735,3544082.880000000353903,3539668.779999999329448,12036588.459999999031425
FS( 110 ),4945719.219999999739230,3496063.920000000391155,3517793.639999999664724,11959577.780000001192093
FS( 111 ),4947834.959999999962747,3521407.260000000242144,3555040.500000000000000,12024283.720000000670552
FS( 112 ),4989957.419999999925494,3487393.830000000074506,3578689.299999999813735,12056041.550000000745058
FS( 113 ),5003613.559999999590218,3482058.390000000596046,3508925.339999999850988,11994598.289999999105930
FS( 114 ),5043235.599999999627471,3457381.980000000447035,3524297.059999999590218,12024915.640000000596046
FS( 115 ),5038619.439999999478459,3448711.890000000596046,3507151.679999999701977,11994484.009999999776483
FS( 116 ),5086896.780000000260770,3495396.990000000223517,3512472.659999999683350,12094767.429999999701977
FS( 117 ),5051698.559999999590218,3510069.450000000651926,3508334.119999999646097,12070103.129999998956919
FS( 118 ),5111708.639999999664724,3512737.170000000391155,3518384.859999999403954,12142831.669999999925494
FS( 119 ),5137482.200000000186265,3536746.650000000372529,3514246.319999999366701,12188476.170000001788139
FS( 120 ),5121902.660000000149012,3540081.300000000279397,3517793.639999999664724,12179778.600000001490116
FS( 121 ),5062277.259999999776483,3549418.320000000298023,3516611.199999999254942,12128307.779999999329448
FS( 122 ),5039581.139999999664724,3532078.140000000596046,3524297.059999999590218,12095957.339999999850988
FS( 123 ),5035157.319999999366701,3536746.650000000372529,3532574.139999999664724,12104479.109999999403954
FS( 124 ),5123441.379999999888241,3549418.320000000298023,3510699.000000000000000,12183559.699999999254942
FS( 125 ),5083434.660000000149012,3594769.560000000055879,3540851.219999999739230,12219056.440000001341105
FS( 126 ),5151715.359999999403954,3598104.210000000428408,3553266.839999999850988,12303087.410000000149012
FS( 127 ),5140367.299999999813735,3561423.060000000055879,3561543.919999999925494,12263335.279999999329448
