代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11981368.820000000298023
真實報酬,1981368.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,34149.919356216465530
風險,92721.080003037932329
起點值,0.368308041225335
找到最佳解世代,2143
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
MSFT[18](2),V[25](1),VZ[26](22),
FS( 49 ),3980437.080000000074506,3942900.160000000149012,3698027.509999999776483,11621365.750000000000000
FS( 50 ),4001873.240000000223517,3969906.299999999348074,3738417.129999999888241,11710197.669999998062849
FS( 51 ),3999193.720000000204891,3923610.059999999590218,3746732.639999999664724,11669537.419999998062849
FS( 52 ),4034027.479999999981374,4087575.910000000149012,3726537.830000000074506,11848142.220000000670552
FS( 53 ),4021969.640000000130385,4155091.259999999776483,3665953.399999999906868,11843015.300000000745058
FS( 54 ),4032687.720000000204891,4197529.480000000447035,3632691.359999999869615,11862909.560000000521541
FS( 55 ),3965699.720000000204891,4197529.480000000447035,3644570.659999999683350,11807800.860000001266599
FS( 56 ),4067521.479999999981374,4290121.959999999031425,3643382.729999999981374,12001027.169999999925494
FS( 57 ),4088957.640000000130385,4220677.599999999627471,3667141.330000000074506,11976777.570000000298023
FS( 58 ),4129150.439999999944121,4162807.299999999348074,3687336.139999999664724,11979294.879999998956919
FS( 59 ),4142548.040000000502914,4155091.259999999776483,3690899.930000000167638,11988540.230000000447035
FS( 60 ),4153266.120000000111759,4160878.289999999571592,3705155.089999999850988,12019300.500000000000000
FS( 61 ),4176042.040000000502914,4184026.410000000149012,3719410.250000000000000,12079479.700000001117587
FS( 62 ),4205516.759999999776483,4245754.730000000447035,3712282.669999999925494,12163555.160000000149012
FS( 63 ),4147907.080000000074506,4251541.759999999776483,3712282.669999999925494,12111732.509999999776483
FS( 64 ),4083598.600000000093132,4218748.589999999850988,3679020.629999999888241,11981368.820000000298023
