代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10749613.960000000894070
真實報酬,749613.960000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12182.668583145868979
風險,48802.365099845846999
起點值,0.249632749523944
找到最佳解世代,2537
找到最佳解實驗#,2
找到最佳解次數,17

stock[index](rank)
投資組合檔數,7
AXP[1](17),CAT[3](1),HD[9](19),MCD[15](9),PG[21](4),UNH[23](5),V[25](2),
FS( 24 ),1443174.820000000065193,1527123.520000000018626,1416884.500000000000000,1440935.439999999944121,1476274.330000000074506,1491555.189999999944121,1543955.620000000111759,10339906.419999998062849
FS( 25 ),1441160.500000000000000,1531930.959999999962747,1422449.500000000000000,1451707.489999999990687,1488810.699999999953434,1490789.890000000130385,1553137.420000000158325,10379989.460000000894070
FS( 26 ),1442671.239999999990687,1527924.760000000009313,1422449.500000000000000,1451239.139999999897555,1491090.040000000037253,1491708.250000000000000,1549923.790000000270084,10377009.720000000670552
FS( 27 ),1438474.739999999990687,1526989.980000000214204,1440164.750000000000000,1451239.139999999897555,1496625.580000000074506,1491172.540000000037253,1545179.860000000102445,10389849.589999999850988
FS( 28 ),1419506.560000000288710,1511098.720000000204891,1427365.250000000000000,1467163.040000000037253,1493695.000000000000000,1473876.760000000009313,1522531.420000000158325,10315239.750000000000000
FS( 29 ),1414974.340000000316650,1507092.520000000018626,1436640.250000000000000,1473532.600000000093132,1487182.600000000093132,1477320.610000000102445,1531713.220000000204891,10328459.140000000596046
FS( 30 ),1434781.820000000065193,1518576.959999999962747,1430889.750000000000000,1473157.919999999925494,1492229.710000000195578,1482601.180000000167638,1558952.560000000288710,10391192.900000000372529
FS( 31 ),1456939.340000000316650,1517775.720000000204891,1392955.000000000000000,1476530.040000000037253,1501184.260000000009313,1488647.050000000046566,1570582.840000000083819,10404617.250000000000000
FS( 32 ),1467010.940000000176951,1524052.100000000093132,1412247.000000000000000,1488519.800000000046566,1505091.699999999953434,1483060.360000000102445,1581141.910000000149012,10461126.810000000521541
FS( 33 ),1445189.140000000130385,1510965.180000000167638,1388317.500000000000000,1479059.129999999888241,1499067.729999999981374,1474871.649999999906868,1563390.430000000167638,10360863.759999999776483
FS( 34 ),1433271.080000000074506,1521381.300000000046566,1368098.000000000000000,1477841.419999999925494,1505580.130000000121072,1460484.010000000009313,1568746.480000000214204,10335405.419999999925494
FS( 35 ),1431928.200000000186265,1517108.020000000018626,1383958.250000000000000,1483461.620000000111759,1511929.719999999972060,1469744.140000000130385,1579611.610000000102445,10377744.560000000521541
FS( 36 ),1431928.200000000186265,1546753.899999999906868,1390543.500000000000000,1495451.379999999888241,1510790.050000000046566,1490866.419999999925494,1592619.160000000149012,10458955.609999999403954
FS( 37 ),1431592.480000000214204,1532465.120000000111759,1383030.750000000000000,1487676.770000000018626,1505091.699999999953434,1486657.270000000018626,1578999.490000000223517,10405516.580000001937151
FS( 38 ),1432935.360000000102445,1532865.740000000223517,1375147.000000000000000,1483929.969999999972060,1502323.929999999934807,1490560.300000000046566,1579611.610000000102445,10397376.910000000149012
FS( 39 ),1434781.820000000065193,1540477.520000000018626,1388132.000000000000000,1487770.439999999944121,1506231.370000000111759,1487575.630000000121072,1581601.000000000000000,10426572.779999999329448
FS( 40 ),1433774.660000000149012,1536738.399999999906868,1404270.499999999767169,1495732.389999999897555,1505580.130000000121072,1493162.320000000065193,1588181.290000000270084,10457442.689999999478459
FS( 41 ),1433942.520000000251457,1549291.160000000149012,1389894.250000000000000,1493015.959999999962747,1503137.979999999981374,1505713.239999999990687,1588028.260000000009313,10463026.370000001043081
FS( 42 ),1438474.739999999990687,1569856.320000000065193,1391378.250000000000000,1494421.010000000009313,1495811.530000000027940,1499208.189999999944121,1587416.140000000363216,10476569.180000001564622
FS( 43 ),1445357.000000000000000,1569055.080000000074506,1390172.500000000000000,1498542.489999999990687,1502323.929999999934807,1522320.250000000000000,1584202.510000000009313,10511976.759999999776483
FS( 44 ),1446028.440000000176951,1579604.740000000223517,1398612.750000000000000,1497043.770000000018626,1506556.989999999990687,1528825.300000000046566,1590017.650000000372529,10546692.640000002458692
FS( 45 ),1432096.060000000288710,1579871.820000000065193,1418554.000000000000000,1490393.199999999953434,1509650.380000000121072,1525457.979999999981374,1576397.980000000214204,10532424.420000001788139
FS( 46 ),1430753.180000000167638,1562244.540000000270084,1452222.250000000000000,1482150.239999999990687,1509650.380000000121072,1518340.689999999944121,1578999.490000000223517,10534363.770000001415610
FS( 47 ),1416988.660000000149012,1572794.199999999953434,1464929.000000000000000,1497886.800000000046566,1513720.630000000121072,1516733.560000000055879,1600117.630000000121072,10583173.480000000447035
FS( 48 ),1414302.900000000139698,1573461.899999999906868,1480974.750000000000000,1496107.070000000065193,1511604.100000000093132,1513519.300000000046566,1598128.240000000223517,10588101.260000001639128
FS( 49 ),1438474.739999999990687,1587483.600000000093132,1469010.000000000000000,1513155.010000000009313,1530327.250000000000000,1527524.290000000037253,1624449.400000000372529,10690427.290000000968575
FS( 50 ),1452910.700000000186265,1615126.380000000121072,1483293.500000000000000,1464446.610000000102445,1522512.370000000111759,1511376.459999999962747,1625367.580000000074506,10675036.599999999627471
FS( 51 ),1454421.440000000176951,1597632.640000000130385,1484313.750000000000000,1470722.500000000000000,1523163.610000000102445,1517958.040000000037253,1619552.440000000176951,10667767.419999999925494
FS( 52 ),1446867.739999999990687,1608983.540000000270084,1478377.750000000000000,1470722.500000000000000,1523163.610000000102445,1513366.239999999990687,1623378.190000000176951,10664862.570000000298023
FS( 53 ),1460296.540000000037253,1620868.600000000093132,1469288.250000000000000,1469973.139999999897555,1518604.929999999934807,1516810.090000000083819,1611441.850000000093132,10667286.400000000372529
FS( 54 ),1475068.220000000204891,1653719.440000000176951,1463816.000000000000000,1467725.060000000055879,1516651.210000000195578,1516886.620000000111759,1604249.440000000176951,10698118.990000000223517
FS( 55 ),1494036.400000000139698,1665871.580000000074506,1462424.750000000000000,1474750.310000000055879,1533257.830000000074506,1489795.000000000000000,1613125.180000000167638,10733264.050000000745058
FS( 56 ),1484468.380000000353903,1667340.520000000018626,1471885.250000000000000,1497699.459999999962747,1537002.460000000195578,1498213.300000000046566,1613125.180000000167638,10769737.550000000745058
FS( 57 ),1484300.520000000251457,1666539.280000000260770,1476615.500000000000000,1489737.510000000009313,1508347.900000000139698,1494080.680000000167638,1611594.880000000121072,10731219.270000001415610
FS( 58 ),1483964.800000000279397,1661731.840000000316650,1483850.000000000000000,1488613.469999999972060,1501835.500000000000000,1477397.140000000130385,1615420.630000000121072,10712816.380000000819564
FS( 59 ),1480775.459999999962747,1660262.899999999906868,1494330.750000000000000,1463790.919999999925494,1509650.380000000121072,1467601.300000000046566,1576551.010000000009313,10652965.719999998807907
FS( 60 ),1488832.739999999990687,1662800.160000000149012,1495814.750000000000000,1436532.949999999953434,1508510.710000000195578,1474871.649999999906868,1575326.770000000251457,10642692.730000000447035
FS( 61 ),1502261.540000000037253,1662933.699999999953434,1492661.250000000000000,1443089.850000000093132,1479530.530000000027940,1488570.520000000018626,1589864.620000000111759,10658915.010000001639128
FS( 62 ),1513172.440000000176951,1672415.040000000270084,1506017.250000000232831,1475312.330000000074506,1479856.150000000139698,1500891.850000000093132,1600423.690000000176951,10748091.750000000000000
FS( 63 ),1518543.959999999962747,1665470.959999999962747,1517147.250000000000000,1467725.060000000055879,1481321.440000000176951,1498978.600000000093132,1600423.690000000176951,10749613.960000000894070
