代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14020966.049999998882413
真實報酬,4020966.049999998882413

夏普值報酬,0.393396605000000
夏普值風險,0.099099326984262
夏普值,3.969720249083776

二次趨勢線,62.647523106893388 x^2 + -1165.844106234188985 x + 10000000.000000000000000
二次加權預期報酬,19841.958642277408217
風險,337163.655622122867499
二次加權趨勢值,0.058849636701399
一次趨勢線,10650.998234393679013 x + 10000000.000000000000000
一次預期報酬,10650.998234393679013
一次風險,557082.588332123006694
一次趨勢值,0.019119244538377
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
FS( 42 ),10169056.050000000745058,10169056.050000000745058
FS( 43 ),10004279.900000000372529,10004279.900000000372529
FS( 44 ),9946501.250000000000000,9946501.250000000000000
FS( 45 ),10151936.449999999254942,10151936.449999999254942
FS( 46 ),10385191.000000000000000,10385191.000000000000000
FS( 47 ),10271773.650000000372529,10271773.650000000372529
FS( 48 ),10256794.000000000000000,10256794.000000000000000
FS( 49 ),10166916.099999999627471,10166916.099999999627471
FS( 50 ),10027819.349999999627471,10027819.349999999627471
FS( 51 ),9931521.599999999627471,9931521.599999999627471
FS( 52 ),9950781.150000000372529,9950781.150000000372529
FS( 53 ),10017119.600000001490116,10017119.600000001490116
FS( 54 ),10006419.849999999627471,10006419.849999999627471
FS( 55 ),10256794.000000000000000,10256794.000000000000000
FS( 56 ),10288893.250000000000000,10288893.250000000000000
FS( 57 ),10310292.750000000000000,10310292.750000000000000
FS( 58 ),10111277.400000000372529,10111277.400000000372529
FS( 59 ),9985020.349999999627471,9985020.349999999627471
FS( 60 ),10151936.449999999254942,10151936.449999999254942
FS( 61 ),9871603.000000000000000,9871603.000000000000000
FS( 62 ),9835223.849999999627471,9835223.849999999627471
FS( 63 ),9989300.250000000000000,9989300.250000000000000
FS( 64 ),9901562.300000000745058,9901562.300000000745058
FS( 65 ),9987160.300000000745058,9987160.300000000745058
FS( 66 ),9822384.150000000372529,9822384.150000000372529
FS( 67 ),9756045.700000001117587,9756045.700000001117587
FS( 68 ),9925101.750000000000000,9925101.750000000000000
FS( 69 ),9771025.349999999627471,9771025.349999999627471
FS( 70 ),9843783.650000000372529,9843783.650000000372529
FS( 71 ),9848063.550000000745058,9848063.550000000745058
FS( 72 ),9828804.000000000000000,9828804.000000000000000
FS( 73 ),10017119.600000001490116,10017119.600000001490116
FS( 74 ),10025679.400000000372529,10025679.400000000372529
FS( 75 ),10158356.300000000745058,10158356.300000000745058
FS( 76 ),10166916.099999999627471,10166916.099999999627471
FS( 77 ),10209715.099999999627471,10209715.099999999627471
FS( 78 ),10359511.599999999627471,10359511.599999999627471
FS( 79 ),10378771.150000000372529,10378771.150000000372529
FS( 80 ),10391610.850000001490116,10391610.850000001490116
FS( 81 ),10567086.750000000000000,10567086.750000000000000
FS( 82 ),10483628.700000001117587,10483628.700000001117587
FS( 83 ),10434409.849999999627471,10434409.849999999627471
FS( 84 ),10534987.500000000000000,10534987.500000000000000
FS( 85 ),10370211.349999999627471,10370211.349999999627471
FS( 86 ),10425850.050000000745058,10425850.050000000745058
FS( 87 ),10327412.349999999627471,10327412.349999999627471
FS( 88 ),10201155.300000000745058,10201155.300000000745058
FS( 89 ),10383051.050000000745058,10383051.050000000745058
FS( 90 ),10252514.099999999627471,10252514.099999999627471
FS( 91 ),10318852.550000000745058,10318852.550000000745058
FS( 92 ),10329552.300000000745058,10329552.300000000745058
FS( 93 ),10434409.849999999627471,10434409.849999999627471
FS( 94 ),10520007.849999999627471,10520007.849999999627471
FS( 95 ),10911618.700000001117587,10911618.700000001117587
FS( 96 ),10855980.000000000000000,10855980.000000000000000
FS( 97 ),10770382.000000000000000,10770382.000000000000000
FS( 98 ),10592766.150000000372529,10592766.150000000372529
FS( 99 ),10629145.300000000745058,10629145.300000000745058
FS( 100 ),10686923.949999999254942,10686923.949999999254942
FS( 101 ),10796061.400000000372529,10796061.400000000372529
FS( 102 ),10736142.800000000745058,10736142.800000000745058
FS( 103 ),10652684.750000000000000,10652684.750000000000000
FS( 104 ),10663384.500000000000000,10663384.500000000000000
FS( 105 ),10671944.300000000745058,10671944.300000000745058
FS( 106 ),10659104.600000001490116,10659104.600000001490116
FS( 107 ),10789641.550000000745058,10789641.550000000745058
FS( 108 ),10776801.849999999627471,10776801.849999999627471
FS( 109 ),10697623.700000001117587,10697623.700000001117587
FS( 110 ),10622725.450000001117587,10622725.450000001117587
FS( 111 ),10650544.800000000745058,10650544.800000000745058
FS( 112 ),10682644.050000000745058,10682644.050000000745058
FS( 113 ),10689063.900000000372529,10689063.900000000372529
FS( 114 ),10545687.250000000000000,10545687.250000000000000
FS( 115 ),10699763.650000000372529,10699763.650000000372529
FS( 116 ),10731862.900000000372529,10731862.900000000372529
FS( 117 ),10716883.250000000000000,10716883.250000000000000
FS( 118 ),10819600.850000001490116,10819600.850000001490116
FS( 119 ),10802481.250000000000000,10802481.250000000000000
FS( 120 ),10800341.300000000745058,10800341.300000000745058
FS( 121 ),10684784.000000000000000,10684784.000000000000000
FS( 122 ),10719023.200000001117587,10719023.200000001117587
FS( 123 ),10575646.550000000745058,10575646.550000000745058
FS( 124 ),10783221.700000001117587,10783221.700000001117587
FS( 125 ),10789641.550000000745058,10789641.550000000745058
FS( 126 ),10744702.599999999627471,10744702.599999999627471
FS( 127 ),10723303.099999999627471,10723303.099999999627471
FS( 128 ),10855980.000000000000000,10855980.000000000000000
FS( 129 ),10960837.550000000745058,10960837.550000000745058
FS( 130 ),10999356.650000000372529,10999356.650000000372529
FS( 131 ),10954417.699999999254942,10954417.699999999254942
FS( 132 ),10930878.250000000000000,10930878.250000000000000
FS( 133 ),11067835.050000000745058,11067835.050000000745058
FS( 134 ),11232611.200000001117587,11232611.200000001117587
FS( 135 ),11209071.750000000000000,11209071.750000000000000
FS( 136 ),11196232.050000000745058,11196232.050000000745058
FS( 137 ),11194092.100000001490116,11194092.100000001490116
FS( 138 ),11170552.650000000372529,11170552.650000000372529
FS( 139 ),11174832.550000000745058,11174832.550000000745058
FS( 140 ),11065695.099999999627471,11065695.099999999627471
FS( 141 ),11003636.550000000745058,11003636.550000000745058
FS( 142 ),10945857.900000000372529,10945857.900000000372529
FS( 143 ),10879519.450000001117587,10879519.450000001117587
FS( 144 ),10888079.250000000000000,10888079.250000000000000
FS( 145 ),10926598.350000001490116,10926598.350000001490116
FS( 146 ),10969397.349999999627471,10969397.349999999627471
FS( 147 ),10909478.750000000000000,10909478.750000000000000
FS( 148 ),10918038.550000000745058,10918038.550000000745058
FS( 149 ),10853840.050000000745058,10853840.050000000745058
FS( 150 ),10845280.250000000000000,10845280.250000000000000
FS( 151 ),11057135.300000000745058,11057135.300000000745058
FS( 152 ),11114913.949999999254942,11114913.949999999254942
FS( 153 ),11104214.200000001117587,11104214.200000001117587
FS( 154 ),11059275.250000000000000,11059275.250000000000000
FS( 155 ),11187672.250000000000000,11187672.250000000000000
FS( 156 ),11209071.750000000000000,11209071.750000000000000
FS( 157 ),11341748.650000000372529,11341748.650000000372529
FS( 158 ),11399527.300000000745058,11399527.300000000745058
FS( 159 ),11427346.650000000372529,11427346.650000000372529
FS( 160 ),11470145.650000000372529,11470145.650000000372529
FS( 161 ),11365288.099999999627471,11365288.099999999627471
FS( 162 ),11258290.599999999627471,11258290.599999999627471
FS( 163 ),11739779.349999999627471,11739779.349999999627471
FS( 164 ),11521504.450000001117587,11521504.450000001117587
FS( 165 ),11557883.599999999627471,11557883.599999999627471
FS( 166 ),11709820.050000000745058,11709820.050000000745058
FS( 167 ),11756898.949999999254942,11756898.949999999254942
FS( 168 ),11752619.050000000745058,11752619.050000000745058
FS( 169 ),11908835.400000000372529,11908835.400000000372529
FS( 170 ),11692700.450000001117587,11692700.450000001117587
FS( 171 ),11709820.050000000745058,11709820.050000000745058
FS( 172 ),11825377.349999999627471,11825377.349999999627471
FS( 173 ),12028672.599999999627471,12028672.599999999627471
FS( 174 ),12020112.800000000745058,12020112.800000000745058
FS( 175 ),11973033.900000000372529,11973033.900000000372529
FS( 176 ),12020112.800000000745058,12020112.800000000745058
FS( 177 ),12069331.650000000372529,12069331.650000000372529
FS( 178 ),12105710.800000000745058,12105710.800000000745058
FS( 179 ),12090731.150000000372529,12090731.150000000372529
FS( 180 ),12208428.400000000372529,12208428.400000000372529
FS( 181 ),12197728.650000000372529,12197728.650000000372529
FS( 182 ),12090731.150000000372529,12090731.150000000372529
FS( 183 ),11955914.300000000745058,11955914.300000000745058
FS( 184 ),12142089.950000001117587,12142089.950000001117587
FS( 185 ),12296166.349999999627471,12296166.349999999627471
FS( 186 ),12306866.099999999627471,12306866.099999999627471
FS( 187 ),12328265.599999999627471,12328265.599999999627471
FS( 188 ),12287606.550000000745058,12287606.550000000745058
FS( 189 ),12388184.200000001117587,12388184.200000001117587
FS( 190 ),12493041.750000000000000,12493041.750000000000000
FS( 191 ),12317565.850000001490116,12317565.850000001490116
FS( 192 ),12253367.349999999627471,12253367.349999999627471
FS( 193 ),12343245.250000000000000,12343245.250000000000000
FS( 194 ),12246947.500000000000000,12246947.500000000000000
FS( 195 ),12097151.000000000000000,12097151.000000000000000
FS( 196 ),12154929.650000000372529,12154929.650000000372529
FS( 197 ),12236247.750000000000000,12236247.750000000000000
FS( 198 ),12302586.200000001117587,12302586.200000001117587
FS( 199 ),12285466.599999999627471,12285466.599999999627471
FS( 200 ),12300446.250000000000000,12300446.250000000000000
FS( 201 ),12015832.900000000372529,12015832.900000000372529
FS( 202 ),11435906.449999999254942,11435906.449999999254942
FS( 203 ),11114913.949999999254942,11114913.949999999254942
FS( 204 ),11078534.800000000745058,11078534.800000000745058
FS( 205 ),11637061.750000000000000,11637061.750000000000000
FS( 206 ),12050072.100000001490116,12050072.100000001490116
FS( 207 ),12037232.400000000372529,12037232.400000000372529
FS( 208 ),11958054.250000000000000,11958054.250000000000000
FS( 209 ),11624222.050000000745058,11624222.050000000745058
FS( 210 ),11844636.900000000372529,11844636.900000000372529
FS( 211 ),11861756.500000000000000,11861756.500000000000000
FS( 212 ),11737639.400000000372529,11737639.400000000372529
FS( 213 ),11958054.250000000000000,11958054.250000000000000
FS( 214 ),11754759.000000000000000,11754759.000000000000000
FS( 215 ),11810397.699999999254942,11810397.699999999254942
FS( 216 ),11964474.099999999627471,11964474.099999999627471
FS( 217 ),11973033.900000000372529,11973033.900000000372529
FS( 218 ),12180609.050000000745058,12180609.050000000745058
FS( 219 ),12366784.700000001117587,12366784.700000001117587
FS( 220 ),12334685.450000001117587,12334685.450000001117587
FS( 221 ),12311146.000000000000000,12311146.000000000000000
FS( 222 ),12471642.250000000000000,12471642.250000000000000
FS( 223 ),12409583.700000001117587,12409583.700000001117587
FS( 224 ),12351805.050000000745058,12351805.050000000745058
FS( 225 ),12283326.650000000372529,12283326.650000000372529
FS( 226 ),13374701.150000000372529,13374701.150000000372529
FS( 227 ),13068688.300000000745058,13068688.300000000745058
FS( 228 ),12805474.450000001117587,12805474.450000001117587
FS( 229 ),13158566.200000001117587,13158566.200000001117587
FS( 230 ),13250584.050000000745058,13250584.050000000745058
FS( 231 ),13398240.599999999627471,13398240.599999999627471
FS( 232 ),13297662.950000001117587,13297662.950000001117587
FS( 233 ),13182105.650000000372529,13182105.650000000372529
FS( 234 ),13064408.400000000372529,13064408.400000000372529
FS( 235 ),13366141.349999999627471,13366141.349999999627471
FS( 236 ),13368281.300000000745058,13368281.300000000745058
FS( 237 ),13528777.550000000745058,13528777.550000000745058
FS( 238 ),13462439.099999999627471,13462439.099999999627471
FS( 239 ),13464579.050000000745058,13464579.050000000745058
FS( 240 ),13781291.650000002235174,13781291.650000002235174
FS( 241 ),13961047.449999999254942,13961047.449999999254942
FS( 242 ),14254220.599999999627471,14254220.599999999627471
FS( 243 ),14164342.699999999254942,14164342.699999999254942
FS( 244 ),14175042.449999999254942,14175042.449999999254942
FS( 245 ),14168622.599999999627471,14168622.599999999627471
FS( 246 ),13967467.299999998882413,13967467.299999998882413
FS( 247 ),14057345.199999999254942,14057345.199999999254942
FS( 248 ),13997426.599999999627471,13997426.599999999627471
FS( 249 ),14048785.400000002235174,14048785.400000002235174
FS( 250 ),14029525.850000001490116,14029525.850000001490116
FS( 251 ),14020966.049999998882413,14020966.049999998882413
