代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12035381.899999998509884
真實報酬,2035381.899999998509884

夏普值報酬,0.194838190000000
夏普值風險,0.070799085099359
夏普值,2.751987398234934

二次趨勢線,39.486132326391328 x^2 + -169.948911399131418 x + 10000000.000000000000000
二次加權預期報酬,13176.363814921141966
風險,166747.337927798216697
二次加權趨勢值,0.079019935062631
一次趨勢線,7337.322791436829903 x + 10000000.000000000000000
一次預期報酬,7337.322791436829903
一次風險,329310.491327750030905
一次趨勢值,0.022280865580241
找到最佳解世代,1692
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MRK[17](3),WMT[28](4),
FS( 53 ),3615299.839999999850988,3365060.500000000000000,2946831.000000000000000,9927192.339999999850988
FS( 54 ),3663802.479999999981374,3407575.350000000093132,3022564.500000000000000,10093943.330000000074506
FS( 55 ),3673937.359999999869615,3408209.900000000372529,3129636.000000000000000,10211784.259999999776483
FS( 56 ),3716286.679999999701977,3441206.500000000000000,3182388.299999999813735,10339882.480000000447035
FS( 57 ),3709771.399999999906868,3444379.250000000000000,3170375.399999999906868,10324527.050000000745058
FS( 58 ),3709409.439999999944121,3432957.350000000093132,3137470.500000000000000,10279838.289999999105930
FS( 59 ),3719906.279999999795109,3427246.399999999906868,3147394.199999999720603,10294547.879999998956919
FS( 60 ),3693483.200000000186265,3393615.250000000000000,3129636.000000000000000,10216735.449999999254942
FS( 61 ),3690587.519999999552965,3408844.450000000186265,3146349.600000000093132,10245782.570000000298023
FS( 62 ),3705427.879999999888241,3424073.650000000372529,3128069.100000000093132,10257571.630000000819564
FS( 63 ),3664526.399999999906868,3363791.399999999906868,3073227.600000000093132,10101546.400000000372529
FS( 64 ),3705065.919999999925494,3462781.200000000186265,3081062.100000000093132,10248910.220000000670552
FS( 65 ),3693845.159999999683350,3415189.950000000186265,3047634.899999999906868,10156671.009999999776483
FS( 66 ),3648238.200000000186265,3337140.300000000279397,3083673.600000000093132,10069053.099999999627471
FS( 67 ),3726421.560000000055879,3403768.050000000279397,3116056.199999999720603,10246246.810000000521541
FS( 68 ),3739814.079999999608845,3406306.250000000000000,3159929.399999999906868,10306050.730000000447035
FS( 69 ),3707237.679999999701977,3392980.700000000186265,3113444.699999999720603,10213664.080000000074506
FS( 70 ),3697464.760000000242144,3351734.950000000186265,3088374.299999999813735,10137575.010000001639128
FS( 71 ),3715200.799999999813735,3406940.799999999813735,3110833.200000000186265,10232975.800000000745058
FS( 72 ),3680452.640000000130385,3309220.100000000093132,3100387.199999999720603,10090060.939999999478459
FS( 73 ),3697464.760000000242144,3312392.850000000093132,3154184.100000000093132,10164042.710000000894070
FS( 74 ),3769132.839999999850988,3356811.350000000093132,3115011.600000000093132,10240956.789999999105930
FS( 75 ),3809672.359999999869615,3427880.950000000186265,3149483.399999999906868,10387037.710000000894070
FS( 76 ),3751396.799999999813735,3341582.149999999906868,3080539.799999999813735,10173519.750000000000000
FS( 77 ),3690225.560000000055879,3276858.050000000279397,3073749.899999999906868,10040834.509999999776483
FS( 78 ),3676833.040000000037253,3291452.699999999720603,3110310.899999999906868,10078597.640000000596046
FS( 79 ),3717734.519999999552965,3306047.350000000093132,3162018.600000000093132,10185801.469999998807907
FS( 80 ),3745967.399999999906868,3361887.750000000000000,3190745.100000000093132,10298601.250000000000000
FS( 81 ),3754292.479999999981374,3353638.600000000093132,3177165.299999999813735,10285097.379999998956919
FS( 82 ),3736194.479999999981374,3353004.050000000279397,3172986.899999999906868,10262186.429999999701977
FS( 83 ),3765513.239999999757856,3384731.550000000279397,3217904.699999999720603,10368150.490000000223517
FS( 84 ),3756464.239999999757856,3379020.600000000093132,3221560.799999999813735,10357046.640000000596046
FS( 85 ),3718096.479999999981374,3351734.950000000186265,3201713.399999999906868,10271545.830000000074506
FS( 86 ),3637017.439999999944121,3330160.250000000000000,3210070.199999999720603,10177248.889999998733401
FS( 87 ),3652219.760000000242144,3372675.100000000093132,3286326.000000000000000,10311221.859999999403954
FS( 88 ),3633759.799999999813735,3326352.950000000186265,3319230.899999999906868,10279344.650000000372529
FS( 89 ),3591410.479999999981374,3297163.650000000372529,3396531.299999999813735,10285106.429999999701977
FS( 90 ),3553042.719999999739230,3241323.250000000000000,3318708.600000000093132,10113075.570000000298023
FS( 91 ),3531687.079999999608845,3252110.600000000093132,3354225.000000000000000,10138023.679999999701977
FS( 92 ),3555938.399999999906868,3284472.649999999906868,3322887.000000000000000,10163299.050000000745058
FS( 93 ),3511779.279999999795109,3214672.149999999906868,3234096.000000000000000,9960548.429999999701977
FS( 94 ),3579465.799999999813735,3287010.850000000093132,3293638.200000000186265,10160115.850000001490116
FS( 95 ),3511055.359999999869615,3245130.550000000279397,3234618.299999999813735,9990805.210000000894070
FS( 96 ),3529153.359999999869615,3257821.550000000279397,3267523.200000000186265,10054499.109999999403954
FS( 97 ),3465810.359999999869615,3207692.100000000093132,3177687.600000000093132,9851191.060000000521541
FS( 98 ),3472687.599999999627471,3231170.450000000186265,3232006.799999999813735,9935865.849999999627471
FS( 99 ),3502006.359999999869615,3258456.100000000093132,3274313.099999999627471,10034776.559999998658895
FS( 100 ),3489337.760000000242144,3231170.450000000186265,3314007.899999999906868,10034517.110000001266599
FS( 101 ),3662354.640000000130385,3264801.600000000093132,3342734.399999999906868,10269891.640000000596046
FS( 102 ),3697826.719999999739230,3196270.199999999720603,3340122.899999999906868,10234220.820000000298023
FS( 103 ),3701808.279999999795109,3122027.850000000093132,3354225.000000000000000,10178062.129999998956919
FS( 104 ),3780353.599999999627471,3215306.700000000186265,3465997.199999999720603,10461658.500000000000000
FS( 105 ),3777819.879999999888241,3220383.100000000093132,3525539.399999999906868,10523743.380000000819564
FS( 106 ),3743071.719999999739230,3198808.399999999906868,3492112.199999999720603,10433993.319999998435378
FS( 107 ),3769494.799999999813735,3175964.600000000093132,3461296.499999999534339,10406756.900000000372529
FS( 108 ),3760807.760000000242144,3083320.300000000279397,3469131.000000000000000,10313260.060000000521541
FS( 109 ),3639189.200000000186265,3133449.750000000465661,3499424.399999999906868,10272064.350000001490116
FS( 110 ),3692035.359999999869615,3098549.500000000000000,3494201.400000000372529,10284787.259999999776483
FS( 111 ),3690949.479999999981374,3119489.649999999906868,3437270.700000000186265,10247710.830000000074506
FS( 112 ),3682262.439999999944121,3142968.000000000000000,3436226.100000000093132,10261457.539999999105930
FS( 113 ),3681176.560000000055879,3099818.600000000093132,3411677.999999999534339,10192674.160000000149012
FS( 114 ),3685520.079999999608845,3111240.500000000000000,3456595.800000000279397,10253357.380000000819564
FS( 115 ),3703618.079999999608845,3158831.750000000000000,3441971.400000000372529,10304422.230000000447035
FS( 116 ),3710133.359999999869615,3210864.850000000093132,3452939.699999999720603,10373938.910000000149012
FS( 117 ),3773114.399999999906868,3193097.450000000186265,3349002.000000000000000,10315214.849999999627471
FS( 118 ),3770218.719999999739230,3180406.449999999720603,3377206.199999999720603,10327832.369999999180436
FS( 119 ),3791574.359999999869615,3221652.200000000186265,3427869.299999999813735,10441096.859999999403954
FS( 120 ),3767323.040000000037253,3207057.549999999813735,3472264.800000000279397,10446646.390000000596046
FS( 121 ),3799175.519999999552965,3208326.650000000372529,3505692.000000000000000,10513195.169999999925494
FS( 122 ),3850573.839999999850988,3236246.850000000093132,3553743.600000000093132,10640565.289999999105930
FS( 123 ),3828856.239999999757856,3213403.050000000279397,3473831.700000000186265,10516091.990000000223517
FS( 124 ),3808224.519999999552965,3186117.400000000372529,3464952.600000000093132,10459295.519999999552965
FS( 125 ),3880978.479999999981374,3283838.100000000093132,3471220.199999999720603,10636037.779999999329448
FS( 126 ),3874463.200000000186265,3316834.700000000186265,3458162.699999999720603,10649461.599999999627471
FS( 127 ),3860346.760000000242144,3306047.350000000093132,3454506.600000000093132,10620901.710000000894070
FS( 128 ),3854917.359999999869615,3304778.250000000000000,3487933.799999999813735,10647630.410000000149012
FS( 129 ),3863604.399999999906868,3340313.050000000279397,3545909.100000000093132,10749827.550000000745058
FS( 130 ),3844782.479999999981374,3328256.600000000093132,3553743.600000000093132,10726783.679999999701977
FS( 131 ),3867224.000000000000000,3322545.649999999906868,3527106.299999999813735,10716876.949999999254942
FS( 132 ),3878082.799999999813735,3365695.049999999813735,3520838.699999999720603,10764617.549999998882413
FS( 133 ),3898714.519999999552965,3375847.850000000093132,3508303.500000000000000,10782866.869999999180436
FS( 134 ),3896904.719999999739230,3368233.250000000000000,3518227.199999999720603,10783366.169999999925494
FS( 135 ),3900524.319999999832362,3326352.950000000186265,3556355.100000000093132,10783233.369999999180436
FS( 136 ),3887855.719999999739230,3295894.549999999813735,3551132.099999999627471,10734883.369999999180436
FS( 137 ),3863604.399999999906868,3269878.000000000000000,3522927.899999999906868,10656411.300000000745058
FS( 138 ),3891113.359999999869615,3315565.600000000093132,3496812.899999999906868,10703492.859999999403954
FS( 139 ),3883150.239999999757856,3350465.850000000093132,3550087.500000000000000,10783704.589999999850988
FS( 140 ),3886769.839999999850988,3365060.500000000000000,3544864.500000000000000,10796695.839999999850988
FS( 141 ),3927309.359999999869615,3368233.250000000000000,3523450.199999999720603,10818993.809999998658895
FS( 142 ),3920432.120000000111759,3367598.700000000186265,3551654.399999999906868,10839686.220000000670552
FS( 143 ),3917536.439999999944121,3352369.500000000000000,3557922.000000000000000,10827828.939999999478459
FS( 144 ),3950474.799999999813735,3383462.450000000186265,3553221.299999999813735,10887159.550000000745058
FS( 145 ),3944683.439999999944121,3377116.950000000186265,3593438.399999999906868,10915239.790000000968575
FS( 146 ),3916450.560000000055879,3357445.899999999906868,3577247.099999999627471,10851144.559999998658895
FS( 147 ),3952284.599999999627471,3407575.350000000093132,3607018.200000000186265,10966879.149999998509884
FS( 148 ),3930567.000000000000000,3451993.850000000093132,3609107.399999999441206,10991669.250000000000000
FS( 149 ),3943597.560000000055879,3441841.050000000279397,3585081.600000000093132,10970521.210000000894070
FS( 150 ),3960609.679999999701977,3530043.500000000465661,3605973.600000000093132,11096627.779999999329448
FS( 151 ),3955180.279999999795109,3516717.950000000186265,3563145.000000000000000,11035044.230000000447035
FS( 152 ),3949026.959999999497086,3512910.649999999906868,3554788.200000000186265,11016726.809999998658895
FS( 153 ),3944321.479999999981374,3493239.600000000093132,3520316.400000000372529,10957878.480000000447035
FS( 154 ),3967124.959999999497086,3511641.550000000279397,3593438.399999999906868,11072205.910000000149012
FS( 155 ),3976897.879999999888241,3550983.650000000372529,3611718.900000000372529,11139601.429999999701977
FS( 156 ),3975812.000000000000000,3582076.600000000093132,3593438.399999999906868,11151328.000000000000000
FS( 157 ),3988118.640000000130385,3562405.550000000279397,3607018.200000000186265,11157543.390000000596046
FS( 158 ),4015265.640000000130385,3585883.899999999906868,3648802.199999999720603,11249952.740000000223517
FS( 159 ),4078608.640000000130385,3608093.149999999906868,3644101.499999999534339,11330804.289999999105930
FS( 160 ),4111185.040000000037253,3590325.750000000000000,3614852.699999999720603,11316364.490000000223517
FS( 161 ),4110823.079999999608845,3591594.850000000093132,3576202.500000000000000,11278621.429999999701977
FS( 162 ),4101774.079999999608845,3600478.550000000279397,3589260.000000000000000,11291513.629999998956919
FS( 163 ),4108651.319999999832362,3567481.950000000186265,3628432.500000000000000,11304566.769999999552965
FS( 164 ),4086933.719999999739230,3556060.049999999813735,3619553.399999999906868,11262548.169999999925494
FS( 165 ),4081866.279999999795109,3573192.900000000372529,3625821.000000000000000,11280881.179999999701977
FS( 166 ),4071369.439999999944121,3537023.550000000279397,3599183.699999999720603,11207577.689999999478459
FS( 167 ),4056891.040000000037253,3479914.050000000279397,3492634.500000000000000,11029440.589999999850988
FS( 168 ),4081142.359999999869615,3509103.350000000093132,3530240.100000000093132,11120486.810000000521541
FS( 169 ),4078970.599999999627471,3495143.250000000000000,3499424.399999999906868,11073539.250000000000000
FS( 170 ),4061958.479999999981374,3478010.400000000372529,3509348.099999999627471,11049317.980000000447035
FS( 171 ),4085847.839999999850988,3432322.800000000279397,3510392.699999999720603,11028564.339999999850988
FS( 172 ),4080780.399999999906868,3401229.850000000093132,3564711.899999999906868,11046723.150000000372529
FS( 173 ),4116252.479999999981374,3432957.350000000093132,3601272.899999999906868,11150483.730000000447035
FS( 174 ),4150638.679999999701977,3469761.250000000000000,3592916.100000000093132,11213317.029999999329448
FS( 175 ),4139779.879999999888241,3446282.900000000372529,3468608.699999999720603,11054672.480000000447035
FS( 176 ),4134712.439999999944121,3434226.449999999720603,3491589.899999999441206,11060529.789999999105930
FS( 177 ),4110461.120000000111759,3418997.250000000465661,3391830.599999999627471,10921289.970000000670552
FS( 178 ),4142313.599999999627471,3467857.600000000093132,3448238.999999999534339,11058411.199999999254942
FS( 179 ),4120234.040000000037253,3446917.450000000186265,3400187.399999999441206,10967339.890000000596046
FS( 180 ),4111547.000000000000000,3469126.700000000186265,3298338.899999999906868,10879013.599999999627471
FS( 181 ),4084761.959999999497086,3463415.750000000000000,3614330.399999999906868,11162509.109999999403954
FS( 182 ),4077160.799999999813735,3497046.899999999906868,3648802.199999999720603,11223010.899999998509884
FS( 183 ),4059786.719999999739230,3484990.450000000186265,3629999.399999999906868,11174777.570000000298023
FS( 184 ),4078970.599999999627471,3528139.850000000093132,3668649.599999999627471,11275761.049999998882413
FS( 185 ),4102859.959999999497086,3589691.200000000186265,3681184.800000000279397,11373736.960000000894070
FS( 186 ),4086571.760000000242144,3578269.300000000279397,3700509.899999999441206,11365351.960000000894070
FS( 187 ),4092363.120000000111759,3583980.250000000000000,3695286.899999999906868,11371631.269999999552965
FS( 188 ),4078970.599999999627471,3570020.149999999906868,3696853.799999999813735,11345845.550000000745058
FS( 189 ),4082228.239999999757856,3574462.000000000000000,3682229.399999999906868,11338920.640000000596046
FS( 190 ),4144123.399999999906868,3605554.950000000186265,3705732.899999999906868,11455412.250000000000000
FS( 191 ),4153896.319999999832362,3594133.050000000279397,3701554.500000000000000,11449584.870000001043081
FS( 192 ),4190454.279999999795109,3627764.200000000186265,3710955.899999999906868,11529175.380000000819564
FS( 193 ),4189006.439999999944121,3616976.850000000093132,3709911.299999999813735,11515895.589999999850988
FS( 194 ),4191540.159999999683350,3656318.949999999720603,3722968.799999999813735,11570828.910000000149012
FS( 195 ),4234975.359999999403954,3628398.750000000000000,3713045.100000000093132,11576420.209999999031425
FS( 196 ),4235337.320000000298023,3604920.400000000372529,3715656.600000000093132,11555915.320000000298023
FS( 197 ),4227374.199999999254942,3560501.899999999906868,3683796.299999999813735,11471673.399999998509884
FS( 198 ),4239318.880000000819564,3569385.600000000093132,3705732.899999999906868,11514438.380000000819564
FS( 199 ),4213619.720000000670552,3559232.800000000279397,3714612.000000000000000,11487465.520000001415610
FS( 200 ),4221944.800000000745058,3648704.350000000093132,3724013.399999999906868,11594663.550000000745058
FS( 201 ),4179957.439999999944121,3546541.800000000279397,3705732.899999999906868,11432233.140000000596046
FS( 202 ),4218325.199999999254942,3562405.550000000279397,3713567.399999999441206,11494299.149999998509884
FS( 203 ),4205294.640000000596046,3569385.600000000093132,3732370.199999999720603,11507051.439999999478459
FS( 204 ),4215429.519999999552965,3619515.049999999813735,3747516.899999999906868,11582462.469999998807907
FS( 205 ),4248729.839999999850988,3660126.250000000000000,3765797.399999999441206,11674654.489999998360872
FS( 206 ),4185386.839999999850988,3545907.250000000465661,3758485.199999999720603,11489780.289999999105930
FS( 207 ),4218687.160000000149012,3509737.900000000372529,3734459.399999999906868,11462885.460000000894070
FS( 208 ),4279496.439999999478459,3526870.750000000000000,3734981.700000000186265,11541349.890000000596046
FS( 209 ),4319312.039999999105930,3620149.600000000093132,3784600.199999999720603,11724062.839999997988343
FS( 210 ),4390618.160000000149012,3655684.399999999906868,3813848.999999999534339,11860152.560000000521541
FS( 211 ),4390256.199999999254942,3676624.549999999813735,3802880.700000000186265,11869762.449999999254942
FS( 212 ),4425728.279999999329448,3680431.850000000093132,3820116.600000000093132,11926277.729999998584390
FS( 213 ),4439120.800000000745058,3754039.649999999906868,3855632.999999999534339,12048794.450000001117587
FS( 214 ),4434415.320000000298023,3729926.750000000000000,3840486.299999999813735,12004829.370000001043081
FS( 215 ),4446721.959999999031425,3766096.100000000093132,3856677.600000000093132,12069496.659999998286366
FS( 216 ),4449617.640000000596046,3765461.550000000279397,3868168.200000000186265,12083248.390000000596046
FS( 217 ),4449255.679999999701977,3781959.850000000093132,3826906.499999999534339,12058123.029999999329448
FS( 218 ),4452151.359999999403954,3778787.100000000093132,3845187.000000000000000,12076126.459999999031425
FS( 219 ),4458666.640000000596046,3785132.600000000093132,3849365.399999999906868,12093165.640000000596046
FS( 220 ),4452151.359999999403954,3783863.500000000465661,3847798.500000000000000,12083814.359999999403954
FS( 221 ),4457218.800000000745058,3745155.950000000186265,3856677.600000000093132,12059053.350000001490116
FS( 222 ),4533592.359999999403954,3722312.149999999906868,3847276.199999999720603,12103181.709999999031425
FS( 223 ),4529610.800000000745058,3730561.299999999813735,3854066.100000000093132,12114239.200000001117587
FS( 224 ),4529972.759999999776483,3730561.299999999813735,3839963.999999999534339,12100499.059999998658895
FS( 225 ),4525629.240000000223517,3732464.950000000186265,3841530.899999999906868,12099626.089999999850988
FS( 226 ),4520561.800000000745058,3715966.650000000372529,3851976.899999999906868,12088506.350000001490116
FS( 227 ),4529972.759999999776483,3703275.649999999906868,3850932.300000000279397,12084181.710000000894070
FS( 228 ),4516218.279999999329448,3718504.850000000093132,3829517.999999999534339,12064242.129999998956919
FS( 229 ),4504997.519999999552965,3707717.500000000000000,3825339.599999999627471,12038055.619999999180436
FS( 230 ),4532868.439999999478459,3722312.149999999906868,3811237.500000000000000,12066419.089999999850988
FS( 231 ),4539021.759999999776483,3722312.149999999906868,3853543.799999999813735,12114878.710000000894070
FS( 232 ),4519113.959999999031425,3701372.000000000000000,3819594.299999999813735,12040081.259999997913837
FS( 233 ),4484727.759999999776483,3658222.600000000093132,3809670.599999999627471,11952621.959999999031425
FS( 234 ),4483279.919999999925494,3670279.050000000279397,3828473.399999999906868,11982033.370000001043081
FS( 235 ),4497034.400000000372529,4052278.149999999906868,3852499.200000000186265,12401812.750000000000000
FS( 236 ),4475678.759999999776483,3988823.149999999906868,3830562.600000000093132,12295065.509999999776483
FS( 237 ),4467715.640000000596046,3965344.800000000279397,3841008.600000000093132,12274070.040000000968575
FS( 238 ),4465181.919999999925494,3974863.050000000279397,3862422.899999999906868,12302468.870000001043081
FS( 239 ),4480022.279999999329448,4037683.500000000465661,3854588.399999999906868,12372295.179999999701977
FS( 240 ),4460114.480000000447035,4019916.100000000093132,3859289.100000000093132,12339320.679999999701977
FS( 241 ),4427176.119999999180436,4018012.450000000186265,3829517.999999999534339,12274707.570000000298023
FS( 242 ),4355508.039999999105930,4000245.049999999813735,3807059.100000000093132,12162813.189999999478459
FS( 243 ),4390980.119999999180436,4016108.799999999813735,3809148.300000000279397,12216238.219999998807907
FS( 244 ),4369624.480000000447035,4037683.500000000465661,3880703.399999999906868,12288012.380000000819564
FS( 245 ),4340667.679999999701977,4020550.649999999906868,3802880.700000000186265,12164100.030000001192093
FS( 246 ),4312072.839999999850988,4032607.100000000093132,3797135.399999999906868,12141816.339999999850988
FS( 247 ),4323293.599999999627471,4034510.750000000000000,3759007.500000000000000,12116812.849999999627471
FS( 248 ),4296870.519999999552965,3980574.000000000000000,3772587.300000000279397,12050032.820000000298023
FS( 249 ),4291803.080000000074506,3954557.450000000186265,3719835.000000000000000,11966196.530000001192093
FS( 250 ),4308815.199999999254942,3988188.600000000093132,3715656.600000000093132,12012661.399999998509884
FS( 251 ),4340667.679999999701977,3998341.399999999906868,3729236.400000000372529,12068246.480000000447035
FS( 252 ),4324379.480000000447035,3979304.900000000372529,3724535.700000000186265,12028221.080000001937151
FS( 253 ),4319674.000000000000000,3984381.299999999813735,3731325.599999999627471,12035381.899999998509884
