代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143394.200000001117587
真實報酬,1143394.200000001117587

夏普值報酬,0.105639420000000
夏普值風險,0.053528739041538
夏普值,1.973508472112988

二次趨勢線,55.273962161251205 x^2 + -8053.081607234326839 x + 10000000.000000000000000
二次加權預期報酬,10629.517603268584935
風險,191818.100763238238869
二次加權趨勢值,0.055414570162952
一次趨勢線,2455.839565565449448 x + 10000000.000000000000000
一次預期報酬,2455.839565565449448
一次風險,441375.275820873328485
一次趨勢值,0.005564062375261
找到最佳解世代,2634
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
張數,24990,25982,20857,33453,
FS( 59 ),2388044.799999999813735,2523643.619999999646097,2425331.939999999944121,2226019.930000000167638,9563040.289999999105930
FS( 60 ),2319572.199999999720603,2412960.300000000279397,2303318.490000000223517,2139376.660000000149012,9175227.650000000372529
FS( 61 ),2267343.100000000093132,2369830.179999999701977,2293932.839999999850988,2110941.610000000335276,9042047.730000000447035
FS( 62 ),2376799.299999999813735,2472199.260000000242144,2366515.199999999720603,2168815.299999999813735,9384329.059999998658895
FS( 63 ),2404538.199999999720603,2528840.020000000018626,2456408.870000000111759,2210631.549999999813735,9600418.640000000596046
FS( 64 ),2378298.699999999720603,2500779.459999999962747,2446188.939999999944121,2172495.129999999888241,9497762.230000000447035
FS( 65 ),2348560.600000000093132,2468821.599999999627471,2413234.879999999888241,2165470.000000000000000,9396087.079999998211861
FS( 66 ),2301329.500000000000000,2428549.500000000000000,2349203.889999999664724,2135027.770000000018626,9214110.660000000149012
FS( 67 ),2332816.899999999906868,2495323.240000000223517,2382575.089999999850988,2155768.629999999888241,9366483.859999999403954
FS( 68 ),2315074.000000000000000,2494543.780000000260770,2377569.409999999683350,2169818.890000000130385,9357006.080000000074506
FS( 69 ),2281837.299999999813735,2464404.659999999683350,2343572.500000000000000,2137369.479999999981374,9227183.939999999478459
FS( 70 ),2347561.000000000000000,2514549.919999999925494,2421369.109999999869615,2220667.449999999720603,9504147.479999998584390
FS( 71 ),2304578.199999999720603,2479474.220000000204891,2400303.540000000037253,2178516.670000000391155,9362872.630000000819564
FS( 72 ),2317073.199999999720603,2474797.459999999962747,2435551.870000000111759,2145063.670000000391155,9372486.200000001117587
FS( 73 ),2322321.100000000093132,2530918.580000000074506,2475805.879999999888241,2162793.760000000242144,9491839.320000000298023
