代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14470873.059999998658895
真實報酬,4470873.059999998658895

夏普值報酬,0.438387306000000
夏普值風險,0.113338573885290
夏普值,3.867944433849076

二次趨勢線,32.118485102386309 x^2 + 10954.996421209280015 x + 10000000.000000000000000
二次加權預期報酬,21682.570445406301587
風險,164966.717541076417547
二次加權趨勢值,0.131436030058653
一次趨勢線,16989.232769037862454 x + 10000000.000000000000000
一次預期報酬,16989.232769037862454
一次風險,279444.106360082922038
一次趨勢值,0.060796532767616
找到最佳解世代,2582
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),NKE[19](2),TRV[22](1),V[25](3),
FS( 104 ),3129682.080000000074506,2178777.280000000260770,2953111.660000000149012,3080892.880000000353903,11342463.900000000372529
FS( 105 ),3199530.920000000391155,2184513.400000000372529,2927526.120000000111759,3090693.220000000204891,11402263.660000000149012
FS( 106 ),3245401.799999999813735,2279159.380000000353903,2898226.550000000279397,3204733.540000000037253,11627521.269999999552965
FS( 107 ),3232891.560000000055879,2260038.980000000447035,2873053.680000000167638,3194042.260000000242144,11560026.480000000447035
FS( 108 ),3251656.920000000391155,2277247.340000000316650,2852007.510000000242144,3152168.080000000540167,11533079.850000001490116
FS( 109 ),3264167.159999999683350,2297323.760000000242144,2895750.530000000260770,3204733.540000000037253,11661974.989999998360872
FS( 110 ),3231327.780000000260770,2261951.020000000018626,2835500.709999999962747,3175332.520000000484288,11504112.030000001192093
FS( 111 ),3172425.399999999906868,2195985.640000000130385,2847468.140000000130385,3164641.240000000689179,11380520.419999999925494
FS( 112 ),3177638.000000000000000,2206501.859999999869615,2846642.800000000279397,3183350.979999999981374,11414133.640000000596046
FS( 113 ),3188063.199999999720603,2205545.840000000316650,2823945.950000000186265,3190478.500000000465661,11408033.490000000223517
FS( 114 ),3303782.920000000391155,2186425.440000000409782,2815692.550000000279397,3172659.700000000186265,11478560.610000003129244
FS( 115 ),3204222.259999999776483,2165393.000000000000000,2809089.830000000074506,3117421.420000000391155,11296126.509999999776483
FS( 116 ),3192754.540000000037253,2171129.120000000111759,2819406.580000000074506,3118312.360000000335276,11301602.600000001490116
FS( 117 ),3238104.159999999683350,2213194.000000000000000,2833024.690000000409782,3178896.280000000260770,11463219.130000000819564
FS( 118 ),3301176.620000000111759,2302103.859999999869615,2869752.320000000298023,3243934.899999999906868,11716967.700000001117587
FS( 119 ),3326718.359999999869615,2284895.500000000000000,2873879.020000000018626,3259971.820000000763685,11745464.699999999254942
FS( 120 ),3340792.380000000353903,2284895.500000000000000,2897813.879999999888241,3267099.340000000316650,11790601.100000001490116
FS( 121 ),3378844.359999999869615,2312620.080000000540167,2941144.229999999981374,3299173.180000000633299,11931781.850000001490116
FS( 122 ),3371025.459999999962747,2334608.540000000502914,2924224.760000000242144,3279572.500000000465661,11909431.259999999776483
FS( 123 ),3344441.199999999720603,2318356.200000000186265,2922986.750000000000000,3269772.160000000614673,11855556.310000000521541
FS( 124 ),3379365.620000000111759,2369025.260000000242144,2928351.459999999962747,3280463.440000000409782,11957205.780000001192093
FS( 125 ),3348611.279999999795109,2365201.180000000167638,2937430.200000000186265,3300955.060000000055879,11952197.720000000670552
FS( 126 ),3391875.859999999869615,2329828.440000000409782,2922574.080000000074506,3334810.780000000260770,11979089.160000000149012
FS( 127 ),3387184.520000000018626,2331740.480000000447035,2927938.790000000037253,3310755.399999999906868,11957619.189999999478459
FS( 128 ),3348611.279999999795109,2334608.540000000502914,2910606.650000000372529,3287590.960000000428408,11881417.430000001564622
FS( 129 ),3337143.560000000055879,2334608.540000000502914,3053803.140000000130385,3298282.240000000689179,12023837.480000000447035
FS( 130 ),3353823.880000000353903,2352772.919999999925494,3018726.190000000409782,3307191.640000000130385,12032514.630000002682209
FS( 131 ),3359557.740000000223517,2356597.000000000000000,3028630.270000000018626,3308973.520000000484288,12053758.530000001192093
FS( 132 ),3286060.080000000074506,2344168.740000000223517,3026566.920000000391155,3311646.340000000316650,11968442.080000000074506
FS( 133 ),3278241.180000000167638,2375717.400000000372529,3030280.950000000186265,3316991.979999999981374,12001231.510000001639128
FS( 134 ),3280326.220000000204891,2370937.300000000279397,3025328.910000000149012,3293827.540000000037253,11970419.969999998807907
FS( 135 ),3253220.699999999720603,2326004.359999999869615,3022027.550000000279397,3278681.560000000055879,11879934.169999999925494
FS( 136 ),3234976.600000000093132,2316444.160000000149012,3027804.930000000167638,3270663.100000000558794,11849888.789999999105930
FS( 137 ),3300134.100000000093132,2342256.700000000186265,3061643.870000000111759,3321446.680000000633299,12025481.350000001490116
FS( 138 ),3283975.040000000037253,2364245.160000000149012,3067421.250000000000000,3357084.280000000260770,12072725.730000000447035
FS( 139 ),3219860.060000000055879,2337476.600000000093132,3030280.950000000186265,3322337.620000000111759,11909955.230000000447035
FS( 140 ),3230285.259999999776483,2366157.200000000186265,3046375.080000000074506,3396285.640000000130385,12039103.179999999701977
FS( 141 ),3196403.359999999869615,2512428.260000000242144,3005108.080000000074506,3357975.220000000204891,12071914.919999999925494
FS( 142 ),3209434.859999999869615,2523900.500000000000000,2986125.260000000242144,3367775.560000000055879,12087236.179999999701977
FS( 143 ),3187020.680000000167638,2454111.040000000502914,2982411.229999999981374,3335701.720000000204891,11959244.670000001788139
FS( 144 ),3183371.859999999869615,2474187.459999999962747,2963841.080000000074506,3327683.260000000242144,11949083.660000000149012
FS( 145 ),3161478.939999999944121,2437858.700000000186265,2939906.219999999739230,3310755.399999999906868,11849999.259999999776483
FS( 146 ),3224030.140000000130385,2466539.300000000279397,2963841.080000000074506,3376684.960000000428408,12031095.480000000447035
FS( 147 ),3308995.520000000018626,2478011.540000000502914,3006758.760000000242144,3461324.260000000242144,12255090.080000000074506
FS( 148 ),3299612.839999999850988,2503824.080000000540167,3029868.280000000260770,3463997.080000000540167,12297302.279999999329448
FS( 149 ),3293357.720000000204891,2527724.580000000540167,3056279.160000000149012,3491616.220000000204891,12368977.680000001564622
FS( 150 ),3275634.880000000353903,2531548.660000000149012,3015012.160000000149012,3516562.540000000037253,12338758.240000002086163
FS( 151 ),3295442.759999999776483,2504780.100000000093132,3020376.870000000111759,3549527.320000000763685,12370127.050000000745058
FS( 152 ),3292836.459999999962747,2507648.160000000149012,3051327.120000000111759,3603874.660000000614673,12455686.400000000372529
FS( 153 ),3316293.159999999683350,2512428.260000000242144,3072373.290000000037253,3575364.580000000540167,12476459.290000000968575
FS( 154 ),3320463.240000000223517,2538240.800000000279397,3088880.089999999850988,3589619.620000000111759,12537203.750000000000000
FS( 155 ),3308995.520000000018626,2543020.900000000372529,3093006.790000000037253,3578037.399999999906868,12523060.610000001266599
FS( 156 ),3333494.740000000223517,2564053.340000000316650,3118179.660000000149012,3573582.700000000186265,12589310.440000001341105
FS( 157 ),3328803.399999999906868,2568833.440000000409782,3117766.990000000223517,3568237.060000000055879,12583640.890000000596046
FS( 158 ),3390833.339999999850988,2556405.180000000167638,3132210.440000000409782,3561109.540000000037253,12640558.500000000000000
FS( 159 ),3412726.259999999776483,2547801.000000000000000,3149129.910000000149012,3525471.940000000409782,12635129.109999999403954
FS( 160 ),3427321.540000000037253,2556405.180000000167638,3216807.790000000037253,3542399.800000000279397,12742934.310000002384186
FS( 161 ),3464330.999999999534339,2538240.800000000279397,3204015.020000000018626,3542399.800000000279397,12748986.620000001043081
FS( 162 ),3510723.139999999664724,2574569.560000000055879,3222585.170000000391155,3553982.020000000484288,12861859.890000000596046
FS( 163 ),3535222.359999999869615,2655831.260000000242144,3233314.589999999850988,3560218.600000000558794,12984586.810000002384186
FS( 164 ),3522712.120000000111759,2605162.200000000186265,3192047.589999999850988,3482706.820000000763685,12802628.730000000447035
FS( 165 ),3502904.240000000223517,2577437.620000000111759,3211030.410000000149012,3489834.340000000316650,12781206.609999999403954
FS( 166 ),3504989.279999999795109,2563097.319999999832362,3201539.000000000000000,3452414.860000000335276,12722040.460000000894070
FS( 167 ),3488308.959999999962747,2584129.760000000242144,3237853.959999999962747,3517453.479999999981374,12827746.160000000149012
FS( 168 ),3508116.839999999850988,2566921.400000000372529,3296865.770000000018626,3531708.520000000484288,12903612.530000001192093
FS( 169 ),3459118.399999999906868,2565009.359999999869615,3218871.140000000130385,3488943.399999999906868,12731942.300000000745058
FS( 170 ),3460682.180000000167638,2576481.600000000093132,3245694.690000000409782,3553091.080000000540167,12835949.550000000745058
FS( 171 ),3475277.459999999962747,2588909.859999999869615,3258487.459999999962747,3582492.100000000558794,12905166.880000002682209
FS( 172 ),3456512.100000000093132,2613766.380000000353903,3265090.180000000167638,3498743.740000000689179,12834112.400000000372529
FS( 173 ),3493000.300000000279397,2609942.300000000279397,3254360.760000000242144,3514780.660000000614673,12872084.020000001415610
FS( 174 ),3460160.919999999925494,2639578.919999999925494,3268804.209999999962747,3481815.880000000353903,12850359.930000001564622
FS( 175 ),3509159.359999999869615,2633842.800000000279397,3297278.440000000409782,3492507.160000000614673,12932787.760000001639128
FS( 176 ),3515935.740000000223517,2608030.260000000242144,3300992.469999999739230,3447069.220000000204891,12872027.689999999478459
FS( 177 ),3510201.880000000353903,2610898.319999999832362,3315435.920000000391155,3473797.420000000391155,12910333.540000000968575
FS( 178 ),3519584.560000000055879,2627150.660000000149012,3317499.270000000018626,3519235.360000000335276,12983469.850000001490116
FS( 179 ),3521148.339999999850988,2604206.180000000167638,3326165.339999999850988,3510325.960000000428408,12961845.820000000298023
FS( 180 ),3463288.479999999981374,2582217.720000000204891,3305944.510000000242144,3461324.260000000242144,12812774.970000000670552
FS( 181 ),3355908.919999999925494,2607074.240000000223517,3317086.600000000093132,3506762.200000000186265,12786831.960000000894070
FS( 182 ),3418460.120000000111759,2604206.180000000167638,3343084.810000000521541,3551309.200000000186265,12917060.310000002384186
FS( 183 ),3331930.959999999962747,2583173.740000000223517,3270454.890000000130385,3472015.540000000037253,12657575.129999998956919
FS( 184 ),3521669.600000000093132,2594645.980000000447035,3303055.820000000298023,3515671.600000000558794,12935043.000000000000000
FS( 185 ),3547732.600000000093132,2597514.040000000502914,3333593.400000000372529,3561109.540000000037253,13039949.580000001937151
FS( 186 ),3570668.040000000037253,2603250.160000000149012,3318737.280000000260770,3533490.399999999906868,13026145.880000000819564
FS( 187 ),3598294.820000000298023,2620458.520000000018626,3329879.370000000111759,3521017.240000000689179,13069649.950000001117587
FS( 188 ),3663973.580000000540167,2616634.440000000409782,3322863.979999999981374,3553091.080000000540167,13156563.080000001937151
FS( 189 ),3673356.259999999776483,2624282.600000000093132,3361654.959999999962747,3570018.940000000409782,13229312.760000001639128
FS( 190 ),3673877.520000000018626,2643403.000000000000000,3345560.830000000074506,3587837.740000000689179,13250679.089999999850988
FS( 191 ),3661888.540000000037253,2639578.919999999925494,3350925.540000000037253,3575364.580000000540167,13227757.580000000074506
FS( 192 ),3720269.660000000149012,2614722.400000000372529,3369495.690000000409782,3578928.340000000316650,13283416.089999999850988
FS( 193 ),3717663.359999999869615,2607074.240000000223517,3373622.390000000130385,3590510.560000000055879,13288870.550000000745058
FS( 194 ),3687951.540000000037253,2557361.200000000186265,3373209.719999999739230,3559327.660000000614673,13177850.120000001043081
FS( 195 ),3688472.800000000279397,2622370.560000000055879,3388891.180000000167638,3549527.320000000763685,13249261.860000001266599
FS( 196 ),3661367.279999999795109,2614722.400000000372529,3398795.260000000242144,3578928.340000000316650,13253813.279999999329448
FS( 197 ),3599337.339999999850988,2618546.480000000447035,3395493.900000000372529,3531708.520000000484288,13145086.240000002086163
FS( 198 ),3614975.139999999664724,2588909.859999999869615,3405810.650000000372529,3521017.240000000689179,13130712.890000000596046
FS( 199 ),3585784.580000000540167,2573613.540000000502914,3433046.870000000111759,3474688.360000000335276,13067133.350000001490116
FS( 200 ),3590475.919999999925494,2621414.540000000502914,3459870.420000000391155,3548636.380000000353903,13220397.260000001639128
FS( 201 ),3594124.740000000223517,2562141.300000000279397,3456156.390000000130385,3514780.660000000614673,13127203.090000001713634
FS( 202 ),3625921.600000000093132,2846079.240000000223517,3453680.370000000111759,3565564.240000000689179,13491245.450000001117587
FS( 203 ),3621230.259999999776483,2847035.260000000242144,3440474.930000000167638,3652876.360000000335276,13561616.809999998658895
FS( 204 ),3651463.339999999850988,2843211.180000000167638,3440062.260000000242144,3730388.140000000130385,13665124.919999999925494
FS( 205 ),3630612.940000000409782,2794454.160000000149012,3440474.930000000167638,3757116.340000000316650,13622658.370000001043081
FS( 206 ),3637389.320000000298023,2821222.720000000204891,3474313.870000000111759,3782953.600000000558794,13715879.510000001639128
FS( 207 ),3631655.459999999962747,2784893.959999999962747,3464409.790000000037253,3727715.320000000763685,13608674.530000001192093
FS( 208 ),3702025.560000000055879,2815486.600000000093132,3483392.609999999869615,3741079.420000000391155,13741984.189999999478459
FS( 209 ),3667622.399999999906868,2816442.620000000111759,3454918.379999999888241,3669804.220000000204891,13608787.619999999180436
FS( 210 ),3684823.979999999981374,2836519.040000000502914,3480503.920000000391155,3708114.640000000130385,13709961.580000001937151
FS( 211 ),3651984.600000000093132,2819310.680000000167638,3483392.609999999869615,3678713.620000000111759,13633401.510000001639128
FS( 212 ),3712450.759999999776483,2866155.660000000149012,3496598.050000000279397,3703659.940000000409782,13778864.410000000149012
FS( 213 ),3711408.240000000223517,2863287.600000000093132,3518882.229999999981374,3669804.220000000204891,13763382.290000000968575
FS( 214 ),3736949.979999999981374,2882408.000000000000000,3499899.410000000149012,3719696.860000000335276,13838954.250000000000000
FS( 215 ),3747896.440000000409782,2925428.900000000372529,3551483.160000000149012,3733951.899999999906868,13958760.400000000372529
FS( 216 ),3837553.160000000149012,2895792.280000000260770,3559736.560000000521541,3692077.720000000204891,13985159.720000000670552
FS( 217 ),3765098.020000000018626,2852771.380000000353903,3495772.709999999962747,3592292.440000000409782,13705934.550000000745058
FS( 218 ),3777086.999999999534339,2891968.200000000186265,3571703.990000000223517,3668913.280000000260770,13909672.469999998807907
FS( 219 ),3794809.839999999850988,2911088.600000000093132,3510628.830000000074506,3613675.000000000465661,13830202.269999999552965
FS( 220 ),3778129.520000000018626,2876671.880000000353903,3470599.839999999850988,3594965.260000000242144,13720366.500000000000000
FS( 221 ),3857361.040000000037253,2912044.620000000111759,3499899.410000000149012,3651985.420000000391155,13921290.490000000223517
FS( 222 ),3850063.399999999906868,2933077.060000000055879,3490408.000000000000000,3642185.080000000540167,13915733.540000000968575
FS( 223 ),3825042.919999999925494,2948373.380000000353903,3563450.589999999850988,3690295.840000000316650,14027162.730000000447035
FS( 224 ),3819830.320000000298023,2941681.240000000223517,3543229.760000000242144,3721478.740000000689179,14026220.060000000521541
FS( 225 ),3824521.660000000149012,2967493.780000000260770,3518882.229999999981374,3758898.220000000204891,14069795.890000000596046
