代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11945263.309999998658895
真實報酬,1945263.309999998658895

夏普值報酬,0.185826331000000
夏普值風險,0.061997645890720
夏普值,2.997312693574612

二次趨勢線,38.194125933734490 x^2 + -1867.944705286126236 x + 10000000.000000000000000
二次加權預期報酬,11041.669860316134873
風險,238310.082028846401954
二次加權趨勢值,0.046333204899739
一次趨勢線,5393.685237771993343 x + 10000000.000000000000000
一次預期報酬,5393.685237771993343
一次風險,363650.306468697963282
一次趨勢值,0.014832065701109
找到最佳解世代,1545
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),MCD[15](1),V[25](2),WMT[28](7),
FS( 38 ),2697453.129999999888241,2379874.509999999776483,2379053.719999999739230,2616999.679999999701977,10073381.039999999105930
FS( 39 ),2716811.279999999795109,2370100.520000000018626,2359117.520000000018626,2619741.859999999869615,10065771.179999999701977
FS( 40 ),2711833.469999999739230,2344246.739999999757856,2345826.719999999739230,2631167.609999999869615,10033074.539999999105930
FS( 41 ),2655418.289999999571592,2310510.709999999962747,2307283.399999999906868,2591406.000000000000000,9864618.400000000372529
FS( 42 ),2680860.429999999701977,2322807.020000000018626,2320574.200000000186265,2562613.109999999869615,9886854.759999999776483
FS( 43 ),2726213.809999999590218,2316501.219999999739230,2349813.959999999962747,2574495.889999999664724,9967024.879999998956919
FS( 44 ),2720682.909999999683350,2321861.149999999906868,2395002.680000000167638,2553015.479999999981374,9990562.220000000670552
FS( 45 ),2713492.739999999757856,2327851.659999999683350,2380382.799999999813735,2555757.660000000149012,9977484.859999999403954
FS( 46 ),2737828.699999999720603,2334788.039999999571592,2422913.359999999869615,2560784.989999999757856,10056315.089999999850988
FS( 47 ),2780416.629999999888241,2315870.640000000130385,2456140.359999999869615,2562613.109999999869615,10115040.739999998360872
FS( 48 ),2806411.859999999869615,2376091.029999999795109,2477405.640000000130385,2576781.040000000037253,10236689.570000000298023
FS( 49 ),2830194.729999999981374,2394062.560000000055879,2434875.080000000074506,2592777.089999999850988,10251909.460000000894070
FS( 50 ),2801434.049999999813735,2388702.629999999888241,2482721.959999999962747,2540675.669999999925494,10213534.309999998658895
FS( 51 ),2819686.019999999552965,2400683.649999999906868,2489367.359999999869615,2545245.969999999739230,10254983.000000000000000
FS( 52 ),2837937.989999999757856,2403836.549999999813735,2515948.959999999962747,2504570.299999999813735,10262293.799999998882413
FS( 53 ),2843468.889999999664724,2400998.939999999944121,2511961.719999999739230,2511425.750000000000000,10267855.300000000745058
FS( 54 ),2869464.119999999646097,2396900.169999999925494,2523923.439999999944121,2493144.549999999813735,10283432.279999997466803
FS( 55 ),2831300.909999999683350,2395639.009999999776483,2530568.839999999850988,2502285.149999999906868,10259793.910000000149012
FS( 56 ),2769907.919999999459833,2400368.359999999869615,2519936.200000000186265,2531078.040000000037253,10221290.519999999552965
FS( 57 ),2675329.529999999795109,2386810.890000000130385,2449494.959999999962747,2452925.910000000149012,9964561.289999999105930
FS( 58 ),2707408.750000000000000,2370731.099999999627471,2421584.279999999795109,2423675.989999999757856,9923400.119999999180436
FS( 59 ),2709068.019999999552965,2371361.679999999701977,2456140.359999999869615,2380715.169999999925494,9917285.229999998584390
FS( 60 ),2751102.859999999869615,2347084.349999999627471,2481392.880000000353903,2365176.149999999906868,9944756.240000000223517
FS( 61 ),2790925.339999999850988,2386180.310000000055879,2426900.600000000093132,2375687.839999999850988,9979694.089999999850988
FS( 62 ),2759952.299999999813735,2361272.399999999906868,2416267.959999999962747,2379801.109999999869615,9917293.769999999552965
FS( 63 ),2782075.899999999441206,2354966.599999999627471,2457469.439999999944121,2375230.810000000055879,9969742.750000000000000
FS( 64 ),2841256.529999999795109,2403836.549999999813735,2519936.200000000186265,2377058.929999999701977,10142088.210000000894070
FS( 65 ),2844575.069999999832362,2397215.459999999962747,2481392.880000000353903,2379801.109999999869615,10102984.519999999552965
FS( 66 ),2808071.129999999888241,2405413.000000000000000,2464114.839999999850988,2377515.959999999962747,10055114.929999999701977
FS( 67 ),2810836.579999999608845,2381766.250000000000000,2464114.839999999850988,2396711.219999999739230,10053428.890000000596046
FS( 68 ),2784841.349999999627471,2389333.209999999962747,2449494.959999999962747,2407222.910000000149012,10030892.429999999701977
FS( 69 ),2738934.879999999888241,2417709.310000000055879,2372408.320000000298023,2406308.849999999627471,9935361.359999999403954
FS( 70 ),2780969.719999999739230,2419285.759999999776483,2409622.560000000055879,2403566.669999999925494,10013444.709999999031425
FS( 71 ),2793690.789999999571592,2385865.020000000018626,2388357.279999999795109,2391226.859999999869615,9959139.949999999254942
FS( 72 ),2729532.349999999627471,2368524.069999999832362,2365762.919999999925494,2379344.080000000074506,9843163.419999999925494
FS( 73 ),2607299.459999999962747,2313663.609999999869615,2357788.439999999944121,2348266.040000000037253,9627017.550000000745058
FS( 74 ),2644356.489999999757856,2314294.189999999944121,2373737.399999999906868,2347809.009999999776483,9680197.089999999850988
FS( 75 ),2612830.359999999869615,2301367.299999999813735,2373737.399999999906868,2354664.459999999962747,9642599.519999999552965
FS( 76 ),2680860.429999999701977,2325644.629999999888241,2391015.439999999944121,2372945.660000000149012,9770466.160000000149012
FS( 77 ),2695793.859999999869615,2329112.819999999832362,2379053.719999999739230,2376601.899999999906868,9780562.299999998882413
FS( 78 ),2680307.339999999850988,2349921.959999999962747,2392344.520000000018626,2360148.819999999832362,9782722.640000000596046
FS( 79 ),2725660.719999999739230,2362533.560000000055879,2414938.880000000353903,2403566.669999999925494,9906699.830000000074506
FS( 80 ),2777651.179999999701977,2372622.839999999850988,2395002.680000000167638,2392597.950000000186265,9937874.649999998509884
FS( 81 ),2768801.739999999757856,2364740.589999999850988,2417597.040000000037253,2385285.469999999739230,9936424.839999999850988
FS( 82 ),2773226.459999999962747,2376406.319999999832362,2398989.919999999925494,2388484.679999999701977,9937107.379999998956919
FS( 83 ),2754421.399999999441206,2390279.080000000074506,2466773.000000000000000,2393054.979999999981374,10004528.459999999031425
FS( 84 ),2753868.309999999590218,2399107.200000000186265,2446836.799999999813735,2378887.049999999813735,9978699.359999999403954
FS( 85 ),2722342.179999999701977,2395954.299999999813735,2466773.000000000000000,2382543.290000000037253,9967612.769999999552965
FS( 86 ),2695793.859999999869615,2408565.899999999906868,2500000.000000000000000,2406308.849999999627471,10010668.609999999403954
FS( 87 ),2677541.889999999664724,2415186.989999999757856,2513290.799999999813735,2410422.120000000111759,10016441.799999998882413
FS( 88 ),2670904.809999999590218,2418970.469999999739230,2525252.520000000018626,2421390.839999999850988,10036518.639999998733401
FS( 89 ),2671457.899999999441206,2396584.879999999888241,2538543.320000000298023,2422304.899999999906868,10028891.000000000000000
FS( 90 ),2647675.029999999795109,2397530.750000000000000,2549175.959999999962747,2401281.520000000018626,9995663.259999999776483
FS( 91 ),2613936.539999999571592,2404151.839999999850988,2582402.959999999962747,2414078.359999999869615,10014569.699999999254942
FS( 92 ),2626657.609999999869615,2417078.729999999515712,2559808.600000000093132,2446070.459999999962747,10049615.399999998509884
FS( 93 ),2655971.379999999888241,2424330.399999999906868,2575757.560000000055879,2451097.790000000037253,10107157.129999998956919
FS( 94 ),2626657.609999999869615,2430005.619999999646097,2535885.159999999683350,2445156.399999999906868,10037704.789999999105930
FS( 95 ),2587388.219999999739230,2439779.609999999869615,2541201.479999999981374,2447441.549999999813735,10015810.859999999403954
FS( 96 ),2622232.889999999664724,2427798.589999999850988,2514619.880000000353903,2436472.830000000074506,10001124.189999999478459
FS( 97 ),2669798.629999999888241,2415186.989999999757856,2522594.359999999869615,2438300.950000000186265,10045880.929999999701977
FS( 98 ),2705749.479999999981374,2471939.189999999944121,2570441.240000000223517,2453839.969999999739230,10201969.879999998956919
FS( 99 ),2771014.099999999627471,2424960.979999999515712,2583732.040000000037253,2448812.639999999664724,10228519.759999997913837
FS( 100 ),2789266.069999999832362,2431897.359999999869615,2583732.040000000037253,2439215.009999999776483,10244110.480000000447035
FS( 101 ),2768801.739999999757856,2425906.849999999627471,2616959.040000000037253,2463894.629999999888241,10275562.259999999776483
FS( 102 ),2766589.379999999888241,2455228.819999999832362,2620946.279999999795109,2487203.160000000149012,10329967.639999998733401
FS( 103 ),2740041.059999999590218,2460273.459999999962747,2581073.880000000353903,2499542.969999999739230,10280931.370000001043081
FS( 104 ),2766589.379999999888241,2469101.580000000074506,2595693.760000000242144,2512796.839999999850988,10344181.560000000521541
FS( 105 ),2736169.429999999701977,2479506.149999999906868,2630249.839999999850988,2515539.020000000018626,10361464.439999999478459
FS( 106 ),2751102.859999999869615,2488964.849999999627471,2658160.520000000018626,2534734.279999999795109,10432962.509999997913837
FS( 107 ),2762164.659999999683350,2493063.619999999646097,2650186.040000000037253,2530621.009999999776483,10436035.329999998211861
FS( 108 ),2740041.059999999590218,2478244.989999999757856,2615629.959999999962747,2516910.109999999869615,10350826.119999999180436
FS( 109 ),2738934.879999999888241,2481397.890000000130385,2638224.320000000298023,2514624.959999999962747,10373182.050000000745058
FS( 110 ),2746678.139999999664724,2500630.580000000074506,2654173.279999999795109,2518281.200000000186265,10419763.199999999254942
FS( 111 ),2761058.479999999981374,2513242.179999999701977,2670122.240000000223517,2537933.489999999757856,10482356.390000000596046
FS( 112 ),2743359.599999999627471,2506936.379999999888241,2636895.240000000223517,2521480.410000000149012,10408671.629999998956919
FS( 113 ),2738381.789999999571592,2543194.729999999515712,2655502.359999999869615,2546617.060000000055879,10483695.939999999478459
FS( 114 ),2690262.959999999962747,2545717.049999999813735,2655502.359999999869615,2546617.060000000055879,10438099.429999999701977
FS( 115 ),2633294.689999999478459,2558328.649999999906868,2656831.439999999944121,2562156.080000000074506,10410610.859999999403954
FS( 116 ),2655971.379999999888241,2551707.560000000055879,2678096.719999999739230,2538390.520000000018626,10424166.179999999701977
FS( 117 ),2685285.149999999441206,2569679.089999999850988,2658160.520000000018626,2521937.439999999944121,10435062.199999999254942
FS( 118 ),2690816.049999999813735,2601523.379999999888241,2646198.799999999813735,2535648.339999999850988,10474186.570000000298023
FS( 119 ),2648781.209999999962747,2595848.159999999683350,2599681.000000000000000,2526964.770000000018626,10371275.139999998733401
FS( 120 ),2642144.129999999888241,2601208.089999999850988,2555821.359999999869615,2523765.560000000055879,10322939.140000000596046
FS( 121 ),2624998.339999999850988,2605622.149999999906868,2578415.719999999739230,2503656.239999999757856,10312692.449999999254942
FS( 122 ),2660949.189999999478459,2608144.469999999739230,2616959.040000000037253,2493601.580000000074506,10379654.279999999329448
FS( 123 ),2647121.939999999478459,2599001.060000000055879,2634237.080000000074506,2496343.759999999776483,10376703.839999999850988
FS( 124 ),2665927.000000000000000,2573462.569999999832362,2651515.120000000111759,2500000.000000000000000,10390904.690000001341105
FS( 125 ),2748337.409999999683350,2570940.250000000000000,2694045.680000000167638,2523765.560000000055879,10537088.900000000372529
FS( 126 ),2730085.439999999478459,2553284.009999999776483,2631578.919999999925494,2481718.799999999813735,10396667.169999998062849
FS( 127 ),2734510.159999999683350,2546032.339999999850988,2682083.959999999962747,2447441.549999999813735,10410068.009999999776483
FS( 128 ),2713492.739999999757856,2539411.250000000000000,2628920.760000000242144,2452468.879999999888241,10334293.629999998956919
FS( 129 ),2670904.809999999590218,2544455.890000000130385,2598351.919999999925494,2457039.179999999701977,10270751.799999998882413
FS( 130 ),2623339.069999999832362,2558328.649999999906868,2651515.120000000111759,2460238.389999999664724,10293421.230000000447035
FS( 131 ),2624998.339999999850988,2558643.939999999944121,2549175.959999999962747,2453839.969999999739230,10186658.209999999031425
FS( 132 ),2619467.439999999478459,2562112.129999999888241,2539872.399999999906868,2450640.759999999776483,10172092.729999998584390
FS( 133 ),2575220.239999999757856,2533736.029999999795109,2481392.880000000353903,2409508.060000000055879,9999857.210000000894070
FS( 134 ),2580751.139999999664724,2545401.759999999776483,2488038.279999999795109,2404937.759999999776483,10019128.939999999478459
FS( 135 ),2626657.609999999869615,2568733.219999999739230,2522594.359999999869615,2418191.629999999888241,10136176.820000000298023
FS( 136 ),2581857.319999999832362,2561481.549999999813735,2486709.200000000186265,2391226.859999999869615,10021274.929999999701977
FS( 137 ),2569136.250000000000000,2579453.080000000074506,2488038.279999999795109,2414535.389999999664724,10051163.000000000000000
FS( 138 ),2530419.949999999720603,2601838.669999999925494,2473418.399999999906868,2414078.359999999869615,10019755.379999998956919
FS( 139 ),2491703.649999999441206,2607198.599999999627471,2460127.600000000093132,2424133.020000000018626,9983162.869999999180436
FS( 140 ),2570242.429999999701977,2610666.789999999571592,2492025.520000000018626,2435558.770000000018626,10108493.509999997913837
FS( 141 ),2549225.009999999776483,2605937.439999999944121,2481392.880000000353903,2422761.929999999701977,10059317.259999999776483
FS( 142 ),2617255.079999999608845,2594587.000000000000000,2502658.159999999683350,2435558.770000000018626,10150059.009999999776483
FS( 143 ),2578538.779999999795109,2580398.950000000186265,2437533.240000000223517,2395340.129999999888241,9991811.100000001490116
FS( 144 ),2623339.069999999832362,2595532.869999999646097,2454811.279999999795109,2389855.770000000018626,10063538.989999998360872
FS( 145 ),2648781.209999999962747,2659536.739999999757856,2501329.080000000074506,2400824.489999999757856,10210471.519999999552965
FS( 146 ),2639378.679999999701977,2666473.119999999646097,2876129.640000000130385,2405851.819999999832362,10587833.259999999776483
FS( 147 ),2652099.750000000000000,2658590.869999999646097,2800372.080000000074506,2428703.319999999832362,10539766.019999999552965
FS( 148 ),2712386.559999999590218,2700524.439999999944121,2922647.439999999944121,2445613.429999999701977,10781171.869999999180436
FS( 149 ),2761058.479999999981374,2700209.149999999906868,2934609.159999999683350,2440129.069999999832362,10836005.859999999403954
FS( 150 ),2779310.449999999720603,2707145.529999999795109,2930621.919999999925494,2455211.060000000055879,10872288.959999999031425
FS( 151 ),2822451.469999999739230,2713451.330000000074506,2995746.839999999850988,2490402.370000000111759,11022052.010000001639128
FS( 152 ),2842362.709999999962747,2698947.989999999757856,2981126.959999999962747,2471664.139999999664724,10994101.800000000745058
FS( 153 ),2797009.329999999608845,2691065.739999999757856,2921318.359999999869615,2462066.509999999776483,10871459.939999999478459
FS( 154 ),2795350.059999999590218,2679715.299999999813735,2914672.959999999962747,2465265.719999999739230,10855004.039999999105930
FS( 155 ),2829088.549999999813735,2678769.429999999701977,2949229.040000000037253,2468921.959999999962747,10926008.980000000447035
FS( 156 ),2826876.189999999478459,2705569.080000000074506,2922647.439999999944121,2451097.790000000037253,10906190.500000000000000
FS( 157 ),2883291.369999999646097,2695164.509999999776483,2949229.040000000037253,2451097.790000000037253,10978782.709999997168779
FS( 158 ),2953533.799999999813735,2692642.189999999944121,2926634.680000000167638,2436929.859999999869615,11009740.529999999329448
FS( 159 ),2977869.759999999776483,2718180.679999999701977,2963848.919999999925494,2466636.810000000055879,11126536.169999999925494
FS( 160 ),3056961.629999999888241,2720072.419999999925494,2945241.799999999813735,2462980.569999999832362,11185256.419999999925494
FS( 161 ),3060280.169999999459833,2728585.250000000000000,2925305.600000000093132,2489488.310000000055879,11203659.330000000074506
FS( 162 ),3107845.909999999683350,2792273.830000000074506,2974481.560000000055879,2491773.459999999962747,11366374.760000001639128
FS( 163 ),3148774.569999999832362,2778401.069999999832362,2959861.680000000167638,2466636.810000000055879,11353674.130000000819564
FS( 164 ),3187490.869999999646097,2775248.169999999925494,2963848.919999999925494,2449269.669999999925494,11375857.629999998956919
FS( 165 ),3101761.919999999459833,2745926.200000000186265,2916002.040000000037253,2433730.649999999906868,11197420.810000000521541
FS( 166 ),3095677.929999999701977,2736152.209999999962747,2888091.359999999869615,2421847.870000000111759,11141769.370000001043081
FS( 167 ),3085169.219999999739230,2726693.509999999776483,2842902.640000000130385,2409051.029999999795109,11063816.399999998509884
FS( 168 ),3134947.319999999832362,2723855.899999999906868,2846889.880000000353903,2404937.759999999776483,11110630.859999999403954
FS( 169 ),3073001.239999999757856,2681922.330000000074506,2776448.640000000130385,2361976.939999999944121,10893349.150000000372529
FS( 170 ),3101761.919999999459833,2697056.250000000000000,2906698.479999999981374,2343695.739999999757856,11049212.390000000596046
FS( 171 ),2981741.389999999664724,2657329.709999999962747,2824295.520000000018626,2289766.200000000186265,10753132.820000000298023
FS( 172 ),2951874.529999999795109,2682552.909999999683350,2771132.320000000298023,2324043.450000000186265,10729603.210000000894070
FS( 173 ),2790925.339999999850988,2588911.779999999795109,2632908.000000000000000,2235836.660000000149012,10248581.779999999329448
FS( 174 ),2955193.069999999832362,2710298.429999999701977,2749867.040000000037253,2322672.359999999869615,10738030.899999998509884
FS( 175 ),2873888.839999999850988,2651023.909999999683350,2634237.080000000074506,2212528.129999999888241,10371677.960000000894070
FS( 176 ),2952980.709999999962747,2720387.709999999962747,2808346.560000000055879,2272856.089999999850988,10754571.070000000298023
FS( 177 ),2978975.939999999478459,2727324.089999999850988,2785752.200000000186265,2273770.149999999906868,10765822.380000000819564
FS( 178 ),3029307.129999999888241,2737413.369999999646097,2853535.279999999795109,2284281.839999999850988,10904537.619999999180436
FS( 179 ),3006077.349999999627471,2732684.020000000018626,2852206.200000000186265,2372945.660000000149012,10963913.230000000447035
FS( 180 ),3006077.349999999627471,2758853.089999999850988,2791068.520000000018626,2356035.549999999813735,10912034.509999997913837
FS( 181 ),2892140.809999999590218,2699263.279999999795109,2667464.080000000074506,2367004.270000000018626,10625872.439999999478459
FS( 182 ),2813048.939999999478459,2750340.259999999776483,2644869.719999999739230,2390312.799999999813735,10598571.719999998807907
FS( 183 ),2816367.479999999981374,2767050.629999999888241,2651515.120000000111759,2385285.469999999739230,10620218.699999999254942
FS( 184 ),2951874.529999999795109,2822856.959999999962747,2783094.040000000037253,2431902.529999999795109,10989728.060000000521541
FS( 185 ),2972338.859999999869615,2841774.359999999869615,2870813.320000000298023,2439215.009999999776483,11124141.549999998882413
FS( 186 ),2952980.709999999962747,2797003.179999999701977,2795055.760000000242144,2408594.000000000000000,10953633.650000000372529
FS( 187 ),3030966.399999999441206,2835468.560000000055879,2852206.200000000186265,2417734.599999999627471,11136375.759999999776483
FS( 188 ),3081297.589999999850988,2862583.500000000000000,2877458.719999999739230,2430988.469999999739230,11252328.279999997466803
FS( 189 ),3081297.589999999850988,2862268.209999999962747,2921318.359999999869615,2414078.359999999869615,11278962.519999999552965
FS( 190 ),3040922.019999999552965,2850602.479999999515712,2919989.279999999795109,2430988.469999999739230,11242502.250000000000000
FS( 191 ),3010502.069999999832362,2839882.619999999646097,2914672.959999999962747,2406308.849999999627471,11171366.499999998137355
FS( 192 ),2955746.159999999683350,2808984.200000000186265,2842902.640000000130385,2377972.989999999757856,10985605.990000000223517
FS( 193 ),3000546.449999999720603,2800471.369999999646097,2853535.279999999795109,2361976.939999999944121,11016530.039999999105930
FS( 194 ),3033731.849999999627471,2815290.000000000000000,2939925.479999999981374,2395797.160000000149012,11184744.490000000223517
FS( 195 ),3035391.119999999646097,2793850.279999999795109,2906698.479999999981374,2386199.529999999795109,11122139.409999998286366
FS( 196 ),2982847.569999999832362,2680976.459999999962747,2869484.240000000223517,2347351.979999999981374,10880660.250000000000000
FS( 197 ),3002205.719999999739230,2717550.099999999627471,2905369.399999999906868,2368375.359999999869615,10993500.579999998211861
FS( 198 ),3039262.750000000000000,2715343.069999999832362,2916002.040000000037253,2357863.669999999925494,11028471.529999999329448
FS( 199 ),3075766.689999999478459,2735206.339999999850988,2977139.719999999739230,2385742.500000000000000,11173855.250000000000000
FS( 200 ),3105080.459999999962747,2776824.619999999646097,3007708.560000000055879,2399910.429999999701977,11289524.070000000298023
FS( 201 ),3164261.089999999850988,2783761.000000000000000,3018341.200000000186265,2406308.849999999627471,11372672.139999998733401
FS( 202 ),3252202.399999999441206,2800156.080000000074506,2991759.600000000093132,2397168.250000000000000,11441286.330000000074506
FS( 203 ),3266582.739999999757856,2815920.580000000074506,3084795.200000000186265,2389855.770000000018626,11557154.289999999105930
FS( 204 ),3256627.119999999646097,2759483.669999999925494,3038277.399999999906868,2345523.859999999869615,11399912.049999998882413
FS( 205 ),3174769.799999999813735,2711244.299999999813735,2934609.159999999683350,2297992.739999999757856,11118616.000000000000000
FS( 206 ),3194681.039999999571592,2754754.319999999832362,2993088.680000000167638,2321758.299999999813735,11264282.339999999850988
FS( 207 ),3185831.599999999627471,2816866.450000000186265,2999734.080000000074506,2368832.389999999664724,11371264.519999999552965
FS( 208 ),3154858.559999999590218,2829478.049999999813735,2973152.479999999981374,2377972.989999999757856,11335462.080000000074506
FS( 209 ),3137159.679999999701977,2775563.459999999962747,2912014.799999999813735,2345066.830000000074506,11169804.769999999552965
FS( 210 ),3086275.399999999441206,2799210.209999999962747,2913343.880000000353903,2373402.689999999944121,11172232.179999999701977
FS( 211 ),3012714.429999999701977,2768942.369999999646097,2848218.959999999962747,2372031.599999999627471,11001907.359999997541308
FS( 212 ),2959617.789999999571592,2712190.169999999925494,2800372.080000000074506,2374773.779999999795109,10846953.819999998435378
FS( 213 ),2943025.089999999850988,2726693.509999999776483,2817650.120000000111759,2416820.540000000037253,10904189.259999997913837
FS( 214 ),2988931.559999999590218,2706199.659999999683350,2824295.520000000018626,2406308.849999999627471,10925735.589999997988343
FS( 215 ),2981741.389999999664724,2746556.779999999795109,2894736.760000000242144,2410879.149999999906868,11033914.080000000074506
FS( 216 ),2922007.669999999459833,2749394.390000000130385,2865497.000000000000000,2454297.000000000000000,10991196.059999998658895
FS( 217 ),3071895.059999999590218,2790697.379999999888241,2965178.000000000000000,2505027.330000000074506,11332797.769999999552965
FS( 218 ),3162601.819999999832362,2816866.450000000186265,3007708.560000000055879,2500914.060000000055879,11488090.890000000596046
FS( 219 ),3178088.339999999850988,2785968.029999999795109,3028973.839999999850988,2522851.500000000000000,11515881.709999999031425
FS( 220 ),3227313.349999999627471,2815920.580000000074506,3076820.719999999739230,2514624.959999999962747,11634679.609999999403954
FS( 221 ),3334612.809999999590218,2835783.849999999627471,3120680.359999999869615,2534734.279999999795109,11825811.299999998882413
FS( 222 ),3318573.199999999720603,2795426.729999999515712,3030302.919999999925494,2503656.239999999757856,11647959.089999999850988
FS( 223 ),3336272.079999999608845,2826325.149999999906868,3120680.359999999869615,2554386.569999999832362,11837664.160000000149012
FS( 224 ),3149880.750000000000000,2825694.569999999832362,2993088.680000000167638,2570839.649999999906868,11539503.650000000372529
FS( 225 ),3123332.429999999701977,2806461.879999999888241,3035619.240000000223517,2576324.009999999776483,11541737.560000000521541
