代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12765993.220000000670552
真實報酬,2765993.220000000670552

夏普值報酬,0.267899322000000
夏普值風險,0.085077191873847
夏普值,3.148897090976438

二次趨勢線,37.872658661218821 x^2 + 2774.334336097648702 x + 10000000.000000000000000
二次加權預期報酬,15474.299207159690923
風險,214433.049027658737032
二次加權趨勢值,0.072163779218397
一次趨勢線,9918.036340986522191 x + 10000000.000000000000000
一次預期報酬,9918.036340986522191
一次風險,343298.936631531978492
一次趨勢值,0.028890378858446
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),KO[14](5),PG[21](1),
FS( 19 ),3277365.870000000111759,3470882.339999999850988,3460577.520000000018626,10208826.730000000447035
FS( 20 ),3244672.199999999720603,3419912.279999999329448,3453508.379999999888241,10118093.859999999403954
FS( 21 ),3330747.059999999590218,3519059.519999999552965,3516386.520000000018626,10366194.099999999627471
FS( 22 ),3356975.879999999888241,3469485.899999999441206,3472111.379999999888241,10298574.160000000149012
FS( 23 ),3238022.640000000130385,3461805.479999999515712,3471739.319999999832362,10171568.439999999478459
FS( 24 ),3250213.500000000000000,3447841.080000000074506,3480668.759999999776483,10178724.339999999850988
FS( 25 ),3191660.429999999701977,3427592.700000000186265,3439742.160000000149012,10058996.289999999105930
FS( 26 ),3171342.329999999608845,3438066.000000000000000,3461321.640000000130385,10070730.970000000670552
FS( 27 ),3180947.250000000000000,3459012.599999999627471,3494062.919999999925494,10134023.769999999552965
FS( 28 ),3217889.250000000000000,3436669.559999999590218,3498527.640000000130385,10153087.449999999254942
FS( 29 ),3211609.109999999869615,3454125.059999999590218,3590054.399999999906868,10255789.570000000298023
FS( 30 ),3182424.929999999701977,3445048.200000000186265,3595635.299999999813735,10223109.429999999701977
FS( 31 ),3102630.209999999962747,3374527.979999999515712,3451648.079999999608845,9928807.269999999552965
FS( 32 ),3140865.179999999701977,3373829.759999999776483,3441230.399999999906868,9955926.339999999850988
FS( 33 ),3095057.100000000093132,3344504.519999999552965,3414070.020000000018626,9853632.639999998733401
FS( 34 ),3032255.699999999720603,3319368.599999999627471,3385049.340000000316650,9736674.639999998733401
FS( 35 ),2964282.419999999459833,3321463.259999999776483,3384677.279999999795109,9670423.959999999031425
FS( 36 ),2921060.279999999795109,3209049.839999999850988,3250363.620000000111759,9380474.739999998360872
FS( 37 ),3108356.219999999739230,3277475.399999999441206,3351936.000000000000000,9737768.619999999180436
FS( 38 ),3146037.059999999590218,3318670.379999999888241,3423743.579999999608845,9888452.019999999552965
FS( 39 ),3144189.959999999962747,3295629.120000000111759,3392490.540000000037253,9832310.620000001043081
FS( 40 ),3173743.559999999590218,3306102.419999999925494,3420022.979999999981374,9899869.959999999031425
FS( 41 ),3184641.449999999720603,3276777.179999999701977,3396211.140000000130385,9857630.769999999552965
FS( 42 ),3114451.649999999906868,3256528.799999999813735,3372399.299999999813735,9743380.750000000000000
FS( 43 ),3206991.359999999869615,3321463.259999999776483,3441230.399999999906868,9969686.019999999552965
FS( 44 ),3270162.179999999701977,3278173.620000000111759,3427464.180000000167638,9975800.980000000447035
FS( 45 ),3285862.529999999795109,3315179.279999999329448,3440114.219999999739230,10041157.029999997466803
FS( 46 ),3319849.169999999459833,3251641.259999999776483,3383933.160000000149012,9955424.589999999850988
FS( 47 ),3307473.600000000093132,3286552.259999999776483,3392118.479999999981374,9986145.339999999850988
FS( 48 ),3313938.449999999720603,3305404.200000000186265,3414442.079999999608845,10033785.730000000447035
FS( 49 ),3302855.850000000093132,3292138.019999999552965,3391374.360000000335276,9986369.230000000447035
FS( 50 ),3259633.709999999962747,3321463.259999999776483,3423371.520000000018626,10004469.490000000223517
FS( 51 ),3270162.179999999701977,3276078.959999999962747,3399559.680000000167638,9945801.820000000298023
FS( 52 ),3230080.109999999869615,3285854.040000000037253,3372399.299999999813735,9888334.449999999254942
FS( 53 ),3317078.520000000018626,3324256.139999999664724,3401419.979999999981374,10042755.640000000596046
FS( 54 ),3271455.149999999906868,3331936.559999999590218,3364958.100000000093132,9968350.809999998658895
FS( 55 ),3267391.529999999795109,3370338.660000000149012,3528664.500000000000000,10166395.689999999478459
FS( 56 ),3274779.929999999701977,3329841.899999999441206,3508573.259999999776483,10113196.089999999850988
FS( 57 ),3332224.739999999757856,3307498.859999999403954,3482529.059999999590218,10122253.660000000149012
FS( 58 ),3321696.270000000018626,3293534.459999999962747,3479552.579999999608845,10094784.310000000521541
FS( 59 ),3319110.329999999608845,3309593.519999999552965,3480296.700000000186265,10109001.550000000745058
FS( 60 ),3365103.120000000111759,3341711.639999999664724,3516758.579999999608845,10223574.339999999850988
FS( 61 ),3390038.969999999739230,3360563.580000000074506,3589310.279999999795109,10339913.830000000074506
FS( 62 ),3405554.609999999869615,3400362.120000000111759,3626516.279999999795109,10432434.009999999776483
FS( 63 ),3443604.870000000111759,3438764.219999999739230,3647351.640000000130385,10529721.730000000447035
FS( 64 ),3442866.029999999795109,3439462.439999999478459,3625400.100000000093132,10507729.569999998435378
FS( 65 ),3412019.459999999962747,3439462.439999999478459,3643258.979999999981374,10494741.879999998956919
FS( 66 ),3400013.309999999590218,3450633.959999999962747,3614238.299999999813735,10464886.570000000298023
FS( 67 ),3408694.679999999701977,3456219.719999999739230,3635445.719999999739230,10500361.119999999180436
FS( 68 ),3378771.659999999683350,3463900.139999999664724,3656281.079999999608845,10498953.879999998956919
FS( 69 ),3426796.260000000242144,3467391.239999999292195,3693115.020000000018626,10587303.519999999552965
FS( 70 ),3480177.449999999720603,3476468.099999999627471,3692370.899999999906868,10649017.449999999254942
FS( 71 ),3467247.750000000000000,3183215.700000000186265,3663350.219999999739230,10313814.669999999925494
FS( 72 ),3553692.029999999795109,3158778.000000000000000,3664094.340000000316650,10376565.369999999180436
FS( 73 ),3552583.770000000018626,3130150.979999999515712,3720275.399999999906868,10403011.150000000372529
FS( 74 ),3543717.689999999944121,3149002.919999999925494,3693859.140000000130385,10386580.750000000000000
FS( 75 ),3543163.559999999590218,3202067.639999999664724,3712462.140000000130385,10457694.339999999850988
FS( 76 ),3553692.029999999795109,3161570.879999999888241,3729948.959999999962747,10445212.870000001043081
FS( 77 ),3509176.919999999459833,3137831.399999999441206,3704648.879999999888241,10351658.199999999254942
FS( 78 ),3478145.640000000130385,3120375.899999999441206,3714322.439999999944121,10312844.979999998584390
FS( 79 ),3392624.909999999683350,3137831.399999999441206,3680092.919999999925494,10210550.229999998584390
FS( 80 ),3419777.279999999795109,3165760.200000000186265,3666698.759999999776483,10252237.240000000223517
FS( 81 ),3420331.409999999683350,3168553.080000000074506,3662606.100000000093132,10251491.589999999850988
FS( 82 ),3395210.850000000093132,3187405.019999999552965,3678604.680000000167638,10261221.549999998882413
FS( 83 ),3398720.339999999850988,3183913.919999999925494,3686790.000000000000000,10269425.259999999776483
FS( 84 ),3407032.289999999571592,3173440.620000000111759,3680837.040000000037253,10261310.949999999254942
FS( 85 ),3371198.549999999813735,3161570.879999999888241,3666698.759999999776483,10199469.189999999478459
FS( 86 ),3347555.669999999459833,3130849.200000000186265,3661489.919999999925494,10139895.789999999105930
FS( 87 ),3369905.579999999608845,3224410.679999999701977,3705020.939999999944121,10299338.199999999254942
FS( 88 ),3398720.339999999850988,3215333.819999999366701,3722507.759999999776483,10336562.919999998062849
FS( 89 ),3345893.279999999795109,3227203.559999999590218,3764550.540000000037253,10337648.379999998956919
FS( 90 ),3354574.649999999906868,3190896.120000000111759,3769759.379999999888241,10315231.149999998509884
FS( 91 ),3366026.669999999459833,3162967.319999999366701,3811430.100000000093132,10340425.089999997988343
FS( 92 ),3388007.159999999683350,3170647.739999999292195,3776828.520000000018626,10335484.419999998062849
FS( 93 ),3401121.569999999832362,3181121.040000000037253,3791338.860000000335276,10373582.469999998807907
FS( 94 ),3437509.439999999944121,3179026.379999999888241,3784641.779999999795109,10401178.599999999627471
FS( 95 ),3508992.209999999962747,3177629.939999999478459,3813290.399999999906868,10499913.549999998882413
FS( 96 ),3486457.589999999850988,3206955.179999999701977,3782409.419999999925494,10475823.189999999478459
FS( 97 ),3503635.620000000111759,3213937.379999999888241,3793571.219999999739230,10511145.219999998807907
FS( 98 ),3497355.479999999981374,3256528.799999999813735,3833009.579999999608845,10586894.859999999403954
FS( 99 ),3495693.089999999850988,3254434.139999999664724,3828544.860000000335276,10578673.089999999850988
FS( 100 ),3510654.600000000093132,3252339.479999999515712,3852728.759999999776483,10615723.839999999850988
FS( 101 ),3544456.529999999795109,3271889.639999999664724,3871331.759999999776483,10687678.929999999701977
FS( 102 ),3613722.779999999795109,3262114.559999999590218,3856077.299999999813735,10731915.640000000596046
FS( 103 ),3589156.350000000093132,3251641.259999999776483,3860169.959999999962747,10700968.570000000298023
FS( 104 ),3668581.649999999906868,3224410.679999999701977,3857937.600000000093132,10750930.929999999701977
FS( 105 ),3702568.289999999571592,3245357.279999999329448,3848264.040000000037253,10796190.609999999403954
FS( 106 ),3732306.600000000093132,3244659.059999999590218,3856449.360000000335276,10833416.019999999552965
FS( 107 ),3759828.390000000130385,3250244.819999999366701,3905561.279999999795109,10915635.489999998360872
FS( 108 ),3710880.239999999757856,3258623.459999999962747,3894027.419999999925494,10863532.119999999180436
FS( 109 ),3683727.870000000111759,3256528.799999999813735,3893655.360000000335276,10833913.030000001192093
FS( 110 ),3721593.419999999459833,3261416.339999999850988,3897375.959999999962747,10880386.719999998807907
FS( 111 ),3765369.689999999944121,3263511.000000000000000,3908909.819999999832362,10937791.509999999776483
FS( 112 ),3784025.399999999906868,3281664.719999999739230,3933837.840000000316650,10999528.959999999031425
FS( 113 ),3776821.709999999962747,3278173.620000000111759,3959509.979999999981374,11014506.310000000521541
FS( 114 ),3815241.390000000130385,3301214.879999999888241,3938302.559999999590218,11054759.829999998211861
FS( 115 ),3798802.199999999720603,3315179.279999999329448,3945743.759999999776483,11059726.239999998360872
FS( 116 ),3782547.719999999739230,3309593.519999999552965,3944255.520000000018626,11036397.759999999776483
FS( 117 ),3806005.890000000130385,3366149.339999999850988,3838218.419999999925494,11010374.650000000372529
FS( 118 ),3818381.459999999962747,3350090.279999999329448,3857937.600000000093132,11026410.339999999850988
FS( 119 ),3814317.839999999850988,3340315.200000000186265,3842683.140000000130385,10997317.179999999701977
FS( 120 ),3760936.649999999906868,3369640.439999999478459,3938674.620000000111759,11069252.710000000894070
FS( 121 ),3734153.699999999720603,3380811.959999999962747,3898492.140000000130385,11013458.800000000745058
FS( 122 ),3762599.039999999571592,3425498.040000000037253,3961742.340000000316650,11149840.419999999925494
FS( 123 ),3672091.140000000130385,3392681.700000000186265,3904073.040000000037253,10968846.879999998956919
FS( 124 ),3712912.049999999813735,3378717.299999999813735,3927512.819999999832362,11019143.169999999925494
FS( 125 ),3704600.100000000093132,3401758.559999999590218,3946859.939999999944121,11053219.599999999627471
FS( 126 ),3687422.069999999832362,3384303.059999999590218,3931977.540000000037253,11003703.669999998062849
FS( 127 ),3597653.010000000242144,3351486.719999999739230,3895515.660000000149012,10844656.390000000596046
FS( 128 ),3605041.409999999683350,3341013.419999999925494,3909281.879999999888241,10855337.710000000894070
FS( 129 ),3594143.520000000018626,3309593.519999999552965,3878400.899999999906868,10782138.939999999478459
FS( 130 ),3594143.520000000018626,3364752.899999999441206,3944255.520000000018626,10903152.939999999478459
FS( 131 ),3515826.479999999981374,3354977.819999999366701,3947976.120000000111759,10818781.419999998062849
FS( 132 ),3539469.359999999869615,3399663.899999999441206,3929001.059999999590218,10868135.320000000298023
FS( 133 ),3542055.299999999813735,3433876.679999999701977,3969927.660000000149012,10945860.640000000596046
FS( 134 ),3553507.319999999832362,3461805.479999999515712,4022388.120000000111759,11037701.919999998062849
FS( 135 ),3557201.520000000018626,3435273.120000000111759,3997832.160000000149012,10990307.800000000745058
FS( 136 ),3527093.789999999571592,3410835.419999999925494,3993367.439999999944121,10931297.649999998509884
FS( 137 ),3536329.289999999571592,3393379.919999999925494,3957649.680000000167638,10887359.889999998733401
FS( 138 ),3489412.949999999720603,3466693.019999999552965,3970671.779999999795109,10926778.749999998137355
FS( 139 ),3546488.339999999850988,3480657.419999999925494,3972160.020000000018626,10999306.779999999329448
FS( 140 ),3575857.229999999981374,3463900.139999999664724,3969555.600000000093132,11009313.969999998807907
FS( 141 ),3538176.390000000130385,3428290.919999999925494,3886586.219999999739230,10853054.530000001192093
FS( 142 ),3509361.629999999888241,3394078.139999999664724,3876540.600000000093132,10779981.369999999180436
FS( 143 ),3529495.020000000018626,3438764.219999999739230,3918955.439999999944121,10887215.679999999701977
FS( 144 ),3506775.689999999944121,3430385.580000000074506,3828916.919999999925494,10766079.189999999478459
FS( 145 ),3501603.809999999590218,3489734.279999999329448,3862030.259999999776483,10853369.349999997764826
FS( 146 ),3606519.089999999850988,3491130.719999999739230,3894771.540000000037253,10992422.349999999627471
FS( 147 ),3633117.329999999608845,3545591.879999999888241,3971043.840000000316650,11149754.049999998882413
FS( 148 ),3641983.409999999683350,3588881.519999999552965,3995227.739999999757856,11226093.669999999925494
FS( 149 ),3644384.640000000130385,3595165.500000000000000,4046944.079999999608845,11286495.220000000670552
FS( 150 ),3658237.890000000130385,3587485.080000000074506,4045083.779999999795109,11290807.750000000000000
FS( 151 ),3657499.049999999813735,3583993.979999999515712,4069639.739999999757856,11311133.769999999552965
FS( 152 ),3674677.079999999608845,3605638.799999999813735,4080801.540000000037253,11361118.419999998062849
FS( 153 ),3737663.189999999944121,3570029.580000000074506,4126564.919999999925494,11434258.689999999478459
FS( 154 ),3800834.010000000242144,3582597.540000000037253,4137354.660000000149012,11520787.210000000894070
FS( 155 ),3823183.919999999459833,3551875.859999999403954,4129541.399999999906868,11504602.179999999701977
FS( 156 ),3832419.419999999459833,3535816.799999999813735,4077825.059999999590218,11446062.279999997466803
FS( 157 ),3840916.079999999608845,3569331.359999999403954,4108333.979999999981374,11518582.419999999925494
FS( 158 ),3902055.089999999850988,3607035.239999999292195,4157445.899999999906868,11666537.229999998584390
FS( 159 ),3867699.029999999795109,3599354.819999999366701,4137354.660000000149012,11604409.509999999776483
FS( 160 ),3795846.839999999850988,3625188.959999999962747,4179397.439999999944121,11600434.240000000223517
FS( 161 ),3781808.879999999888241,3614017.439999999478459,4156701.779999999795109,11552529.099999999627471
FS( 162 ),3812840.159999999683350,3569331.359999999403954,4082661.840000000316650,11464834.359999999403954
FS( 163 ),3823922.760000000242144,3566538.479999999515712,4084522.140000000130385,11474984.380000000819564
FS( 164 ),3841470.209999999962747,3555366.959999999962747,4079685.360000000335276,11476523.530000001192093
FS( 165 ),3884138.219999999739230,3602845.919999999925494,4110938.399999999906868,11597923.539999999105930
FS( 166 ),3881552.279999999795109,3629378.279999999329448,4147772.340000000316650,11658703.899999998509884
FS( 167 ),3917755.439999999944121,3637756.919999999925494,4244507.939999999478459,11800021.299999998882413
FS( 168 ),3905934.000000000000000,3638455.139999999664724,4209906.360000000335276,11754296.500000000000000
FS( 169 ),3932716.949999999720603,3630774.719999999739230,4243391.759999999776483,11806884.429999999701977
FS( 170 ),3915908.339999999850988,3602147.700000000186265,4200976.919999999925494,11719033.960000000894070
FS( 171 ),3892819.589999999850988,3618206.759999999776483,4232229.959999999962747,11743257.309999998658895
FS( 172 ),3953589.179999999701977,3633567.599999999627471,4255669.740000000223517,11842827.519999999552965
FS( 173 ),4030982.669999999459833,3639153.359999999403954,4278365.399999999441206,11948502.429999999701977
FS( 174 ),4039664.039999999571592,3639851.580000000074506,4296596.339999999850988,11976112.959999999031425
FS( 175 ),4013065.799999999813735,3640549.799999999813735,4311850.799999999813735,11965467.399999998509884
FS( 176 ),3982588.649999999906868,3643342.679999999701977,4313711.099999999627471,11939643.429999999701977
FS( 177 ),3960977.579999999608845,3632869.379999999888241,4295108.099999999627471,11888956.059999998658895
FS( 178 ),3935118.179999999701977,3588183.299999999813735,4279109.520000000484288,11802412.000000000000000
FS( 179 ),3902424.510000000242144,3576313.559999999590218,4289899.259999999776483,11768638.330000000074506
FS( 180 ),3935857.020000000018626,3793459.979999999515712,4235950.559999999590218,11965268.559999998658895
FS( 181 ),3965964.750000000000000,3755057.879999999888241,4189443.059999999590218,11910466.689999999478459
FS( 182 ),3981480.390000000130385,3705484.259999999776483,4195768.080000000074506,11882733.730000000447035
FS( 183 ),4006600.949999999720603,3782288.459999999962747,4268691.839999999850988,12057582.250000000000000
FS( 184 ),4027473.179999999701977,3769720.500000000000000,4315943.459999999962747,12113138.140000000596046
FS( 185 ),4014912.899999999906868,3750868.559999999590218,4480021.919999999925494,12245804.379999998956919
FS( 186 ),3947124.329999999608845,3674762.580000000074506,4391843.700000000186265,12013731.609999999403954
FS( 187 ),3931239.270000000018626,3632869.379999999888241,4343103.839999999850988,11907213.490000000223517
FS( 188 ),3918678.989999999757856,3653815.979999999515712,4332314.099999999627471,11904810.069999998435378
FS( 189 ),3785503.079999999608845,3606337.019999999552965,4207301.939999999478459,11599143.039999999105930
FS( 190 ),3856801.140000000130385,3649626.660000000149012,4251949.139999999664724,11758377.940000001341105
FS( 191 ),3840361.949999999720603,3713164.679999999701977,4298084.580000000074506,11851612.209999999031425
FS( 192 ),3907965.809999999590218,3748773.899999999441206,4369520.099999999627471,12026260.809999998658895
FS( 193 ),3879335.760000000242144,3729921.959999999962747,4344964.139999999664724,11954222.859999999403954
FS( 194 ),3823738.049999999813735,3714561.120000000111759,4317059.639999999664724,11855359.809999998658895
FS( 195 ),3848119.770000000018626,3735507.719999999739230,4362450.959999999962747,11946079.449999999254942
FS( 196 ),3723625.229999999981374,3699898.500000000000000,4308130.200000000186265,11731654.929999999701977
FS( 197 ),3727319.429999999701977,3761341.859999999403954,4367659.799999999813735,11856322.089999999850988
FS( 198 ),3761675.489999999757856,3799045.739999999292195,4434258.540000000037253,11994980.769999999552965
FS( 199 ),3841100.789999999571592,3818595.899999999441206,4473696.899999999441206,12133394.589999999850988
FS( 200 ),4009925.729999999981374,3762040.080000000074506,4423840.860000000335276,12195807.670000001788139
FS( 201 ),4071064.739999999757856,3777400.919999999925494,4435002.660000000149012,12283469.320000000298023
FS( 202 ),4082516.760000000242144,3804631.500000000000000,4443187.980000000447035,12330337.240000000223517
FS( 203 ),4016944.709999999962747,3752265.000000000000000,4365055.379999999888241,12134266.089999999850988
FS( 204 ),4038740.489999999757856,3808122.599999999627471,4439467.379999999888241,12286331.469999998807907
FS( 205 ),4030613.250000000000000,3820690.559999999590218,4485230.759999999776483,12336535.570000000298023
FS( 206 ),4099694.789999999571592,3847921.139999999664724,4516855.860000000335276,12464472.789999999105930
FS( 207 ),4198884.059999999590218,3843731.819999999366701,4508670.540000000037253,12551287.419999998062849
FS( 208 ),4209781.950000000186265,3843033.599999999627471,4473324.839999999850988,12526141.390000000596046
FS( 209 ),4138853.309999999590218,3861187.319999999366701,4515367.620000000111759,12515409.250000000000000
FS( 210 ),4140330.989999999757856,3894003.660000000149012,4584198.719999999739230,12618534.370000001043081
FS( 211 ),4214214.990000000223517,3848619.359999999403954,4567456.020000000484288,12630291.370000001043081
FS( 212 ),4269258.569999999366701,3856299.779999999329448,4571548.679999999701977,12697108.029999997466803
FS( 213 ),4301398.110000000335276,3806726.160000000149012,4545504.480000000447035,12653629.750000000000000
FS( 214 ),4303799.339999999850988,3798347.519999999552965,4460302.740000000223517,12562450.599999999627471
FS( 215 ),4297519.200000000186265,3824181.660000000149012,4512019.080000000074506,12633720.940000001341105
FS( 216 ),4318576.139999999664724,3847921.139999999664724,4567828.080000000074506,12734326.359999999403954
FS( 217 ),4321900.919999999925494,3788572.439999999478459,4543644.179999999701977,12654118.539999999105930
FS( 218 ),4266672.629999999888241,3767625.839999999850988,4455465.959999999962747,12489765.429999999701977
FS( 219 ),4252265.250000000000000,3787176.000000000000000,4507926.419999999925494,12547368.669999999925494
FS( 220 ),4263717.270000000484288,3786477.779999999329448,4517227.919999999925494,12567423.969999998807907
FS( 221 ),4213660.860000000335276,3806726.160000000149012,4535458.860000000335276,12555846.880000000819564
FS( 222 ),4149935.909999999683350,3764134.739999999292195,4548108.899999999441206,12462180.549999997019768
FS( 223 ),4179120.089999999850988,3780193.799999999813735,4584570.780000000260770,12543885.669999999925494
FS( 224 ),4163604.449999999720603,3791365.319999999366701,4599081.120000000111759,12554051.890000000596046
FS( 225 ),4213291.439999999478459,3782288.459999999962747,4577129.580000000074506,12572710.480000000447035
FS( 226 ),4244507.429999999701977,3797649.299999999813735,4625125.320000000298023,12667283.050000000745058
FS( 227 ),4245800.400000000372529,3792063.540000000037253,4634798.879999999888241,12672663.820000000298023
FS( 228 ),4285697.759999999776483,3801140.399999999441206,4627729.740000000223517,12714568.899999998509884
FS( 229 ),4268335.020000000484288,3815803.019999999552965,4608010.559999999590218,12692149.599999999627471
FS( 230 ),4166190.390000000130385,3706182.479999999515712,4504949.939999999478459,12377323.809999998658895
FS( 231 ),4189463.850000000093132,3759247.200000000186265,4529505.899999999441206,12478217.949999999254942
FS( 232 ),4210151.370000000111759,3808122.599999999627471,4613591.459999999962747,12631866.429999999701977
FS( 233 ),4188170.879999999888241,3761341.859999999403954,4570432.500000000000000,12519946.239999998360872
FS( 234 ),4186877.909999999683350,3741093.479999999515712,4499369.040000000037253,12427341.429999999701977
FS( 235 ),4228807.080000000074506,3758548.979999999515712,4538435.339999999850988,12525792.399999998509884
FS( 236 ),4278124.650000000372529,3746679.239999999292195,4536947.099999999627471,12561751.989999998360872
FS( 237 ),4334461.200000000186265,3721543.319999999366701,4505322.000000000000000,12561327.519999999552965
FS( 238 ),4325595.120000000111759,3721543.319999999366701,4466627.759999999776483,12513767.199999999254942
FS( 239 ),4352193.360000000335276,3736205.939999999478459,4360590.660000000149012,12448990.960000000894070
FS( 240 ),4357365.240000000223517,3734809.500000000000000,4372868.639999999664724,12465044.379999998956919
FS( 241 ),4373435.009999999776483,3755756.099999999627471,4339383.240000000223517,12468575.349999999627471
FS( 242 ),4394861.370000000111759,3824879.879999999888241,4370636.280000000260770,12590378.530000001192093
FS( 243 ),4372142.040000000037253,3786477.779999999329448,4430537.939999999478459,12589158.759999997913837
FS( 244 ),4381377.540000000037253,3759945.419999999925494,4545876.540000000037253,12687200.500000000000000
FS( 245 ),4334645.909999999217689,3815104.799999999813735,4576385.459999999962747,12726137.169999998062849
FS( 246 ),4320238.529999999329448,3813010.139999999664724,4642984.200000000186265,12776233.869999999180436
FS( 247 ),4329289.319999999366701,3752963.219999999739230,4585686.959999999962747,12667940.500000000000000
FS( 248 ),4373989.139999999664724,3740395.259999999776483,4594244.339999999850988,12708629.739999998360872
FS( 249 ),4324856.279999999329448,3729223.739999999292195,4598709.059999999590218,12652790.079999998211861
FS( 250 ),4363645.379999999888241,3766229.399999999441206,4648565.099999999627471,12778440.879999998956919
FS( 251 ),4332983.520000000484288,3800442.179999999701977,4632566.520000000484288,12765993.220000000670552
