代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13445319.099999999627471
真實報酬,3445319.099999999627471

夏普值報酬,0.335831910000000
夏普值風險,0.101827421080840
夏普值,3.298049841931939

二次趨勢線,25.466535349644516 x^2 + 9599.093103773424446 x + 10000000.000000000000000
二次加權預期報酬,18172.826671487073327
風險,177157.793504064233275
二次加權趨勢值,0.102579888313354
一次趨勢線,14421.799324818819514 x + 10000000.000000000000000
一次預期報酬,14421.799324818819514
一次風險,253775.908289706829237
一次趨勢值,0.056828874821148
找到最佳解世代,1479
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),BA[2](1),DD[7](3),MRK[17](19),UTX[24](4),V[25](5),
FS( 26 ),1608796.000000000000000,1846304.199999999720603,1687135.270000000018626,1739578.689999999944121,1723617.569999999832362,1694415.699999999720603,10299851.429999999701977
FS( 27 ),1574074.000000000000000,1873461.399999999674037,1700063.230000000447035,1794562.030000000027940,1727884.299999999813735,1679699.950000000186265,10349748.910000000149012
FS( 28 ),1573816.800000000046566,1886594.799999999813735,1698267.680000000167638,1776632.680000000167638,1726771.239999999990687,1675075.000000000000000,10337162.199999999254942
FS( 29 ),1589248.800000000046566,1883701.000000000000000,1721968.940000000409782,1763882.920000000158325,1733635.109999999869615,1688949.850000000093132,10381390.619999999180436
FS( 30 ),1630143.600000000093132,1923991.599999999860302,1729151.140000000130385,1756711.180000000167638,1730481.439999999944121,1666666.000000000000000,10437148.959999999031425
FS( 31 ),1674381.999999999767169,1896166.599999999860302,1701499.670000000391155,1738383.400000000139698,1721020.429999999934807,1661620.600000000093132,10393076.699999999254942
FS( 32 ),1670009.600000000093132,1903512.399999999906868,1697549.460000000428408,1741172.410000000149012,1727327.770000000018626,1639757.199999999953434,10379332.839999999850988
FS( 33 ),1661007.599999999860302,1900396.000000000000000,1710118.310000000055879,1757906.469999999972060,1733635.109999999869615,1674654.549999999813735,10437722.039999999105930
FS( 34 ),1663579.600000000093132,1877245.599999999860302,1660920.240000000223517,1744758.280000000027940,1714713.090000000083819,1658677.450000000186265,10319898.260000001639128
FS( 35 ),1697272.799999999813735,1888152.999999999767169,1676361.970000000204891,1749141.010000000009313,1736232.250000000000000,1682643.100000000093132,10429808.129999998956919
FS( 36 ),1703445.600000000093132,1888820.799999999580905,1651224.270000000018626,1740773.979999999981374,1721576.959999999962747,1723847.199999999953434,10429692.809999998658895
FS( 37 ),1694443.599999999860302,1928221.000000000000000,1636500.760000000242144,1768664.080000000074506,1718794.310000000055879,1760426.349999999860302,10507054.099999999627471
FS( 38 ),1661007.599999999860302,1918871.799999999813735,1625368.350000000093132,1757109.610000000102445,1718052.270000000018626,1773039.850000000093132,10453453.480000000447035
FS( 39 ),1626542.800000000046566,1911080.799999999580905,1628241.230000000447035,1761093.910000000149012,1733264.090000000083819,1785232.899999999906868,10445459.730000000447035
FS( 40 ),1575874.400000000139698,1897724.799999999813735,1604180.860000000335276,1767070.360000000102445,1723803.079999999841675,1759165.000000000000000,10327822.500000000000000
FS( 41 ),1579218.000000000000000,1871903.199999999953434,1582993.370000000111759,1789382.439999999944121,1725101.649999999906868,1765471.750000000000000,10314074.410000000149012
FS( 42 ),1587191.199999999953434,1877913.399999999906868,1585507.140000000130385,1807311.790000000037253,1728997.359999999869615,1731835.749999999767169,10318760.640000000596046
FS( 43 ),1571502.000000000000000,1891046.799999999813735,1607412.850000000093132,1805718.070000000065193,1728255.319999999832362,1749915.099999999860302,10353854.140000000596046
FS( 44 ),1555041.199999999953434,1918203.999999999767169,1580120.490000000223517,1798147.900000000139698,1718608.799999999813735,1736040.250000000000000,10306166.640000000596046
FS( 45 ),1566100.800000000046566,1931114.799999999813735,1568988.080000000074506,1812092.949999999953434,1738458.369999999878928,1747812.849999999860302,10364571.849999999627471
FS( 46 ),1568930.000000000000000,1941354.399999999674037,1607771.960000000428408,1813288.239999999990687,1752186.109999999869615,1731835.749999999767169,10415370.459999999031425
FS( 47 ),1600822.800000000046566,1954932.999999999767169,1627882.120000000111759,1866279.430000000167638,1765728.340000000083819,1755380.949999999953434,10571030.639999998733401
FS( 48 ),1595936.000000000000000,1970737.599999999860302,1629318.560000000055879,1881021.340000000083819,1777600.979999999748543,1762108.149999999906868,10616726.630000000819564
FS( 49 ),1579218.000000000000000,1978751.199999999720603,1623572.800000000279397,1877037.040000000037253,1775189.349999999860302,1742346.999999999767169,10576119.390000000596046
FS( 50 ),1542695.599999999860302,1931559.999999999767169,1543491.270000000018626,1851139.090000000083819,1734933.679999999934807,1695256.599999999860302,10299080.239999998360872
FS( 51 ),1566100.800000000046566,1934231.199999999720603,1548159.700000000186265,1871060.590000000083819,1753299.169999999925494,1731415.300000000046566,10404270.760000001639128
FS( 52 ),1479938.800000000046566,1929779.199999999720603,1549596.140000000130385,1863091.989999999990687,1722504.509999999776483,1705347.400000000139698,10250262.040000000968575
FS( 53 ),1440587.199999999953434,1917091.000000000000000,1543491.270000000018626,1855123.390000000130385,1698388.209999999962747,1696517.949999999953434,10151203.019999999552965
FS( 54 ),1434928.800000000046566,1958049.399999999674037,1562524.100000000093132,1892177.380000000121072,1729368.379999999888241,1723426.750000000000000,10300478.809999998658895
FS( 55 ),1464764.000000000000000,1935344.199999999720603,1584788.920000000391155,1909309.870000000111759,1736974.289999999804422,1718801.800000000046566,10349987.080000000074506
FS( 56 ),1492284.400000000139698,1962946.599999999860302,1619263.480000000447035,1937598.400000000139698,1723246.549999999813735,1741506.100000000093132,10476849.529999999329448
FS( 57 ),1489712.400000000139698,2021935.599999999860302,1645119.400000000372529,1910505.160000000149012,1706736.159999999916181,1756221.850000000093132,10530234.570000000298023
FS( 58 ),1500514.800000000046566,2040633.999999999767169,1737410.670000000391155,1886599.360000000102445,1708776.770000000018626,1773880.749999999767169,10647820.350000001490116
FS( 59 ),1532922.000000000000000,2066900.799999999580905,1709040.980000000447035,1907317.719999999972060,1690967.810000000055879,1757903.650000000139698,10665056.960000000894070
FS( 60 ),1580504.000000000000000,2045753.800000000046566,1732024.020000000018626,1905325.570000000065193,1699686.780000000027940,1765051.299999999813735,10728349.469999998807907
FS( 61 ),1626800.000000000000000,2034846.399999999674037,1734178.680000000167638,1872654.310000000055879,1693564.949999999953434,1770937.599999999860302,10732985.939999999478459
FS( 62 ),1614197.199999999953434,2029726.599999999860302,1695394.800000000279397,1820459.979999999981374,1689112.709999999962747,1745290.149999999906868,10594185.439999999478459
FS( 63 ),1637088.000000000000000,2052654.399999999674037,1693958.360000000335276,1822053.699999999953434,1702098.409999999916181,1843675.449999999953434,10751532.319999998435378
FS( 64 ),1653291.600000000093132,2086712.199999999720603,1736692.450000000186265,1819663.120000000111759,1727327.770000000018626,1887402.250000000000000,10911093.390000000596046
FS( 65 ),1692900.399999999906868,2096729.199999999720603,1739206.220000000204891,1792171.449999999953434,1734377.149999999906868,1880254.599999999860302,10935643.019999999552965
FS( 66 ),1685184.399999999906868,2110085.199999999720603,1766498.580000000074506,1803725.920000000158325,1741426.530000000027940,1889924.950000000186265,10996849.579999998211861
FS( 67 ),1704217.200000000186265,2093390.199999999953434,1765062.140000000130385,1792569.880000000121072,1750887.539999999804422,1884459.099999999860302,10990590.060000000521541
FS( 68 ),1678240.000000000000000,2106078.399999999906868,1785890.520000000018626,1812491.380000000121072,1757936.919999999925494,1877311.449999999953434,11017952.669999998062849
FS( 69 ),1664351.199999999953434,2097842.199999999720603,1762189.260000000242144,1830819.160000000149012,1767026.909999999916181,1878993.249999999767169,11001225.980000000447035
FS( 70 ),1670781.199999999953434,2109417.399999999906868,1756802.610000000335276,1839584.620000000111759,1761461.609999999869615,1880675.049999999813735,11018726.489999998360872
FS( 71 ),1630915.199999999953434,2139468.399999999906868,1786249.630000000353903,1858709.260000000009313,1779641.590000000083819,1895390.799999999813735,11090378.879999998956919
FS( 72 ),1575617.199999999953434,2159724.999999999534339,1807437.120000000111759,1861896.699999999953434,1777415.469999999972060,1910526.999999999767169,11092622.490000000223517
FS( 73 ),1596707.599999999860302,2149930.599999999627471,1795227.380000000353903,1847553.219999999972060,1765542.829999999841675,1889924.950000000186265,11044890.579999998211861
FS( 74 ),1591820.800000000046566,2202019.000000000000000,1831856.600000000093132,1832412.880000000121072,1805984.009999999776483,1939958.500000000000000,11204055.789999999105930
FS( 75 ),1627571.600000000093132,2197567.000000000000000,1821083.300000000279397,1801335.340000000083819,1803757.889999999897555,1908845.199999999953434,11160164.330000000074506
FS( 76 ),1615483.199999999953434,2198234.799999999813735,1829701.940000000409782,1885802.500000000000000,1809694.209999999962747,1908424.750000000000000,11247345.400000000372529
FS( 77 ),1621656.000000000000000,2179981.600000000093132,1795945.600000000093132,1861099.840000000083819,1785577.909999999916181,1893709.000000000000000,11137973.949999999254942
FS( 78 ),1624485.199999999953434,2220494.799999999813735,1795227.380000000353903,1885802.500000000000000,1771479.149999999906868,1872266.050000000046566,11169759.080000001937151
FS( 79 ),1635544.800000000046566,2226059.799999999813735,1794150.050000000279397,1879029.189999999944121,1763131.199999999953434,1896652.149999999906868,11194571.189999999478459
FS( 80 ),1621913.199999999953434,2228508.399999999906868,1791995.390000000130385,1897356.969999999972060,1780383.629999999888241,1892447.649999999906868,11212609.240000000223517
FS( 81 ),1634773.199999999953434,2205803.199999999720603,1786967.850000000093132,1867474.719999999972060,1764615.280000000027940,1872686.500000000000000,11132324.750000000000000
FS( 82 ),1659207.200000000186265,2238080.199999999720603,1779785.650000000372529,1875443.320000000065193,1780198.119999999878928,1902958.899999999906868,11235677.390000000596046
FS( 83 ),1652520.000000000000000,2204244.999999999534339,1762189.260000000242144,1860701.410000000149012,1760534.060000000055879,1872686.500000000000000,11112880.230000000447035
FS( 84 ),1656120.800000000046566,2242532.199999999720603,1756084.390000000130385,1930426.660000000149012,1766655.889999999897555,1894129.449999999720603,11245953.390000000596046
FS( 85 ),1650976.800000000046566,2217378.399999999906868,1770448.790000000037253,1969871.229999999981374,1749032.439999999944121,1894129.449999999720603,11251841.109999999403954
FS( 86 ),1635544.800000000046566,2192447.199999999720603,1721250.720000000204891,1941582.699999999953434,1725472.669999999925494,1863016.150000000139698,11079318.240000000223517
FS( 87 ),1611110.800000000046566,2220717.399999999906868,1733101.350000000093132,1936403.110000000102445,1720649.409999999916181,1885300.000000000000000,11107286.070000000298023
FS( 88 ),1623456.399999999906868,2281487.199999999720603,1756802.610000000335276,1920067.479999999981374,1753113.659999999916181,1891606.750000000000000,11226538.099999999627471
FS( 89 ),1612654.000000000000000,2275922.199999999720603,1755725.280000000260770,1930825.090000000083819,1746435.299999999813735,1916413.299999999813735,11237979.170000001788139
FS( 90 ),1607767.199999999953434,2265014.799999999813735,1738847.110000000335276,1894966.390000000130385,1737901.840000000083819,1888663.600000000093132,11133164.939999999478459
FS( 91 ),1587962.800000000046566,2245648.599999999627471,1728073.810000000055879,1882615.060000000055879,1719350.840000000083819,1883197.750000000000000,11046852.859999999403954
FS( 92 ),1601851.600000000093132,2274141.399999999906868,1771885.230000000447035,1908513.010000000009313,1749217.949999999953434,1915572.400000000139698,11221185.589999999850988
FS( 93 ),1580246.800000000046566,2266795.599999999627471,1739206.220000000204891,1910505.160000000149012,1744209.179999999934807,1901697.549999999813735,11142664.509999997913837
FS( 94 ),1587191.199999999953434,2293507.599999999627471,1746029.310000000055879,1904528.709999999962747,1762018.139999999897555,1916833.750000000000000,11210112.709999999031425
FS( 95 ),1586419.600000000093132,2316880.599999999627471,1770448.790000000037253,1902536.560000000055879,1784093.829999999841675,1934072.199999999953434,11294455.580000000074506
FS( 96 ),1554269.600000000093132,2276144.799999999813735,1743874.650000000372529,1895763.250000000000000,1747177.340000000083819,1919776.899999999906868,11137010.540000000968575
FS( 97 ),1531636.000000000000000,2218046.199999999720603,1697549.460000000428408,1845162.640000000130385,1713229.009999999776483,1876050.099999999860302,10881677.410000000149012
FS( 98 ),1519290.399999999906868,2225614.600000000093132,1668820.660000000149012,1872654.310000000055879,1710075.340000000083819,1886981.800000000046566,10883441.110000001266599
FS( 99 ),1479167.199999999953434,2178200.799999999813735,1654456.260000000242144,1849146.939999999944121,1697275.149999999906868,1873947.849999999860302,10732198.199999999254942
FS( 100 ),1479424.400000000139698,2196454.000000000000000,1661997.570000000298023,1841975.199999999953434,1702654.939999999944121,1897072.599999999860302,10779582.710000000894070
FS( 101 ),1462706.399999999906868,2242754.799999999813735,1646914.950000000186265,1860302.979999999981374,1724916.139999999897555,1919776.899999999906868,10857376.170000001788139
FS( 102 ),1446760.000000000000000,2296178.799999999813735,1654456.260000000242144,1883810.350000000093132,1734748.169999999925494,1937015.349999999860302,10952972.929999999701977
FS( 103 ),1457048.000000000000000,2280374.199999999720603,1645119.400000000372529,1850740.660000000149012,1724174.099999999860302,1921038.249999999767169,10878498.609999999403954
FS( 104 ),1503601.199999999953434,2298182.199999999720603,1661997.570000000298023,1845561.070000000065193,1757565.899999999906868,1947106.150000000139698,11014018.089999999850988
FS( 105 ),1537551.600000000093132,2258782.000000000000000,1659124.690000000409782,1854724.959999999962747,1740127.959999999962747,1947106.150000000139698,10997421.360000001266599
FS( 106 ),1546039.199999999953434,2290391.199999999720603,1658406.470000000204891,1854724.959999999962747,1757380.389999999897555,1966026.399999999906868,11072972.619999999180436
FS( 107 ),1533693.600000000093132,2319551.799999999813735,1671693.540000000037253,1879029.189999999944121,1790772.189999999944121,2005548.700000000186265,11200293.019999999552965
FS( 108 ),1524948.800000000046566,2323336.000000000000000,1692162.810000000055879,1888989.939999999944121,1799120.139999999897555,1977378.550000000046566,11205940.240000000223517
FS( 109 ),1551954.800000000046566,2330236.600000000093132,1739924.440000000409782,1897356.969999999972060,1818413.179999999934807,1967708.199999999720603,11305598.189999999478459
FS( 110 ),1545782.000000000000000,2348489.799999999813735,1728073.810000000055879,1910903.590000000083819,1814146.449999999953434,1962662.800000000046566,11310062.449999999254942
FS( 111 ),1569958.800000000046566,2379208.599999999627471,1748902.190000000409782,1924848.640000000130385,1849393.349999999860302,1996719.250000000000000,11469034.830000000074506
FS( 112 ),1567129.600000000093132,2267686.000000000000000,1744951.980000000447035,1934012.530000000027940,1851990.489999999990687,2004707.800000000046566,11370482.400000000372529
FS( 113 ),1570473.199999999953434,2352051.399999999906868,1759316.380000000353903,1933215.670000000158325,1859596.399999999906868,1999662.400000000139698,11474319.450000001117587
FS( 114 ),1580761.199999999953434,2320219.600000000093132,1737410.670000000391155,1921661.199999999953434,1854958.649999999906868,1990832.949999999953434,11405848.269999999552965
FS( 115 ),1581018.399999999906868,2332685.199999999720603,1776194.550000000279397,1917676.900000000139698,1871098.020000000018626,1993355.649999999906868,11472032.720000000670552
FS( 116 ),1586419.600000000093132,2395903.599999999627471,1768653.240000000223517,1888591.510000000009313,1880002.500000000000000,2007650.949999999953434,11527225.399999998509884
FS( 117 ),1561471.199999999953434,2380989.399999999906868,1772962.560000000055879,1904130.280000000027940,1901150.639999999897555,1996298.799999999813735,11517006.879999998956919
FS( 118 ),1566358.000000000000000,2378763.399999999906868,1769012.350000000093132,1901341.270000000018626,1894286.770000000018626,2010173.650000000139698,11519939.439999999478459
FS( 119 ),1539609.199999999953434,2399465.199999999720603,1766857.690000000409782,1909708.300000000046566,1950125.280000000027940,1982423.949999999953434,11548193.619999999180436
FS( 120 ),1618569.600000000093132,2380766.799999999813735,1757879.940000000409782,1903333.420000000158325,1947713.649999999906868,1963083.249999999767169,11571350.660000000149012
FS( 121 ),1611110.800000000046566,2375201.799999999813735,1789481.620000000111759,1919270.620000000111759,1944003.449999999953434,2045491.449999999953434,11684563.739999998360872
FS( 122 ),1620370.000000000000000,2350715.799999999813735,1774758.110000000335276,1932020.380000000121072,1947342.629999999888241,2030775.699999999720603,11655986.619999999180436
FS( 123 ),1645318.399999999906868,2333130.399999999906868,1789840.730000000447035,1926043.930000000167638,1949197.729999999748543,2017741.750000000000000,11661276.940000001341105
FS( 124 ),1665637.200000000186265,2353609.600000000093132,1793072.720000000204891,1914489.459999999962747,1958473.229999999748543,2012275.899999999906868,11697562.110000001266599
FS( 125 ),1662808.000000000232831,2339585.799999999813735,1791995.390000000130385,1919270.620000000111759,1958473.229999999748543,1860493.449999999953434,11532630.489999998360872
FS( 126 ),1677982.799999999813735,2375201.799999999813735,1810310.000000000000000,1935606.250000000000000,1988340.340000000083819,1883197.750000000000000,11670642.939999999478459
FS( 127 ),1699587.599999999860302,2401913.799999999813735,1852325.870000000111759,1934012.530000000027940,1999285.429999999934807,1934072.199999999953434,11821201.429999999701977
FS( 128 ),1724793.199999999953434,2393009.799999999813735,1865612.940000000409782,1933614.100000000093132,1978322.799999999813735,1939958.500000000000000,11835315.339999999850988
FS( 129 ),1709361.199999999953434,2382770.199999999720603,1844066.340000000316650,1930028.229999999981374,1951609.359999999869615,1922299.599999999860302,11740138.929999999701977
FS( 130 ),1708589.600000000093132,2368969.000000000000000,1855916.970000000204891,1934410.959999999962747,1967006.689999999944121,1906742.949999999953434,11741640.169999999925494
FS( 131 ),1693929.199999999953434,2356058.199999999720603,1887518.650000000372529,1931223.520000000018626,1971273.419999999925494,1900436.200000000186265,11740443.190000001341105
FS( 132 ),1669752.400000000139698,2344705.599999999627471,1945335.360000000335276,1928036.080000000074506,1959400.780000000027940,1889924.950000000186265,11737159.170000001788139
FS( 133 ),1717334.399999999906868,2320442.199999999720603,1916606.560000000055879,1931223.520000000018626,1957916.699999999953434,1889504.499999999767169,11733031.879999998956919
FS( 134 ),1798866.800000000046566,2364739.600000000093132,1937075.830000000074506,1929629.800000000046566,1981290.959999999962747,1884038.650000000139698,11895645.640000000596046
FS( 135 ),1831531.199999999953434,2318661.399999999906868,1930611.850000000093132,1935207.820000000065193,1949012.219999999972060,1874788.750000000000000,11839817.240000000223517
FS( 136 ),1829473.599999999860302,2286829.600000000093132,1900087.500000000000000,1911302.020000000018626,1910611.649999999906868,1828118.799999999813735,11666427.170000001788139
FS( 137 ),1845677.200000000186265,2303302.000000000000000,1886441.320000000298023,1900544.410000000149012,1912281.239999999990687,1819709.800000000046566,11667959.970000000670552
FS( 138 ),1865481.600000000093132,2331127.000000000000000,1873154.250000000000000,1895763.250000000000000,1903933.289999999804422,1839470.949999999953434,11708934.339999997988343
FS( 139 ),1841047.599999999860302,2329123.599999999627471,1889673.310000000055879,1894966.390000000130385,1899666.560000000055879,1820971.150000000139698,11675452.610000001266599
FS( 140 ),1845934.399999999906868,2313096.399999999906868,1899369.280000000260770,1890982.090000000083819,1886680.859999999869615,1875209.199999999953434,11711276.229999998584390
FS( 141 ),1847991.999999999767169,2340476.199999999720603,1901883.050000000279397,1904927.140000000130385,1910055.119999999878928,1880675.049999999813735,11786012.559999998658895
FS( 142 ),1840790.399999999906868,2348044.600000000093132,1981246.360000000335276,1901739.699999999953434,1907086.959999999962747,1882777.300000000046566,11861689.320000000298023
FS( 143 ),1847991.999999999767169,2349157.599999999627471,1976577.930000000167638,1897356.969999999972060,1897811.459999999962747,1839470.949999999953434,11808370.909999998286366
FS( 144 ),1795266.000000000000000,2297514.399999999906868,1920915.880000000353903,1877037.040000000037253,1854031.099999999860302,1830641.500000000000000,11575409.919999999925494
FS( 145 ),1803753.599999999860302,2298849.999999999534339,1915170.120000000111759,1876240.180000000167638,1854773.139999999897555,1841573.199999999720603,11590364.240000000223517
FS( 146 ),1806582.799999999813735,2335801.600000000093132,1918761.220000000204891,1876638.610000000102445,1863677.619999999878928,1843255.000000000000000,11644720.849999999627471
FS( 147 ),1790121.999999999767169,2313319.000000000000000,1912656.350000000093132,1884208.780000000027940,1856999.259999999776483,1833584.649999999906868,11590894.040000000968575
FS( 148 ),1795266.000000000000000,2337582.399999999906868,1914811.010000000242144,1881021.340000000083819,1904489.819999999832362,1860913.899999999906868,11694088.470000000670552
FS( 149 ),1832302.799999999813735,2367856.000000000000000,1932048.290000000037253,1899747.550000000046566,1917475.520000000018626,1852084.449999999720603,11801518.609999999403954
FS( 150 ),1819700.000000000000000,2374088.799999999813735,1964368.190000000409782,1892974.239999999990687,1923411.840000000083819,1852084.449999999720603,11826631.519999999552965
FS( 151 ),1830502.400000000139698,2361177.999999999534339,1971909.500000000000000,1892177.380000000121072,1915063.889999999897555,1857129.850000000093132,11827965.019999999552965
FS( 152 ),1859823.199999999953434,2386109.199999999720603,1984837.460000000428408,1902138.130000000121072,1938252.639999999897555,1876891.000000000000000,11948055.629999998956919
FS( 153 ),1817385.199999999953434,2407924.000000000000000,2044808.830000000074506,1911700.449999999953434,1971273.419999999925494,1940378.949999999953434,12093474.849999999627471
FS( 154 ),1718620.399999999906868,2431519.600000000093132,2037985.740000000223517,1918075.330000000074506,2000398.489999999990687,1958458.299999999813735,12065061.859999999403954
FS( 155 ),1736881.600000000093132,2444207.799999999813735,1987351.230000000447035,1906520.860000000102445,2000398.489999999990687,1945424.350000000093132,12020788.330000000074506
FS( 156 ),1708075.199999999953434,2478265.599999999627471,2039063.070000000298023,1904130.280000000027940,2010787.049999999813735,1986628.449999999953434,12126953.649999998509884
FS( 157 ),1653806.000000000000000,2574874.000000000000000,2035471.970000000204891,1920067.479999999981374,2035088.859999999869615,1990832.949999999953434,12210145.259999999776483
FS( 158 ),1673096.000000000000000,2606928.399999999906868,2030803.540000000037253,1912895.739999999990687,2047889.049999999813735,2013957.699999999953434,12285574.429999999701977
FS( 159 ),1707303.599999999860302,2635643.799999999813735,2089697.580000000074506,1928434.510000000009313,2059390.669999999925494,2035400.649999999906868,12455874.810000000521541
FS( 160 ),1735338.399999999906868,2649890.199999999720603,2076769.620000000111759,1922856.489999999990687,2077756.159999999916181,2046752.800000000046566,12509367.669999999925494
FS( 161 ),1717334.399999999906868,2596243.599999999627471,2030444.430000000167638,1912895.739999999990687,2032862.739999999990687,2090059.149999999906868,12379844.060000000521541
FS( 162 ),1802724.800000000046566,2615832.399999999906868,2006743.170000000391155,1899747.550000000046566,2029894.579999999841675,2062729.900000000139698,12417676.400000000372529
FS( 163 ),1797066.400000000139698,2648999.799999999813735,2000279.190000000409782,1893771.100000000093132,2040654.159999999916181,2032457.500000000000000,12413232.150000000372529
FS( 164 ),1769288.800000000046566,2638092.399999999906868,2038344.850000000093132,1899349.120000000111759,2026926.419999999925494,2013537.250000000000000,12385542.839999999850988
FS( 165 ),1786521.199999999953434,2657458.599999999627471,2045167.940000000409782,1899747.550000000046566,2034346.819999999832362,2034559.750000000000000,12457805.860000001266599
FS( 166 ),1773661.199999999953434,2643212.199999999720603,1995610.760000000242144,1904130.280000000027940,2028781.520000000018626,2029093.899999999906868,12374493.860000001266599
