代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11600513.199999999254942
真實報酬,1600513.199999999254942

夏普值報酬,0.151351320000000
夏普值風險,0.060901331018860
夏普值,2.485189033933104

二次趨勢線,58.315024396506011 x^2 + -7520.843965352564737 x + 10000000.000000000000000
二次加權預期報酬,12111.880914804460190
風險,195993.857898807968013
二次加權趨勢值,0.061797247345669
一次趨勢線,3522.520476499826145 x + 10000000.000000000000000
一次預期報酬,3522.520476499826145
一次風險,459934.690737153694499
一次趨勢值,0.007658740572176
找到最佳解世代,2490
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
KO[14](1),MCD[15](2),
FS( 79 ),4717631.359999999403954,5264398.400000000372529,9982029.759999999776483
FS( 80 ),4705579.040000000037253,5292726.800000000745058,9998305.839999999850988
FS( 81 ),4715909.599999999627471,5277775.700000000186265,9993685.300000000745058
FS( 82 ),4724518.400000000372529,5291153.000000000000000,10015671.400000000372529
FS( 83 ),4734848.959999999962747,5250234.200000000186265,9985083.160000000149012
FS( 84 ),4760675.359999999403954,5317907.600000000558794,10078582.960000000894070
FS( 85 ),4722796.639999999664724,5353318.100000000558794,10076114.740000000223517
FS( 86 ),4674587.359999999403954,5336006.300000000745058,10010593.660000000149012
FS( 87 ),4633265.120000000111759,5327350.400000000372529,9960615.519999999552965
FS( 88 ),4628099.839999999850988,5410761.800000000745058,10038861.640000000596046
FS( 89 ),4700413.759999999776483,5404466.600000000558794,10104880.359999999403954
FS( 90 ),4714187.839999999850988,5392663.100000000558794,10106850.940000001341105
FS( 91 ),4736570.720000000670552,5423352.200000000186265,10159922.920000001788139
FS( 92 ),4731405.440000000409782,5462697.200000000186265,10194102.640000000596046
FS( 93 ),4671143.839999999850988,5442237.799999999813735,10113381.640000000596046
FS( 94 ),4733127.199999999254942,5432008.100000000558794,10165135.300000000745058
FS( 95 ),4762397.120000000111759,5502042.200000000186265,10264439.320000000298023
FS( 96 ),4690083.199999999254942,5535092.000000000931323,10225175.199999999254942
FS( 97 ),4665978.560000000521541,5536665.800000000745058,10202644.360000001266599
FS( 98 ),4676309.120000000111759,5589388.100000000558794,10265697.220000000670552
FS( 99 ),4638430.400000000372529,5598830.900000000372529,10237261.300000000745058
FS( 100 ),4626378.080000000074506,5588601.200000000186265,10214979.280000001192093
FS( 101 ),4552342.400000000372529,5550043.100000000558794,10102385.500000000000000
FS( 102 ),4593664.639999999664724,5535092.000000000931323,10128756.640000000596046
FS( 103 ),4626378.080000000074506,5627946.200000000186265,10254324.280000001192093
FS( 104 ),4602273.440000000409782,5554764.500000000931323,10157037.940000001341105
FS( 105 ),4628099.839999999850988,5620077.200000000186265,10248177.039999999105930
FS( 106 ),4578168.799999999813735,5558699.000000000000000,10136867.800000000745058
FS( 107 ),4619491.040000000037253,5560272.799999999813735,10179763.839999999850988
FS( 108 ),4502411.359999999403954,5462697.200000000186265,9965108.559999998658895
FS( 109 ),4535124.799999999813735,5351744.300000000745058,9886869.100000001490116
FS( 110 ),4652204.479999999515712,5553977.600000000558794,10206182.080000000074506
FS( 111 ),4616047.519999999552965,5546108.600000000558794,10162156.120000001043081
FS( 112 ),4650482.720000000670552,5561059.700000000186265,10211542.420000001788139
FS( 113 ),4605716.959999999962747,5547682.400000000372529,10153399.359999999403954
FS( 114 ),4591942.879999999888241,5476074.500000000931323,10068017.380000000819564
FS( 115 ),4598829.919999999925494,5519354.000000000000000,10118183.919999999925494
FS( 116 ),4571281.759999999776483,5509911.200000000186265,10081192.960000000894070
FS( 117 ),4573003.519999999552965,5461123.400000000372529,10034126.919999999925494
FS( 118 ),4436984.479999999515712,5324202.799999999813735,9761187.279999999329448
FS( 119 ),4442149.759999999776483,5339940.800000000745058,9782090.560000000521541
FS( 120 ),4430097.440000000409782,5324202.799999999813735,9754300.240000000223517
FS( 121 ),4357783.519999999552965,5338367.000000000931323,9696150.519999999552965
FS( 122 ),4311296.000000000000000,5194364.300000000745058,9505660.300000000745058
FS( 123 ),4411158.080000000074506,5288005.400000000372529,9699163.480000000447035
FS( 124 ),4424932.160000000149012,5262037.700000001117587,9686969.860000001266599
FS( 125 ),4416323.359999999403954,5221905.800000000745058,9638229.160000000149012
FS( 126 ),4512741.919999999925494,5332858.700000000186265,9845600.620000001043081
FS( 127 ),4542011.839999999850988,5339153.900000000372529,9881165.740000000223517
FS( 128 ),4414601.599999999627471,5248660.400000000372529,9663262.000000000000000
FS( 129 ),4373279.359999999403954,5252594.900000000372529,9625874.259999999776483
FS( 130 ),4438706.240000000223517,5380859.599999999627471,9819565.839999999850988
FS( 131 ),4421488.639999999664724,5371416.800000000745058,9792905.440000001341105
FS( 132 ),4516185.440000000409782,5458762.700000001117587,9974948.140000000596046
FS( 133 ),4447315.040000000037253,5472140.000000000931323,9919455.040000000968575
FS( 134 ),4435262.720000000670552,5453254.400000000372529,9888517.120000001043081
FS( 135 ),4492080.799999999813735,5539813.400000000372529,10031894.199999999254942
FS( 136 ),4511020.160000000149012,5531157.500000000931323,10042177.660000000149012
FS( 137 ),4507576.639999999664724,5512271.900000000372529,10019848.539999999105930
FS( 138 ),4504133.120000000111759,5498894.599999999627471,10003027.719999998807907
FS( 139 ),4517907.199999999254942,5502042.200000000186265,10019949.399999998509884
FS( 140 ),4516185.440000000409782,5401319.000000000000000,9917504.440000001341105
FS( 141 ),4497246.080000000074506,5400532.099999999627471,9897778.179999999701977
FS( 142 ),4459367.359999999403954,5329711.100000000558794,9789078.460000000894070
FS( 143 ),4326791.839999999850988,5305317.200000000186265,9632109.039999999105930
FS( 144 ),4397384.000000000000000,5298235.100000000558794,9695619.100000001490116
FS( 145 ),4333678.879999999888241,5229774.799999999813735,9563453.679999999701977
FS( 146 ),4314739.519999999552965,5183347.700000001117587,9498087.220000000670552
FS( 147 ),4307852.479999999515712,5249447.299999999813735,9557299.779999999329448
FS( 148 ),4309574.240000000223517,5204594.000000000000000,9514168.240000000223517
FS( 149 ),4342287.679999999701977,5202233.300000000745058,9544520.980000000447035
FS( 150 ),4431819.199999999254942,5296661.300000000745058,9728480.500000000000000
FS( 151 ),4512741.919999999925494,5431221.200000000186265,9943963.120000001043081
FS( 152 ),4511020.160000000149012,5446959.200000000186265,9957979.359999999403954
FS( 153 ),4516185.440000000409782,5503616.000000000000000,10019801.440000001341105
FS( 154 ),4538568.320000000298023,5574437.000000000931323,10113005.320000000298023
FS( 155 ),4547177.120000000111759,5579158.400000000372529,10126335.519999999552965
FS( 156 ),4550620.639999999664724,5612995.100000000558794,10163615.740000000223517
FS( 157 ),4509298.400000000372529,5503616.000000000000000,10012914.400000000372529
FS( 158 ),4500689.599999999627471,5501255.299999999813735,10001944.899999998509884
FS( 159 ),4583334.080000000074506,5576797.700000001117587,10160131.780000001192093
FS( 160 ),4655648.000000000000000,5516993.300000000745058,10172641.300000000745058
FS( 161 ),4671143.839999999850988,5618503.400000000372529,10289647.240000000223517
FS( 162 ),4714187.839999999850988,5500468.400000000372529,10214656.240000000223517
FS( 163 ),4729683.679999999701977,5576797.700000001117587,10306481.380000000819564
FS( 164 ),4740014.240000000223517,5539813.400000000372529,10279827.640000000596046
FS( 165 ),4724518.400000000372529,5490238.700000000186265,10214757.100000001490116
FS( 166 ),4734848.959999999962747,5459549.599999999627471,10194398.559999998658895
FS( 167 ),4745179.519999999552965,5487091.100000000558794,10232270.620000001043081
FS( 168 ),4857093.919999999925494,5528009.900000000372529,10385103.820000000298023
FS( 169 ),4853650.400000000372529,5543747.900000000372529,10397398.300000000745058
FS( 170 ),4869146.240000000223517,5562633.500000000000000,10431779.740000000223517
FS( 171 ),4853650.400000000372529,5543747.900000000372529,10397398.300000000745058
FS( 172 ),4886363.839999999850988,5645258.000000000000000,10531621.839999999850988
FS( 173 ),4917355.519999999552965,5738112.200000000186265,10655467.719999998807907
FS( 174 ),4905303.199999999254942,5731817.000000000931323,10637120.199999999254942
FS( 175 ),4824380.479999999515712,5631880.700000000186265,10456261.179999999701977
FS( 176 ),4795110.560000000521541,5670438.800000000745058,10465549.360000001266599
FS( 177 ),4798554.080000000074506,5657061.500000000000000,10455615.580000000074506
FS( 178 ),4810606.400000000372529,5649192.500000000931323,10459798.900000002235174
FS( 179 ),4831267.519999999552965,5761719.200000000186265,10592986.719999998807907
FS( 180 ),4807162.879999999888241,5764079.900000000372529,10571242.780000001192093
FS( 181 ),4758953.599999999627471,5742046.700000000186265,10501000.300000000745058
FS( 182 ),4760675.359999999403954,5750702.600000000558794,10511377.960000000894070
FS( 183 ),4786501.759999999776483,5771162.000000000931323,10557663.760000001639128
FS( 184 ),4791667.040000000037253,5722374.200000000186265,10514041.240000000223517
FS( 185 ),4769284.160000000149012,5759358.500000000000000,10528642.660000000149012
FS( 186 ),4748623.040000000037253,5756997.799999999813735,10505620.839999999850988
FS( 187 ),4834711.040000000037253,5822310.500000000000000,10657021.539999999105930
FS( 188 ),4783058.240000000223517,5723948.000000000000000,10507006.240000000223517
FS( 189 ),4810606.400000000372529,5749128.800000000745058,10559735.200000001117587
FS( 190 ),4934573.120000000111759,5865590.000000000931323,10800163.120000001043081
FS( 191 ),4939738.400000000372529,5903361.200000000186265,10843099.600000001490116
FS( 192 ),4955234.240000000223517,5908869.500000000931323,10864103.740000002086163
FS( 193 ),4962121.280000000260770,5964739.400000000372529,10926860.679999999701977
FS( 194 ),4979338.879999999888241,5986772.600000000558794,10966111.480000000447035
FS( 195 ),5018939.359999999403954,5852212.700000001117587,10871152.060000000521541
FS( 196 ),5037878.720000000670552,5902574.300000000745058,10940453.020000001415610
FS( 197 ),4996556.479999999515712,5867950.700000000186265,10864507.179999999701977
FS( 198 ),4958677.759999999776483,5818376.000000000000000,10777053.759999999776483
FS( 199 ),4943181.919999999925494,5878967.299999999813735,10822149.219999998807907
FS( 200 ),4951790.720000000670552,5886049.400000000372529,10837840.120000001043081
FS( 201 ),4955234.240000000223517,5848278.200000000186265,10803512.440000001341105
FS( 202 ),4991391.199999999254942,5910443.300000000745058,10901834.500000000000000
FS( 203 ),5003443.519999999552965,5941919.300000000745058,10945362.820000000298023
FS( 204 ),5013774.080000000074506,5912017.099999999627471,10925791.179999999701977
FS( 205 ),4982782.400000000372529,5873459.000000000000000,10856241.400000000372529
FS( 206 ),5046487.519999999552965,5909656.400000000372529,10956143.919999999925494
FS( 207 ),5044765.759999999776483,5882901.800000000745058,10927667.560000000521541
FS( 208 ),5087809.759999999776483,5872672.099999999627471,10960481.859999999403954
FS( 209 ),5058539.839999999850988,5858507.900000000372529,10917047.740000000223517
FS( 210 ),5037878.720000000670552,5863229.300000000745058,10901108.020000001415610
FS( 211 ),5089531.519999999552965,5895492.200000000186265,10985023.719999998807907
FS( 212 ),5068870.400000000372529,5897852.900000000372529,10966723.300000000745058
FS( 213 ),5136019.040000000037253,5966313.200000000186265,11102332.240000000223517
FS( 214 ),5144627.839999999850988,5933263.400000000372529,11077891.240000000223517
FS( 215 ),5117079.679999999701977,5969460.800000000745058,11086540.480000000447035
FS( 216 ),5115357.919999999925494,5988346.400000000372529,11103704.320000000298023
FS( 217 ),5127410.240000000223517,5948214.500000000931323,11075624.740000002086163
FS( 218 ),5130853.759999999776483,5947427.600000000558794,11078281.359999999403954
FS( 219 ),5160123.679999999701977,5960804.900000000372529,11120928.580000000074506
FS( 220 ),5158401.919999999925494,6062315.000000000931323,11220716.920000001788139
FS( 221 ),5160123.679999999701977,6096938.600000000558794,11257062.280000001192093
FS( 222 ),5165288.959999999962747,6084348.200000000186265,11249637.160000000149012
FS( 223 ),5194558.879999999888241,6058380.500000000000000,11252939.379999998956919
FS( 224 ),5265151.040000000037253,6091430.299999999813735,11356581.339999999850988
FS( 225 ),5292699.199999999254942,6172481.000000000000000,11465180.199999999254942
FS( 226 ),5304751.519999999552965,6181136.900000000372529,11485888.419999999925494
FS( 227 ),5253098.720000000670552,6192940.400000000372529,11446039.120000001043081
FS( 228 ),5272038.080000000074506,6197661.800000000745058,11469699.880000000819564
FS( 229 ),5268594.560000000521541,6096938.600000000558794,11365533.160000000149012
FS( 230 ),5270316.320000000298023,6096938.600000000558794,11367254.920000001788139
FS( 231 ),5278925.120000000111759,6119758.700000000186265,11398683.820000000298023
FS( 232 ),5313360.320000000298023,6128414.599999999627471,11441774.919999999925494
FS( 233 ),5325412.639999999664724,6169333.400000000372529,11494746.039999999105930
FS( 234 ),5334021.440000000409782,6177202.400000000372529,11511223.839999999850988
FS( 235 ),5377065.440000000409782,6230711.600000000558794,11607777.040000000968575
FS( 236 ),5387396.000000000000000,6240154.400000000372529,11627550.400000000372529
FS( 237 ),5377065.440000000409782,6240941.300000000745058,11618006.740000002086163
FS( 238 ),5392561.280000000260770,6224416.400000000372529,11616977.679999999701977
FS( 239 ),5385674.240000000223517,6255892.400000000372529,11641566.640000000596046
FS( 240 ),5406335.359999999403954,6271630.400000000372529,11677965.759999999776483
FS( 241 ),5416665.919999999925494,6204743.900000000372529,11621409.820000000298023
FS( 242 ),5420109.440000000409782,6222055.700000000186265,11642165.140000000596046
FS( 243 ),5344352.000000000000000,6092217.200000000186265,11436569.199999999254942
FS( 244 ),5382230.720000000670552,6166972.700000001117587,11549203.420000001788139
FS( 245 ),5495866.879999999888241,6218121.200000000186265,11713988.080000000074506
FS( 246 ),5537189.119999999180436,6266909.000000000000000,11804098.119999999180436
FS( 247 ),5533745.599999999627471,6257466.200000000186265,11791211.800000000745058
FS( 248 ),5476927.519999999552965,6217334.300000000745058,11694261.820000000298023
FS( 249 ),5563015.520000000484288,6254318.600000000558794,11817334.120000001043081
FS( 250 ),5519971.520000000484288,6180350.000000000931323,11700321.520000001415610
FS( 251 ),5457988.160000000149012,6158316.800000000745058,11616304.960000000894070
FS( 252 ),5439048.799999999813735,6161464.400000000372529,11600513.199999999254942
