代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16252256.140000000596046
真實報酬,6252256.140000000596046

夏普值報酬,0.616525614000000
夏普值風險,0.175882844727964
夏普值,3.505319776659127

二次趨勢線,48.375816116288149 x^2 + 17105.035523228052625 x + 10000000.000000000000000
二次加權預期報酬,33391.560282378392003
風險,489599.478034934727475
二次加權趨勢值,0.068201788973304
一次趨勢線,26266.169777614406485 x + 10000000.000000000000000
一次預期報酬,26266.169777614406485
一次風險,599039.214032497489825
一次趨勢值,0.043847162526808
找到最佳解世代,1915
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](4),INTC[11](5),
FS( 46 ),5532360.460000000894070,4728725.089999999850988,10261085.550000000745058
FS( 47 ),5523314.169999999925494,4630955.959999999962747,10154270.129999998956919
FS( 48 ),5547711.740000001154840,4665381.709999999962747,10213093.450000001117587
FS( 49 ),5591298.410000001080334,4633710.019999999552965,10225008.429999999701977
FS( 50 ),5654622.440000001341105,4670889.829999999143183,10325512.269999999552965
FS( 51 ),5659282.650000000372529,4716331.819999999366701,10375614.469999998807907
FS( 52 ),5653525.919999999925494,4714954.790000000037253,10368480.710000000894070
FS( 53 ),5716027.560000000521541,4775544.109999999403954,10491571.669999999925494
FS( 54 ),5729459.930000000633299,4746626.479999999515712,10476086.410000000149012
FS( 55 ),5708626.050000000745058,4754888.659999999217689,10463514.710000000894070
FS( 56 ),5780996.370000000111759,4759019.750000000000000,10540016.120000001043081
FS( 57 ),5764548.570000000298023,4785183.319999999366701,10549731.890000000596046
FS( 58 ),5815536.750000000000000,4782429.259999998845160,10597966.009999997913837
FS( 59 ),5816633.270000000484288,4750757.569999999366701,10567390.839999999850988
FS( 60 ),5824308.910000001080334,4774167.079999999143183,10598475.990000000223517
FS( 61 ),6399707.780000000260770,4785183.319999999366701,11184891.099999999627471
FS( 62 ),6606675.930000000633299,4815477.979999999515712,11422153.910000000149012
FS( 63 ),6614077.440000001341105,4862297.000000000000000,11476374.440000001341105
FS( 64 ),6646698.910000001080334,4884329.479999999515712,11531028.390000000596046
FS( 65 ),6563911.650000000372529,5005508.119999999180436,11569419.769999999552965
FS( 66 ),6523066.280000000260770,5045441.989999999292195,11568508.269999999552965
FS( 67 ),6531290.180000000633299,5024786.540000000037253,11556076.720000000670552
FS( 68 ),6516487.160000001080334,4998622.969999998807907,11515110.129999998956919
FS( 69 ),6585567.919999999925494,5016524.359999999403954,11602092.279999999329448
FS( 70 ),6565556.430000000633299,5013770.299999998882413,11579326.730000000447035
FS( 71 ),6423282.960000000894070,5038556.839999999850988,11461839.800000000745058
FS( 72 ),6384082.370000000111759,4976590.489999999292195,11360672.859999999403954
FS( 73 ),6438908.370000000111759,4939410.679999998770654,11378319.049999998882413
FS( 74 ),6501135.880000000819564,5004131.089999999850988,11505266.970000000670552
FS( 75 ),6556510.140000000596046,4957312.069999999366701,11513822.210000000894070
FS( 76 ),6513197.600000000558794,4931148.500000000000000,11444346.100000001490116
FS( 77 ),6458371.600000000558794,4843018.579999999143183,11301390.179999999701977
FS( 78 ),6463305.940000001341105,4820986.099999998696148,11284292.039999999105930
FS( 79 ),6460838.770000000484288,4808592.829999999143183,11269431.599999999627471
FS( 80 ),6572409.680000000633299,4771413.019999999552965,11343822.699999999254942
FS( 81 ),6526904.100000000558794,4772790.049999998882413,11299694.149999998509884
FS( 82 ),6544722.550000000745058,4779675.199999999254942,11324397.750000000000000
FS( 83 ),6466595.500000000000000,4774167.079999999143183,11240762.579999998211861
FS( 84 ),6501958.270000000484288,4771413.019999999552965,11273371.289999999105930
FS( 85 ),6592695.300000000745058,4782429.259999998845160,11375124.559999998658895
FS( 86 ),6591872.910000001080334,4804461.739999999292195,11396334.650000000372529
FS( 87 ),6569942.510000000707805,4829248.279999999329448,11399190.789999999105930
FS( 88 ),6588309.220000000670552,4832002.339999999850988,11420311.560000000521541
FS( 89 ),6497023.930000000633299,4822363.129999999888241,11319387.060000000521541
FS( 90 ),6431780.990000001154840,4924263.349999998696148,11356044.339999999850988
FS( 91 ),6478108.960000000894070,4893968.689999999478459,11372077.650000000372529
FS( 92 ),6545819.070000000298023,4845772.639999998733401,11391591.709999999031425
FS( 93 ),6595436.600000000558794,4925640.379999999888241,11521076.980000000447035
FS( 94 ),6595162.470000000670552,4969705.339999999850988,11564867.810000000521541
FS( 95 ),6632170.020000000484288,5002754.059999999590218,11634924.080000000074506
FS( 96 ),6722632.919999999925494,5023409.509999998845160,11746042.429999999701977
FS( 97 ),6825979.930000000633299,5095015.069999999366701,11920995.000000000000000
FS( 98 ),6937824.970000000670552,5095015.069999999366701,12032840.039999999105930
FS( 99 ),6920828.910000001080334,5126686.759999998845160,12047515.669999999925494
FS( 100 ),7003067.910000001080334,5104654.279999999329448,12107722.190000001341105
FS( 101 ),7018967.450000001117587,5122555.669999999925494,12141523.120000001043081
FS( 102 ),7030206.780000000260770,5119801.609999999403954,12150008.390000000596046
FS( 103 ),6971817.090000000782311,5117047.549999998882413,12088864.640000000596046
FS( 104 ),6954821.030000000260770,5159735.479999999515712,12114556.509999999776483
FS( 105 ),6998133.570000000298023,5169374.689999999478459,12167508.259999999776483
FS( 106 ),6970446.440000001341105,5209308.559999999590218,12179755.000000000000000
FS( 107 ),6968801.660000001080334,5243734.309999999590218,12212535.970000000670552
FS( 108 ),7017596.800000000745058,5375929.189999999478459,12393525.990000000223517
FS( 109 ),7003067.910000001080334,5422748.209999999962747,12425816.120000001043081
FS( 110 ),7011291.810000000521541,5417240.089999999850988,12428531.900000000372529
FS( 111 ),7097094.500000000000000,5443403.659999999217689,12540498.160000000149012
FS( 112 ),7088596.469999999739230,5457173.959999999962747,12545770.429999999701977
FS( 113 ),7083388.000000000000000,5488845.649999999441206,12572233.649999998509884
FS( 114 ),7153017.020000000484288,5459928.019999999552965,12612945.039999999105930
FS( 115 ),7166997.650000000372529,5411731.969999998807907,12578729.619999999180436
FS( 116 ),7179881.760000001639128,5396584.639999998733401,12576466.400000000372529
FS( 117 ),7147808.550000000745058,5462682.079999999143183,12610490.629999998956919
FS( 118 ),7120669.680000000633299,5475075.349999998696148,12595745.029999999329448
FS( 119 ),7089692.990000001154840,5479206.439999999478459,12568899.429999999701977
FS( 120 ),7128619.450000001117587,5542549.819999999366701,12671169.269999999552965
FS( 121 ),7101206.450000001117587,5520517.339999999850988,12621723.790000000968575
FS( 122 ),7257734.680000000633299,5567336.359999999403954,12825071.039999999105930
FS( 123 ),7191121.090000000782311,5622417.559999999590218,12813538.650000000372529
FS( 124 ),7292000.930000000633299,5638941.919999999925494,12930942.850000001490116
FS( 125 ),7084210.390000001527369,5615532.409999999217689,12699742.800000000745058
FS( 126 ),7107511.440000000409782,5694023.119999999180436,12801534.559999998658895
FS( 127 ),7030480.910000000149012,6114017.269999999552965,13144498.179999999701977
FS( 128 ),7106963.180000000633299,6109886.179999998770654,13216849.359999999403954
FS( 129 ),7072148.670000000856817,6264113.540000000037253,13336262.210000000894070
FS( 130 ),7086403.430000000633299,6432111.199999999254942,13518514.629999998956919
FS( 131 ),7199619.120000000111759,6485815.369999999180436,13685434.489999998360872
FS( 132 ),7175495.680000000633299,6381161.089999999850988,13556656.769999999552965
FS( 133 ),7239093.840000000782311,6430734.169999999925494,13669828.010000001639128
FS( 134 ),7295564.620000000111759,6441750.409999999217689,13737315.029999999329448
FS( 135 ),7280213.340000000782311,6430734.169999999925494,13710947.510000001639128
FS( 136 ),7201538.030000000260770,6375652.969999998807907,13577191.000000000000000
FS( 137 ),7150823.980000001378357,6276506.809999999590218,13427330.790000000968575
FS( 138 ),7193862.390000001527369,6299916.319999999366701,13493778.710000000894070
FS( 139 ),7175769.810000000521541,6315063.649999999441206,13490833.460000000894070
FS( 140 ),7205924.110000001266599,6259982.449999999254942,13465906.560000000521541
FS( 141 ),7228951.030000000260770,6286146.019999999552965,13515097.050000000745058
FS( 142 ),7189476.310000000521541,6145688.959999999962747,13335165.269999999552965
FS( 143 ),7254445.120000000111759,6144311.929999998770654,13398757.049999998882413
FS( 144 ),7319139.800000000745058,6188376.889999998733401,13507516.689999999478459
FS( 145 ),7268699.879999999888241,6148443.019999999552965,13417142.899999998509884
FS( 146 ),7288711.370000000111759,6162213.319999999366701,13450924.689999999478459
FS( 147 ),7280487.469999999739230,6126410.540000000037253,13406898.009999999776483
FS( 148 ),7346552.800000000745058,6159459.259999998845160,13506012.059999998658895
FS( 149 ),7382463.830000001005828,6052050.919999999925494,13434514.750000000000000
FS( 150 ),7588061.330000001005828,6174606.589999999850988,13762667.920000001788139
FS( 151 ),7439482.870000000111759,6152574.109999999403954,13592056.980000000447035
FS( 152 ),7620134.540000000968575,6126410.540000000037253,13746545.080000001937151
FS( 153 ),7553520.950000001117587,5981822.389999998733401,13535343.339999999850988
FS( 154 ),7628358.440000000409782,5983199.419999999925494,13611557.859999999403954
FS( 155 ),7729786.540000000968575,5932249.309999999590218,13662035.850000001490116
FS( 156 ),7837519.629999999888241,5969429.119999999180436,13806948.750000000000000
FS( 157 ),7762408.010000001639128,6012117.049999998882413,13774525.060000000521541
FS( 158 ),7948268.150000000372529,5966675.059999999590218,13914943.210000000894070
FS( 159 ),8000352.849999999627471,5968052.089999999850988,13968404.939999999478459
FS( 160 ),8056275.370000000111759,5957035.849999998696148,14013311.219999998807907
FS( 161 ),8057920.150000000372529,6136049.750000000000000,14193969.900000000372529
FS( 162 ),8118228.750000000000000,6370144.849999998696148,14488373.599999997764826
FS( 163 ),8148657.180000000633299,6477553.189999999478459,14626210.370000001043081
FS( 164 ),8166475.629999999888241,6549158.750000000000000,14715634.379999998956919
FS( 165 ),8087800.320000000298023,6438996.349999998696148,14526796.669999998062849
FS( 166 ),8089719.230000001378357,6430734.169999999925494,14520453.400000002235174
FS( 167 ),8096846.610000001266599,6345358.309999999590218,14442204.920000001788139
FS( 168 ),8103973.990000001154840,6349489.399999999441206,14453463.390000000596046
FS( 169 ),8123985.480000001378357,6364636.729999999515712,14488622.210000000894070
FS( 170 ),8084510.760000001639128,6356374.549999998882413,14440885.310000000521541
FS( 171 ),8137417.849999999627471,6451389.619999999180436,14588807.469999998807907
FS( 172 ),8163734.330000001005828,6232441.849999998696148,14396176.179999999701977
FS( 173 ),8132757.640000001527369,6118148.359999999403954,14250906.000000000000000
FS( 174 ),8466373.850000001490116,6160836.290000000037253,14627210.140000000596046
FS( 175 ),8502284.879999998956919,6160836.290000000037253,14663121.169999998062849
FS( 176 ),8729264.519999999552965,6006608.929999998770654,14735873.449999999254942
FS( 177 ),8779430.309999998658895,5852381.569999999366701,14631811.879999998956919
FS( 178 ),8994896.490000002086163,5977691.299999998882413,14972587.790000000968575
FS( 179 ),9216667.660000000149012,5954281.790000000037253,15170949.449999999254942
FS( 180 ),9187884.010000001639128,5940511.489999999292195,15128395.500000000000000
FS( 181 ),9622380.059999998658895,6112640.239999999292195,15735020.299999997019768
FS( 182 ),9324949.010000001639128,6125033.509999998845160,15449982.519999999552965
FS( 183 ),9258335.420000001788139,6171852.529999999329448,15430187.950000001117587
FS( 184 ),9265736.929999999701977,6299916.319999999366701,15565653.250000000000000
FS( 185 ),9199671.600000001490116,6342604.250000000000000,15542275.850000001490116
FS( 186 ),9174999.900000002235174,6266867.599999998696148,15441867.500000000000000
FS( 187 ),9405817.359999999403954,6237949.969999998807907,15643767.329999998211861
FS( 188 ),9408832.790000002831221,6896170.309999999590218,16305003.100000001490116
FS( 189 ),9343041.589999999850988,6882400.009999998845160,16225441.599999997764826
FS( 190 ),9257787.160000000149012,6718533.439999999478459,15976320.599999999627471
FS( 191 ),9714487.740000002086163,6629026.489999999292195,16343514.230000000447035
FS( 192 ),9784939.150000002235174,6561552.019999999552965,16346491.170000001788139
FS( 193 ),9564812.760000001639128,6354997.519999999552965,15919810.280000001192093
FS( 194 ),9015730.370000001043081,6130541.629999999888241,15146272.000000000000000
FS( 195 ),9345508.760000001639128,6184245.799999998882413,15529754.560000000521541
FS( 196 ),9543156.490000002086163,6224179.669999999925494,15767336.160000002011657
FS( 197 ),9037112.510000001639128,5886807.319999999366701,14923919.830000001937151
FS( 198 ),9124011.719999998807907,6052050.919999999925494,15176062.639999998733401
FS( 199 ),9424732.330000001937151,6173229.559999999590218,15597961.890000000596046
FS( 200 ),9407188.010000001639128,6122279.449999999254942,15529467.460000000894070
FS( 201 ),9453515.980000000447035,6248966.209999999962747,15702482.190000001341105
FS( 202 ),9771780.910000000149012,6323325.829999999143183,16095106.739999998360872
FS( 203 ),9732854.450000002980232,6273752.750000000000000,16006607.200000002980232
FS( 204 ),9686526.480000000447035,6378407.029999999329448,16064933.509999999776483
FS( 205 ),9659661.740000002086163,6326079.889999998733401,15985741.630000000819564
FS( 206 ),9756977.890000000596046,6306801.469999998807907,16063779.359999999403954
FS( 207 ),9777263.510000001639128,6572568.259999998845160,16349831.769999999552965
FS( 208 ),9964220.170000001788139,6762598.399999999441206,16726818.570000000298023
FS( 209 ),9996019.250000000000000,6872760.799999998882413,16868780.049999997019768
FS( 210 ),9929405.660000000149012,6787384.939999999478459,16716790.599999999627471
FS( 211 ),9586194.900000002235174,6587715.589999999850988,16173910.490000002086163
FS( 212 ),9448581.640000000596046,6744697.009999998845160,16193278.649999998509884
FS( 213 ),9670078.679999999701977,6850728.319999999366701,16520807.000000000000000
FS( 214 ),9565086.890000000596046,6982923.199999999254942,16548010.089999999850988
FS( 215 ),9513550.450000002980232,7066922.029999999329448,16580472.480000002309680
FS( 216 ),9559878.420000001788139,6987054.290000000037253,16546932.710000000894070
FS( 217 ),9718599.690000001341105,7186723.639999998733401,16905323.329999998211861
FS( 218 ),9435423.400000002235174,7094462.629999999888241,16529886.030000001192093
FS( 219 ),9284103.640000000596046,7130265.409999999217689,16414369.050000000745058
FS( 220 ),9053560.309999998658895,7141281.649999999441206,16194841.959999997168779
FS( 221 ),9045884.670000001788139,7006332.709999999962747,16052217.380000002682209
FS( 222 ),9059317.040000002831221,7046266.579999999143183,16105583.620000001043081
FS( 223 ),9094679.809999998658895,6999447.559999999590218,16094127.369999997317791
FS( 224 ),9255594.120000001043081,7098593.719999998807907,16354187.839999999850988
FS( 225 ),9241065.230000000447035,7099970.750000000000000,16341035.980000000447035
FS( 226 ),8761611.859999999403954,6999447.559999999590218,15761059.419999998062849
FS( 227 ),8799715.929999999701977,6797024.149999999441206,15596740.079999998211861
FS( 228 ),9018197.540000002831221,7226657.509999998845160,16244855.050000000745058
FS( 229 ),8803005.490000002086163,7049020.639999998733401,15852026.130000000819564
FS( 230 ),8772851.190000001341105,6830072.869999999180436,15602924.060000000521541
FS( 231 ),8988317.370000001043081,7171576.309999999590218,16159893.679999999701977
FS( 232 ),8839190.650000002235174,6736434.829999999143183,15575625.480000000447035
FS( 233 ),9068911.589999999850988,6850728.319999999366701,15919639.910000000149012
FS( 234 ),8976255.650000002235174,6883777.040000000037253,15860032.690000001341105
FS( 235 ),9221876.129999998956919,6937481.209999999962747,16159357.339999999850988
FS( 236 ),8940070.490000002086163,6718533.439999999478459,15658603.930000001564622
FS( 237 ),8840287.170000001788139,6823187.719999998807907,15663474.890000000596046
FS( 238 ),9178837.719999998807907,7060036.879999999888241,16238874.599999997764826
FS( 239 ),8974062.609999999403954,7036627.369999999180436,16010689.979999998584390
FS( 240 ),9251482.170000001788139,7259706.229999999515712,16511188.400000002235174
FS( 241 ),9026695.570000000298023,7141281.649999999441206,16167977.219999998807907
FS( 242 ),9094953.940000001341105,7215641.269999999552965,16310595.210000000894070
FS( 243 ),9230648.290000002831221,7372622.689999999478459,16603270.980000002309680
FS( 244 ),9347975.929999999701977,7382261.899999999441206,16730237.829999998211861
FS( 245 ),9338107.250000000000000,7190854.729999999515712,16528961.980000000447035
FS( 246 ),9284103.640000000596046,7095839.659999999217689,16379943.300000000745058
FS( 247 ),9288763.850000001490116,7036627.369999999180436,16325391.220000000670552
FS( 248 ),9020664.710000000894070,7084823.419999999925494,16105488.130000000819564
FS( 249 ),9398964.109999999403954,7075184.209999999962747,16474148.320000000298023
FS( 250 ),9397045.200000002980232,7305148.219999998807907,16702193.420000001788139
FS( 251 ),9344686.370000001043081,7261083.259999998845160,16605769.629999998956919
FS( 252 ),9144023.210000000894070,7108232.929999998770654,16252256.140000000596046
