代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11931087.688500000000
真實報酬,1931087.688500000200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14802.232688430249
風險,80176.516679395500
起點值,0.184620551023
找到最佳解世代,1990
找到最佳解實驗#,9
找到最佳解次數,4

投資組合檔數,13
1102(1)[12],2002(7)[43],2308(14)[3],2409(23)[6],2412(24)[4],2454(25)[11],2882(31)[29],2887(36)[28],2912(40)[20],3008(41)[2],3045(42)[17],4938(46)[1],9999(50)[42],
FS( 23 ),773309.999999999880,775010.000000000000,871630.000000000120,848280.000000000000,785729.999999999880,797950.000000000000,765870.000000000000,750480.000000000000,865390.000000000000,769230.000000000000,808030.000000000000,869970.000000000000,769230.000000000000,10450120.000000000000
FS( 24 ),773309.999999999880,775010.000000000000,847679.999999999880,893329.999999999880,783229.999999999880,782750.000000000000,769230.000000000000,752730.000000000000,872510.000000000000,769230.000000000000,808030.000000000000,873879.999999999880,769230.000000000000,10470160.000000000000
FS( 25 ),773309.999999999880,775010.000000000000,843329.999999999880,896730.000000000000,784030.000000000000,787810.000000000000,771750.000000000000,750480.000000000000,874270.000000000000,769230.000000000000,808030.000000000000,857090.000000000000,769230.000000000000,10460310.000000000000
FS( 26 ),774270.000000000120,771950.000000000000,843329.999999999880,878029.999999999880,781530.000000000000,786130.000000000000,773430.000000000000,763980.000000000000,879630.000000000000,769230.000000000000,812930.000000000000,848580.000000000000,769230.000000000000,10452260.000000000000
FS( 27 ),774270.000000000120,775010.000000000000,847679.999999999880,907779.999999999880,783229.999999999880,788670.000000000000,773430.000000000000,763980.000000000000,893870.000000000000,769230.000000000000,816930.000000000000,853180.000000000000,769230.000000000000,10516500.000000000000
FS( 28 ),788909.999999999880,777730.000000000000,847679.999999999880,904380.000000000000,785729.999999999880,802170.000000000000,786870.000000000000,772229.999999999880,900990.000000000000,769230.000000000000,821830.000000000000,860770.000000000000,769230.000000000000,10587760.000000000000
FS( 29 ),801870.000000000120,775010.000000000000,843329.999999999880,900980.000000000000,785729.999999999880,794570.000000000000,782670.000000000120,769230.000000000000,883190.000000000000,769230.000000000000,829930.000000000000,857090.000000000000,769230.000000000000,10562070.000000000000
FS( 30 ),781230.000000000000,773310.000000000000,825880.000000000120,885679.999999999880,785729.999999999880,786130.000000000000,775110.000000000000,766980.000000000000,886750.000000000000,769230.000000000000,825030.000000000000,841220.000000000000,769230.000000000000,10471520.000000000000
FS( 31 ),795870.000000000120,780790.000000000000,838980.000000000000,848280.000000000000,788229.999999999880,780210.000000000000,767550.000000000120,760980.000000000000,904550.000000000000,769230.000000000000,833930.000000000120,860770.000000000000,769230.000000000000,10498610.000000000000
FS( 32 ),794909.999999999880,773310.000000000000,830230.000000000000,885679.999999999880,788229.999999999880,772610.000000000000,763350.000000000000,758730.000000000000,900990.000000000000,769230.000000000000,833130.000000000000,866290.000000000000,769230.000000000000,10505930.000000000000
FS( 33 ),797790.000000000000,773310.000000000000,838980.000000000000,874630.000000000120,790630.000000000000,788670.000000000000,766709.999999999880,755730.000000000000,911670.000000000000,769230.000000000000,831530.000000000000,867209.999999999880,769230.000000000000,10535330.000000000000
FS( 34 ),798750.000000000000,775010.000000000000,845480.000000000000,881430.000000000000,792329.999999999880,781070.000000000000,765870.000000000000,758730.000000000000,902750.000000000000,769230.000000000000,833130.000000000000,858930.000000000000,769230.000000000000,10531950.000000000000
FS( 35 ),800909.999999999880,769230.000000000000,845480.000000000000,889080.000000000000,791530.000000000000,801330.000000000000,765870.000000000000,752730.000000000000,908110.000000000000,769230.000000000000,826630.000000000000,861690.000000000000,769230.000000000000,10551060.000000000000
FS( 36 ),800909.999999999880,767529.999999999880,849830.000000000000,919680.000000000000,791530.000000000000,803030.000000000000,775110.000000000000,752730.000000000000,900990.000000000000,769230.000000000000,821830.000000000000,865370.000000000000,769230.000000000000,10587010.000000000000
FS( 37 ),811710.000000000000,769230.000000000000,845480.000000000000,900980.000000000000,792329.999999999880,807250.000000000000,772589.999999999880,750480.000000000000,895630.000000000000,769230.000000000000,821830.000000000000,868129.999999999880,769230.000000000000,10574110.000000000000
FS( 38 ),811710.000000000000,773310.000000000000,843329.999999999880,907779.999999999880,792329.999999999880,814850.000000000000,766709.999999999880,745230.000000000000,900990.000000000000,769230.000000000000,821830.000000000000,884920.000000000120,769230.000000000000,10601460.000000000000
FS( 39 ),797790.000000000000,761750.000000000000,838980.000000000000,870380.000000000000,785729.999999999880,801330.000000000000,753060.000000000000,750480.000000000000,897430.000000000000,769230.000000000000,815330.000000000120,862610.000000000000,769230.000000000000,10473340.000000000000
FS( 40 ),792029.999999999880,757330.000000000000,865130.000000000000,885679.999999999880,788229.999999999880,829210.000000000000,746339.999999999880,755730.000000000000,893870.000000000000,769230.000000000000,827430.000000000000,861690.000000000000,769230.000000000000,10541140.000000000000
FS( 41 ),801870.000000000120,755970.000000000000,852030.000000000000,885679.999999999880,789030.000000000000,825830.000000000000,750540.000000000000,758730.000000000000,904550.000000000000,769230.000000000000,831530.000000000000,868129.999999999880,769230.000000000000,10562360.000000000000
FS( 42 ),801870.000000000120,761750.000000000000,847679.999999999880,862730.000000000000,789829.999999999880,806390.000000000000,742140.000000000000,747480.000000000120,909870.000000000000,769230.000000000000,833130.000000000000,861690.000000000000,769230.000000000000,10503030.000000000000
FS( 43 ),807630.000000000000,763110.000000000000,847679.999999999880,885679.999999999880,791530.000000000000,862150.000000000000,742140.000000000000,755730.000000000000,916990.000000000000,769230.000000000000,830729.999999999880,868129.999999999880,769230.000000000000,10609970.000000000000
FS( 44 ),795870.000000000120,758690.000000000000,862930.000000000000,885679.999999999880,788229.999999999880,875650.000000000000,737100.000000000000,758730.000000000000,908110.000000000000,769230.000000000000,825830.000000000000,867209.999999999880,769230.000000000000,10602500.000000000000
FS( 45 ),797790.000000000000,761750.000000000000,867280.000000000120,878029.999999999880,788229.999999999880,868890.000000000000,771750.000000000000,769230.000000000000,900990.000000000000,769230.000000000000,821830.000000000000,905620.000000000000,769230.000000000000,10669860.000000000000
FS( 46 ),789870.000000000120,757330.000000000000,852030.000000000000,885679.999999999880,788229.999999999880,884110.000000000000,762510.000000000000,769230.000000000000,900990.000000000000,769230.000000000000,815330.000000000120,922410.000000000000,769230.000000000000,10666190.000000000000
FS( 47 ),792029.999999999880,757330.000000000000,845480.000000000000,874630.000000000120,789030.000000000000,873970.000000000000,782670.000000000120,772229.999999999880,909870.000000000000,769230.000000000000,832330.000000000120,887910.000000000000,769230.000000000000,10655950.000000000000
FS( 48 ),794909.999999999880,763110.000000000000,825880.000000000120,855930.000000000000,794829.999999999880,863830.000000000000,776790.000000000000,766980.000000000000,909870.000000000000,769230.000000000000,825830.000000000000,931610.000000000000,769230.000000000000,10648040.000000000000
FS( 49 ),792029.999999999880,761750.000000000000,819330.000000000000,825330.000000000000,788229.999999999880,842710.000000000000,772589.999999999880,769230.000000000000,913430.000000000000,769230.000000000000,816130.000000000000,941040.000000000000,769230.000000000000,10580270.000000000000
FS( 50 ),803790.000000000000,766170.000000000000,836780.000000000120,840630.000000000000,791530.000000000000,839330.000000000000,774270.000000000120,775230.000000000000,906310.000000000000,769230.000000000000,818530.000000000000,957830.000000000000,769230.000000000000,10648870.000000000000
FS( 51 ),810750.000000000000,763110.000000000000,849830.000000000000,855930.000000000000,794829.999999999880,860450.000000000000,781830.000000000000,772229.999999999880,913430.000000000000,769230.000000000000,819430.000000000000,967260.000000000000,769230.000000000000,10727550.000000000000
FS( 52 ),801870.000000000120,758690.000000000000,862930.000000000000,848280.000000000000,793130.000000000000,853690.000000000000,779310.000000000000,785730.000000000000,913430.000000000000,769230.000000000000,829930.000000000000,980370.000000000000,769230.000000000000,10745830.000000000000
FS( 53 ),813630.000000000000,755970.000000000000,867280.000000000120,840630.000000000000,795630.000000000000,857070.000000000000,786870.000000000000,788730.000000000000,913430.000000000000,769230.000000000000,829930.000000000000,978530.000000000120,769230.000000000000,10766170.000000000000
FS( 54 ),807630.000000000000,754270.000000000000,867280.000000000120,848280.000000000000,796430.000000000120,840190.000000000000,786030.000000000000,788730.000000000000,915230.000000000000,769230.000000000000,830729.999999999880,1017629.999999999900,769230.000000000000,10790900.000000000000
FS( 55 ),795870.000000000120,748490.000000000000,865130.000000000000,851680.000000000000,797230.000000000000,840190.000000000000,780989.999999999880,782730.000000000000,915230.000000000000,769230.000000000000,837129.999999999880,1002680.000000000000,769230.000000000000,10755820.000000000000
FS( 56 ),787950.000000000000,748490.000000000000,854230.000000000000,848280.000000000000,799730.000000000000,834270.000000000000,780989.999999999880,780480.000000000000,929470.000000000000,769230.000000000000,845230.000000000000,978530.000000000120,769230.000000000000,10726120.000000000000
FS( 57 ),784110.000000000120,755970.000000000000,869480.000000000000,859330.000000000120,804730.000000000000,862150.000000000000,782670.000000000120,782730.000000000000,934830.000000000000,769230.000000000000,854130.000000000000,1013950.000000000000,769230.000000000000,10842550.000000000000
FS( 58 ),783149.999999999880,758690.000000000000,865130.000000000000,874630.000000000120,808830.000000000000,851170.000000000000,785190.000000000000,788730.000000000000,956190.000000000000,769230.000000000000,853330.000000000000,1015790.000000000000,769230.000000000000,10879300.000000000000
FS( 59 ),786029.999999999880,752909.999999999880,886929.999999999880,862730.000000000000,811330.000000000000,844410.000000000000,786030.000000000000,788730.000000000000,965070.000000000000,769230.000000000000,844430.000000000000,1010270.000000000000,769230.000000000000,10877340.000000000000
FS( 60 ),788909.999999999880,751550.000000000000,876030.000000000120,862730.000000000000,806330.000000000000,868890.000000000000,787709.999999999880,790979.999999999880,965070.000000000000,769230.000000000000,847730.000000000000,1015790.000000000000,769230.000000000000,10900190.000000000000
FS( 61 ),787950.000000000000,755970.000000000000,889079.999999999880,870380.000000000000,810530.000000000000,867210.000000000000,798000.000000000000,799230.000000000000,970430.000000000000,769230.000000000000,846930.000000000000,1047530.000000000000,769230.000000000000,10981710.000000000000
FS( 62 ),786990.000000000000,751550.000000000000,897780.000000000000,870380.000000000000,808830.000000000000,850310.000000000000,799680.000000000000,802230.000000000000,970430.000000000000,769230.000000000000,844430.000000000000,1092380.000000000000,769230.000000000000,11013460.000000000000
FS( 63 ),788909.999999999880,739650.000000000000,891280.000000000000,866980.000000000120,804730.000000000000,831730.000000000000,798000.000000000000,812730.000000000000,993550.000000000000,769230.000000000000,845230.000000000000,1090540.000000000000,769230.000000000000,11001800.000000000000
FS( 64 ),792990.000000000000,751550.000000000000,913080.000000000000,878029.999999999880,808830.000000000000,840190.000000000000,802200.000000000000,810480.000000000000,954390.000000000000,769230.000000000000,848530.000000000000,1082950.000000000000,769230.000000000000,11021690.000000000000
FS( 65 ),785070.000000000000,745430.000000000000,889079.999999999880,904380.000000000000,800530.000000000000,837650.000000000000,794640.000000000000,802230.000000000000,954390.000000000000,769230.000000000000,846030.000000000000,1064320.000000000000,769230.000000000000,10962220.000000000000
FS( 66 ),786029.999999999880,747130.000000000000,878179.999999999880,889080.000000000000,796430.000000000120,865530.000000000000,799680.000000000000,807480.000000000000,943710.000000000000,769230.000000000000,838030.000000000000,1058800.000000000000,769230.000000000000,10948550.000000000000
FS( 67 ),795870.000000000120,748490.000000000000,878179.999999999880,907779.999999999880,799730.000000000000,853690.000000000000,800520.000000000120,805230.000000000000,949070.000000000000,769230.000000000000,837129.999999999880,1071909.999999999800,769230.000000000000,10986070.000000000000
FS( 68 ),794909.999999999880,745430.000000000000,886929.999999999880,907779.999999999880,804730.000000000000,868890.000000000000,800520.000000000120,810480.000000000000,957950.000000000000,769230.000000000000,840430.000000000000,1049370.000000000000,769230.000000000000,11005890.000000000000
FS( 69 ),805710.000000000000,748490.000000000000,899980.000000000000,900980.000000000000,809630.000000000000,870590.000000000000,812280.000000000000,815729.999999999880,959750.000000000000,769230.000000000000,846030.000000000000,1070070.000000000000,769230.000000000000,11077710.000000000000
FS( 70 ),792990.000000000000,748490.000000000000,897780.000000000000,919680.000000000000,808830.000000000000,863830.000000000000,811440.000000000000,823980.000000000000,947270.000000000000,769230.000000000000,845230.000000000000,1081110.000000000200,769230.000000000000,11079100.000000000000
FS( 71 ),802830.000000000120,747130.000000000000,886929.999999999880,912030.000000000000,805530.000000000000,853690.000000000000,808080.000000000000,823980.000000000000,929470.000000000000,769230.000000000000,844430.000000000000,1056960.000000000000,769230.000000000000,11009530.000000000000
FS( 72 ),800909.999999999880,751550.000000000000,882530.000000000000,904380.000000000000,806330.000000000000,853690.000000000000,805560.000000000000,832230.000000000000,933030.000000000000,769230.000000000000,843630.000000000000,1034420.000000000100,769230.000000000000,10986730.000000000000
FS( 73 ),797790.000000000000,747130.000000000000,871630.000000000120,893329.999999999880,808030.000000000000,847790.000000000000,808920.000000000120,835230.000000000120,938390.000000000000,769230.000000000000,845230.000000000000,1034420.000000000100,769230.000000000000,10966360.000000000000
FS( 74 ),801870.000000000120,747130.000000000000,878179.999999999880,878029.999999999880,806330.000000000000,870590.000000000000,813959.999999999880,845730.000000000000,933030.000000000000,769230.000000000000,845230.000000000000,1070070.000000000000,769230.000000000000,11028620.000000000000
FS( 75 ),806670.000000000000,760390.000000000000,904330.000000000000,878029.999999999880,808830.000000000000,875650.000000000000,815640.000000000000,842730.000000000000,950830.000000000000,769230.000000000000,850930.000000000120,1062480.000000000000,769230.000000000000,11094980.000000000000
FS( 76 ),809790.000000000000,766170.000000000000,917430.000000000000,881430.000000000000,812130.000000000000,884110.000000000000,816480.000000000000,840480.000000000000,943710.000000000000,769230.000000000000,858229.999999999880,1064320.000000000000,769230.000000000000,11132750.000000000000
FS( 77 ),807630.000000000000,766170.000000000000,934880.000000000000,878029.999999999880,808030.000000000000,868890.000000000000,814800.000000000120,840480.000000000000,954390.000000000000,769230.000000000000,853330.000000000000,1066159.999999999800,769230.000000000000,11131260.000000000000
FS( 78 ),809790.000000000000,761750.000000000000,934880.000000000000,870380.000000000000,808030.000000000000,872270.000000000000,814800.000000000120,835230.000000000120,949070.000000000000,769230.000000000000,852530.000000000000,1068000.000000000000,769230.000000000000,11115200.000000000000
FS( 79 ),815549.999999999880,763110.000000000000,934880.000000000000,878029.999999999880,808030.000000000000,862150.000000000000,821940.000000000000,832230.000000000000,959750.000000000000,769230.000000000000,854130.000000000000,1053050.000000000000,769230.000000000000,11121320.000000000000
FS( 80 ),818430.000000000000,754270.000000000000,934880.000000000000,878029.999999999880,805530.000000000000,862150.000000000000,820050.000000000120,837480.000000000000,956190.000000000000,769230.000000000000,849330.000000000000,1043849.999999999900,769230.000000000000,11098660.000000000000
FS( 81 ),821549.999999999880,758690.000000000000,952280.000000000120,930730.000000000120,804730.000000000000,879030.000000000000,827190.000000000000,840480.000000000000,950830.000000000000,769230.000000000000,846930.000000000000,1030739.999999999900,769230.000000000000,11181650.000000000000
FS( 82 ),822510.000000000120,752909.999999999880,952280.000000000120,907779.999999999880,808830.000000000000,855390.000000000000,828870.000000000000,835230.000000000120,956190.000000000000,769230.000000000000,844330.000000000000,1008430.000000000000,769230.000000000000,11111220.000000000000
FS( 83 ),825390.000000000120,754270.000000000000,989330.000000000000,957079.999999999880,806330.000000000000,862150.000000000000,836640.000000000000,835230.000000000120,961510.000000000000,769230.000000000000,837430.000000000000,1071909.999999999800,769230.000000000000,11275740.000000000000
FS( 84 ),827309.999999999880,755970.000000000000,989330.000000000000,953680.000000000000,805530.000000000000,867210.000000000000,834120.000000000000,840480.000000000000,961510.000000000000,769230.000000000000,832330.000000000120,1049370.000000000000,769230.000000000000,11255310.000000000000
FS( 85 ),825390.000000000120,755970.000000000000,974079.999999999880,968130.000000000000,804730.000000000000,884110.000000000000,829709.999999999880,840480.000000000000,961510.000000000000,769230.000000000000,837430.000000000000,1053050.000000000000,769230.000000000000,11273060.000000000000
FS( 86 ),822510.000000000120,754270.000000000000,975430.000000000000,1009780.000000000000,803030.000000000000,912810.000000000000,828030.000000000000,835230.000000000120,961510.000000000000,769230.000000000000,828030.000000000000,1068000.000000000000,769230.000000000000,11337100.000000000000
FS( 87 ),830430.000000000000,751550.000000000000,986630.000000000120,998730.000000000000,801430.000000000120,923250.000000000000,829709.999999999880,835230.000000000120,957950.000000000000,769230.000000000000,816930.000000000000,1071909.999999999800,769230.000000000000,11342220.000000000000
FS( 88 ),833309.999999999880,754270.000000000000,970930.000000000000,1006380.000000000000,801430.000000000120,931930.000000000000,825300.000000000120,837480.000000000000,959750.000000000000,769230.000000000000,825430.000000000000,1094220.000000000000,769230.000000000000,11378900.000000000000
FS( 89 ),834270.000000000000,757330.000000000000,979930.000000000000,1002130.000000000100,805530.000000000000,916290.000000000000,841050.000000000120,840480.000000000000,961510.000000000000,769230.000000000000,824629.999999999880,1120439.999999999800,769230.000000000000,11422060.000000000000
FS( 90 ),835230.000000000000,755970.000000000000,966480.000000000000,975780.000000000000,805530.000000000000,911070.000000000000,841890.000000000000,856980.000000000000,959750.000000000000,769230.000000000000,827129.999999999880,1094220.000000000000,769230.000000000000,11368500.000000000000
FS( 91 ),838350.000000000000,754270.000000000000,973179.999999999880,998730.000000000000,804730.000000000000,904130.000000000000,865620.000000000000,870480.000000000000,965070.000000000000,769230.000000000000,823729.999999999880,1120439.999999999800,769230.000000000000,11457200.000000000000
FS( 92 ),824430.000000000000,751550.000000000000,973179.999999999880,980030.000000000000,803030.000000000000,879790.000000000000,857640.000000000000,850980.000000000000,957950.000000000000,769230.000000000000,824629.999999999880,1127800.000000000000,769230.000000000000,11369480.000000000000
FS( 93 ),824430.000000000000,749850.000000000000,959730.000000000000,1043780.000000000000,803030.000000000000,883270.000000000000,895230.000000000000,856980.000000000000,965070.000000000000,769230.000000000000,819430.000000000000,1116760.000000000000,769230.000000000000,11456030.000000000000
FS( 94 ),824430.000000000000,749850.000000000000,964230.000000000000,1043780.000000000000,803930.000000000120,871110.000000000000,912660.000000000000,870480.000000000000,956190.000000000000,769230.000000000000,816930.000000000000,1152180.000000000000,769230.000000000000,11504240.000000000000
FS( 95 ),827309.999999999880,751550.000000000000,966480.000000000000,1039530.000000000000,801430.000000000120,872850.000000000000,909300.000000000120,867480.000000000000,950830.000000000000,769230.000000000000,819430.000000000000,1127800.000000000000,769230.000000000000,11472460.000000000000
FS( 96 ),826350.000000000000,754270.000000000000,959730.000000000000,1039530.000000000000,809430.000000000000,869370.000000000000,916230.000000000000,867480.000000000000,961510.000000000000,769230.000000000000,822030.000000000000,1107330.000000000200,769230.000000000000,11471730.000000000000
FS( 97 ),820589.999999999880,751550.000000000000,937330.000000000000,1051430.000000000000,809430.000000000000,885010.000000000000,921480.000000000000,865230.000000000000,957950.000000000000,769230.000000000000,832330.000000000120,1122280.000000000000,769230.000000000000,11493080.000000000000
FS( 98 ),822510.000000000120,763110.000000000000,955280.000000000000,1028480.000000000000,805930.000000000120,890230.000000000000,923160.000000000000,872730.000000000120,961510.000000000000,769230.000000000000,834030.000000000000,1129640.000000000000,769230.000000000000,11525080.000000000000
FS( 99 ),830430.000000000000,764810.000000000000,973179.999999999880,1017430.000000000000,808530.000000000000,907610.000000000000,923160.000000000000,875730.000000000000,961510.000000000000,769230.000000000000,835729.999999999880,1131710.000000000000,769230.000000000000,11568300.000000000000
FS( 100 ),827309.999999999880,766170.000000000000,977679.999999999880,1063330.000000000000,809430.000000000000,900650.000000000000,949410.000000000000,875730.000000000000,968630.000000000000,769230.000000000000,835729.999999999880,1154020.000000000000,769230.000000000000,11666560.000000000000
FS( 101 ),827309.999999999880,769230.000000000000,961980.000000000000,1063330.000000000000,805930.000000000120,890230.000000000000,947730.000000000000,880980.000000000000,965070.000000000000,769230.000000000000,834030.000000000000,1125960.000000000000,769230.000000000000,11610250.000000000000
FS( 102 ),831390.000000000120,776370.000000000000,950780.000000000000,1063330.000000000000,803330.000000000000,883270.000000000000,963480.000000000000,892230.000000000000,968630.000000000000,769230.000000000000,834030.000000000000,1097900.000000000000,769230.000000000000,11603210.000000000000
FS( 103 ),850110.000000000120,783850.000000000000,964230.000000000000,1017430.000000000000,805930.000000000120,874590.000000000000,940800.000000000120,883980.000000000000,977550.000000000000,769230.000000000000,839130.000000000000,1053050.000000000000,769230.000000000000,11529120.000000000000
FS( 104 ),854909.999999999880,788270.000000000000,959730.000000000000,1055680.000000000000,805930.000000000120,881530.000000000000,955500.000000000000,892230.000000000000,975750.000000000000,769230.000000000000,839130.000000000000,1073750.000000000000,769230.000000000000,11620880.000000000000
FS( 105 ),843150.000000000000,779430.000000000000,964230.000000000000,1043780.000000000000,805130.000000000000,824190.000000000000,946260.000000000000,878730.000000000120,963310.000000000000,769230.000000000000,834030.000000000000,1081110.000000000200,769230.000000000000,11501820.000000000000
FS( 106 ),840270.000000000000,779430.000000000000,944079.999999999880,1055680.000000000000,809430.000000000000,871970.000000000000,927989.999999999880,872730.000000000120,966870.000000000000,769230.000000000000,835729.999999999880,1101810.000000000000,769230.000000000000,11544460.000000000000
