代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12169481.426449999000
真實報酬,2169481.426449999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18364.128950718245
風險,123294.251735295630
起點值,0.148945540382
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,7
2227(11)[27],2324(17)[17],2474(26)[16],3045(42)[6],4904(45)[9],4938(46)[1],9999(50)[34],
Stock#,2227(11)[27],2324(17)[17],2474(26)[16],3045(42)[6],4904(45)[9],4938(46)[1],9999(50)[34],
張數,6,78,5,16,25,30,-1,
FS( 27 ),1682370.999999999800,1293631.000000000000,1401170.999999999800,1451931.000000000000,1469571.000000000000,1851570.999999999800,1428571.000000000000,10578820.000000000000
FS( 28 ),1684711.000000000000,1299871.000000000200,1380621.000000000000,1438171.000000000000,1480321.000000000000,1805670.999999999800,1428571.000000000000,10517940.000000000000
FS( 29 ),1643130.999999999800,1315471.000000000000,1380621.000000000000,1431291.000000000000,1469571.000000000000,1813470.999999999800,1428571.000000000000,10482130.000000000000
FS( 30 ),1631610.999999999800,1309230.999999999800,1392021.000000000000,1428571.000000000000,1454571.000000000000,1818571.000000000000,1428571.000000000000,10463150.000000000000
FS( 31 ),1620091.000000000200,1296750.999999999800,1378321.000000000000,1417531.000000000000,1448071.000000000000,1895070.999999999800,1428571.000000000000,10484410.000000000000
FS( 32 ),1617751.000000000000,1306111.000000000000,1318921.000000000000,1445051.000000000000,1495571.000000000000,1846470.999999999800,1428571.000000000000,10458450.000000000000
FS( 33 ),1592370.999999999800,1299871.000000000200,1305221.000000000000,1420251.000000000000,1480321.000000000000,1805670.999999999800,1428571.000000000000,10332280.000000000000
FS( 34 ),1596991.000000000000,1299871.000000000200,1277821.000000000000,1439451.000000000000,1478321.000000000000,1808370.999999999800,1428571.000000000000,10329400.000000000000
FS( 35 ),1583131.000000000000,1309230.999999999800,1300671.000000000000,1465531.000000000000,1491071.000000000000,1757371.000000000000,1428571.000000000000,10335580.000000000000
FS( 36 ),1610851.000000000200,1399710.999999999800,1341771.000000000000,1450491.000000000000,1510571.000000000000,1856670.999999999500,1428571.000000000000,10598640.000000000000
FS( 37 ),1613131.000000000000,1409071.000000000000,1332671.000000000000,1458651.000000000000,1512821.000000000000,1838970.999999999800,1428571.000000000000,10593890.000000000000
FS( 38 ),1613131.000000000000,1437931.000000000000,1337221.000000000000,1458651.000000000000,1519071.000000000000,1838970.999999999800,1428571.000000000000,10633550.000000000000
FS( 39 ),1603951.000000000000,1421551.000000000000,1341771.000000000000,1465531.000000000000,1523571.000000000000,1828770.999999999800,1428571.000000000000,10613720.000000000000
FS( 40 ),1606231.000000000000,1434811.000000000200,1341771.000000000000,1465531.000000000000,1532071.000000000000,1844070.999999999800,1428571.000000000000,10653060.000000000000
FS( 41 ),1599331.000000000000,1451190.999999999800,1346371.000000000200,1451931.000000000000,1529821.000000000000,1841370.999999999800,1428571.000000000000,10648590.000000000000
FS( 42 ),1580851.000000000200,1466791.000000000200,1346371.000000000200,1465531.000000000000,1540821.000000000000,1851570.999999999800,1428571.000000000000,10680510.000000000000
FS( 43 ),1571610.999999999800,1447291.000000000200,1364621.000000000000,1493051.000000000000,1542821.000000000000,1877070.999999999800,1428571.000000000000,10725040.000000000000
FS( 44 ),1638511.000000000000,1431690.999999999800,1362321.000000000000,1513531.000000000000,1577321.000000000000,1869570.999999999800,1428571.000000000000,10821520.000000000000
