代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11692860.000000000000
真實報酬,1692860.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15829.541930737509
風險,104788.504436271930
起點值,0.151061817476
找到最佳解世代,1629
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,10
1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
Stock#,1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
張數,17,11,19,4,22,59,116,54,3,68,
FS( 33 ),1013090.000000000000,1060720.000000000000,1126160.000000000000,1138680.000000000000,1070400.000000000000,1027140.000000000000,1039440.000000000100,1079920.000000000000,1001470.000000000000,1050320.000000000000,10607340.000000000000
FS( 34 ),1009859.999999999900,1066220.000000000000,1162260.000000000000,1138680.000000000000,1079200.000000000000,1029499.999999999900,1035960.000000000100,1090720.000000000000,1005820.000000000000,1063240.000000000000,10681460.000000000000
FS( 35 ),1011560.000000000000,1067319.999999999800,1213560.000000000000,1124680.000000000000,1079200.000000000000,1032449.999999999900,1031320.000000000000,1074520.000000000000,1013079.999999999900,1065960.000000000000,10713650.000000000000
FS( 36 ),1011560.000000000000,1077220.000000000000,1200260.000000000000,1164680.000000000000,1075900.000000000000,1043070.000000000000,1031320.000000000000,1085320.000000000000,1013079.999999999900,1059840.000000000000,10762250.000000000000
FS( 37 ),1006630.000000000000,1073920.000000000000,1204060.000000000000,1156680.000000000000,1075900.000000000000,1045429.999999999900,1025520.000000000100,1077220.000000000000,1004380.000000000100,1053720.000000000000,10723460.000000000000
FS( 38 ),1006630.000000000000,1071720.000000000000,1251560.000000000000,1142680.000000000000,1068200.000000000000,1045429.999999999900,1020880.000000000000,1069120.000000000000,1004380.000000000100,1050320.000000000000,10730920.000000000000
FS( 39 ),1016490.000000000000,1077220.000000000000,1283860.000000000000,1134680.000000000000,1062700.000000000000,1043070.000000000000,1029000.000000000000,1063720.000000000000,1013079.999999999900,1053720.000000000000,10777540.000000000000
FS( 40 ),1011560.000000000000,1068420.000000000000,1264860.000000000000,1144680.000000000000,1061600.000000000000,1040120.000000000000,1029000.000000000000,1055620.000000000000,1033450.000000000000,1053720.000000000000,10763030.000000000000
FS( 41 ),1014790.000000000100,1055220.000000000000,1242060.000000000000,1156680.000000000000,1064900.000000000000,1037760.000000000100,1018560.000000000100,1058320.000000000000,1045090.000000000000,1046920.000000000100,10740300.000000000000
FS( 42 ),1014790.000000000100,1071720.000000000000,1262960.000000000000,1172680.000000000000,1069300.000000000200,1045429.999999999900,1024360.000000000100,1069120.000000000000,1045090.000000000000,1056440.000000000000,10831890.000000000000
FS( 43 ),980280.000000000000,1071720.000000000000,1253460.000000000000,1186680.000000000000,1059400.000000000000,1040120.000000000000,1024360.000000000100,1069120.000000000000,979660.000000000120,1046920.000000000100,10711720.000000000000
FS( 44 ),970590.000000000000,1061819.999999999800,1234460.000000000000,1184680.000000000000,1062700.000000000000,1034810.000000000000,1025520.000000000100,1063720.000000000000,950590.000000000000,1053720.000000000000,10642610.000000000000
FS( 45 ),990140.000000000000,1069520.000000000000,1245860.000000000000,1290680.000000000000,1060500.000000000000,1043070.000000000000,1029000.000000000000,1047520.000000000200,960760.000000000000,1056440.000000000000,10793490.000000000000
FS( 46 ),986910.000000000120,1066220.000000000000,1230660.000000000000,1320680.000000000000,1067100.000000000000,1045429.999999999900,1030160.000000000100,1058320.000000000000,977260.000000000000,1063240.000000000000,10845980.000000000000
FS( 47 ),1000510.000000000000,1076120.000000000000,1226860.000000000000,1284680.000000000000,1070400.000000000000,1043070.000000000000,1026680.000000000100,1047520.000000000200,968260.000000000000,1059840.000000000000,10803940.000000000000
FS( 48 ),1005609.999999999900,1081620.000000000000,1221160.000000000000,1280680.000000000000,1072600.000000000000,1053690.000000000000,1027840.000000000100,1058320.000000000000,962260.000000000000,1065960.000000000000,10829740.000000000000
FS( 49 ),998810.000000000000,1088220.000000000000,1226860.000000000000,1276680.000000000000,1083600.000000000000,1058999.999999999800,1029000.000000000000,1066420.000000000000,959260.000000000000,1075480.000000000000,10863330.000000000000
FS( 50 ),1002210.000000000000,1090420.000000000000,1249660.000000000000,1268680.000000000000,1091300.000000000000,1053690.000000000000,1029000.000000000000,1066420.000000000000,966760.000000000000,1075480.000000000000,10893620.000000000000
FS( 51 ),998810.000000000000,1086020.000000000000,1230660.000000000000,1256680.000000000000,1089100.000000000000,1069030.000000000000,1029000.000000000000,1058320.000000000000,966760.000000000000,1069360.000000000000,10853740.000000000000
FS( 52 ),1005609.999999999900,1083819.999999999800,1198360.000000000000,1240680.000000000000,1069300.000000000200,1063130.000000000000,1016240.000000000100,1042120.000000000100,965260.000000000000,1056440.000000000000,10740960.000000000000
FS( 53 ),1003910.000000000100,1077220.000000000000,1190760.000000000000,1264680.000000000000,1071500.000000000000,1060180.000000000000,1016240.000000000100,1052920.000000000000,963760.000000000000,1059840.000000000000,10761010.000000000000
FS( 54 ),1000510.000000000000,1080520.000000000000,1224960.000000000000,1240680.000000000000,1064900.000000000000,1051330.000000000000,1013920.000000000200,1052920.000000000000,963760.000000000000,1050320.000000000000,10743820.000000000000
FS( 55 ),1027710.000000000000,1080520.000000000000,1228760.000000000000,1206680.000000000000,1074800.000000000200,1054280.000000000000,1012760.000000000200,1063720.000000000000,966760.000000000000,1050320.000000000000,10766310.000000000000
FS( 56 ),1032810.000000000000,1071720.000000000000,1228760.000000000000,1212680.000000000000,1063800.000000000200,1054280.000000000000,1013920.000000000200,1069120.000000000000,963760.000000000000,1061200.000000000000,10772050.000000000000
FS( 57 ),1039609.999999999900,1087120.000000000000,1242060.000000000000,1208680.000000000000,1084700.000000000000,1066080.000000000000,1015080.000000000200,1074520.000000000000,962260.000000000000,1078200.000000000000,10858310.000000000000
FS( 58 ),1043010.000000000000,1086020.000000000000,1226860.000000000000,1190680.000000000000,1078100.000000000000,1066080.000000000000,1012760.000000000200,1066420.000000000000,957760.000000000000,1071400.000000000000,10799090.000000000000
FS( 59 ),1037910.000000000100,1082720.000000000000,1243960.000000000000,1208680.000000000000,1071500.000000000000,1063130.000000000000,1011600.000000000000,1066420.000000000000,956260.000000000000,1078200.000000000000,10820380.000000000000
FS( 60 ),1049810.000000000000,1088220.000000000000,1232560.000000000000,1202680.000000000000,1072600.000000000000,1066080.000000000000,1029000.000000000000,1069120.000000000000,950260.000000000000,1078200.000000000000,10838530.000000000000
FS( 61 ),1066810.000000000000,1088220.000000000000,1236360.000000000000,1204680.000000000000,1074800.000000000200,1074930.000000000000,1020880.000000000000,1071820.000000000000,956260.000000000000,1081600.000000000000,10876360.000000000000
FS( 62 ),1094010.000000000000,1093720.000000000000,1264860.000000000000,1212680.000000000000,1070400.000000000000,1083780.000000000000,1029000.000000000000,1069120.000000000000,954760.000000000000,1088400.000000000000,10960730.000000000000
FS( 63 ),1112709.999999999800,1098120.000000000000,1261060.000000000000,1196680.000000000000,1075900.000000000000,1089680.000000000000,1029000.000000000000,1074520.000000000000,962260.000000000000,1088400.000000000000,10988330.000000000000
FS( 64 ),1100810.000000000000,1104720.000000000000,1274360.000000000000,1206680.000000000000,1092400.000000000000,1095580.000000000000,1035960.000000000100,1074520.000000000000,965260.000000000000,1095200.000000000000,11045490.000000000000
FS( 65 ),1111010.000000000000,1095920.000000000000,1259160.000000000000,1188680.000000000000,1090200.000000000000,1092630.000000000000,1035960.000000000100,1069120.000000000000,962260.000000000000,1091800.000000000000,10996740.000000000000
FS( 66 ),1116110.000000000000,1099220.000000000000,1268660.000000000000,1194680.000000000000,1092400.000000000000,1107380.000000000000,1040599.999999999900,1071820.000000000000,965260.000000000000,1091800.000000000000,11047930.000000000000
FS( 67 ),1114410.000000000000,1098120.000000000000,1278160.000000000000,1202680.000000000000,1097900.000000000000,1101480.000000000000,1049880.000000000000,1071820.000000000000,963760.000000000000,1095200.000000000000,11073410.000000000000
FS( 68 ),1107610.000000000000,1095920.000000000000,1272460.000000000000,1208680.000000000000,1092400.000000000000,1101480.000000000000,1044080.000000000200,1066420.000000000000,968260.000000000000,1098600.000000000000,11055910.000000000000
FS( 69 ),1107610.000000000000,1104720.000000000000,1264860.000000000000,1204680.000000000000,1085800.000000000000,1095580.000000000000,1051040.000000000000,1063720.000000000000,963760.000000000000,1088400.000000000000,11030170.000000000000
FS( 70 ),1109310.000000000000,1113520.000000000000,1255360.000000000000,1238680.000000000000,1089100.000000000000,1092630.000000000000,1053360.000000000000,1069120.000000000000,956260.000000000000,1091800.000000000000,11069140.000000000000
FS( 71 ),1109310.000000000000,1114620.000000000000,1245860.000000000000,1206680.000000000000,1078100.000000000000,1086730.000000000000,1053360.000000000000,1061020.000000000200,956260.000000000000,1088400.000000000000,11000340.000000000000
