代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13974750.000000002000
真實報酬,3974750.000000001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,28006.381331230066
風險,320517.490172428540
起點值,0.087378636705
找到最佳解世代,1484
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,2
4904(45)[3],4938(46)[2],
FS( 29 ),4898470.000000001900,5865800.000000000000,10764270.000000002000
FS( 30 ),4951380.000000000900,5893880.000000000000,10845260.000000000000
FS( 31 ),4978550.000000000900,5856440.000000000000,10834990.000000000000
FS( 32 ),5027170.000000000900,5774540.000000000000,10801710.000000000000
FS( 33 ),5107250.000000000000,5793260.000000000000,10900510.000000000000
FS( 34 ),5048620.000000000900,5702000.000000000000,10750620.000000000000
FS( 35 ),5171600.000000000900,5589680.000000000000,10761280.000000000000
FS( 36 ),5203060.000000000900,5856440.000000000000,11059500.000000000000
FS( 37 ),5213070.000000000900,6076399.999999999100,11289470.000000000000
FS( 38 ),5261690.000000000900,6141920.000000000000,11403610.000000000000
FS( 39 ),5261690.000000000900,6123200.000000000900,11384890.000000002000
FS( 40 ),5230230.000000001900,6233180.000000000000,11463410.000000002000
FS( 41 ),5314600.000000000900,6031940.000000000000,11346540.000000000000
FS( 42 ),5459030.000000000900,5856440.000000000000,11315470.000000000000
FS( 43 ),5587730.000000001900,6177019.999999999100,11764750.000000000000
FS( 44 ),5779350.000000000900,6085760.000000000000,11865110.000000000000
FS( 45 ),5769340.000000000900,6151280.000000000000,11920620.000000000000
FS( 46 ),5918060.000000000900,6031940.000000000000,11950000.000000000000
FS( 47 ),6099670.000000000900,5875160.000000000000,11974830.000000000000
FS( 48 ),5929500.000000000000,5893880.000000000000,11823380.000000000000
FS( 49 ),5886600.000000000900,5535860.000000000000,11422460.000000000000
FS( 50 ),5747890.000000000900,5774540.000000000000,11522430.000000000000
FS( 51 ),5833690.000000000900,5793260.000000000000,11626950.000000000000
FS( 52 ),5939510.000000000900,5802620.000000000000,11742130.000000000000
FS( 53 ),6056770.000000000900,5793260.000000000000,11850030.000000000000
FS( 54 ),6302730.000000001900,5774540.000000000000,12077270.000000002000
FS( 55 ),6111110.000000000900,5692640.000000000000,11803750.000000000000
FS( 56 ),5908050.000000000900,5463320.000000000000,11371370.000000000000
FS( 57 ),6015300.000000000900,5526500.000000000000,11541800.000000000000
FS( 58 ),6015300.000000000900,5140399.999999999100,11155700.000000000000
FS( 59 ),6206920.000000000900,4995320.000000000000,11202240.000000000000
FS( 60 ),6185470.000000001900,5004680.000000000000,11190150.000000002000
FS( 61 ),6335620.000000000900,5353340.000000000000,11688960.000000000000
FS( 62 ),6249820.000000000900,5343980.000000000000,11593800.000000000000
FS( 63 ),6121120.000000000900,5709019.999999999100,11830140.000000000000
FS( 64 ),6249820.000000000900,6067040.000000000000,12316860.000000000000
FS( 65 ),6357070.000000000900,5811980.000000000000,12169050.000000000000
FS( 66 ),6357070.000000000900,5727740.000000000000,12084810.000000000000
FS( 67 ),6228370.000000000900,5673920.000000000000,11902290.000000000000
FS( 68 ),6324180.000000001900,5884519.999999999100,12208700.000000000000
FS( 69 ),6388530.000000000900,6022580.000000000900,12411110.000000002000
FS( 70 ),6388530.000000000900,6038960.000000000000,12427490.000000000000
FS( 71 ),6314170.000000000900,6085760.000000000000,12399930.000000000000
FS( 72 ),6335620.000000000900,5921960.000000000000,12257580.000000000000
FS( 73 ),6314170.000000000900,5903240.000000000000,12217410.000000000000
FS( 74 ),6292720.000000001900,5947700.000000000900,12240420.000000004000
FS( 75 ),6238380.000000000900,5912600.000000000000,12150980.000000000000
FS( 76 ),5886600.000000000900,5811980.000000000000,11698580.000000000000
FS( 77 ),5833690.000000000900,5755820.000000000000,11589510.000000000000
FS( 78 ),6003860.000000000900,6048320.000000000000,12052180.000000000000
FS( 79 ),6164020.000000000900,6085760.000000000000,12249780.000000000000
FS( 80 ),6121120.000000000900,6022580.000000000900,12143700.000000002000
FS( 81 ),6068210.000000000900,5985140.000000000000,12053350.000000000000
FS( 82 ),6089660.000000000900,6057680.000000000000,12147340.000000000000
FS( 83 ),6121120.000000000900,6067040.000000000000,12188160.000000000000
FS( 84 ),6142570.000000000900,6057680.000000000000,12200250.000000000000
FS( 85 ),6111110.000000000900,6057680.000000000000,12168790.000000000000
FS( 86 ),6099670.000000000900,5957060.000000000000,12056730.000000000000
FS( 87 ),6099670.000000000900,6123200.000000000900,12222870.000000002000
FS( 88 ),6121120.000000000900,6544399.999999999100,12665520.000000000000
FS( 89 ),6111110.000000000900,6626300.000000000000,12737410.000000000000
FS( 90 ),6056770.000000000900,6710540.000000000000,12767310.000000000000
FS( 91 ),6056770.000000000900,6701180.000000000000,12757950.000000000000
FS( 92 ),6035320.000000000900,6663740.000000000000,12699060.000000000000
FS( 93 ),5855140.000000000900,6663740.000000000000,12518880.000000000000
FS( 94 ),5800800.000000000900,6481220.000000000000,12282020.000000000000
FS( 95 ),5875160.000000000900,6525680.000000000000,12400840.000000000000
FS( 96 ),6035320.000000000900,6434420.000000000000,12469740.000000000000
FS( 97 ),5896610.000000000900,6434420.000000000000,12331030.000000000000
FS( 98 ),5939510.000000000900,6535040.000000000000,12474550.000000000000
FS( 99 ),6089660.000000000900,6911780.000000000000,13001440.000000000000
FS( 100 ),6121120.000000000900,6581840.000000000000,12702960.000000000000
FS( 101 ),6078220.000000001900,6616940.000000000000,12695160.000000002000
FS( 102 ),6068210.000000000900,6673100.000000000000,12741310.000000000000
FS( 103 ),6121120.000000000900,6710540.000000000000,12831660.000000000000
FS( 104 ),6089660.000000000900,6745640.000000000000,12835300.000000000000
FS( 105 ),6249820.000000000900,6726920.000000000000,12976740.000000000000
FS( 106 ),6142570.000000000900,6921140.000000000000,13063710.000000000000
FS( 107 ),6164020.000000000900,6984320.000000000000,13148340.000000000000
FS( 108 ),6154010.000000000900,7141100.000000000000,13295110.000000000000
FS( 109 ),6099670.000000000900,6965600.000000000000,13065270.000000000000
FS( 110 ),6046760.000000000900,6893060.000000000000,12939820.000000000000
FS( 111 ),5993850.000000000900,6801800.000000000000,12795650.000000000000
FS( 112 ),6238380.000000000900,7031120.000000000000,13269500.000000000000
FS( 113 ),6419990.000000000000,6883700.000000000900,13303690.000000000000
FS( 114 ),6206920.000000000900,7012399.999999999100,13219320.000000000000
FS( 115 ),6175460.000000000900,6846260.000000000000,13021720.000000000000
FS( 116 ),6164020.000000000900,6755000.000000000000,12919020.000000000000
FS( 117 ),6164020.000000000900,6755000.000000000000,12919020.000000000000
FS( 118 ),6228370.000000000900,6726920.000000000000,12955290.000000000000
FS( 119 ),6655940.000000000900,6874340.000000000000,13530280.000000000000
FS( 120 ),6623050.000000000900,7351700.000000000900,13974750.000000002000
