代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13151870.000000002000
真實報酬,3151870.000000001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24154.464729487987
風險,134719.119267629460
起點值,0.179295001784
找到最佳解世代,1538
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
1301(3)[1],1303(4)[5],1722(7)[10],2308(12)[6],2347(18)[2],2412(24)[9],2498(27)[7],2883(32)[31],
Stock#,1301(3)[1],1303(4)[5],1722(7)[10],2308(12)[6],2347(18)[2],2412(24)[9],2498(27)[7],2883(32)[31],
張數,25,29,18,14,28,22,2,187,
FS( 81 ),1657000.000000000000,1517090.000000000200,1505240.000000000200,1444040.000000000000,1442359.999999999800,1446460.000000000000,1659360.000000000000,1236910.000000000000,11908460.000000000000
FS( 82 ),1664250.000000000000,1521440.000000000500,1518740.000000000200,1449360.000000000000,1434800.000000000200,1437220.000000000000,1601340.000000000000,1227560.000000000000,11854710.000000000000
FS( 83 ),1667750.000000000000,1504040.000000000200,1512080.000000000200,1460140.000000000200,1438720.000000000000,1431500.000000000000,1630340.000000000000,1231300.000000000000,11875870.000000000000
FS( 84 ),1667750.000000000000,1495340.000000000200,1512080.000000000200,1497800.000000000000,1436760.000000000200,1412800.000000000000,1615840.000000000000,1223820.000000000000,11862190.000000000000
FS( 85 ),1682500.000000000200,1480260.000000000200,1566440.000000000200,1497800.000000000000,1447960.000000000000,1422260.000000000000,1630340.000000000000,1242520.000000000000,11970080.000000000000
FS( 86 ),1667750.000000000000,1477940.000000000500,1532420.000000000200,1487020.000000000000,1447960.000000000000,1429740.000000000000,1630340.000000000000,1227560.000000000000,11900730.000000000000
FS( 87 ),1726250.000000000200,1510420.000000000200,1586960.000000000200,1546380.000000000200,1453560.000000000000,1433480.000000000000,1654520.000000000000,1266830.000000000000,12178400.000000000000
FS( 88 ),1728000.000000000000,1512740.000000000200,1600640.000000000000,1562479.999999999800,1468400.000000000000,1435240.000000000000,1706100.000000000000,1276180.000000000000,12289780.000000000000
FS( 89 ),1724500.000000000000,1517090.000000000200,1580120.000000000000,1540920.000000000000,1472320.000000000000,1426000.000000000000,1691600.000000000000,1270570.000000000000,12223120.000000000000
FS( 90 ),1746250.000000000000,1538840.000000000200,1600640.000000000000,1514040.000000000000,1461120.000000000000,1420280.000000000000,1688360.000000000000,1283660.000000000000,12253190.000000000000
FS( 91 ),1751750.000000000000,1543190.000000000500,1593800.000000000200,1524820.000000000000,1475960.000000000000,1420280.000000000000,1664200.000000000000,1279920.000000000200,12253920.000000000000
FS( 92 ),1758999.999999999800,1538840.000000000200,1559600.000000000200,1540920.000000000000,1472320.000000000000,1424020.000000000000,1680300.000000000000,1270570.000000000000,12245570.000000000000
FS( 93 ),1749999.999999999800,1551890.000000000200,1518740.000000000200,1524820.000000000000,1487160.000000000000,1427760.000000000000,1672260.000000000000,1276180.000000000000,12208810.000000000000
FS( 94 ),1709750.000000000000,1540870.000000000200,1505240.000000000200,1514040.000000000000,1509560.000000000000,1420280.000000000000,1714160.000000000000,1266830.000000000000,12180730.000000000000
FS( 95 ),1720749.999999999800,1527820.000000000200,1491560.000000000200,1497800.000000000000,1554359.999999999800,1412800.000000000000,1718980.000000000000,1266830.000000000000,12190900.000000000000
FS( 96 ),1731750.000000000200,1532170.000000000200,1525580.000000000200,1497800.000000000000,1537560.000000000000,1401580.000000000000,1733500.000000000000,1263090.000000000000,12223030.000000000000
FS( 97 ),1764499.999999999800,1564940.000000000500,1532420.000000000200,1519360.000000000000,1515160.000000000000,1392340.000000000000,1723820.000000000000,1296750.000000000000,12309290.000000000000
FS( 98 ),1764499.999999999800,1553920.000000000200,1518740.000000000200,1508580.000000000000,1498359.999999999800,1409060.000000000000,1707700.000000000000,1362200.000000000000,12323060.000000000000
FS( 99 ),1788250.000000000000,1553920.000000000200,1546100.000000000200,1487020.000000000000,1503960.000000000000,1438980.000000000000,1673860.000000000000,1373420.000000000200,12365510.000000000000
FS( 100 ),1775500.000000000200,1545220.000000000000,1532420.000000000200,1481699.999999999800,1519080.000000000000,1429740.000000000000,1662580.000000000000,1350980.000000000000,12297220.000000000000
FS( 101 ),1766500.000000000200,1556240.000000000200,1525580.000000000200,1487020.000000000000,1515160.000000000000,1433480.000000000000,1683540.000000000000,1405210.000000000000,12372730.000000000000
FS( 102 ),1768250.000000000000,1549570.000000000200,1532420.000000000200,1497800.000000000000,1505920.000000000000,1437220.000000000000,1741560.000000000000,1405210.000000000000,12437950.000000000000
FS( 103 ),1777250.000000000000,1556240.000000000200,1532420.000000000200,1530140.000000000200,1503960.000000000000,1440960.000000000000,1741560.000000000000,1405210.000000000000,12487740.000000000000
FS( 104 ),1770000.000000000200,1553920.000000000200,1525580.000000000200,1519360.000000000000,1489120.000000000000,1444700.000000000000,1718980.000000000000,1440739.999999999800,12462400.000000000000
