代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12086699.999450000000
真實報酬,2086699.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18206.861467484527
風險,108649.283793481940
起點值,0.167574611003
找到最佳解世代,2394
找到最佳解實驗#,5
找到最佳解次數,7

投資組合檔數,9
1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
Stock#,1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
張數,19,6,37,12,4,41,8,2,-1,
FS( 48 ),1253801.000000000000,1204411.000000000000,1191401.000000000000,1146390.999999999500,1230671.000000000000,1341941.000000000000,1205031.000000000000,1256571.000000000000,1111111.000000000000,10941330.000000000000
FS( 49 ),1252281.000000000000,1201830.999999999800,1191401.000000000000,1146390.999999999500,1216271.000000000000,1333331.000000000000,1205031.000000000000,1280811.000000000000,1111111.000000000000,10938460.000000000000
FS( 50 ),1263110.999999999800,1204411.000000000000,1231730.999999999800,1171590.999999999800,1217711.000000000000,1343581.000000000000,1191111.000000000000,1295731.000000000000,1111111.000000000000,11030090.000000000000
FS( 51 ),1256841.000000000000,1194031.000000000000,1242831.000000000000,1186830.999999999800,1209031.000000000000,1309961.000000000000,1184151.000000000000,1288271.000000000000,1111111.000000000000,10983060.000000000000
FS( 52 ),1260071.000000000000,1183651.000000000000,1244311.000000000000,1176630.999999999500,1209031.000000000000,1320211.000000000200,1184151.000000000000,1258431.000000000000,1111111.000000000000,10947600.000000000000
FS( 53 ),1260071.000000000000,1173330.999999999800,1222111.000000000000,1186830.999999999800,1201831.000000000000,1341941.000000000000,1180631.000000000000,1297591.000000000000,1111111.000000000000,10975450.000000000000
FS( 54 ),1258551.000000000000,1168111.000000000000,1219151.000000000000,1161510.999999999800,1201831.000000000000,1330050.999999999800,1194551.000000000000,1299471.000000000000,1111111.000000000000,10944340.000000000000
FS( 55 ),1253801.000000000000,1157791.000000000000,1217671.000000000200,1161510.999999999800,1198951.000000000000,1318161.000000000000,1187591.000000000000,1277091.000000000000,1111111.000000000000,10883680.000000000000
FS( 56 ),1228721.000000000000,1173330.999999999800,1281681.000000000000,1151430.999999999800,1230671.000000000000,1343581.000000000000,1201511.000000000000,1295731.000000000000,1111111.000000000000,11017770.000000000000
FS( 57 ),1236511.000000000000,1212151.000000000000,1276131.000000000000,1161510.999999999800,1249391.000000000000,1356701.000000000000,1205031.000000000000,1297591.000000000000,1111111.000000000000,11106130.000000000000
FS( 58 ),1192621.000000000000,1188871.000000000000,1281681.000000000000,1166551.000000000000,1252271.000000000000,1331691.000000000000,1208471.000000000000,1301331.000000000000,1111111.000000000000,11034600.000000000000
