代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10751670.000000000000
真實報酬,751670.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,5435.134916435841
風險,97861.832398640894
起點值,0.055538863142
找到最佳解世代,1284
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,4
1216(2)[8],2412(24)[13],2891(38)[5],3008(41)[4],
Stock#,1216(2)[8],2412(24)[13],2891(38)[5],3008(41)[4],
張數,54,29,160,0,
FS( 29 ),2523760.000000000000,2540310.000000000000,2596000.000000000500,2500000.000000000000,10160070.000000000000
FS( 30 ),2457880.000000000500,2525229.999999999500,2637600.000000000500,2500000.000000000000,10120710.000000000000
FS( 31 ),2424400.000000000000,2487530.000000000000,2668000.000000000500,2500000.000000000000,10079930.000000000000
FS( 32 ),2457880.000000000500,2502609.999999999500,2722400.000000000500,2500000.000000000000,10182890.000000000000
FS( 33 ),2424400.000000000000,2490140.000000000000,2704800.000000000500,2500000.000000000000,10119340.000000000000
FS( 34 ),2410360.000000000000,2495070.000000000500,2716000.000000000500,2500000.000000000000,10121430.000000000000
FS( 35 ),2419540.000000000000,2500000.000000000000,2722400.000000000500,2500000.000000000000,10141940.000000000000
FS( 36 ),2405500.000000000000,2500000.000000000000,2728800.000000000500,2500000.000000000000,10134300.000000000000
FS( 37 ),2419540.000000000000,2520300.000000000500,2903200.000000000500,2500000.000000000000,10343040.000000000000
FS( 38 ),2424400.000000000000,2535380.000000000000,2927200.000000000900,2500000.000000000000,10386980.000000000000
FS( 39 ),2443300.000000000000,2532770.000000000000,2964000.000000000500,2500000.000000000000,10440070.000000000000
FS( 40 ),2434119.999999999500,2532770.000000000000,2981600.000000000500,2500000.000000000000,10448490.000000000000
FS( 41 ),2434119.999999999500,2535380.000000000000,2920800.000000000900,2500000.000000000000,10390300.000000000000
FS( 42 ),2400640.000000000000,2525229.999999999500,2890400.000000000500,2500000.000000000000,10316270.000000000000
FS( 43 ),2400640.000000000000,2525229.999999999500,2903200.000000000500,2500000.000000000000,10329070.000000000000
FS( 44 ),2400640.000000000000,2532770.000000000000,2896800.000000000500,2500000.000000000000,10330210.000000000000
FS( 45 ),2396320.000000000000,2535380.000000000000,2866400.000000000000,2500000.000000000000,10298100.000000000000
FS( 46 ),2381740.000000000000,2517690.000000000000,2764000.000000000500,2500000.000000000000,10163430.000000000000
FS( 47 ),2386600.000000000000,2522620.000000000000,2764000.000000000500,2500000.000000000000,10173220.000000000000
FS( 48 ),2386600.000000000000,2527839.999999999500,2746400.000000000000,2500000.000000000000,10160840.000000000000
FS( 49 ),2485959.999999999500,2527839.999999999500,2807200.000000000900,2500000.000000000000,10321000.000000000000
FS( 50 ),2528619.999999999500,2517690.000000000000,2770400.000000000500,2500000.000000000000,10316710.000000000000
FS( 51 ),2590180.000000000000,2510150.000000000000,2698400.000000000500,2500000.000000000000,10298730.000000000000
FS( 52 ),2581000.000000000000,2510150.000000000000,2698400.000000000500,2500000.000000000000,10289550.000000000000
FS( 53 ),2623119.999999999500,2510150.000000000000,2711200.000000000500,2500000.000000000000,10344470.000000000000
FS( 54 ),2595040.000000000000,2525229.999999999500,2776800.000000000500,2500000.000000000000,10397070.000000000000
FS( 55 ),2604220.000000000000,2512760.000000000000,2788000.000000000500,2500000.000000000000,10404980.000000000000
FS( 56 ),2581000.000000000000,2490140.000000000000,2722400.000000000500,2500000.000000000000,10293540.000000000000
