代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11345420.000000000000
真實報酬,1345420.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11367.644206496712
風險,63347.171318797293
起點值,0.179449910230
找到最佳解世代,1876
找到最佳解實驗#,17
找到最佳解次數,3

投資組合檔數,11
2303(13)[11],2317(16)[4],2357(20)[12],2382(21)[15],2408(23)[24],2891(38)[6],2892(39)[1],3008(41)[3],3481(43)[14],4938(45)[10],5880(46)[2],
FS( 37 ),925690.000000000120,926030.000000000230,948539.999999999770,977730.000000000000,952690.000000000000,916650.000000000000,943890.000000000000,909090.000000000000,1085880.000000000000,888569.999999999880,928689.999999999880,10403460.000000000000
FS( 38 ),909090.000000000000,922840.000000000000,937259.999999999770,979330.000000000000,962489.999999999770,922050.000000000120,943890.000000000000,909090.000000000000,1094179.999999999500,893129.999999999770,928689.999999999880,10402050.000000000000
FS( 39 ),904940.000000000120,927130.000000000120,926009.999999999770,974690.000000000000,968289.999999999880,924749.999999999880,943890.000000000000,909090.000000000000,1177179.999999999500,903330.000000000000,922389.999999999880,10481700.000000000000
FS( 40 ),913240.000000000120,922840.000000000000,917549.999999999880,960930.000000000000,937289.999999999880,924749.999999999880,946790.000000000000,909090.000000000000,1156429.999999999500,904529.999999999770,925189.999999999880,10418640.000000000000
FS( 41 ),917390.000000000230,936590.000000000000,910499.999999999880,962530.000000000000,934289.999999999880,932310.000000000000,957230.000000000000,909090.000000000000,1152280.000000000000,912449.999999999880,938490.000000000000,10463160.000000000000
FS( 42 ),921540.000000000120,945060.000000000120,918959.999999999880,954850.000000000000,935289.999999999880,939869.999999999880,965350.000000000000,909090.000000000000,1123230.000000000000,926129.999999999770,948289.999999999770,10487670.000000000000
FS( 43 ),917390.000000000230,963100.000000000120,907679.999999999880,941090.000000000000,920689.999999999880,932310.000000000000,963030.000000000120,909090.000000000000,1081730.000000000000,928409.999999999880,951089.999999999880,10415620.000000000000
FS( 44 ),921540.000000000120,977840.000000000000,914729.999999999770,947330.000000000000,923689.999999999880,947970.000000000120,965350.000000000000,909090.000000000000,1106630.000000000000,937529.999999999770,951089.999999999880,10502800.000000000000
FS( 45 ),929010.000000000120,980040.000000000120,918959.999999999880,976290.000000000000,918689.999999999880,955529.999999999880,970570.000000000120,909090.000000000000,1078410.000000000000,978569.999999999880,954589.999999999880,10569760.000000000000
FS( 46 ),937310.000000000000,988510.000000000120,933060.000000000000,980930.000000000000,944889.999999999880,965790.000000000000,973470.000000000000,909090.000000000000,1024459.999999999900,983129.999999999770,954589.999999999880,10595240.000000000000
FS( 47 ),937310.000000000000,989500.000000000120,944310.000000000000,983970.000000000000,936289.999999999880,963090.000000000000,973470.000000000000,909090.000000000000,1020310.000000000000,974009.999999999880,958089.999999999880,10589450.000000000000
FS( 48 ),941460.000000000120,999070.000000000120,956999.999999999770,985410.000000000000,936289.999999999880,963090.000000000000,978690.000000000120,909090.000000000000,1036909.999999999800,977489.999999999880,967189.999999999880,10651700.000000000000
FS( 49 ),945610.000000000120,1000060.000000000100,940079.999999999880,987010.000000000000,937289.999999999880,968490.000000000000,981590.000000000000,909090.000000000000,1041059.999999999900,968369.999999999880,967189.999999999880,10645850.000000000000
FS( 50 ),941460.000000000120,989500.000000000120,942899.999999999880,973250.000000000000,931289.999999999880,968490.000000000000,978690.000000000120,909090.000000000000,1028610.000000000000,950129.999999999770,964389.999999999770,10577810.000000000000
FS( 51 ),941460.000000000120,988510.000000000120,944310.000000000000,976290.000000000000,932289.999999999880,968490.000000000000,978690.000000000120,909090.000000000000,1024459.999999999900,955769.999999999770,967189.999999999880,10586560.000000000000
FS( 52 ),941460.000000000120,990600.000000000120,941489.999999999880,968610.000000000000,914889.999999999880,963090.000000000000,978690.000000000120,909090.000000000000,1012009.999999999800,948929.999999999880,960889.999999999880,10529760.000000000000
FS( 53 ),941460.000000000120,994780.000000000230,940079.999999999880,954850.000000000000,930489.999999999880,955529.999999999880,978690.000000000120,909090.000000000000,1028610.000000000000,952409.999999999880,960889.999999999880,10546890.000000000000
FS( 54 ),925690.000000000120,994780.000000000230,941489.999999999880,953410.000000000000,928489.999999999880,955529.999999999880,978690.000000000120,909090.000000000000,1036909.999999999800,969449.999999999880,964389.999999999770,10557930.000000000000
FS( 55 ),941460.000000000120,992690.000000000120,954179.999999999880,982370.000000000000,917690.000000000000,955529.999999999880,970570.000000000120,909090.000000000000,1024459.999999999900,963809.999999999770,954589.999999999880,10566450.000000000000
FS( 56 ),1021140.000000000200,984220.000000000000,949949.999999999880,980930.000000000000,913889.999999999770,950130.000000000000,981590.000000000000,909090.000000000000,1036909.999999999800,956969.999999999880,951089.999999999880,10635920.000000000000
FS( 57 ),993750.000000000230,978940.000000000120,941489.999999999880,962530.000000000000,905089.999999999880,952830.000000000120,981590.000000000000,909090.000000000000,1012009.999999999800,963809.999999999770,951089.999999999880,10552230.000000000000
FS( 58 ),985450.000000000000,985320.000000000120,952769.999999999880,987010.000000000000,910889.999999999770,960389.999999999880,984489.999999999880,909090.000000000000,1024459.999999999900,963809.999999999770,958089.999999999880,10621780.000000000000
FS( 59 ),973830.000000000120,976850.000000000120,954179.999999999880,985410.000000000000,925489.999999999880,958229.999999999880,984489.999999999880,909090.000000000000,1016159.999999999900,970649.999999999880,958089.999999999880,10612480.000000000000
FS( 60 ),969680.000000000000,988510.000000000120,948539.999999999770,985410.000000000000,934289.999999999880,960389.999999999880,984489.999999999880,909090.000000000000,1016159.999999999900,964889.999999999880,958089.999999999880,10619550.000000000000
FS( 61 ),997070.000000000000,994780.000000000230,951359.999999999770,999170.000000000000,935289.999999999880,960389.999999999880,984489.999999999880,909090.000000000000,1032759.999999999900,971730.000000000000,960889.999999999880,10697030.000000000000
FS( 62 ),981300.000000000230,996980.000000000120,947129.999999999880,983970.000000000000,935289.999999999880,963090.000000000000,984489.999999999880,909090.000000000000,1032759.999999999900,972929.999999999880,958089.999999999880,10665130.000000000000
FS( 63 ),969680.000000000000,982130.000000000120,951359.999999999770,982370.000000000000,934289.999999999880,963090.000000000000,989709.999999999880,909090.000000000000,1016159.999999999900,966090.000000000000,958089.999999999880,10622070.000000000000
FS( 64 ),969680.000000000000,988510.000000000120,954179.999999999880,990050.000000000000,892489.999999999770,968490.000000000000,986810.000000000120,909090.000000000000,1003709.999999999900,972929.999999999880,954589.999999999880,10590540.000000000000
FS( 65 ),977150.000000000120,989500.000000000120,956999.999999999770,999170.000000000000,897289.999999999880,973350.000000000120,994930.000000000000,909090.000000000000,991259.999999999770,974009.999999999880,960889.999999999880,10623650.000000000000
FS( 66 ),977150.000000000120,989500.000000000120,978149.999999999880,1015970.000000000000,907089.999999999880,965790.000000000000,1005370.000000000100,909090.000000000000,1007860.000000000000,980849.999999999880,960889.999999999880,10697720.000000000000
FS( 67 ),981300.000000000230,990600.000000000120,975329.999999999880,1015970.000000000000,894489.999999999770,978749.999999999880,1005370.000000000100,909090.000000000000,1007860.000000000000,979769.999999999770,964389.999999999770,10702930.000000000000
FS( 68 ),993750.000000000230,999070.000000000120,979560.000000000000,1019010.000000000000,913889.999999999770,980910.000000000120,1011170.000000000000,909090.000000000000,1020310.000000000000,1003649.999999999900,967189.999999999880,10797610.000000000000
FS( 69 ),993750.000000000230,1004350.000000000100,976739.999999999880,1019010.000000000000,931289.999999999880,989010.000000000000,1003050.000000000000,909090.000000000000,1020310.000000000000,1005929.999999999900,967189.999999999880,10819730.000000000000
FS( 70 ),985450.000000000000,1003250.000000000100,968280.000000000000,1011490.000000000000,946889.999999999880,986310.000000000000,1000149.999999999900,909090.000000000000,1020310.000000000000,1018529.999999999800,964389.999999999770,10814150.000000000000
FS( 71 ),985450.000000000000,1005450.000000000100,982349.999999999880,1025090.000000000000,949889.999999999880,986310.000000000000,1003050.000000000000,909090.000000000000,1024459.999999999900,1043610.000000000000,967189.999999999880,10881950.000000000000
FS( 72 ),977150.000000000120,1005450.000000000100,986579.999999999880,999170.000000000000,945889.999999999770,978749.999999999880,997829.999999999880,909090.000000000000,1012009.999999999800,1037849.999999999900,967189.999999999880,10816970.000000000000
FS( 73 ),993750.000000000230,1003250.000000000100,987989.999999999880,1006850.000000000000,952690.000000000000,983609.999999999880,1003050.000000000000,909090.000000000000,1012009.999999999800,1034489.999999999900,967189.999999999880,10853980.000000000000
FS( 74 ),981300.000000000230,995880.000000000120,989399.999999999880,1006850.000000000000,979889.999999999880,983609.999999999880,997829.999999999880,909090.000000000000,995409.999999999880,1019610.000000000000,967189.999999999880,10826070.000000000000
FS( 75 ),981300.000000000230,994780.000000000230,1003499.999999999800,1015970.000000000000,952690.000000000000,976050.000000000120,1000149.999999999900,909090.000000000000,995409.999999999880,1039050.000000000000,967189.999999999880,10835190.000000000000
FS( 76 ),969680.000000000000,1002260.000000000100,1004909.999999999900,1015970.000000000000,956689.999999999880,965790.000000000000,1000149.999999999900,909090.000000000000,1003709.999999999900,1037849.999999999900,976989.999999999880,10843100.000000000000
FS( 77 ),969680.000000000000,1005450.000000000100,1004909.999999999900,962530.000000000000,954690.000000000000,970650.000000000000,1005370.000000000100,909090.000000000000,1070110.000000000000,1049249.999999999800,986789.999999999880,10888530.000000000000
FS( 78 ),977150.000000000120,1004350.000000000100,1006320.000000000000,953410.000000000000,976090.000000000000,970650.000000000000,1005370.000000000100,909090.000000000000,1036909.999999999800,1043610.000000000000,983989.999999999880,10866950.000000000000
FS( 79 ),977150.000000000120,1000060.000000000100,1013369.999999999900,950370.000000000000,970289.999999999880,970650.000000000000,1000149.999999999900,909090.000000000000,1041059.999999999900,1060650.000000000000,980490.000000000000,10873340.000000000000
FS( 80 ),981300.000000000230,1074200.000000000000,1031669.999999999900,970210.000000000000,960489.999999999880,976050.000000000120,1011170.000000000000,909090.000000000000,1049360.000000000000,1074330.000000000000,990289.999999999880,11028170.000000000000
FS( 81 ),977150.000000000120,1066830.000000000000,1010549.999999999900,962530.000000000000,973089.999999999880,970650.000000000000,1011170.000000000000,909090.000000000000,1045209.999999999800,1065210.000000000000,993089.999999999880,10984580.000000000000
FS( 82 ),973830.000000000120,1054070.000000000000,1010549.999999999900,962530.000000000000,962489.999999999770,963090.000000000000,1011170.000000000000,909090.000000000000,1081730.000000000000,1055010.000000000000,996590.000000000000,10980160.000000000000
FS( 83 ),973830.000000000120,1058360.000000000000,1000679.999999999900,979330.000000000000,955689.999999999880,963090.000000000000,1011170.000000000000,909090.000000000000,1148130.000000000000,1051529.999999999800,996590.000000000000,11047500.000000000000
FS( 84 ),973830.000000000120,1062540.000000000200,980969.999999999880,971650.000000000000,949889.999999999880,965790.000000000000,1013489.999999999900,909090.000000000000,1110780.000000000000,1039050.000000000000,1002889.999999999900,10979980.000000000000
FS( 85 ),961380.000000000120,1066830.000000000000,993629.999999999880,971650.000000000000,936289.999999999880,968490.000000000000,1013489.999999999900,909090.000000000000,1181330.000000000000,1035569.999999999900,996590.000000000000,11034350.000000000000
FS( 86 ),969680.000000000000,1079480.000000000200,986579.999999999880,977730.000000000000,961489.999999999880,968490.000000000000,1016390.000000000000,909090.000000000000,1177179.999999999500,1046969.999999999900,1002889.999999999900,11095980.000000000000
FS( 87 ),961380.000000000120,1060450.000000000000,973919.999999999880,973250.000000000000,953689.999999999880,955529.999999999880,1000149.999999999900,909090.000000000000,1177179.999999999500,1044689.999999999900,986789.999999999880,10996130.000000000000
FS( 88 ),965530.000000000230,1066830.000000000000,968280.000000000000,979330.000000000000,944889.999999999880,955529.999999999880,994930.000000000000,909090.000000000000,1217850.000000000000,1033289.999999999900,986789.999999999880,11022350.000000000000
FS( 89 ),969680.000000000000,1063640.000000000000,976739.999999999880,967170.000000000000,953689.999999999880,965790.000000000000,994930.000000000000,909090.000000000000,1226150.000000000000,1048169.999999999900,990289.999999999880,11065350.000000000000
FS( 90 ),957230.000000000000,1050880.000000000000,989399.999999999880,960930.000000000000,941090.000000000000,950130.000000000000,981590.000000000000,909090.000000000000,1206230.000000000000,1028730.000000000000,980490.000000000000,10955800.000000000000
FS( 91 ),949760.000000000120,1052970.000000000000,978149.999999999880,953410.000000000000,929489.999999999770,947970.000000000120,981590.000000000000,909090.000000000000,1168880.000000000000,1008209.999999999900,974189.999999999880,10853720.000000000000
FS( 92 ),953080.000000000120,1058360.000000000000,997859.999999999770,954850.000000000000,933289.999999999880,952830.000000000120,989709.999999999880,909090.000000000000,1160580.000000000000,1033289.999999999900,986789.999999999880,10929740.000000000000
FS( 93 ),953080.000000000120,1063640.000000000000,995039.999999999770,976290.000000000000,917690.000000000000,952830.000000000120,997829.999999999880,909090.000000000000,1131530.000000000000,1032209.999999999900,990289.999999999880,10919530.000000000000
FS( 94 ),961380.000000000120,1073100.000000000000,1019009.999999999800,988450.000000000000,946889.999999999880,965790.000000000000,1008270.000000000000,909090.000000000000,1213700.000000000000,1050450.000000000000,993089.999999999880,11129230.000000000000
FS( 95 ),969680.000000000000,1076290.000000000200,1013369.999999999900,956450.000000000000,965489.999999999880,973350.000000000120,1013489.999999999900,909090.000000000000,1202080.000000000000,1062930.000000000000,1002889.999999999900,11145120.000000000000
FS( 96 ),969680.000000000000,1077390.000000000000,1003499.999999999800,954850.000000000000,956689.999999999880,973350.000000000120,1000149.999999999900,909090.000000000000,1173030.000000000000,1045889.999999999900,996590.000000000000,11060220.000000000000
FS( 97 ),965530.000000000230,1082670.000000000000,1003499.999999999800,962530.000000000000,965489.999999999880,976050.000000000120,994930.000000000000,909090.000000000000,1168880.000000000000,1050450.000000000000,996590.000000000000,11075720.000000000000
FS( 98 ),965530.000000000230,1095320.000000000000,1019009.999999999800,967170.000000000000,988689.999999999880,978749.999999999880,1026829.999999999900,909090.000000000000,1189630.000000000000,1062930.000000000000,1002889.999999999900,11205850.000000000000
FS( 99 ),965530.000000000230,1100600.000000000000,1014780.000000000000,977730.000000000000,985889.999999999770,983609.999999999880,1026829.999999999900,909090.000000000000,1177179.999999999500,1062930.000000000000,1006389.999999999800,11210570.000000000000
FS( 100 ),977150.000000000120,1100600.000000000000,1014780.000000000000,970210.000000000000,997489.999999999770,983609.999999999880,1032630.000000000000,909090.000000000000,1209550.000000000000,1074330.000000000000,1012689.999999999900,11282140.000000000000
FS( 101 ),969680.000000000000,1095320.000000000000,1013369.999999999900,971650.000000000000,995489.999999999880,978749.999999999880,1026829.999999999900,909090.000000000000,1181330.000000000000,1062930.000000000000,1009889.999999999900,11214340.000000000000
FS( 102 ),977150.000000000120,1105880.000000000000,1009139.999999999900,973250.000000000000,999489.999999999770,983609.999999999880,1029730.000000000000,909090.000000000000,1139830.000000000000,1059570.000000000000,1012689.999999999900,11199440.000000000000
FS( 103 ),969680.000000000000,1137670.000000000000,1007729.999999999800,967170.000000000000,1009090.000000000000,983609.999999999880,1026829.999999999900,909090.000000000000,1085880.000000000000,1059570.000000000000,1016189.999999999900,11172520.000000000000
FS( 104 ),981300.000000000230,1137670.000000000000,986579.999999999880,980930.000000000000,1016889.999999999900,986310.000000000000,1026829.999999999900,909090.000000000000,1106630.000000000000,1051529.999999999800,1012689.999999999900,11196460.000000000000
FS( 105 ),977150.000000000120,1137670.000000000000,993629.999999999880,971650.000000000000,1005289.999999999900,991169.999999999880,1029730.000000000000,909090.000000000000,1074260.000000000000,1040129.999999999800,1012689.999999999900,11142470.000000000000
FS( 106 ),985450.000000000000,1121830.000000000000,962639.999999999880,971650.000000000000,1020889.999999999800,999270.000000000000,1029730.000000000000,909090.000000000000,1070110.000000000000,1042409.999999999900,1012689.999999999900,11125770.000000000000
FS( 107 ),981300.000000000230,1137670.000000000000,956999.999999999770,997730.000000000000,1071290.000000000000,1009529.999999999900,1037849.999999999900,909090.000000000000,1078410.000000000000,1068690.000000000000,1016189.999999999900,11264760.000000000000
FS( 108 ),973830.000000000120,1132390.000000000000,964049.999999999880,996130.000000000000,1040289.999999999900,1019790.000000000000,1029730.000000000000,909090.000000000000,1090030.000000000000,1097129.999999999500,1016189.999999999900,11268660.000000000000
FS( 109 ),977150.000000000120,1127110.000000000000,958409.999999999880,987010.000000000000,1026689.999999999900,1017090.000000000000,1034950.000000000000,909090.000000000000,1078410.000000000000,1092569.999999999500,1019689.999999999900,11228180.000000000000
FS( 110 ),981300.000000000230,1116550.000000000000,965460.000000000000,979330.000000000000,1013089.999999999900,1009529.999999999900,1032630.000000000000,909090.000000000000,1070110.000000000000,1070970.000000000000,1016189.999999999900,11164260.000000000000
FS( 111 ),977150.000000000120,1111270.000000000000,968280.000000000000,977730.000000000000,1013089.999999999900,996570.000000000000,1032630.000000000000,909090.000000000000,1114929.999999999500,1065210.000000000000,1016189.999999999900,11182150.000000000000
FS( 112 ),981300.000000000230,1121830.000000000000,959820.000000000000,994690.000000000000,1007089.999999999900,1004130.000000000000,1040170.000000000100,909090.000000000000,1090030.000000000000,1094850.000000000000,1016189.999999999900,11219200.000000000000
FS( 113 ),989600.000000000120,1137670.000000000000,966869.999999999880,988450.000000000000,1011090.000000000000,989010.000000000000,1034950.000000000000,909090.000000000000,1119080.000000000000,1078890.000000000000,1016189.999999999900,11240900.000000000000
FS( 114 ),989600.000000000120,1137670.000000000000,971099.999999999880,1012930.000000000000,1018889.999999999800,989010.000000000000,1034950.000000000000,909090.000000000000,1131530.000000000000,1090290.000000000000,1012689.999999999900,11297760.000000000000
FS( 115 ),993750.000000000230,1148230.000000000500,987989.999999999880,1029730.000000000000,1018889.999999999800,1006830.000000000100,1037849.999999999900,909090.000000000000,1135679.999999999500,1089210.000000000000,1019689.999999999900,11376950.000000000000
FS( 116 ),997070.000000000000,1142950.000000000000,975329.999999999880,1046530.000000000000,1014889.999999999900,1006830.000000000100,1040170.000000000100,909090.000000000000,1123230.000000000000,1089210.000000000000,1019689.999999999900,11365000.000000000000
FS( 117 ),997070.000000000000,1127110.000000000000,971099.999999999880,1058690.000000000000,1018889.999999999800,991169.999999999880,1040170.000000000100,909090.000000000000,1127380.000000000000,1094850.000000000000,1009889.999999999900,11345420.000000000000
