代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10657522.499275001000
真實報酬,657522.499275000770

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11707.054879802336
風險,31968.988498335966
起點值,0.366200353208
找到最佳解世代,1374
找到最佳解實驗#,3
找到最佳解次數,5

投資組合檔數,12
1102(1)[6],2357(20)[23],2409(24)[43],2474(27)[9],2801(28)[3],2823(29)[50],2892(40)[1],3008(42)[11],3045(43)[22],4904(45)[21],5880(47)[2],9999(50)[41],
Stock#,1102(1)[6],2357(20)[23],2409(24)[43],2474(27)[9],2801(28)[3],2823(29)[50],2892(40)[1],3008(42)[11],3045(43)[22],4904(45)[21],5880(47)[2],9999(50)[41],
張數,32,3,72,3,52,29,52,0,8,12,64,-1,
FS( 42 ),935413.000000000000,867143.000000000000,826133.000000000120,925012.999999999880,881693.000000000000,804623.000000000000,885853.000000000000,833333.000000000000,867573.000000000000,865253.000000000230,871733.000000000000,833333.000000000000,10397100.000000000000
FS( 43 ),957173.000000000000,869962.999999999880,822533.000000000120,923542.999999999880,886373.000000000000,809843.000000000000,893132.999999999880,833333.000000000000,871333.000000000000,865253.000000000230,877493.000000000000,833333.000000000000,10443310.000000000000
FS( 44 ),957173.000000000000,891113.000000000000,829733.000000000120,973042.999999999880,886373.000000000000,817673.000000000000,902493.000000000120,833333.000000000000,871333.000000000000,869813.000000000120,877493.000000000000,833333.000000000000,10542910.000000000000
FS( 45 ),946293.000000000000,888293.000000000000,829733.000000000120,952643.000000000000,886373.000000000000,813613.000000000000,902493.000000000120,833333.000000000000,875173.000000000000,860693.000000000120,880693.000000000000,833333.000000000000,10502670.000000000000
FS( 46 ),966453.000000000000,892523.000000000120,839813.000000000120,964312.999999999880,888973.000000000000,804623.000000000000,907693.000000000000,833333.000000000000,871333.000000000000,869813.000000000120,883253.000000000000,833333.000000000000,10555460.000000000000
FS( 47 ),964853.000000000000,889703.000000000000,839813.000000000120,997762.999999999880,891053.000000000000,799403.000000000120,900413.000000000000,833333.000000000000,875173.000000000000,871013.000000000120,883253.000000000000,833333.000000000000,10579110.000000000000
FS( 48 ),964853.000000000000,881243.000000000120,836213.000000000120,1025423.000000000000,896253.000000000000,809843.000000000000,897812.999999999880,833333.000000000000,886533.000000000000,867533.000000000120,880693.000000000000,833333.000000000000,10613070.000000000000
FS( 49 ),972533.000000000000,895313.000000000000,829733.000000000120,1034152.999999999800,900933.000000000120,796793.000000000000,900413.000000000000,833333.000000000000,890373.000000000000,876653.000000000000,883253.000000000000,833333.000000000000,10646820.000000000000
FS( 50 ),975733.000000000000,899543.000000000000,826133.000000000120,1026862.999999999800,898333.000000000000,796793.000000000000,895732.999999999880,833333.000000000000,886533.000000000000,871013.000000000120,883253.000000000000,833333.000000000000,10626600.000000000000
FS( 51 ),966453.000000000000,900953.000000000000,833333.000000000000,1019602.999999999900,896253.000000000000,794183.000000000000,900413.000000000000,833333.000000000000,886533.000000000000,873293.000000000000,883253.000000000000,833333.000000000000,10620940.000000000000
FS( 52 ),949493.000000000000,902363.000000000000,826133.000000000120,1007962.999999999900,898333.000000000000,795633.000000000120,895732.999999999880,833333.000000000000,890373.000000000000,873293.000000000000,883253.000000000000,833333.000000000000,10589240.000000000000
FS( 53 ),947893.000000000000,916462.999999999880,829733.000000000120,1005052.999999999900,900933.000000000120,790412.999999999880,897812.999999999880,833333.000000000000,901813.000000000000,873293.000000000000,883253.000000000000,833333.000000000000,10613330.000000000000
FS( 54 ),961653.000000000000,917873.000000000000,818933.000000000120,991942.999999999880,900933.000000000120,787802.999999999880,897812.999999999880,833333.000000000000,886533.000000000000,878933.000000000120,892213.000000000000,833333.000000000000,10601300.000000000000
FS( 55 ),941493.000000000000,917873.000000000000,836213.000000000120,1021042.999999999900,903533.000000000120,785192.999999999880,902493.000000000120,833333.000000000000,886533.000000000000,871013.000000000120,901173.000000000000,833333.000000000000,10633230.000000000000
FS( 56 ),941493.000000000000,919283.000000000120,826133.000000000120,1019602.999999999900,903533.000000000120,784032.999999999880,902493.000000000120,833333.000000000000,886533.000000000000,872093.000000000120,898613.000000000000,833333.000000000000,10620480.000000000000
FS( 57 ),960053.000000000000,926333.000000000000,822533.000000000120,1050143.000000000000,900933.000000000120,784032.999999999880,897812.999999999880,833333.000000000000,886533.000000000000,865253.000000000230,895413.000000000000,835145.499275000070,10657522.499275001000
