訓練日期,20160211 - 20160513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11098880.059999998658895
真實報酬,1098880.059999998658895

夏普值報酬,0.101188006000000
夏普值風險,0.031674418199047
夏普值,3.194628717854205

預期報酬,18853.113491165317100
風險,55578.961898017645581
趨勢值,0.339213127545618
找到最佳解世代,3372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](6),XOM[29](4),
20160303,3494541.720000000204891,3309227.849999999627471,3461454.350000000558794,10265224.920000001788139
20160304,3489626.819999999832362,3323123.759999999776483,3456833.580000000540167,10269585.160000000149012
20160307,3497490.659999999683350,3322272.989999999757856,3547988.770000000018626,10367753.419999999925494
20160308,3480452.339999999850988,3358288.919999999925494,3471115.959999999962747,10309858.219999998807907
20160309,3500767.259999999776483,3392886.899999999906868,3461454.350000000558794,10355109.510000001639128
20160310,3510597.060000000055879,3402528.959999999962747,3452212.810000000521541,10365339.830000000074506
20160311,3529273.679999999701977,3447052.589999999385327,3452632.880000000353903,10428960.150000000372529
20160314,3527635.379999999888241,3485337.239999999757856,3461874.419999999925494,10474848.039999999105930
20160315,3530911.979999999981374,3500367.509999999776483,3479097.290000000037253,10510377.780000001192093
20160316,3519443.879999999888241,3502919.819999999366701,3481197.640000000596046,10503562.339999999850988
20160317,3497490.659999999683350,3492710.579999999608845,3532866.250000000000000,10523068.489999998360872
20160318,3522392.819999999832362,3518800.859999999403954,3537066.950000000186265,10578261.629999998956919
20160321,3515184.299999999813735,3511143.929999999701977,3512702.890000000596046,10539032.120000001043081
20160322,3518460.899999999906868,3511427.519999999552965,3533706.390000000596046,10563595.810000000521541
20160323,3555158.819999999832362,3521920.349999999627471,3518163.800000000279397,10595243.970000000670552
20160324,3548933.279999999795109,3496397.250000000000000,3527825.410000000614673,10573156.939999999478459
20160328,3546312.000000000000000,3492994.169999999925494,3537907.090000000316650,10577214.259999999776483
20160329,3576129.060000000055879,3515681.369999999646097,3550929.260000000242144,10642740.689999999478459
20160330,3570886.500000000000000,3568429.109999999403954,3550509.189999999944121,10689825.799999998882413
20160331,3545329.020000000018626,3564175.259999999776483,3511442.680000000633299,10620947.960000000894070
20160401,3577767.359999999869615,3602176.319999999366701,3484978.270000000018626,10664922.949999999254942
20160404,3558107.759999999776483,3617773.769999999552965,3493379.669999999925494,10669262.199999999254942
20160405,3569903.520000000018626,3612385.559999999590218,3453473.020000000018626,10635763.099999999627471
20160406,3585303.540000000037253,3616355.819999999366701,3499680.720000000204891,10701341.080000000074506
20160407,3580388.639999999664724,3633938.399999999441206,3460194.140000000596046,10674522.179999999701977
20160408,3574818.419999999459833,3628833.779999999329448,3495480.020000000018626,10699133.219999998807907
20160411,3570558.839999999850988,3617490.179999999701977,3500100.790000000037253,10688150.809999998658895
20160412,3591201.419999999459833,3618908.129999999422580,3543368.000000000000000,10753478.549999998882413
20160413,3600048.239999999757856,3598489.649999999906868,3563531.360000000335276,10762070.250000000000000
20160414,3599065.259999999776483,3616072.229999999981374,3588735.560000000521541,10803874.050000000745058
20160415,3610205.700000000186265,3623729.159999999683350,3569412.340000000316650,10803348.199999999254942
20160418,3634780.200000000186265,3654073.289999999571592,3603438.010000000242144,10892292.500000000000000
20160419,3692120.700000000186265,3654356.879999999888241,3621501.020000000018626,10967979.599999999627471
20160420,3721610.099999999627471,3645565.589999999850988,3646285.150000000372529,11013461.839999999850988
20160421,3721282.439999999478459,3567294.750000000000000,3645865.080000000540167,10934443.269999999552965
20160422,3713090.939999999478459,3559070.639999999664724,3676950.260000000242144,10949112.839999999850988
20160425,3719316.479999999981374,3614654.279999999329448,3668548.860000000335276,11002520.620000001043081
20160426,3699656.879999999888241,3621744.029999999329448,3681150.959999999962747,11002552.869999999180436
20160427,3695069.639999999664724,3638475.839999999850988,3716016.770000000018626,11049563.250000000000000
20160428,3685567.500000000000000,3627699.419999999925494,3697953.760000000242144,11011221.679999999701977
20160429,3672461.099999999627471,3587146.049999999348074,3713496.350000000558794,10973104.500000000000000
20160502,3694414.319999999832362,3635639.939999999478459,3744161.459999999962747,11074216.719999998807907
20160503,3692448.359999999869615,3641311.739999999757856,3701314.320000000298023,11035075.419999999925494
20160504,3677048.339999999850988,3667685.609999999869615,3694173.130000000353903,11038908.080000000074506
20160505,3698673.899999999906868,3666267.659999999683350,3698373.830000000540167,11063316.390000000596046
20160506,3694086.659999999683350,3703134.359999999869615,3718117.120000000577420,11115339.140000000596046
20160509,3726197.339999999850988,3710224.109999999869615,3720637.540000000037253,11157059.989999998360872
20160510,3757325.040000000037253,3732060.539999999571592,3780287.479999999981374,11269674.060000000521541
20160511,3747495.239999999757856,3662297.399999999441206,3730719.220000000204891,11140512.859999999403954
20160512,3742908.000000000000000,3690089.219999999739230,3766845.240000000223517,11199843.460000000894070
20160513,3720954.779999999795109,3653506.109999999869615,3724418.169999999925494,11098880.059999998658895
