訓練日期,20160317 - 20160617
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10897356.349999999627471
真實報酬,897356.349999999627471

夏普值報酬,0.081035635000000
夏普值風險,0.023414470037204
夏普值,3.460921168458718

預期報酬,14874.955624833175534
風險,83406.026655657973606
趨勢值,0.178343894575442
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
Stock#,JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
張數,23275,86088,46983,30167,
20160412,2550972.250000000000000,2751376.959999999962747,2440801.419999999925494,2544647.159999999683350,10287797.789999999105930
20160413,2557256.500000000000000,2801308.000000000000000,2409792.639999999664724,2559127.319999999832362,10327484.459999999031425
20160414,2556558.250000000000000,2810777.679999999701977,2413081.449999999720603,2577227.520000000018626,10357644.899999998509884
20160415,2564471.750000000000000,2797864.479999999981374,2412611.620000000111759,2563350.699999999720603,10338298.550000000745058
20160418,2581928.000000000000000,2807334.160000000149012,2430465.159999999683350,2587785.970000000204891,10407513.290000000968575
20160419,2622659.250000000000000,2831438.799999999813735,2446909.209999999962747,2600757.779999999795109,10501765.039999999105930
20160420,2643606.750000000000000,2860708.719999999739230,2431404.819999999832362,2618556.310000000055879,10554276.599999999627471
20160421,2643374.000000000000000,2861569.600000000093132,2350594.060000000055879,2618254.640000000130385,10473792.300000000745058
20160422,2637555.250000000000000,2864152.240000000223517,2375025.219999999739230,2640578.220000000204891,10517310.929999999701977
20160425,2641977.500000000000000,2858986.959999999962747,2384891.649999999906868,2634544.819999999832362,10520400.929999999701977
20160426,2628012.500000000000000,2845212.879999999888241,2369857.089999999850988,2643594.919999999925494,10486677.390000000596046
20160427,2624754.000000000000000,2840908.479999999981374,2428585.839999999850988,2668633.529999999795109,10562881.849999999627471
20160428,2618004.250000000000000,2833160.559999999590218,2397107.229999999981374,2655661.720000000204891,10503933.759999999776483
20160429,2608694.250000000000000,2815942.959999999962747,2393348.589999999850988,2666823.510000000242144,10484809.310000000521541
20160502,2624288.500000000000000,2823690.879999999888241,2411202.129999999888241,2688845.419999999925494,10548026.929999999701977
20160503,2622892.000000000000000,2901170.080000000074506,2381133.009999999776483,2658075.080000000074506,10563270.169999999925494
20160504,2611952.750000000000000,2875343.679999999701977,2388650.290000000037253,2652946.689999999944121,10528893.410000000149012
20160505,2627314.250000000000000,2889978.640000000130385,2388650.290000000037253,2655963.390000000130385,10561906.570000000298023
20160506,2624055.750000000000000,2890839.520000000018626,2401805.529999999795109,2670141.879999999888241,10586842.679999999701977
20160509,2646865.250000000000000,2911500.640000000130385,2399926.209999999962747,2671951.899999999906868,10630244.000000000000000
20160510,2668976.500000000000000,2909778.879999999888241,2421538.389999999664724,2714789.040000000037253,10715082.809999998658895
20160511,2661994.000000000000000,2854682.559999999590218,2403215.019999999552965,2679191.979999999981374,10599083.559999998658895
20160512,2658735.500000000000000,2857265.199999999720603,2418249.579999999608845,2705135.600000000093132,10639385.879999998956919
20160513,2643141.250000000000000,2857265.199999999720603,2393348.589999999850988,2674666.929999999701977,10568421.969999998807907
20160516,2663623.250000000000000,2873621.920000000391155,2406973.659999999683350,2702118.899999999906868,10646337.730000000447035
20160517,2649425.500000000000000,2843491.120000000111759,2391469.269999999552965,2700912.220000000204891,10585298.109999999403954
20160518,2643839.500000000000000,2855543.439999999944121,2367507.939999999944121,2695482.159999999683350,10562373.039999999105930
20160519,2626616.000000000000000,2873621.920000000391155,2331800.859999999869615,2718409.080000000074506,10550447.859999999403954
20160520,2621728.250000000000000,2904613.600000000093132,2333210.349999999627471,2707247.290000000037253,10566799.489999998360872
20160523,2610556.250000000000000,2898587.439999999944121,2308779.189999999944121,2703023.909999999683350,10520946.789999999105930
20160524,2622892.000000000000000,2935605.280000000260770,2329451.709999999962747,2705135.600000000093132,10593084.589999999850988
20160525,2638253.500000000000000,2957127.280000000260770,2342137.120000000111759,2722934.129999999888241,10660452.030000001192093
20160526,2627779.750000000000000,2964014.319999999832362,2356701.849999999627471,2709057.310000000055879,10657553.230000000447035
20160527,2631503.750000000000000,2979510.160000000149012,2378314.029999999795109,2715392.379999999888241,10704720.320000000298023
20160531,2622892.000000000000000,2987258.080000000074506,2391469.269999999552965,2685527.049999999813735,10687146.399999998509884
20160601,2624986.750000000000000,2991562.479999999981374,2369387.259999999776483,2692163.790000000037253,10678100.280000001192093
20160602,2664787.000000000000000,3001893.039999999571592,2385361.479999999981374,2670745.220000000204891,10722786.740000000223517
20160603,2671071.250000000000000,2986397.199999999720603,2392408.929999999701977,2665918.500000000000000,10715795.879999998956919
