代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13538172.739999998360872
真實報酬,3538172.739999998360872

夏普值報酬,0.345117274000000
夏普值風險,0.096121279550504
夏普值,3.590435703872088

二次趨勢線,19.465995443536627 x^2 + 9929.670681436235100 x + 10000000.000000000000000
二次加權預期報酬,16483.222480760232429
風險,212875.462594977550907
二次加權趨勢值,0.077431293770676
一次趨勢線,13616.029113608879925 x + 10000000.000000000000000
一次預期報酬,13616.029113608879925
一次風險,254179.057119738368783
一次趨勢值,0.053568650650847
找到最佳解世代,2513
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,3
DIS[6](1),GS[8](9),UNH[23](2),
FS( 21 ),3361859.259999999776483,3512171.899999999906868,3376480.299999999813735,10250512.460000000894070
FS( 22 ),3310589.089999999850988,3454423.920000000391155,3299140.799999999813735,10064154.809999998658895
FS( 23 ),3291314.589999999850988,3402071.080000000074506,3317050.999999999534339,10010437.669999999925494
FS( 24 ),3363015.729999999981374,3430845.160000000149012,3348800.899999999441206,10142662.789999999105930
FS( 25 ),3344126.720000000204891,3385486.020000000018626,3296698.499999999534339,10026312.240000000223517
FS( 26 ),3337958.880000000353903,3391880.260000000242144,3317458.049999999813735,10047298.190000001341105
FS( 27 ),3296325.960000000428408,3379091.779999999795109,3226278.850000000093132,9901697.589999999850988
FS( 28 ),3347981.620000000111759,3442234.899999999906868,3261285.149999999906868,10051502.669999999925494
FS( 29 ),3373038.470000000204891,3446231.300000000279397,3251108.899999999906868,10070379.669999999925494
FS( 30 ),3361859.259999999776483,3443633.640000000130385,3265355.649999999906868,10070849.550000000745058
FS( 31 ),3376893.370000000111759,3444432.920000000391155,3317865.100000000093132,10139192.390000000596046
FS( 32 ),3415827.860000000335276,3451626.439999999944121,3330483.649999999441206,10197938.949999999254942
FS( 33 ),3441655.690000000409782,3435041.380000000353903,3316236.899999999906868,10192934.970000000670552
FS( 34 ),3468254.500000000000000,3487993.680000000167638,3351650.250000000000000,10307899.429999999701977
FS( 35 ),3472880.380000000353903,3476204.300000000279397,3397646.899999999906868,10346732.580000000074506
FS( 36 ),3463243.130000000353903,3477603.040000000037253,3396018.700000000186265,10336865.870000001043081
FS( 37 ),3484059.589999999850988,3499982.880000000353903,3409858.399999999441206,10393901.870000001043081
FS( 38 ),3488299.979999999981374,3506377.120000000111759,3410265.449999999720603,10404943.549999998882413
FS( 39 ),3484059.589999999850988,3554333.920000000391155,3428989.749999999534339,10467384.259999999776483
FS( 40 ),3470181.950000000186265,3554933.380000000353903,3464810.149999999906868,10489926.480000000447035
FS( 41 ),3483674.100000000558794,3553135.000000000000000,3516098.449999999720603,10552908.550000000745058
FS( 42 ),3478277.240000000223517,3549937.880000000353903,3514470.250000000000000,10542686.370000001043081
FS( 43 ),3464785.089999999850988,3579111.600000000558794,3528309.950000000186265,10572207.640000000596046
FS( 44 ),3500250.169999999925494,3592299.720000000204891,3516505.500000000000000,10609056.390000000596046
FS( 45 ),3505647.030000000260770,3588902.779999999795109,3532787.500000000000000,10627338.310000000521541
FS( 46 ),3474807.830000000074506,3598494.140000000130385,3543777.850000000093132,10617080.820000000298023
FS( 47 ),3505647.030000000260770,3591900.080000000074506,3571864.299999999813735,10669412.410000000149012
FS( 48 ),3490998.410000000149012,3599093.600000000558794,3578377.099999999627471,10668470.109999999403954
FS( 49 ),3453991.370000000111759,3544942.380000000353903,3604835.350000000093132,10603770.099999999627471
FS( 50 ),3450907.450000000186265,3594297.920000000391155,3551511.799999999813735,10596718.170000001788139
FS( 51 ),3468254.500000000000000,3616877.580000000074506,3544591.949999999720603,10629725.029999999329448
FS( 52 ),3456689.800000000279397,3660238.520000000018626,3507957.450000000186265,10624886.769999999552965
FS( 53 ),3472494.890000000130385,3676423.939999999944121,3501851.699999999720603,10650771.529999999329448
FS( 54 ),3479819.200000000186265,3677622.859999999869615,3547848.349999999627471,10705291.410000000149012
FS( 55 ),3482132.140000000130385,3693208.819999999832362,3540928.499999999534339,10716270.459999999031425
FS( 56 ),3482517.630000000353903,3754553.559999999590218,3566979.699999999720603,10804051.889999998733401
FS( 57 ),3488299.979999999981374,3720783.979999999981374,3573899.549999999813735,10782984.509999999776483
FS( 58 ),3442041.180000000633299,3702600.359999999869615,3572678.399999999441206,10717320.940000001341105
FS( 59 ),3404263.160000000149012,3698603.959999999962747,3524646.500000000000000,10627514.620000001043081
FS( 60 ),3448209.020000000484288,3752955.000000000000000,3590588.599999999627471,10791753.620000001043081
FS( 61 ),3395011.399999999906868,3678621.959999999962747,3507957.450000000186265,10581591.809999998658895
FS( 62 ),3420839.229999999981374,3699203.420000000391155,3525053.549999999813735,10645097.199999999254942
FS( 63 ),3424308.640000000130385,3673426.640000000130385,3521390.100000000093132,10619126.380000000819564
FS( 64 ),3432018.440000000409782,3668231.319999999832362,3510806.799999999813735,10611057.559999998658895
FS( 65 ),3372652.979999999981374,3610882.979999999981374,3455040.949999999720603,10438577.910000000149012
FS( 66 ),3345668.680000000633299,3654443.739999999757856,3455855.049999999813735,10455968.469999998807907
FS( 67 ),3409660.020000000484288,3758150.319999999832362,3501444.649999999441206,10669255.989999998360872
FS( 68 ),3413900.410000000149012,3746360.939999999944121,3463589.000000000000000,10623851.349999999627471
FS( 69 ),3358004.360000000335276,3672827.180000000167638,3426954.499999999534339,10457787.040000000968575
FS( 70 ),3396553.360000000335276,3729576.059999999590218,3525867.649999999906868,10651998.070000000298023
FS( 71 ),3304035.759999999776483,3622272.720000000204891,3457483.249999999534339,10383792.730000000447035
FS( 72 ),3325623.200000000186265,3604488.739999999757856,3475800.500000000000000,10405913.439999999478459
FS( 73 ),3234647.560000000055879,3572317.720000000204891,3417185.299999999813735,10224151.580000000074506
FS( 74 ),3243513.830000000074506,3570918.979999999981374,3371188.649999999441206,10185622.460000000894070
FS( 75 ),3164102.890000000130385,3541745.260000000242144,3344323.349999999627471,10050172.500000000000000
FS( 76 ),3150996.229999999981374,3448629.140000000130385,3475800.500000000000000,10075426.870000001043081
FS( 77 ),3231563.640000000130385,3535151.200000000186265,3589367.450000000186265,10356083.289999999105930
FS( 78 ),3296711.450000000186265,3553734.459999999962747,3604021.250000000000000,10454468.160000000149012
FS( 79 ),3374580.430000000633299,3600492.340000000316650,3702120.299999999813735,10677194.070000000298023
FS( 80 ),3357618.870000000111759,3533552.640000000130385,3654088.399999999441206,10545260.910000000149012
FS( 81 ),3391927.479999999981374,3598094.500000000000000,3690315.849999999627471,10680338.830000000074506
FS( 82 ),3415827.860000000335276,3663835.279999999795109,3730206.750000000000000,10809870.890000000596046
FS( 83 ),3409660.020000000484288,3675025.200000000186265,3750152.199999999720603,10834838.419999999925494
FS( 84 ),3466712.540000000502914,3723181.819999999832362,3770911.750000000000000,10960807.109999999403954
FS( 85 ),3451292.940000000409782,3718386.140000000130385,3783937.349999999627471,10953617.429999999701977
FS( 86 ),3477891.750000000000000,3736170.120000000111759,3821385.949999999720603,11035448.820000000298023
FS( 87 ),3522608.589999999850988,3796515.760000000242144,3867382.600000000093132,11186507.949999999254942
FS( 88 ),3535329.759999999776483,3813300.640000000130385,3861276.849999999627471,11209908.250000000000000
FS( 89 ),3482903.120000000111759,3802110.720000000204891,3866161.450000000186265,11151176.289999999105930
FS( 90 ),3507959.970000000204891,3793518.459999999962747,3899539.549999999813735,11201018.980000000447035
FS( 91 ),3546508.970000000204891,3816697.580000000074506,3916228.599999999627471,11279436.150000000372529
FS( 92 ),3469410.970000000204891,3810902.800000000279397,3810395.599999999627471,11090710.370000001043081
FS( 93 ),3460930.190000000409782,3832683.180000000167638,3856799.299999999813735,11150413.670000001788139
FS( 94 ),3468639.990000000223517,3834281.739999999757856,3895061.999999999534339,11197984.730000000447035
FS( 95 ),3465556.070000000298023,3800312.340000000316650,3894654.950000000186265,11160524.359999999403954
FS( 96 ),3488299.979999999981374,3801511.260000000242144,3903610.049999999813735,11193422.289999999105930
FS( 97 ),3500250.169999999925494,3796315.939999999944121,3871453.099999999627471,11168020.209999999031425
FS( 98 ),3485216.060000000055879,3795316.840000000316650,3926811.899999999906868,11207345.800000000745058
FS( 99 ),3480204.690000000409782,3789522.059999999590218,3996824.499999999534339,11266552.250000000000000
FS( 100 ),3462472.149999999906868,3780530.160000000149012,3942686.849999999627471,11185690.160000000149012
FS( 101 ),3427007.070000000298023,3791720.080000000074506,3942279.799999999813735,11161007.949999999254942
FS( 102 ),3429320.009999999776483,3788522.959999999962747,3936581.099999999627471,11154425.070000000298023
FS( 103 ),3491769.390000000130385,3798114.319999999832362,3944315.049999999813735,11234199.759999999776483
FS( 104 ),3533016.820000000298023,3773936.100000000558794,3985020.049999999813735,11291973.970000000670552
FS( 105 ),3543425.050000000279397,3767142.220000000204891,3993568.099999999627471,11304136.370000001043081
FS( 106 ),3566168.960000000428408,3764944.200000000186265,4014734.699999999720603,11345848.859999999403954
FS( 107 ),3573493.270000000484288,3760747.979999999981374,4032237.850000000093132,11366480.099999999627471
FS( 108 ),3603176.000000000000000,3800512.160000000149012,4063580.699999999720603,11467269.859999999403954
FS( 109 ),3589298.360000000335276,3815698.479999999981374,4103064.549999999813735,11508062.390000000596046
FS( 110 ),3593924.240000000223517,3835680.479999999981374,4057067.899999999906868,11486673.620000001043081
FS( 111 ),3614355.210000000428408,3905617.479999999981374,4083933.199999999720603,11603906.890000000596046
FS( 112 ),3615897.169999999925494,3928996.420000000391155,4067244.149999999906868,11612138.740000000223517
FS( 113 ),3582745.030000000260770,3934391.559999999590218,4112019.649999999441206,11629157.239999998360872
FS( 114 ),3532245.839999999850988,3836679.580000000074506,4033459.000000000000000,11402385.419999999925494
FS( 115 ),3536871.720000000204891,3867451.859999999869615,4059510.200000000186265,11463834.780000001192093
FS( 116 ),3526848.979999999981374,3773136.819999999832362,4020026.350000000093132,11320013.150000000372529
FS( 117 ),3504105.070000000298023,3707595.859999999869615,4000080.899999999441206,11211782.829999998211861
FS( 118 ),3475964.300000000279397,3663036.000000000000000,3901574.799999999813735,11040576.100000001490116
FS( 119 ),3522608.589999999850988,3697405.040000000037253,4035494.250000000000000,11255508.879999998956919
FS( 120 ),3570023.860000000335276,3828886.600000000558794,4161679.749999999534339,11560591.210000000894070
FS( 121 ),3580817.580000000074506,3862256.540000000037253,4171855.999999999534339,11614931.119999999180436
FS( 122 ),3631316.770000000484288,3885435.660000000149012,4194243.750000000000000,11710997.179999999701977
FS( 123 ),3650205.780000000260770,3906616.580000000074506,4186509.799999999813735,11743333.160000000149012
FS( 124 ),3639797.550000000279397,3914409.559999999590218,4179589.950000000186265,11733798.059999998658895
FS( 125 ),3663312.440000000409782,3905617.479999999981374,4174298.299999999813735,11743229.219999998807907
FS( 126 ),3681430.470000000204891,3920404.160000000149012,4165343.199999999720603,11767178.830000000074506
FS( 127 ),3650591.270000000484288,3910812.800000000279397,4186509.799999999813735,11747914.870000001043081
FS( 128 ),3630931.280000000260770,3873246.640000000130385,4114869.000000000000000,11619047.919999999925494
FS( 129 ),3613969.720000000204891,3884836.200000000186265,4102250.449999999720603,11601057.369999999180436
FS( 130 ),3561157.589999999850988,3763545.459999999962747,4034680.149999999906868,11359384.199999999254942
FS( 131 ),3542268.580000000074506,3687414.040000000037253,4026539.149999999906868,11256222.769999999552965
FS( 132 ),3578504.640000000130385,3742364.540000000037253,4067651.200000000186265,11388521.379999998956919
FS( 133 ),3615511.680000000633299,3802110.720000000204891,4261814.049999999813735,11679437.449999999254942
FS( 134 ),3633244.220000000204891,3743763.279999999795109,4221923.149999999441206,11598931.649999998509884
FS( 135 ),3641339.509999999776483,3698204.319999999832362,4174298.299999999813735,11513843.129999998956919
FS( 136 ),3669480.280000000260770,3695406.840000000316650,4195464.899999999441206,11560353.019999999552965
FS( 137 ),3632473.240000000223517,3601491.439999999944121,4206048.200000000186265,11440013.879999998956919
FS( 138 ),3637099.120000000111759,3566722.760000000242144,4252044.849999999627471,11455867.730000000447035
FS( 139 ),3669094.790000000502914,3541545.439999999944121,4305368.399999999441206,11516009.629999998956919
FS( 140 ),3652133.229999999981374,3509574.239999999757856,4299262.650000000372529,11460971.120000001043081
FS( 141 ),3630160.300000000279397,3539946.880000000353903,4449871.149999999441206,11619979.330000000074506
FS( 142 ),3667938.320000000298023,3637658.859999999869615,4634264.799999999813735,11939862.980000000447035
FS( 143 ),3651362.250000000000000,3606686.760000000242144,4558960.549999999813735,11817010.559999998658895
FS( 144 ),3660999.500000000000000,3605288.020000000018626,4543085.599999999627471,11809374.119999999180436
FS( 145 ),3622450.500000000000000,3526758.760000000242144,4477957.599999999627471,11627167.859999999403954
FS( 146 ),3572336.800000000279397,3458020.680000000167638,4414864.849999999627471,11445223.330000000074506
FS( 147 ),3593538.750000000000000,3516767.760000000242144,4452720.500000000000000,11563028.009999999776483
FS( 148 ),3506418.009999999776483,3445232.200000000186265,4324906.799999999813735,11276558.009999999776483
FS( 149 ),3543810.540000000502914,3506776.760000000242144,4367240.000000000000000,11417828.300000000745058
FS( 150 ),3627461.870000000111759,3601691.260000000242144,4388406.599999999627471,11617560.730000000447035
FS( 151 ),3904243.690000000409782,3572517.540000000037253,4392884.149999999441206,11869646.379999998956919
FS( 152 ),3956670.330000000074506,3612281.720000000204891,4429518.649999999441206,11998471.699999999254942
FS( 153 ),3932769.950000000186265,3665433.840000000316650,4379858.549999999813735,11978063.339999999850988
FS( 154 ),3921590.740000000223517,3641255.620000000111759,4334676.000000000000000,11897523.359999999403954
FS( 155 ),3928915.050000000279397,3688013.500000000000000,4435624.399999999441206,12052553.949999999254942
FS( 156 ),3926987.600000000558794,3749757.880000000353903,4471444.799999999813735,12148191.280000001192093
FS( 157 ),3992906.390000000130385,3792319.540000000037253,4471037.750000000000000,12256264.679999999701977
FS( 158 ),4015650.300000000279397,3776733.580000000074506,4454755.750000000000000,12247140.630000000819564
FS( 159 ),4013722.850000000558794,3797115.220000000204891,4467781.349999999627471,12278620.419999999925494
FS( 160 ),4003700.110000000335276,3770139.520000000018626,4468188.399999999441206,12242029.030000001192093
FS( 161 ),4004856.580000000074506,3778931.600000000558794,4478771.700000000186265,12262560.880000000819564
FS( 162 ),4030298.919999999925494,3826888.399999999906868,4584197.650000000372529,12441385.970000000670552
FS( 163 ),4047260.479999999981374,3802910.000000000000000,4738062.549999999813735,12588234.030000001192093
FS( 164 ),4034924.800000000279397,3841075.620000000111759,4698578.700000000186265,12574580.120000001043081
FS( 165 ),4069618.899999999906868,3831084.620000000111759,4642405.799999999813735,12543110.320000000298023
FS( 166 ),4030684.410000000149012,3840675.979999999981374,4626530.849999999627471,12497892.240000000223517
FS( 167 ),4012180.890000000130385,3792519.359999999869615,4625309.699999999254942,12430010.949999999254942
FS( 168 ),4081954.580000000074506,3832483.359999999869615,4656652.549999999813735,12571091.489999998360872
FS( 169 ),4099687.120000000111759,3822092.720000000204891,4593966.849999999627471,12515747.689999999478459
FS( 170 ),4069618.899999999906868,3790121.520000000018626,4633043.649999999441206,12492785.070000000298023
FS( 171 ),4048802.440000000409782,3798314.140000000130385,4672527.500000000000000,12519645.080000000074506
FS( 172 ),4002158.149999999906868,3734971.200000000186265,4594780.949999999254942,12331911.299999998882413
FS( 173 ),4057668.710000000428408,3755352.840000000316650,4677005.049999999813735,12490027.600000001490116
FS( 174 ),3974017.380000000353903,3651046.800000000279397,4577684.849999999627471,12202750.030000001192093
FS( 175 ),3966307.580000000074506,3680420.340000000316650,4588268.149999999441206,12234997.070000000298023
FS( 176 ),4131297.300000000279397,3795716.479999999981374,4676190.949999999254942,12603205.730000000447035
FS( 177 ),4103156.530000000260770,3783527.459999999962747,4691251.799999999813735,12577936.789999999105930
FS( 178 ),4139007.100000000558794,3834681.380000000353903,4824357.149999999441206,12798046.629999998956919
FS( 179 ),4123202.009999999776483,3808105.319999999832362,4786908.549999999813735,12718216.879999998956919
FS( 180 ),4162136.500000000000000,3843073.819999999832362,4882972.349999999627471,12888183.669999999925494
FS( 181 ),4139007.100000000558794,3796116.120000000111759,4915536.349999999627471,12850660.570000000298023
FS( 182 ),4179869.040000000502914,3859259.239999999757856,4849594.250000000000000,12888723.530000001192093
FS( 183 ),4171773.750000000000000,3835880.300000000279397,4845523.750000000000000,12853178.800000000745058
FS( 184 ),4128984.360000000335276,3822292.540000000037253,4808075.150000000372529,12759353.050000000745058
FS( 185 ),4047645.970000000204891,3743763.279999999795109,4743761.250000000000000,12535171.500000000000000
FS( 186 ),4056897.729999999981374,3741565.260000000242144,4731956.799999999813735,12530420.789999999105930
FS( 187 ),4066149.490000000223517,3757950.500000000000000,4803597.599999999627471,12627698.589999999850988
FS( 188 ),4090820.850000000558794,3817097.220000000204891,4925305.549999999813735,12833224.620000001043081
FS( 189 ),4043405.580000000074506,3756152.120000000111759,4814995.000000000000000,12614553.699999999254942
FS( 190 ),4064607.530000000260770,3841275.439999999944121,4780802.799999999813735,12686686.769999999552965
FS( 191 ),4086194.970000000204891,3827687.680000000167638,4777139.349999999627471,12691023.000000000000000
FS( 192 ),4071931.839999999850988,3837678.680000000167638,4790979.049999999813735,12700590.570000000298023
FS( 193 ),4064222.040000000502914,3844472.559999999590218,4776732.299999999813735,12685427.899999998509884
FS( 194 ),4100072.610000000335276,3847869.500000000000000,4810924.500000000000000,12758867.609999999403954
FS( 195 ),4115877.700000000186265,3894427.559999999590218,4825578.299999999813735,12835884.559999998658895
FS( 196 ),4122816.520000000484288,3909414.059999999590218,4843895.549999999813735,12876127.129999998956919
FS( 197 ),4105854.960000000428408,3908215.140000000130385,4858956.400000000372529,12873027.500000000000000
FS( 198 ),4111637.310000000055879,3950976.620000000111759,4881344.149999999441206,12943959.079999998211861
FS( 199 ),4123972.990000000223517,4018515.779999999795109,4775511.149999999441206,12918000.919999998062849
FS( 200 ),4167147.870000000111759,4000731.800000000279397,4949728.549999999813735,13117609.219999998807907
FS( 201 ),4112793.780000000260770,3943583.279999999795109,4832091.099999999627471,12888469.160000000149012
FS( 202 ),4171773.750000000000000,3958569.779999999795109,4826799.450000000186265,12957143.980000000447035
FS( 203 ),4150957.290000000502914,3933392.459999999962747,4855292.950000000186265,12939643.699999999254942
FS( 204 ),4160980.030000000260770,3962965.819999999832362,4795456.599999999627471,12919403.449999999254942
FS( 205 ),4201841.970000000670552,3982748.000000000000000,4813773.849999999627471,12998364.820000000298023
FS( 206 ),4222272.939999999478459,3956371.760000000242144,4831277.000000000000000,13009922.699999999254942
FS( 207 ),4246558.810000000521541,3926998.220000000204891,4731549.750000000000000,12905107.780000001192093
FS( 208 ),4237307.050000000745058,3946380.760000000242144,4786501.500000000000000,12970190.310000000521541
FS( 209 ),4233066.660000000149012,3967761.500000000000000,4624495.599999999627471,12825324.759999999776483
FS( 210 ),4191048.250000000000000,3925000.020000000018626,4534537.549999999813735,12650586.820000000298023
FS( 211 ),4260436.449999999254942,3947180.040000000037253,4607806.549999999813735,12815424.039999999105930
FS( 212 ),4280096.439999999478459,3982548.180000000167638,4663165.349999999627471,12925810.969999998807907
FS( 213 ),4271615.660000000149012,3942384.359999999869615,4614726.400000000372529,12828727.419999999925494
FS( 214 ),4229597.250000000000000,3921603.080000000074506,4619611.000000000000000,12770812.330000000074506
FS( 215 ),4211864.710000000894070,3944382.559999999590218,4671306.349999999627471,12827554.620000001043081
FS( 216 ),4244631.359999999403954,4006526.580000000074506,4708754.950000000186265,12959913.890000000596046
FS( 217 ),4186422.370000000111759,4031104.439999999944121,4671713.399999999441206,12889241.210000000894070
FS( 218 ),4211093.730000000447035,4007126.040000000037253,4666421.750000000000000,12884642.519999999552965
FS( 219 ),4209166.279999999329448,4025109.840000000316650,4716081.849999999627471,12950358.969999998807907
FS( 220 ),4237692.540000000968575,4048888.420000000391155,4824764.200000000186265,13111346.160000000149012
FS( 221 ),4251955.669999999925494,4055882.120000000111759,4857328.200000000186265,13165166.990000000223517
FS( 222 ),4253112.140000000596046,4089651.700000000186265,4876459.549999999813735,13219224.390000000596046
FS( 223 ),4261978.410000000149012,4104438.380000000353903,4906988.299999999813735,13273406.089999999850988
FS( 224 ),4248100.769999999552965,4098044.140000000130385,4935074.750000000000000,13281220.660000000149012
FS( 225 ),4255425.080000000074506,4095446.479999999981374,4903324.849999999627471,13254197.410000000149012
FS( 226 ),4250413.710000000894070,4152395.180000000167638,4867911.500000000000000,13270721.390000000596046
FS( 227 ),4218803.529999999329448,4124020.739999999757856,4812959.750000000000000,13155785.019999999552965
FS( 228 ),4254654.099999999627471,4177572.500000000000000,4862212.799999999813735,13294440.399999998509884
FS( 229 ),4260821.939999999478459,4165982.939999999944121,4869132.650000000372529,13295938.529999999329448
FS( 230 ),4254654.099999999627471,4120224.160000000149012,4893148.599999999627471,13268027.859999999403954
FS( 231 ),4277398.009999999776483,4152595.000000000000000,4878901.849999999627471,13308895.859999999403954
FS( 232 ),4269302.720000000670552,4125019.840000000316650,4793014.299999999813735,13187337.859999999403954
FS( 233 ),4285493.300000000745058,4162186.359999999869615,4817437.299999999813735,13265117.960000000894070
FS( 234 ),4251955.669999999925494,4173775.920000000391155,4748238.799999999813735,13173971.390000000596046
FS( 235 ),4251955.669999999925494,4205347.479999999515712,4743354.200000000186265,13200658.349999997764826
FS( 236 ),4213021.179999999701977,4192159.359999999869615,4758822.099999999627471,13164003.639999998733401
FS( 237 ),4183338.450000000186265,4176773.220000000204891,4762078.500000000000000,13122191.169999999925494
FS( 238 ),4240390.970000000670552,4258899.240000000223517,4825578.299999999813735,13324869.510000001639128
FS( 239 ),4264291.349999999627471,4275084.660000000149012,4856921.149999999441206,13396298.160000000149012
FS( 240 ),4238463.519999999552965,4257500.500000000000000,4788943.799999999813735,13284908.820000000298023
FS( 241 ),4247329.790000000968575,4231523.899999999441206,4843081.450000000186265,13321936.140000000596046
FS( 242 ),4281252.910000000149012,4267491.500000000000000,4947693.299999999813735,13496438.710000000894070
FS( 243 ),4297828.980000000447035,4254902.839999999850988,4874017.250000000000000,13426750.070000000298023
FS( 244 ),4364518.750000000000000,4288272.780000000260770,4920828.000000000000000,13573620.530000001192093
FS( 245 ),4341389.349999999627471,4260098.160000000149012,4898033.200000000186265,13499521.710000000894070
FS( 246 ),4376468.939999999478459,4326438.399999999441206,4894776.799999999813735,13597685.140000000596046
FS( 247 ),4410392.060000000521541,4364204.379999999888241,4996132.250000000000000,13770729.690000001341105
FS( 248 ),4385720.699999999254942,4284875.839999999850988,4850815.399999999441206,13521412.939999997615814
FS( 249 ),4411934.019999999552965,4252704.820000000298023,4979443.200000000186265,13644083.039999999105930
FS( 250 ),4432750.480000000447035,4259698.519999999552965,5016891.799999999813735,13709341.800000000745058
FS( 251 ),4357965.419999999925494,4149397.880000000353903,4933039.500000000000000,13440403.800000000745058
FS( 252 ),4399983.830000000074506,4172177.359999999869615,4966010.549999999813735,13538172.739999998360872
