代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,18192383.170000001788139
真實報酬,8192383.170000001788139

夏普值報酬,0.810538317000000
夏普值風險,0.190898416084296
夏普值,4.245914312050064

二次趨勢線,41.494799272315362 x^2 + 22769.494978443406580 x + 10000000.000000000000000
二次平均預期報酬,33267.679194339194510
風險,517887.454406475182623
二次平均趨勢值,0.064237275707838
一次趨勢線,30627.541777668426221 x + 10000000.000000000000000
一次預期報酬,30627.541777668426221
一次風險,596544.219654405256733
一次趨勢值,0.051341611851359
找到最佳解世代,2303
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),IBM[10](2),V[25](3),
FS( 18 ),3461933.500000000000000,3617557.949999999720603,2946608.000000000000000,10026100.449999999254942
FS( 19 ),3418209.329999999143183,3529429.140000000130385,2886728.000000000000000,9834367.469999998807907
FS( 20 ),3312756.919999999925494,3496619.280000000260770,3078843.000000000000000,9888220.199999999254942
FS( 21 ),3361625.109999999869615,3469150.560000000055879,3116268.000000000000000,9947044.669999999925494
FS( 22 ),3415637.319999999366701,3566435.609999999869615,3018963.000000000000000,10001036.929999999701977
FS( 23 ),3436213.399999999441206,3541637.459999999962747,3063873.000000000000000,10041724.859999999403954
FS( 24 ),3544237.819999999366701,3525614.039999999571592,3353293.000000000000000,10423145.859999999403954
FS( 25 ),3665122.289999999571592,3667917.270000000018626,3455588.000000000000000,10788628.559999998658895
FS( 26 ),3765430.679999999701977,3693859.949999999720603,3450598.000000000000000,10909889.629999998956919
FS( 27 ),3595678.019999999552965,3558423.899999999906868,3358283.000000000000000,10512385.919999999925494
FS( 28 ),3557097.869999999646097,3630529.289999999571592,3428143.000000000000000,10615771.160000000149012
FS( 29 ),3647118.219999999273568,3627095.699999999720603,3517963.000000000000000,10792177.919999998062849
FS( 30 ),3644546.209999999497086,3580169.970000000204891,3490518.000000000000000,10715235.179999999701977
FS( 31 ),3472221.539999999571592,3459231.299999999813735,3383233.000000000000000,10314686.839999999850988
FS( 32 ),3467077.519999999552965,3491278.140000000130385,3502993.000000000000000,10461349.660000000149012
FS( 33 ),3330760.989999999292195,3392848.560000000055879,3470558.000000000000000,10194168.549999998882413
FS( 34 ),3351337.069999999366701,3387507.419999999925494,3473053.000000000000000,10211898.489999998360872
FS( 35 ),3194444.459999999497086,3218880.000000000000000,3383233.000000000000000,9796558.459999999031425
FS( 36 ),3315328.929999999701977,3296326.530000000260770,3515468.000000000000000,10127124.460000000894070
FS( 37 ),3348765.059999999590218,3277251.030000000260770,3458083.000000000000000,10084100.089999999850988
FS( 38 ),3276748.779999999795109,3394374.599999999627471,3498003.000000000000000,10169127.379999998956919
FS( 39 ),3281892.799999999348074,3511116.660000000149012,3537923.000000000000000,10330933.459999999031425
FS( 40 ),3230452.599999999627471,3397426.679999999701977,3378243.000000000000000,10006123.279999999329448
FS( 41 ),3245884.659999999217689,3348593.399999999906868,3390718.000000000000000,9985197.059999998658895
FS( 42 ),3348765.059999999590218,3414213.119999999646097,3448103.000000000000000,10211082.179999999701977
FS( 43 ),3263888.729999999515712,3337529.609999999869615,3333333.000000000000000,9934752.339999999850988
FS( 44 ),3135288.229999999515712,3273817.439999999944121,3131238.000000000000000,9540344.669999999925494
FS( 45 ),3052983.909999999217689,3184925.609999999869615,3106288.000000000000000,9344198.519999999552965
FS( 46 ),3256172.699999999720603,3328754.879999999888241,3298403.000000000000000,9883331.580000000074506
FS( 47 ),3405349.279999999795109,3381021.750000000000000,3203593.000000000000000,9989965.029999999329448
FS( 48 ),3539093.799999999348074,3448930.530000000260770,3373253.000000000000000,10361278.330000000074506
FS( 49 ),3523661.739999999292195,3447404.489999999757856,3246008.000000000000000,10217075.229999998584390
FS( 50 ),3505657.669999999925494,3480214.349999999627471,3253493.000000000000000,10239366.019999999552965
FS( 51 ),3662550.279999999795109,3544689.539999999571592,3448103.000000000000000,10655343.820000000298023
FS( 52 ),3729422.539999999571592,3508064.580000000074506,3512973.000000000000000,10750461.119999999180436
FS( 53 ),3734566.559999999590218,3535151.789999999571592,3285928.000000000000000,10555647.349999999627471
FS( 54 ),3731994.549999999348074,3529429.140000000130385,3275948.000000000000000,10537372.689999999478459
FS( 55 ),3955759.419999999925494,3765965.339999999850988,3465568.000000000000000,11187293.759999999776483
FS( 56 ),3912035.250000000000000,3750323.429999999701977,3343313.000000000000000,11005672.679999999701977
FS( 57 ),3912035.250000000000000,3736970.580000000074506,3290918.000000000000000,10939924.830000000074506
FS( 58 ),4038063.739999999292195,3768635.910000000149012,3463073.000000000000000,11269773.649999998509884
FS( 59 ),3924895.299999999348074,3591996.780000000260770,3383233.000000000000000,10900126.080000000074506
FS( 60 ),3840018.969999999273568,3606112.649999999906868,3338323.000000000000000,10784455.619999999180436
FS( 61 ),3863167.059999999590218,3696530.520000000018626,3468063.000000000000000,11027761.580000000074506
FS( 62 ),3994339.569999999366701,3723999.239999999757856,3385728.000000000000000,11104067.809999998658895
FS( 63 ),4140944.140000000130385,3846463.949999999720603,3468063.000000000000000,11455472.089999999850988
FS( 64 ),4261828.609999999403954,3899875.349999999627471,3747503.000000000000000,11909207.959999999031425
FS( 65 ),4351848.960000000894070,3874695.689999999944121,3687623.000000000000000,11914168.650000000372529
FS( 66 ),4225820.469999998807907,3767491.379999999888241,3565368.000000000000000,11558680.849999997764826
FS( 67 ),4274688.660000000149012,3860579.819999999832362,3607783.000000000000000,11743052.480000000447035
FS( 68 ),4393001.119999999180436,3880036.830000000074506,3667663.000000000000000,11940701.949999999254942
FS( 69 ),4416149.210000000894070,3813272.580000000074506,3812373.000000000000000,12041795.790000000968575
FS( 70 ),4346704.939999999478459,3787329.899999999906868,3637723.000000000000000,11771758.839999999850988
FS( 71 ),4323556.849999999627471,3771306.479999999515712,3687623.000000000000000,11782487.329999998211861
FS( 72 ),4462445.390000000596046,3869736.060000000055879,3622753.000000000000000,11954935.450000001117587
FS( 73 ),4534461.669999999925494,3863631.899999999906868,3617763.000000000000000,12015857.570000000298023
FS( 74 ),4426437.250000000000000,3831585.060000000055879,3430638.000000000000000,11688661.310000000521541
FS( 75 ),4472733.429999999701977,3903308.939999999944121,3657683.000000000000000,12033726.369999999180436
FS( 76 ),4465017.399999998509884,3912465.179999999701977,3587823.000000000000000,11965306.579999998211861
FS( 77 ),4606477.949999999254942,3869354.549999999813735,3632733.000000000000000,12108566.500000000000000
FS( 78 ),4552465.740000000223517,3818232.209999999962747,3767463.000000000000000,12138161.949999999254942
FS( 79 ),4583329.859999999403954,3813272.580000000074506,3672653.000000000000000,12069256.439999999478459
FS( 80 ),4552465.740000000223517,3889193.069999999832362,3787423.000000000000000,12229082.810000000521541
FS( 81 ),4598761.919999999925494,3969310.169999999925494,3962073.000000000000000,12530146.089999999850988
FS( 82 ),4624482.019999999552965,3937644.839999999850988,4051892.999999999534339,12614020.859999999403954
FS( 83 ),4675922.219999998807907,3991056.239999999757856,4054388.000000000000000,12721367.459999999031425
FS( 84 ),4853390.910000000149012,4051334.819999999832362,4253988.000000000000000,13158714.730000000447035
FS( 85 ),4876539.000000000000000,4038363.479999999515712,4204088.000000000000000,13118991.480000000447035
FS( 86 ),4868822.969999998807907,3991437.750000000000000,4129238.000000000000000,12989499.719999998807907
FS( 87 ),4742794.480000000447035,3913991.220000000204891,4086822.999999999534339,12743609.700000001117587
FS( 88 ),4747938.500000000000000,3872025.119999999646097,4268958.000000000000000,12888922.619999999180436
FS( 89 ),4760798.550000000745058,3925818.030000000260770,4111773.000000000000000,12798390.580000001937151
FS( 90 ),4570469.809999998658895,3965495.069999999832362,4069357.999999999534339,12605323.879999998956919
FS( 91 ),4390429.109999999403954,3901401.390000000130385,4021953.000000000465661,12313784.500000000000000
FS( 92 ),4516457.599999999627471,3855238.679999999701977,4024447.999999999534339,12396145.279999999329448
FS( 93 ),4498453.529999999329448,3867447.000000000000000,4059378.000000000000000,12425279.529999999329448
FS( 94 ),4652774.129999998956919,3989911.709999999962747,4141713.000000000465661,12784399.839999999850988
FS( 95 ),4683638.250000000000000,4025392.140000000130385,4041913.000000000000000,12750944.390000000596046
FS( 96 ),4624482.019999999552965,3969691.679999999701977,4051892.999999999534339,12646067.699999999254942
FS( 97 ),4562753.779999999329448,3922765.949999999720603,4134228.000000000000000,12619748.729999998584390
FS( 98 ),4501025.539999999105930,3887285.520000000018626,4101793.000000000465661,12490105.059999998658895
FS( 99 ),4804522.719999998807907,4006698.149999999906868,4164168.000000000465661,12975389.869999999180436
FS( 100 ),4889399.050000000745058,3926962.560000000055879,4111773.000000000000000,12928135.610000001266599
FS( 101 ),4963987.339999999850988,3994108.319999999832362,4149197.999999999534339,13107294.660000000149012
FS( 102 ),4989707.439999999478459,4054768.410000000149012,4224048.000000000000000,13268524.849999999627471
FS( 103 ),5120879.949999999254942,4134504.000000000000000,4159178.000000000465661,13414562.949999999254942
FS( 104 ),5126023.969999998807907,4075751.459999999962747,4166663.000000000000000,13368439.429999999701977
FS( 105 ),5180036.179999999701977,4062780.119999999646097,4256483.000000000000000,13499300.299999998882413
FS( 106 ),5280344.570000000298023,4056675.959999999962747,4336323.000000000000000,13673344.530000001192093
FS( 107 ),5316352.710000000894070,4091393.369999999646097,4321353.000000000000000,13729100.080000000074506
FS( 108 ),5285488.589999999850988,4100931.119999999646097,4353788.000000000000000,13740208.709999999031425
FS( 109 ),5244336.429999999701977,4125729.270000000018626,4281433.000000000000000,13651499.699999999254942
FS( 110 ),5154316.080000000074506,4133740.979999999515712,4321353.000000000000000,13609411.059999998658895
FS( 111 ),5141456.029999999329448,4173799.530000000260770,4161673.000000000000000,13476929.559999998658895
FS( 112 ),5033431.609999999403954,4128399.839999999850988,4014468.000000000000000,13176300.449999999254942
FS( 113 ),4999995.480000000447035,4105890.750000000000000,4019458.000000000000000,13125345.230000000447035
FS( 114 ),5010283.519999999552965,4094445.449999999720603,3897203.000000000000000,13001932.969999998807907
FS( 115 ),4981991.410000000149012,4082237.129999999888241,3827343.000000000000000,12891572.539999999105930
FS( 116 ),4992279.449999999254942,4056675.959999999962747,3829838.000000000000000,12878794.410000000149012
FS( 117 ),5126023.969999998807907,4039889.520000000018626,3827343.000000000000000,12993257.489999998360872
FS( 118 ),5046291.660000000149012,3987622.649999999906868,3819858.000000000000000,12853773.310000000521541
FS( 119 ),4922835.179999999701977,3984570.569999999832362,3909678.000000000000000,12817084.750000000000000
FS( 120 ),5005139.500000000000000,3973506.780000000260770,3809878.000000000000000,12788525.280000001192093
FS( 121 ),5138884.019999999552965,4046375.189999999944121,3864768.000000000000000,13050028.209999999031425
FS( 122 ),5234048.390000000596046,4031877.810000000055879,3982033.000000000000000,13247960.200000001117587
FS( 123 ),5216044.320000000298023,4037600.459999999962747,3929638.000000000000000,13183283.780000001192093
FS( 124 ),5234048.390000000596046,3983807.549999999813735,3884728.000000000000000,13102584.940000001341105
FS( 125 ),5246908.439999999478459,3999830.970000000204891,3792413.000000000000000,13039153.410000000149012
FS( 126 ),5144028.039999999105930,3881181.359999999869615,3747503.000000000000000,12772713.399999998509884
FS( 127 ),5092587.839999999850988,3878129.280000000260770,3784928.000000000000000,12755646.120000001043081
FS( 128 ),4974275.379999998956919,3822428.819999999832362,3725048.000000000000000,12521753.199999999254942
FS( 129 ),5041147.640000000596046,3841122.810000000055879,3710078.000000000000000,12592349.450000001117587
FS( 130 ),5010283.519999999552965,3894534.209999999962747,3769958.000000000000000,12674776.730000000447035
FS( 131 ),5090015.830000000074506,3846845.459999999962747,3735028.000000000000000,12671890.289999999105930
FS( 132 ),5228904.369999999180436,3953286.750000000000000,3764968.000000000000000,12947160.119999999180436
FS( 133 ),5226332.359999999403954,3939170.879999999888241,3759978.000000000000000,12925482.239999998360872
FS( 134 ),5396085.019999999552965,4090630.349999999627471,3907183.000000000000000,13393899.369999999180436
FS( 135 ),5419233.109999999403954,4221106.769999999552965,4016963.000000000465661,13657303.879999998956919
FS( 136 ),5576125.719999998807907,4403468.549999999813735,3997003.000000000000000,13976598.269999999552965
FS( 137 ),5617277.879999998956919,4442382.569999999366701,4186623.000000000465661,14246284.449999999254942
FS( 138 ),5565837.679999999701977,4465273.169999999925494,4189118.000000000000000,14220229.849999999627471
FS( 139 ),5758738.429999999701977,4409191.199999999254942,4169158.000000000000000,14337088.629999998956919
FS( 140 ),5799890.589999999850988,4466036.190000000409782,4191613.000000000000000,14457540.780000001192093
FS( 141 ),5879622.899999998509884,4488163.769999999552965,4196603.000000000000000,14564390.669999998062849
FS( 142 ),5882194.910000000149012,4487782.259999999776483,4253988.000000000000000,14623966.169999999925494
FS( 143 ),5879622.899999998509884,4474429.410000000149012,4136722.999999999534339,14490776.309999998658895
FS( 144 ),5879622.899999998509884,4473666.389999999664724,4166663.000000000000000,14519953.289999999105930
FS( 145 ),5982503.300000000745058,4496556.990000000223517,4191613.000000000000000,14670674.290000000968575
FS( 146 ),6003079.379999998956919,4499227.560000000521541,4081833.000000000000000,14584140.939999999478459
FS( 147 ),6116247.820000000298023,4575148.049999999813735,4311373.000000000000000,15002769.870000001043081
FS( 148 ),6082811.689999999478459,4562939.729999999515712,4308878.000000000000000,14954630.419999998062849
FS( 149 ),6067379.629999998956919,4519829.099999999627471,4266463.000000000000000,14853672.729999998584390
FS( 150 ),6023655.460000000894070,4478244.509999999776483,4281433.000000000000000,14783333.970000000670552
FS( 151 ),6080239.679999999701977,4552638.959999999962747,4313868.000000000000000,14946747.640000000596046
FS( 152 ),6051947.570000000298023,4528603.830000000074506,4296403.000000000000000,14876955.400000000372529
FS( 153 ),5982503.300000000745058,4493886.419999999925494,4278938.000000000000000,14755328.720000000670552
FS( 154 ),6075095.660000000149012,4551112.919999999925494,4268958.000000000000000,14895167.580000000074506
FS( 155 ),6188264.099999999627471,4562176.709999999962747,4283928.000000000000000,15034369.809999998658895
FS( 156 ),6129107.869999999180436,4523644.199999999254942,4229038.000000000000000,14881791.069999998435378
FS( 157 ),5864190.839999999850988,4458405.990000000223517,4144208.000000000000000,14466805.830000000074506
FS( 158 ),6026227.469999998807907,4487782.259999999776483,4179138.000000000000000,14693148.729999998584390
FS( 159 ),6046803.550000000745058,4523644.199999999254942,4191613.000000000000000,14762061.750000000000000
FS( 160 ),6111103.800000000745058,4538141.580000000074506,4229038.000000000000000,14878284.380000000819564
FS( 161 ),6216556.210000000894070,4574385.030000000260770,4303888.000000000000000,15094830.240000002086163
FS( 162 ),6211412.189999999478459,4552257.449999999254942,4239018.000000000000000,15002688.639999998733401
FS( 163 ),6224272.240000000223517,4533563.459999999962747,4303888.000000000000000,15061724.699999999254942
FS( 164 ),6152255.960000000894070,4557980.099999999627471,4378738.000000000000000,15088975.060000000521541
FS( 165 ),6226844.250000000000000,4556454.060000000521541,4348798.000000000000000,15132097.310000000521541
FS( 166 ),6247420.330000000074506,4510291.349999999627471,4398698.000000000000000,15156410.679999999701977
FS( 167 ),6180548.070000000298023,4503805.679999999701977,4433628.000000000000000,15117982.750000000000000
FS( 168 ),6072523.649999998509884,4451920.319999999366701,4378738.000000000000000,14903182.969999998807907
FS( 169 ),6069951.640000000596046,4429029.719999999739230,4371253.000000000000000,14870235.359999999403954
FS( 170 ),6118819.830000000074506,4438185.959999999962747,4423648.000000000000000,14980654.789999999105930
FS( 171 ),6257708.369999999180436,4481296.589999999850988,4388718.000000000000000,15127723.959999999031425
FS( 172 ),6352872.740000000223517,4469851.290000000037253,4426143.000000000000000,15248868.030000001192093
FS( 173 ),6288572.490000000223517,4454590.889999999664724,4396203.000000000000000,15139367.379999998956919
FS( 174 ),6340012.689999999478459,4489308.299999999813735,4510973.000000000000000,15340294.989999998360872
FS( 175 ),6324580.629999998956919,4503805.679999999701977,4508478.000000000000000,15336865.309999998658895
FS( 176 ),6383736.859999999403954,4535471.009999999776483,4545903.000000000000000,15465111.869999999180436
FS( 177 ),6435177.059999998658895,4553401.979999999515712,4565863.000000000000000,15554443.039999999105930
FS( 178 ),6682090.019999999552965,4647634.949999999254942,4620753.000000000000000,15950478.969999998807907
FS( 179 ),6779826.399999998509884,4649924.009999999776483,4603288.000000000000000,16033039.409999998286366
FS( 180 ),6797830.469999998807907,4658698.740000000223517,4603288.000000000000000,16059818.209999999031425
FS( 181 ),6761822.330000000074506,4638097.199999999254942,4578338.000000000000000,15978258.529999999329448
FS( 182 ),6777254.390000000596046,4639623.240000000223517,4640713.000000000000000,16057591.630000000819564
FS( 183 ),6815834.539999999105930,4609483.949999999254942,4610773.000000000000000,16036092.489999998360872
FS( 184 ),6754106.300000000745058,4614062.069999999366701,4585823.000000000000000,15953992.370000001043081
FS( 185 ),6700094.089999999850988,4619403.209999999962747,4408678.000000000000000,15728176.300000000745058
FS( 186 ),6838982.629999998956919,4552638.959999999962747,4438618.000000000000000,15830240.589999999850988
FS( 187 ),6810690.519999999552965,4532800.440000000409782,4338818.000000000000000,15682309.960000000894070
FS( 188 ),6810690.519999999552965,4563321.240000000223517,4311373.000000000000000,15685385.759999999776483
FS( 189 ),6646081.879999998956919,4498083.030000000260770,4311373.000000000000000,15455538.910000000149012
FS( 190 ),6792686.449999999254942,4540812.149999999441206,4229038.000000000000000,15562537.599999997764826
FS( 191 ),6833838.609999999403954,4568662.379999999888241,4251493.000000000000000,15653994.989999998360872
FS( 192 ),6980443.179999999701977,4629703.979999999515712,4258978.000000000000000,15869126.160000000149012
FS( 193 ),6990731.219999998807907,4684259.910000000149012,4421153.000000000000000,16096145.129999998956919
FS( 194 ),6954723.080000000074506,4665565.919999999925494,4473548.000000000000000,16093838.000000000000000
FS( 195 ),6998447.250000000000000,4804435.560000000521541,4550893.000000000000000,16353776.810000000521541
FS( 196 ),7011307.300000000745058,4846783.169999999925494,4598298.000000000000000,16456389.470000000670552
FS( 197 ),6983015.189999999478459,4846020.149999999441206,4658178.000000000000000,16487214.339999999850988
FS( 198 ),7029311.369999999180436,4896760.979999999515712,4665663.000000000000000,16591736.349999997764826
FS( 199 ),7001019.259999999776483,4882645.110000000335276,4683128.000000000000000,16566793.370000001043081
FS( 200 ),6908426.899999998509884,4640767.769999999552965,4633228.000000000000000,16182423.669999998062849
FS( 201 ),6975299.160000000149012,4694942.190000000409782,4675643.000000000000000,16345885.350000001490116
FS( 202 ),7301944.429999999701977,4685785.949999999254942,4680633.000000000000000,16668364.379999998956919
FS( 203 ),7528281.309999998658895,4611391.500000000000000,4690613.000000000000000,16830286.809999998658895
FS( 204 ),7538569.349999999627471,4680826.319999999366701,4720553.000000000000000,16939949.669999998062849
FS( 205 ),7492273.169999999925494,4591934.490000000223517,4623248.000000000000000,16707456.660000000149012
FS( 206 ),7440832.969999998807907,4582396.740000000223517,4540913.000000000000000,16564143.709999999031425
FS( 207 ),7253076.240000000223517,4602998.280000000260770,4610773.000000000000000,16466848.519999999552965
FS( 208 ),7070463.529999999329448,4635426.629999999888241,4775443.000000000000000,16481334.160000000149012
FS( 209 ),7214496.089999999850988,4687693.500000000000000,4820353.000000000000000,16722543.589999999850988
FS( 210 ),6926430.969999998807907,4601472.240000000223517,4725543.000000000000000,16253447.209999999031425
FS( 211 ),6954723.080000000074506,4599564.690000000409782,4820353.000000000000000,16374641.769999999552965
FS( 212 ),6934147.000000000000000,4622455.290000000037253,4842808.000000000000000,16399411.289999999105930
FS( 213 ),7011307.300000000745058,4627414.919999999925494,4885223.000000000000000,16523946.220000000670552
FS( 214 ),7129619.759999999776483,4696468.229999999515712,4965063.000000000000000,16791151.989999998360872
FS( 215 ),7139907.800000000745058,4711347.120000000111759,4970053.000000000000000,16821308.920000001788139
FS( 216 ),7402252.820000000298023,4807106.129999999888241,5062368.000000000000000,17271727.949999999254942
FS( 217 ),7458837.039999999105930,4841823.540000000037253,5057378.000000000000000,17358039.579999998211861
FS( 218 ),7469125.080000000074506,4852505.819999999366701,5039913.000000000000000,17361544.899999998509884
FS( 219 ),7422828.899999998509884,4817025.389999999664724,4985023.000000000000000,17224878.289999999105930
FS( 220 ),7512849.250000000000000,4846401.660000000149012,4990013.000000000000000,17349264.910000000149012
FS( 221 ),7592581.559999998658895,4891419.839999999850988,4962568.000000000000000,17446570.399999998509884
FS( 222 ),7605441.609999999403954,4907443.259999999776483,5024943.000000000000000,17537828.869999997317791
FS( 223 ),7566861.460000000894070,4889130.780000000260770,5014963.000000000000000,17470956.240000002086163
FS( 224 ),7366244.679999999701977,4865858.669999999925494,5002488.000000000000000,17234592.350000001490116
FS( 225 ),7345668.599999999627471,4843731.089999999850988,4990013.000000000000000,17179413.689999997615814
FS( 226 ),7564289.449999999254942,4891038.329999999143183,5017458.000000000000000,17472786.779999997466803
FS( 227 ),7512849.250000000000000,4880737.560000000521541,5029933.000000000000000,17423520.810000002384186
FS( 228 ),7502561.210000000894070,4855939.410000000149012,5102288.000000000000000,17460789.620000001043081
FS( 229 ),7371388.699999999254942,4795660.830000000074506,5009973.000000000000000,17177023.530000001192093
FS( 230 ),7345668.599999999627471,4820458.979999999515712,5052388.000000000000000,17218516.579999998211861
FS( 231 ),7237644.179999999701977,4881119.069999999366701,5174643.000000000000000,17293407.250000000000000
FS( 232 ),7209352.070000000298023,4853268.839999999850988,5129733.000000000000000,17192354.910000000149012
FS( 233 ),7219640.109999999403954,4866240.179999999701977,4992508.000000000000000,17078389.289999999105930
FS( 234 ),7103899.660000000149012,4854794.879999999888241,5007478.000000000000000,16966173.539999999105930
FS( 235 ),6941863.029999999329448,4846783.169999999925494,4985023.000000000000000,16773670.199999999254942
FS( 236 ),6975299.160000000149012,4837626.929999999701977,4990013.000000000000000,16802940.089999999850988
FS( 237 ),7268508.300000000745058,4898287.019999999552965,5099793.000000000000000,17266589.320000000298023
FS( 238 ),7217068.099999999627471,4934530.469999999739230,5134723.000000000000000,17286322.570000000298023
FS( 239 ),7152767.849999999627471,4947501.810000000521541,5074843.000000000000000,17175113.660000000149012
FS( 240 ),7237644.179999999701977,4957039.560000000521541,5286918.000000000000000,17481602.740000002086163
FS( 241 ),7134763.779999999329448,4902102.120000000111759,5374243.000000000000000,17411109.899999998509884
FS( 242 ),7165627.899999998509884,4910495.339999999850988,5429133.000000000000000,17505257.239999998360872
FS( 243 ),7049887.449999999254942,4860517.530000000260770,5429133.000000000000000,17339538.980000000447035
FS( 244 ),7181059.960000000894070,4879974.540000000037253,5548893.000000000000000,17609928.500000000000000
FS( 245 ),7283940.359999999403954,4908206.280000000260770,5459073.000000000000000,17651220.640000000596046
FS( 246 ),7361100.660000000149012,4957039.560000000521541,5384223.000000000000000,17702364.219999998807907
FS( 247 ),7425400.910000000149012,4959710.129999999888241,5374243.000000000000000,17759355.039999999105930
FS( 248 ),7680029.899999998509884,4981456.199999999254942,5381728.000000000000000,18043215.099999997764826
FS( 249 ),7775194.269999999552965,5047838.940000000409782,5411668.000000000000000,18234702.210000000894070
FS( 250 ),7682601.910000000149012,5030289.479999999515712,5491508.000000000000000,18204400.390000000596046
FS( 251 ),7775194.269999999552965,5057758.199999999254942,5498993.000000000000000,18331946.469999998807907
FS( 252 ),7741758.140000000596046,4994046.030000000260770,5456578.000000000000000,18192383.170000001788139
