代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12492100.000000000000
真實報酬,2492100.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8202.545730079912
風險,206755.162730617800
起點值,0.039672749264
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,1
2412(24)[1],
FS( 63 ),10602550.000000000000,10602550.000000000000
FS( 64 ),10592020.000000000000,10592020.000000000000
FS( 65 ),10624779.999999998000,10624779.999999998000
FS( 66 ),10581490.000000000000,10581490.000000000000
FS( 67 ),10581490.000000000000,10581490.000000000000
FS( 68 ),10570960.000000000000,10570960.000000000000
FS( 69 ),10570960.000000000000,10570960.000000000000
FS( 70 ),10624779.999999998000,10624779.999999998000
FS( 71 ),10614250.000000000000,10614250.000000000000
FS( 72 ),10614250.000000000000,10614250.000000000000
FS( 73 ),10656370.000000000000,10656370.000000000000
FS( 74 ),10592020.000000000000,10592020.000000000000
FS( 75 ),10710190.000000000000,10710190.000000000000
FS( 76 ),10731250.000000000000,10731250.000000000000
FS( 77 ),10710190.000000000000,10710190.000000000000
FS( 78 ),10720720.000000000000,10720720.000000000000
FS( 79 ),10731250.000000000000,10731250.000000000000
FS( 80 ),10783900.000000002000,10783900.000000002000
FS( 81 ),10783900.000000002000,10783900.000000002000
FS( 82 ),10783900.000000002000,10783900.000000002000
FS( 83 ),10783900.000000002000,10783900.000000002000
FS( 84 ),10698490.000000000000,10698490.000000000000
FS( 85 ),10783900.000000002000,10783900.000000002000
FS( 86 ),10731250.000000000000,10731250.000000000000
FS( 87 ),10731250.000000000000,10731250.000000000000
FS( 88 ),10731250.000000000000,10731250.000000000000
FS( 89 ),10624779.999999998000,10624779.999999998000
FS( 90 ),10645840.000000000000,10645840.000000000000
FS( 91 ),10570960.000000000000,10570960.000000000000
FS( 92 ),10570960.000000000000,10570960.000000000000
FS( 93 ),10624779.999999998000,10624779.999999998000
FS( 94 ),10528840.000000000000,10528840.000000000000
FS( 95 ),10443430.000000000000,10443430.000000000000
FS( 96 ),10677430.000000000000,10677430.000000000000
FS( 97 ),10602550.000000000000,10602550.000000000000
FS( 98 ),10731250.000000000000,10731250.000000000000
FS( 99 ),10656370.000000000000,10656370.000000000000
FS( 100 ),10666900.000000002000,10666900.000000002000
FS( 101 ),10624779.999999998000,10624779.999999998000
FS( 102 ),10624779.999999998000,10624779.999999998000
FS( 103 ),10656370.000000000000,10656370.000000000000
FS( 104 ),10624779.999999998000,10624779.999999998000
FS( 105 ),10710190.000000000000,10710190.000000000000
FS( 106 ),10720720.000000000000,10720720.000000000000
FS( 107 ),10635310.000000000000,10635310.000000000000
FS( 108 ),10592020.000000000000,10592020.000000000000
FS( 109 ),10624779.999999998000,10624779.999999998000
FS( 110 ),10624779.999999998000,10624779.999999998000
FS( 111 ),10581490.000000000000,10581490.000000000000
FS( 112 ),10560430.000000000000,10560430.000000000000
FS( 113 ),10570960.000000000000,10570960.000000000000
FS( 114 ),10517140.000000002000,10517140.000000002000
FS( 115 ),10496080.000000000000,10496080.000000000000
FS( 116 ),10517140.000000002000,10517140.000000002000
FS( 117 ),10517140.000000002000,10517140.000000002000
FS( 118 ),10560430.000000000000,10560430.000000000000
FS( 119 ),10570960.000000000000,10570960.000000000000
FS( 120 ),10539370.000000000000,10539370.000000000000
FS( 121 ),10666900.000000002000,10666900.000000002000
FS( 122 ),10666900.000000002000,10666900.000000002000
FS( 123 ),10666900.000000002000,10666900.000000002000
FS( 124 ),10677430.000000000000,10677430.000000000000
FS( 125 ),10677430.000000000000,10677430.000000000000
FS( 126 ),10624779.999999998000,10624779.999999998000
FS( 127 ),10635310.000000000000,10635310.000000000000
FS( 128 ),10635310.000000000000,10635310.000000000000
FS( 129 ),10539370.000000000000,10539370.000000000000
FS( 130 ),10602550.000000000000,10602550.000000000000
FS( 131 ),10592020.000000000000,10592020.000000000000
FS( 132 ),10645840.000000000000,10645840.000000000000
FS( 133 ),10666900.000000002000,10666900.000000002000
FS( 134 ),10731250.000000000000,10731250.000000000000
FS( 135 ),10837720.000000000000,10837720.000000000000
FS( 136 ),10891539.999999998000,10891539.999999998000
FS( 137 ),10998010.000000000000,10998010.000000000000
FS( 138 ),10837720.000000000000,10837720.000000000000
FS( 139 ),10731250.000000000000,10731250.000000000000
FS( 140 ),10891539.999999998000,10891539.999999998000
FS( 141 ),10891539.999999998000,10891539.999999998000
FS( 142 ),10783900.000000002000,10783900.000000002000
FS( 143 ),10783900.000000002000,10783900.000000002000
FS( 144 ),10944190.000000000000,10944190.000000000000
FS( 145 ),10944190.000000000000,10944190.000000000000
FS( 146 ),10944190.000000000000,10944190.000000000000
FS( 147 ),10998010.000000000000,10998010.000000000000
FS( 148 ),11051830.000000000000,11051830.000000000000
FS( 149 ),10998010.000000000000,10998010.000000000000
FS( 150 ),11051830.000000000000,11051830.000000000000
FS( 151 ),11051830.000000000000,11051830.000000000000
FS( 152 ),11051830.000000000000,11051830.000000000000
FS( 153 ),11210950.000000000000,11210950.000000000000
FS( 154 ),11264770.000000000000,11264770.000000000000
FS( 155 ),11318590.000000000000,11318590.000000000000
FS( 156 ),11210950.000000000000,11210950.000000000000
FS( 157 ),11264770.000000000000,11264770.000000000000
FS( 158 ),11158300.000000000000,11158300.000000000000
FS( 159 ),11158300.000000000000,11158300.000000000000
FS( 160 ),11051830.000000000000,11051830.000000000000
FS( 161 ),11210950.000000000000,11210950.000000000000
FS( 162 ),11210950.000000000000,11210950.000000000000
FS( 163 ),11318590.000000000000,11318590.000000000000
FS( 164 ),11318590.000000000000,11318590.000000000000
FS( 165 ),11371240.000000000000,11371240.000000000000
FS( 166 ),11371240.000000000000,11371240.000000000000
FS( 167 ),11371240.000000000000,11371240.000000000000
FS( 168 ),11264770.000000000000,11264770.000000000000
FS( 169 ),11318590.000000000000,11318590.000000000000
FS( 170 ),11371240.000000000000,11371240.000000000000
FS( 171 ),11371240.000000000000,11371240.000000000000
FS( 172 ),11371240.000000000000,11371240.000000000000
FS( 173 ),11477710.000000000000,11477710.000000000000
FS( 174 ),11531529.999999998000,11531529.999999998000
FS( 175 ),11585350.000000000000,11585350.000000000000
FS( 176 ),11638000.000000000000,11638000.000000000000
FS( 177 ),11585350.000000000000,11585350.000000000000
FS( 178 ),11691820.000000000000,11691820.000000000000
FS( 179 ),11691820.000000000000,11691820.000000000000
FS( 180 ),11798289.999999998000,11798289.999999998000
FS( 181 ),11852110.000000000000,11852110.000000000000
FS( 182 ),11745640.000000002000,11745640.000000002000
FS( 183 ),11691820.000000000000,11691820.000000000000
FS( 184 ),11852110.000000000000,11852110.000000000000
FS( 185 ),11745640.000000002000,11745640.000000002000
FS( 186 ),11745640.000000002000,11745640.000000002000
FS( 187 ),11477710.000000000000,11477710.000000000000
FS( 188 ),11585350.000000000000,11585350.000000000000
FS( 189 ),11638000.000000000000,11638000.000000000000
FS( 190 ),11745640.000000002000,11745640.000000002000
FS( 191 ),11745640.000000002000,11745640.000000002000
FS( 192 ),11798289.999999998000,11798289.999999998000
FS( 193 ),11745640.000000002000,11745640.000000002000
FS( 194 ),11852110.000000000000,11852110.000000000000
FS( 195 ),11904760.000000000000,11904760.000000000000
FS( 196 ),11745640.000000002000,11745640.000000002000
FS( 197 ),11691820.000000000000,11691820.000000000000
FS( 198 ),11798289.999999998000,11798289.999999998000
FS( 199 ),11852110.000000000000,11852110.000000000000
FS( 200 ),11958580.000000000000,11958580.000000000000
FS( 201 ),11798289.999999998000,11798289.999999998000
FS( 202 ),11798289.999999998000,11798289.999999998000
FS( 203 ),11691820.000000000000,11691820.000000000000
FS( 204 ),11691820.000000000000,11691820.000000000000
FS( 205 ),11852110.000000000000,11852110.000000000000
FS( 206 ),11852110.000000000000,11852110.000000000000
FS( 207 ),11745640.000000002000,11745640.000000002000
FS( 208 ),11798289.999999998000,11798289.999999998000
FS( 209 ),11852110.000000000000,11852110.000000000000
FS( 210 ),11904760.000000000000,11904760.000000000000
FS( 211 ),11852110.000000000000,11852110.000000000000
FS( 212 ),11958580.000000000000,11958580.000000000000
FS( 213 ),12012400.000000002000,12012400.000000002000
FS( 214 ),11852110.000000000000,11852110.000000000000
FS( 215 ),11852110.000000000000,11852110.000000000000
FS( 216 ),11904760.000000000000,11904760.000000000000
FS( 217 ),11745640.000000002000,11745640.000000002000
FS( 218 ),11798289.999999998000,11798289.999999998000
FS( 219 ),11798289.999999998000,11798289.999999998000
FS( 220 ),11852110.000000000000,11852110.000000000000
FS( 221 ),11852110.000000000000,11852110.000000000000
FS( 222 ),11798289.999999998000,11798289.999999998000
FS( 223 ),11852110.000000000000,11852110.000000000000
FS( 224 ),11798289.999999998000,11798289.999999998000
FS( 225 ),11798289.999999998000,11798289.999999998000
FS( 226 ),11852110.000000000000,11852110.000000000000
FS( 227 ),11904760.000000000000,11904760.000000000000
FS( 228 ),12012400.000000002000,12012400.000000002000
FS( 229 ),12012400.000000002000,12012400.000000002000
FS( 230 ),12012400.000000002000,12012400.000000002000
FS( 231 ),12065050.000000000000,12065050.000000000000
FS( 232 ),12118870.000000000000,12118870.000000000000
FS( 233 ),12012400.000000002000,12012400.000000002000
FS( 234 ),12012400.000000002000,12012400.000000002000
FS( 235 ),12065050.000000000000,12065050.000000000000
FS( 236 ),12012400.000000002000,12012400.000000002000
FS( 237 ),12065050.000000000000,12065050.000000000000
FS( 238 ),12118870.000000000000,12118870.000000000000
FS( 239 ),12118870.000000000000,12118870.000000000000
FS( 240 ),12171520.000000000000,12171520.000000000000
FS( 241 ),12118870.000000000000,12118870.000000000000
FS( 242 ),12065050.000000000000,12065050.000000000000
FS( 243 ),12012400.000000002000,12012400.000000002000
FS( 244 ),12065050.000000000000,12065050.000000000000
FS( 245 ),12225340.000000000000,12225340.000000000000
FS( 246 ),12492100.000000000000,12492100.000000000000
