代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10828868.519999999552965
真實報酬,828868.519999999552965

夏普值報酬,0.074186852000000
夏普值風險,0.032318723851507
夏普值,2.295475908667091

二次趨勢線,324.462824995115454 x^2 + -5193.480893882679084 x + 10000000.000000000000000
二次加權預期報酬,22710.322055697248288
風險,114621.587696871778462
二次加權趨勢值,0.198133026352391
一次趨勢線,10501.465059369409573 x + 10000000.000000000000000
一次預期報酬,10501.465059369409573
一次風險,189948.992206888913643
一次趨勢值,0.055285710849844
找到最佳解世代,2773
找到最佳解實驗#,1
找到最佳解次數,22

stock[index](rank)
投資組合檔數,3
NKE[19](1),V[25](2),XOM[29](6),
FS( 16 ),3237837.100000000558794,3321982.149999999906868,3257978.799999999813735,9817799.050000000745058
FS( 17 ),3248391.910000000149012,3239204.000000000000000,3230939.939999999944121,9718536.849999999627471
FS( 18 ),3312223.380000000819564,3339977.399999999906868,3280141.799999999813735,9932343.580000001937151
FS( 19 ),3325793.850000000558794,3250278.000000000000000,3266844.000000000000000,9842916.850000001490116
FS( 20 ),3289103.320000000298023,3238927.149999999906868,3227393.859999999869615,9755425.330000000074506
FS( 21 ),3339364.320000000298023,3311738.700000000186265,3307180.659999999683350,9958284.679999999701977
FS( 22 ),3222758.800000000745058,3277686.149999999906868,3245567.519999999552965,9746013.470000000670552
FS( 23 ),3352432.180000000633299,3300111.000000000000000,3325354.319999999832362,9977898.500000000000000
FS( 24 ),3438881.100000000558794,3316998.850000000093132,3318705.419999999925494,10074586.370000001043081
FS( 25 ),3497686.470000000670552,3355204.149999999906868,3369680.319999999832362,10222571.940000001341105
FS( 26 ),3395154.030000000260770,3258583.500000000000000,3318705.419999999925494,9972443.949999999254942
FS( 27 ),3376557.460000000894070,3288760.150000000372529,3318705.419999999925494,9984024.030000001192093
FS( 28 ),3367510.480000000447035,3342192.200000000186265,3416222.619999999646097,10125926.300000000745058
FS( 29 ),3358966.110000000335276,3316168.299999999813735,3432179.979999999981374,10107315.390000000596046
FS( 30 ),3406211.450000000186265,3351881.949999999720603,3422871.519999999552965,10180965.919999999925494
FS( 31 ),3380075.730000000447035,3343022.750000000000000,3450353.640000000130385,10173453.120000001043081
FS( 32 ),3370526.140000000596046,3374306.799999999813735,3481381.840000000316650,10226215.780000001192093
FS( 33 ),3393143.590000000782311,3427462.000000000000000,3472073.379999999888241,10292679.970000000670552
FS( 34 ),3327301.680000000633299,3427462.000000000000000,3511523.519999999552965,10266288.199999999254942
FS( 35 ),3303679.010000000707805,3431891.599999999627471,3520388.719999999739230,10255960.330000000074506
FS( 36 ),3321772.970000000670552,3438536.000000000000000,3501771.799999999813735,10262081.769999999552965
FS( 37 ),3361479.160000000149012,3445734.099999999627471,3527037.619999999646097,10334251.879999998956919
FS( 38 ),3366002.650000000372529,3357418.949999999720603,3472959.899999999441206,10196382.500000000000000
FS( 39 ),3350924.350000000558794,3355757.849999999627471,3523934.799999999813735,10230618.000000000000000
FS( 40 ),3420284.530000000260770,3518268.799999999813735,3584218.159999999683350,10522772.490000000223517
FS( 41 ),3496178.640000000596046,3488645.850000000093132,3448137.340000000316650,10432962.830000000074506
FS( 42 ),3437373.270000000484288,3512731.799999999813735,3446364.299999999813735,10396470.370000001043081
FS( 43 ),3422797.580000000074506,3530173.350000000093132,3410903.500000000000000,10363875.429999999701977
FS( 44 ),3430839.340000000782311,3498889.299999999813735,3404254.599999999627471,10333984.240000000223517
FS( 45 ),3362484.380000000819564,3521037.300000000279397,3392729.840000000316650,10276252.520000001415610
FS( 46 ),3422797.580000000074506,3548168.600000000093132,3408687.200000000186265,10379654.379999998956919
FS( 47 ),3485121.220000000670552,3578622.099999999627471,3445921.039999999571592,10509665.359999999403954
FS( 48 ),3440891.540000000037253,3596340.500000000000000,3461435.140000000130385,10498668.179999999701977
FS( 49 ),3415258.430000000633299,3622364.399999999906868,3542994.979999999981374,10580618.810000000521541
FS( 50 ),3413750.600000000558794,3622364.399999999906868,3622338.519999999552965,10658454.519999999552965
FS( 51 ),3439383.710000000894070,3649495.699999999720603,3602835.080000000074506,10691715.490000000223517
FS( 52 ),3459990.720000000670552,3632607.850000000093132,3627214.379999999888241,10719813.949999999254942
FS( 53 ),3493162.980000000447035,3629562.500000000000000,3625441.340000000316650,10748167.820000000298023
FS( 54 ),3585643.220000000670552,3623748.649999999441206,3635636.319999999832362,10845029.189999999478459
FS( 55 ),3565538.820000000298023,3597171.050000000279397,3629430.679999999701977,10792141.550000000745058
FS( 56 ),3584638.000000000000000,3597171.050000000279397,3603721.599999999627471,10785531.650000000372529
FS( 57 ),3587653.660000000149012,3617381.100000000093132,3647161.080000000074506,10852196.839999999850988
FS( 58 ),3584135.390000000596046,3618765.350000000093132,3618792.439999999944121,10821694.179999999701977
FS( 59 ),3585643.220000000670552,3651156.799999999813735,3641398.700000000186265,10878199.720000000670552
FS( 60 ),3627862.460000000894070,3651433.649999999441206,3558065.819999999832362,10837362.929999999701977
FS( 61 ),3631380.730000000447035,3634545.799999999813735,3488917.259999999310821,10754844.789999999105930
FS( 62 ),3564533.600000000558794,3590526.649999999906868,3476062.719999999739230,10631123.969999998807907
FS( 63 ),3630375.510000000707805,3616827.399999999441206,3612586.799999999813735,10859790.710000000894070
FS( 64 ),3608763.280000000260770,3619042.200000000186265,3601062.039999999571592,10828868.519999999552965
