代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10745577.450000001117587
真實報酬,745577.450000001117587

夏普值報酬,0.065857745000000
夏普值風險,0.036332113359548
夏普值,1.812659350373112

二次趨勢線,520.454819150032563 x^2 + -16677.262267114267161 x + 10000000.000000000000000
二次加權預期報酬,28081.852179788533249
風險,101251.631600192893529
二次加權趨勢值,0.277347157136923
一次趨勢線,8498.226659212885352 x + 10000000.000000000000000
一次預期報酬,8498.226659212885352
一次風險,263215.660627734148875
一次趨勢值,0.032286174154478
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),IBM[10](2),KO[14](9),MCD[15](4),
FS( 55 ),2619545.690000000409782,2661309.949999999720603,2676988.000000000000000,2779902.500000000000000,10737746.140000000596046
FS( 56 ),2607334.690000000409782,2662199.200000000186265,2644060.000000000000000,2753637.500000000000000,10667231.390000000596046
FS( 57 ),2613195.970000000204891,2663266.300000000279397,2635313.500000000000000,2768186.250000000000000,10679962.019999999552965
FS( 58 ),2679501.700000000186265,2674648.699999999720603,2795323.000000000000000,2759302.500000000000000,10908775.900000000372529
FS( 59 ),2711250.300000000279397,2668423.949999999720603,2767025.500000000000000,2739603.750000000000000,10886303.500000000000000
FS( 60 ),2686217.750000000000000,2674826.549999999813735,2730496.000000000000000,2760976.250000000000000,10852516.550000000745058
FS( 61 ),2712593.510000000242144,2692078.000000000000000,2787091.000000000000000,2775653.750000000000000,10967416.259999999776483
FS( 62 ),2690369.490000000223517,2683541.199999999720603,2777830.000000000000000,2767928.750000000000000,10919669.439999999478459
FS( 63 ),2703557.370000000111759,2663799.850000000093132,2763938.500000000000000,2733938.750000000000000,10865234.470000000670552
FS( 64 ),2688049.400000000372529,2636588.800000000279397,2707858.000000000000000,2713081.250000000000000,10745577.450000001117587
