代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11639771.890000000596046
真實報酬,1639771.890000000596046

夏普值報酬,0.155277189000000
夏普值風險,0.038842897055580
夏普值,3.997569717259153

二次趨勢線,162.753126405707519 x^2 + 10774.055421867054974 x + 10000000.000000000000000
二次加權預期報酬,24987.828461298846378
風險,126328.350373456443776
二次加權趨勢值,0.197800639266079
一次趨勢線,18768.836860193237953 x + 10000000.000000000000000
一次預期報酬,18768.836860193237953
一次風險,148651.240418418339686
一次趨勢值,0.126260882905271
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),WBA[27](1),
FS( 15 ),5131275.559999999590218,5286721.549999999813735,10417997.109999999403954
FS( 16 ),5115662.690000000409782,5240816.000000000000000,10356478.690000001341105
FS( 17 ),5067868.190000000409782,5213724.200000000186265,10281592.390000000596046
FS( 18 ),5078382.979999999515712,5208456.349999999627471,10286839.329999998211861
FS( 19 ),5113432.279999999329448,5225765.000000000000000,10339197.279999999329448
FS( 20 ),5150393.359999999403954,5213724.200000000186265,10364117.559999998658895
FS( 21 ),5197231.970000000670552,5167066.099999999627471,10364298.070000000298023
FS( 22 ),5187354.440000000409782,5102346.799999999813735,10289701.240000000223517
FS( 23 ),5169192.529999999329448,5159540.599999999627471,10328733.129999998956919
FS( 24 ),5152942.400000000372529,5088800.900000000372529,10241743.300000000745058
FS( 25 ),5201374.160000000149012,5135458.999999999068677,10336833.160000000149012
FS( 26 ),5217305.660000000149012,5119655.450000000186265,10336961.109999999403954
FS( 27 ),5222403.740000000223517,5131696.250000000000000,10354099.990000000223517
FS( 28 ),5259683.450000000186265,5177601.799999999813735,10437285.250000000000000
FS( 29 ),5245345.100000000558794,5173086.499999999068677,10418431.599999999627471
FS( 30 ),5249168.660000000149012,5296504.699999999254942,10545673.359999999403954
FS( 31 ),5174609.240000000223517,5304030.200000000186265,10478639.440000001341105
FS( 32 ),5124902.959999999962747,5288979.200000000186265,10413882.160000000149012
FS( 33 ),5038872.859999999403954,5301772.549999999813735,10340645.410000000149012
FS( 34 ),5027083.550000000745058,5334132.199999999254942,10361215.750000000000000
FS( 35 ),5072010.379999999888241,5364234.200000000186265,10436244.580000000074506
FS( 36 ),5123309.809999999590218,5485394.750000000000000,10608704.559999998658895
FS( 37 ),5267011.940000000409782,5493672.799999999813735,10760684.740000000223517
FS( 38 ),5203604.570000000298023,5433468.799999999813735,10637073.370000001043081
FS( 39 ),5302379.870000000111759,5434221.349999999627471,10736601.219999998807907
FS( 40 ),5281668.919999999925494,5490662.599999999627471,10772331.519999999552965
FS( 41 ),5306203.429999999701977,5554629.349999999627471,10860832.779999999329448
FS( 42 ),5330419.309999999590218,5486147.299999999813735,10816566.609999999403954
FS( 43 ),5310664.250000000000000,5453035.099999999627471,10763699.349999999627471
FS( 44 ),5263188.379999999888241,5530547.749999999068677,10793736.129999998956919
FS( 45 ),5246619.620000000111759,5553876.799999999813735,10800496.419999999925494
FS( 46 ),5282943.440000000409782,5519259.500000000000000,10802202.940000001341105
FS( 47 ),5307477.950000000186265,5456797.850000000558794,10764275.800000000745058
FS( 48 ),5345713.550000000745058,5580216.049999999813735,10925929.600000001490116
FS( 49 ),5411351.330000000074506,5535815.599999999627471,10947166.929999999701977
FS( 50 ),5364831.350000000558794,5441746.849999999627471,10806578.199999999254942
FS( 51 ),5192771.150000000372529,5335637.299999999813735,10528408.449999999254942
FS( 52 ),5219854.700000000186265,5531300.299999999813735,10751155.000000000000000
FS( 53 ),5215075.250000000000000,5623111.399999999441206,10838186.649999998509884
FS( 54 ),5227820.450000000186265,5740509.200000000186265,10968329.650000000372529
FS( 55 ),5313850.550000000745058,5793187.700000000186265,11107038.250000000000000
FS( 56 ),5315125.070000000298023,5763085.699999999254942,11078210.769999999552965
FS( 57 ),5336791.910000000149012,5821032.049999999813735,11157823.960000000894070
FS( 58 ),5309389.729999999515712,5843608.549999999813735,11152998.279999999329448
FS( 59 ),5644588.490000000223517,5814259.100000000558794,11458847.589999999850988
FS( 60 ),5650961.089999999850988,5583978.799999999813735,11234939.890000000596046
FS( 61 ),5585960.570000000298023,5699871.499999999068677,11285832.070000000298023
FS( 62 ),5523190.459999999962747,5736746.450000000186265,11259936.910000000149012
FS( 63 ),5519685.529999999329448,5781146.899999999441206,11300832.429999999701977
FS( 64 ),5687284.910000000149012,5930151.799999999813735,11617436.710000000894070
FS( 65 ),5636622.740000000223517,6003149.149999999441206,11639771.890000000596046
