代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10821931.280000001192093
真實報酬,821931.280000001192093

夏普值報酬,0.073493128000000
夏普值風險,0.034053147047839
夏普值,2.158189018382177

二次趨勢線,600.269845924038236 x^2 + -22735.180548788965098 x + 10000000.000000000000000
二次加權預期報酬,28087.666406112937693
風險,73343.036085583793465
二次加權趨勢值,0.382962962882223
一次趨勢線,5850.898413010879267 x + 10000000.000000000000000
一次預期報酬,5850.898413010879267
一次風險,281342.800110078474972
一次趨勢值,0.020796332483794
找到最佳解世代,1940
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](3),PFE[20](5),
FS( 26 ),5024420.200000001117587,4758797.200000000186265,9783217.400000002235174
FS( 27 ),5057910.759999999776483,4744608.799999999813735,9802519.559999998658895
FS( 28 ),5034188.280000001192093,4755959.520000000484288,9790147.800000000745058
FS( 29 ),5052329.000000000000000,4829739.200000000186265,9882068.199999999254942
FS( 30 ),5033490.560000000521541,4877979.759999999776483,9911470.320000000298023
FS( 31 ),5087215.000000000000000,4855278.319999999366701,9942493.320000000298023
FS( 32 ),5048840.400000000372529,4846765.279999999329448,9895605.679999999701977
FS( 33 ),5042909.780000001192093,4886492.799999999813735,9929402.580000001937151
FS( 34 ),5058608.480000000447035,4832576.879999999888241,9891185.359999999403954
FS( 35 ),5041514.339999999850988,4872304.400000000372529,9913818.740000000223517
FS( 36 ),5084424.120000001043081,4931895.679999999701977,10016319.800000000745058
FS( 37 ),5091750.179999999701977,4982973.919999999925494,10074724.099999999627471
FS( 38 ),5089657.019999999552965,4997162.319999999366701,10086819.339999999850988
FS( 39 ),5070469.720000000670552,4963110.159999999217689,10033579.879999998956919
FS( 40 ),5083377.540000000968575,4991486.959999999962747,10074864.500000000000000
FS( 41 ),5111635.200000001117587,4994324.640000000596046,10105959.840000001713634
FS( 42 ),5116868.099999999627471,4963110.159999999217689,10079978.259999997913837
FS( 43 ),5120007.839999999850988,4968785.520000000484288,10088793.359999999403954
FS( 44 ),5145125.759999999776483,5017026.080000000074506,10162151.839999999850988
FS( 45 ),5150707.519999999552965,5104994.159999999217689,10255701.679999999701977
FS( 46 ),5130124.780000001192093,5139046.319999999366701,10269171.100000001490116
FS( 47 ),5186291.240000000223517,5158910.080000000074506,10345201.320000000298023
FS( 48 ),5160824.460000000894070,5204312.959999999962747,10365137.420000001788139
FS( 49 ),5150707.519999999552965,5181611.520000000484288,10332319.039999999105930
FS( 50 ),5138148.560000000521541,5170260.799999999813735,10308409.359999999403954
FS( 51 ),5201641.080000000074506,5212826.000000000000000,10414467.080000000074506
FS( 52 ),5191873.000000000000000,5170260.799999999813735,10362133.800000000745058
FS( 53 ),5233038.480000000447035,5204312.959999999962747,10437351.440000001341105
FS( 54 ),5255714.380000000819564,5215663.679999999701977,10471378.060000000521541
FS( 55 ),5431539.820000000298023,5198637.599999999627471,10630177.419999999925494
FS( 56 ),5435377.280000001192093,5175936.159999999217689,10611313.440000001341105
FS( 57 ),5424911.480000000447035,5209988.319999999366701,10634899.800000000745058
FS( 58 ),5568990.660000000149012,5235527.439999999478459,10804518.099999999627471
FS( 59 ),5632134.320000000298023,5241202.799999999813735,10873337.120000001043081
FS( 60 ),5618179.919999999925494,5209988.319999999366701,10828168.239999998360872
FS( 61 ),5619226.500000000000000,5244040.479999999515712,10863266.980000000447035
FS( 62 ),5554338.540000000968575,5150397.039999999105930,10704735.580000000074506
FS( 63 ),5651670.480000000447035,5170260.799999999813735,10821931.280000001192093
