代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10673759.570000000298023
真實報酬,673759.570000000298023

夏普值報酬,0.058675957000000
夏普值風險,0.021852419635211
夏普值,2.685101145753942

二次趨勢線,386.345007194075492 x^2 + -16022.042412840417455 x + 10000000.000000000000000
二次加權預期報酬,17203.628205850072845
風險,77228.289074888278265
二次加權趨勢值,0.222763295832797
一次趨勢線,2666.274214221835791 x + 10000000.000000000000000
一次預期報酬,2666.274214221835791
一次風險,196195.136250611947617
一次趨勢值,0.013589909847796
找到最佳解世代,1843
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](2),VZ[26](1),WMT[28](4),
FS( 30 ),3487189.080000000074506,3176574.360000000335276,3226662.929999999701977,9890427.370000001043081
FS( 31 ),3466735.990000000223517,3143864.880000000353903,3134472.959999999962747,9745074.830000001937151
FS( 32 ),3493599.750000000000000,3161762.520000000018626,3186601.319999999832362,9841964.589999999850988
FS( 33 ),3474978.280000000260770,3141396.240000000223517,3142195.679999999701977,9758571.199999999254942
FS( 34 ),3467651.800000000279397,3109921.080000000540167,3048075.029999999795109,9625648.910000000149012
FS( 35 ),3445061.819999999832362,3063016.920000000391155,3340090.379999999888241,9848170.120000001043081
FS( 36 ),3438651.149999999906868,3064868.399999999906868,3371946.600000000093132,9875467.150000000372529
FS( 37 ),3423998.189999999944121,3032776.080000000540167,3354570.479999999981374,9811345.750000000000000
FS( 38 ),3440177.500000000000000,3059931.120000000111759,3390288.059999999590218,9890397.679999999701977
FS( 39 ),3460325.319999999832362,3076594.440000000409782,3401872.140000000130385,9938792.900000000372529
FS( 40 ),3446588.170000000391155,3095726.399999999906868,3419730.929999999701977,9962046.500000000000000
FS( 41 ),3451472.490000000223517,3124115.760000000242144,3414904.229999999981374,9990493.480000000447035
FS( 42 ),3440177.500000000000000,3141396.240000000223517,3416352.240000000223517,9997926.980000000447035
FS( 43 ),3442924.930000000167638,3112389.720000000204891,3402837.479999999981374,9958153.130000000819564
FS( 44 ),3495126.100000000093132,3133373.160000000614673,3424557.629999999888241,10053057.890000000596046
FS( 45 ),3503368.390000000130385,3142630.560000000521541,3420696.270000000018626,10066696.220000000670552
FS( 46 ),3534200.660000000149012,3129670.200000000186265,3429384.330000000074506,10093256.190000001341105
FS( 47 ),3532979.580000000074506,3193854.840000000316650,3428418.990000000223517,10155254.410000000149012
FS( 48 ),3535116.470000000204891,3179660.160000000614673,3440485.740000000223517,10155263.370000001043081
FS( 49 ),3571748.870000000111759,3206198.040000000502914,3431315.010000000242144,10209262.919999999925494
FS( 50 ),3572054.140000000130385,3250633.560000000521541,3433728.359999999869615,10256417.060000000521541
FS( 51 ),3565338.200000000186265,3244461.960000000428408,3404285.490000000223517,10214086.650000000372529
FS( 52 ),3575412.110000000335276,3270382.680000000633299,3424557.629999999888241,10270353.420000001788139
FS( 53 ),3553737.939999999944121,3261125.280000000726432,3432763.020000000018626,10247627.240000000223517
FS( 54 ),3560759.149999999906868,3299389.200000000186265,3441451.080000000074506,10301600.429999999701977
FS( 55 ),3525347.830000000074506,3319138.320000000298023,3424557.629999999888241,10269044.780000001192093
FS( 56 ),3557706.450000000186265,3317904.000000000000000,3431797.679999999701977,10307409.129999998956919
FS( 57 ),3546716.730000000447035,3338887.440000000409782,3449173.799999999813735,10334778.970000000670552
FS( 58 ),3555264.290000000037253,3334567.320000000298023,3463171.229999999981374,10353003.839999999850988
FS( 59 ),3583349.129999999888241,3374065.560000000521541,3480064.679999999701977,10437480.370000001043081
FS( 60 ),3529926.879999999888241,3359253.720000000204891,3473307.299999999813735,10362488.899999998509884
FS( 61 ),3558011.720000000204891,3378385.680000000633299,3451104.479999999981374,10387502.880000000819564
FS( 62 ),3609297.080000000074506,3383322.960000000428408,3451587.150000000372529,10444208.190000001341105
FS( 63 ),3642876.780000000260770,3398134.800000000279397,3497440.799999999813735,10538453.379999998956919
FS( 64 ),3703014.970000000204891,3446273.280000000726432,3524470.319999999832362,10673759.570000000298023
