代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12449410.150000000372529
真實報酬,2449410.150000000372529

夏普值報酬,0.236241015000000
夏普值風險,0.073451849448451
夏普值,3.216270478877391

二次趨勢線,239.256619660717462 x^2 + 28320.211014649205026 x + 10000000.000000000000000
二次加權預期報酬,48577.271479256611201
風險,114848.967648077217746
二次加權趨勢值,0.422966548799186
一次趨勢線,39714.101059594111575 x + 10000000.000000000000000
一次預期報酬,39714.101059594111575
一次風險,157831.117792824603384
一次趨勢值,0.251624024558480
找到最佳解世代,1957
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),CAT[3](5),DIS[6](4),MCD[15](2),
FS( 47 ),3080514.979999999981374,3044953.419999999925494,3020831.200000000186265,2690558.229999999981374,11836857.830000001937151
FS( 48 ),3103879.359999999869615,3082259.589999999850988,3067409.600000000093132,2687427.910000000149012,11940976.459999999031425
FS( 49 ),3110169.770000000018626,3151205.169999999925494,3039462.560000000055879,2681558.560000000055879,11982396.060000000521541
FS( 50 ),3111967.030000000260770,3125704.750000000000000,3035228.160000000614673,2696818.870000000111759,11969718.810000002384186
FS( 51 ),3154202.640000000130385,3177177.819999999832362,3065715.840000000316650,2716383.370000000111759,12113479.670000001788139
FS( 52 ),3195539.620000000111759,3221567.439999999944121,3082653.439999999944121,2706209.829999999608845,12205970.330000000074506
FS( 53 ),3175769.760000000242144,3158288.619999999646097,3034381.280000000260770,2701123.060000000055879,12069562.720000000670552
FS( 54 ),3172175.239999999757856,3163483.149999999441206,3063175.200000000186265,2735947.870000000111759,12134781.460000000894070
FS( 55 ),3139824.559999999590218,3187566.879999999888241,3094509.760000000242144,2752382.050000000279397,12174283.250000000000000
FS( 56 ),3327638.229999999981374,3199372.629999999888241,3096203.520000000484288,2753164.629999999888241,12376379.009999997913837
FS( 57 ),3421095.750000000000000,3188039.110000000335276,3114834.880000000353903,2779381.060000000055879,12503350.800000000745058
FS( 58 ),3476810.809999999590218,3248012.319999999832362,3115681.760000000242144,2784076.540000000037253,12624581.429999999701977
FS( 59 ),3459736.839999999850988,3383542.330000000074506,3136853.760000000242144,2778989.770000000018626,12759122.699999999254942
FS( 60 ),3363583.429999999701977,3236206.569999999832362,3075878.400000000372529,2759816.560000000055879,12435484.960000000894070
FS( 61 ),3358191.649999999441206,3256984.689999999944121,3073337.760000000242144,2752382.050000000279397,12440896.150000000372529
FS( 62 ),3448953.280000000260770,3341041.629999999888241,3152097.600000000093132,2798554.270000000018626,12740646.779999999329448
FS( 63 ),3351901.239999999757856,3215428.450000000186265,3119916.160000000614673,2762164.300000000279397,12449410.150000000372529
