代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10981896.050000000745058
真實報酬,981896.050000000745058

夏普值報酬,0.089489605000000
夏普值風險,0.027817237355006
夏普值,3.217055808164058

二次趨勢線,-77.724125278879939 x^2 + 21284.799218717253098 x + 10000000.000000000000000
二次加權預期報酬,14911.420945849100463
風險,55616.085193577549944
二次加權趨勢值,0.268113458434702
一次趨勢線,17700.010904025482887 x + 10000000.000000000000000
一次預期報酬,17700.010904025482887
一次風險,64665.664846119936556
一次趨勢值,0.273715749248769
找到最佳解世代,1885
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](1),INTC[11](2),KO[14](7),MCD[15](9),UNH[23](21),
FS( 11 ),2028252.149999999906868,2067640.670000000158325,2014516.009999999776483,2064500.000000000000000,2087360.480000000214204,10262269.310000000521541
FS( 12 ),2044267.699999999953434,2045928.850000000093132,1994623.699999999953434,2054395.000000000000000,2079444.320000000065193,10218659.570000000298023
FS( 13 ),2062262.699999999953434,2065970.530000000027940,2005376.299999999813735,2058695.000000000000000,2077465.280000000260770,10269769.809999998658895
FS( 14 ),2027712.300000000046566,2039248.290000000270084,1998924.739999999990687,2073745.000000000000000,2086795.040000000270084,10226425.370000001043081
FS( 15 ),2054164.949999999953434,2056784.760000000009313,2016128.899999999906868,2074820.000000000000000,2148993.440000000409782,10350892.050000000745058
FS( 16 ),2068920.849999999860302,2055949.690000000176951,2030644.910000000149012,2077400.000000000000000,2129485.760000000242144,10362401.210000000894070
FS( 17 ),2078638.150000000139698,2070980.950000000186265,2036021.209999999729916,2061705.000000000000000,2150407.040000000037253,10397752.350000001490116
FS( 18 ),2081877.250000000000000,2067640.670000000158325,2046773.809999999823049,2044290.000000000000000,2149276.160000000149012,10389857.890000000596046
FS( 19 ),2075399.049999999813735,2067640.670000000158325,2053763.000000000000000,2045795.000000000232831,2184616.160000000149012,10427213.879999998956919
FS( 20 ),2066581.500000000000000,2045928.850000000093132,2049461.959999999729916,2027949.999999999767169,2179809.919999999925494,10369732.230000000447035
FS( 21 ),2075219.099999999860302,2055114.620000000111759,2059676.929999999934807,2042140.000000000000000,2208930.080000000074506,10441080.730000000447035
FS( 22 ),2059203.550000000046566,2045928.850000000093132,2061827.449999999953434,2043000.000000000000000,2204972.000000000000000,10414931.850000001490116
FS( 23 ),2066761.449999999953434,2056784.760000000009313,2068279.009999999776483,2055040.000000000000000,2195076.800000000279397,10441942.019999999552965
FS( 24 ),2070900.299999999813735,2057619.830000000074506,2072580.049999999813735,2053320.000000000000000,2188291.520000000484288,10442711.699999999254942
FS( 25 ),2084576.500000000000000,2074321.229999999981374,2077956.349999999860302,2046870.000000000000000,2201862.080000000074506,10485586.160000000149012
FS( 26 ),2060643.150000000139698,2065135.460000000195578,2086020.799999999813735,2123840.000000000000000,2199034.880000000353903,10534674.290000000968575
FS( 27 ),2081157.449999999953434,2067640.670000000158325,2068279.009999999776483,2122335.000000000000000,2193945.919999999925494,10533358.050000000745058
FS( 28 ),2059563.449999999953434,2051774.340000000083819,2041397.509999999776483,2093525.000000000000000,2177265.440000000409782,10423525.740000000223517
FS( 29 ),2053265.199999999953434,2045928.850000000093132,2052150.110000000102445,2098040.000000000000000,2140229.120000000111759,10389613.280000001192093
FS( 30 ),2070720.349999999860302,2062630.250000000000000,2057526.410000000149012,2098470.000000000000000,2170197.440000000409782,10459544.449999999254942
FS( 31 ),2091774.499999999767169,2072651.090000000083819,2064515.599999999860302,2092235.000000000000000,2205254.720000000204891,10526430.910000000149012
FS( 32 ),2073059.699999999953434,2089352.489999999990687,2050537.219999999972060,2066219.999999999767169,2260667.839999999850988,10539837.250000000000000
FS( 33 ),2078638.150000000139698,2123590.359999999869615,2067203.750000000000000,2076969.999999999767169,2305054.880000000353903,10651457.140000000596046
FS( 34 ),2080797.549999999813735,2101878.540000000037253,2066666.119999999878928,2052675.000000000000000,2299683.200000000186265,10601700.410000000149012
FS( 35 ),2084756.449999999953434,2097703.189999999944121,2064515.599999999860302,2067940.000000000232831,2297986.880000000353903,10612902.119999999180436
FS( 36 ),2107070.250000000000000,2126095.570000000298023,2076343.459999999729916,2062135.000000000000000,2292897.919999999925494,10664542.199999999254942
FS( 37 ),2118227.149999999441206,2119415.010000000242144,2075805.829999999841675,2060630.000000000000000,2305337.600000000558794,10679415.589999999850988
FS( 38 ),2117507.349999999627471,2113569.520000000018626,2087096.059999999823049,2067510.000000000000000,2290636.160000000149012,10676319.089999999850988
FS( 39 ),2132443.200000000186265,2139456.689999999944121,2094085.250000000000000,2090730.000000000000000,2307599.360000000335276,10764314.500000000000000
FS( 40 ),2139821.149999999441206,2155323.020000000018626,2078493.979999999748543,2107715.000000000000000,2318060.000000000000000,10799413.149999998509884
FS( 41 ),2141440.700000000186265,2170354.279999999795109,2065053.229999999748543,2104920.000000000000000,2313819.200000000186265,10795587.410000000149012
FS( 42 ),2147738.950000000186265,2162003.580000000074506,2060752.189999999711290,2098255.000000000000000,2307316.640000000130385,10776066.359999999403954
FS( 43 ),2142160.500000000000000,2205427.220000000204891,2046773.809999999823049,2099760.000000000000000,2325410.720000000204891,10819532.250000001862645
FS( 44 ),2137841.700000000186265,2184550.470000000204891,2054838.259999999776483,2104275.000000000000000,2305054.880000000353903,10786560.310000000521541
FS( 45 ),2111569.000000000000000,2212107.779999999795109,2076343.459999999729916,2085785.000000000000000,2292332.479999999981374,10778137.719999998807907
FS( 46 ),2119846.700000000186265,2247180.720000000204891,2091397.099999999860302,2108790.000000000000000,2280458.240000000223517,10847672.759999999776483
FS( 47 ),2143240.200000000186265,2253026.209999999962747,2096235.770000000018626,2114595.000000000000000,2301096.800000000279397,10908193.980000000447035
FS( 48 ),2099872.250000000000000,2207097.359999999869615,2090859.469999999972060,2137815.000000000000000,2261516.000000000000000,10797160.079999998211861
FS( 49 ),2105990.549999999813735,2186220.609999999869615,2076881.090000000083819,2134805.000000000000000,2232113.120000000111759,10736010.370000001043081
FS( 50 ),2136042.200000000186265,2217953.270000000018626,2082257.389999999664724,2152435.000000000000000,2238615.680000000167638,10827303.539999999105930
FS( 51 ),2164834.200000000186265,2235489.740000000223517,2160213.739999999757856,2167915.000000000000000,2247945.440000000409782,10976398.120000001043081
FS( 52 ),2192366.549999999813735,2248850.859999999869615,2182256.570000000298023,2167915.000000000000000,2210626.400000000372529,11002015.380000000819564
FS( 53 ),2225657.299999999813735,2258036.629999999888241,2189245.759999999776483,2155445.000000000000000,2142490.880000000353903,10970875.570000000298023
FS( 54 ),2235734.500000000000000,2250521.000000000000000,2190858.649999999906868,2142975.000000000000000,2119025.120000000111759,10939114.269999999552965
FS( 55 ),2231415.700000000186265,2241335.229999999981374,2188708.129999999888241,2135450.000000000000000,2141925.440000000409782,10938834.500000000000000
FS( 56 ),2243832.250000000000000,2233819.600000000093132,2189783.389999999664724,2131365.000000000000000,2129768.479999999981374,10928568.719999998807907
FS( 57 ),2236814.200000000186265,2233819.600000000093132,2188170.500000000000000,2146630.000000000000000,2165391.200000000186265,10970825.500000000000000
FS( 58 ),2231235.750000000000000,2192901.170000000391155,2204837.029999999795109,2165765.000000000000000,2139098.240000000223517,10933837.189999999478459
FS( 59 ),2262547.049999999813735,2198746.660000000149012,2205912.290000000037253,2156735.000000000000000,2141360.000000000000000,10965301.000000000000000
FS( 60 ),2266865.849999999627471,2211272.709999999962747,2181181.310000000055879,2182320.000000000000000,2126093.120000000111759,10967732.989999998360872
FS( 61 ),2258768.099999999627471,2228809.180000000167638,2193009.169999999925494,2179740.000000000000000,2121569.600000000558794,10981896.050000000745058
