代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11590588.529999999329448
真實報酬,1590588.529999999329448

夏普值報酬,0.150358853000000
夏普值風險,0.049507385755591
夏普值,3.037099428806315

二次趨勢線,156.110981918442263 x^2 + 18072.612923487155058 x + 10000000.000000000000000
二次加權預期報酬,31290.009392581923748
風險,155693.125988132407656
二次加權趨勢值,0.200972324205033
一次趨勢線,25506.937479729105689 x + 10000000.000000000000000
一次預期報酬,25506.937479729105689
一次風險,170968.183208194677718
一次趨勢值,0.149191136041191
找到最佳解世代,2191
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,4
HD[9](8),JPM[13](9),MCD[15](1),V[25](3),
FS( 18 ),2581143.700000000186265,2500813.659999999683350,2610193.520000000018626,2562715.959999999962747,10254866.839999999850988
FS( 19 ),2522773.300000000279397,2440195.989999999757856,2566597.539999999571592,2436196.479999999981374,9965763.310000000521541
FS( 20 ),2496462.400000000372529,2434500.370000000111759,2607251.459999999962747,2484411.640000000130385,10022625.870000001043081
FS( 21 ),2553506.200000000186265,2480472.159999999683350,2635334.759999999776483,2525376.399999999906868,10194689.519999999552965
FS( 22 ),2587555.600000000093132,2498779.509999999776483,2642021.259999999776483,2537339.560000000055879,10265695.929999999701977
FS( 23 ),2604801.400000000372529,2473962.879999999888241,2669034.720000000204891,2561990.919999999925494,10309789.919999999925494
FS( 24 ),2635534.300000000279397,2523189.310000000055879,2705944.199999999720603,2618544.040000000037253,10483211.850000001490116
FS( 25 ),2624037.100000000558794,2524409.799999999813735,2725468.780000000260770,2613106.240000000223517,10487021.920000001788139
FS( 26 ),2645483.800000000279397,2527664.439999999944121,2721991.799999999813735,2654433.520000000018626,10549573.560000000521541
FS( 27 ),2676658.900000000372529,2527664.439999999944121,2753552.080000000074506,2679084.880000000353903,10636960.300000000745058
FS( 28 ),2682628.600000000093132,2519527.839999999850988,2748470.339999999850988,2681985.040000000037253,10632611.820000000298023
FS( 29 ),2695231.300000000279397,2510984.409999999683350,2761308.419999999925494,2718599.560000000055879,10686123.689999999478459
FS( 30 ),2688819.400000000372529,2504068.299999999813735,2765052.859999999869615,2718962.080000000074506,10676902.640000000596046
FS( 31 ),2659192.000000000000000,2440602.819999999832362,2750075.099999999627471,2689960.479999999981374,10539830.400000000372529
FS( 32 ),2693241.400000000372529,2517900.520000000018626,2772541.739999999757856,2731287.760000000242144,10714971.419999999925494
FS( 33 ),2713803.700000000186265,2539869.339999999850988,2803567.099999999627471,2755214.080000000074506,10812454.219999998807907
FS( 34 ),2721763.300000000279397,2531325.909999999683350,2794740.919999999925494,2791103.560000000055879,10838933.689999999478459
FS( 35 ),2716235.800000000279397,2543530.810000000055879,2777356.020000000018626,2765364.640000000130385,10802487.270000001415610
FS( 36 ),2726185.300000000279397,2524816.629999999888241,2742586.220000000204891,2735638.000000000000000,10729226.150000000372529
FS( 37 ),2749621.900000000372529,2570788.419999999925494,2965380.399999999906868,2770439.919999999925494,11056230.640000000596046
FS( 38 ),2755149.400000000372529,2598452.859999999869615,3011383.520000000018626,2794003.719999999739230,11158989.500000000000000
FS( 39 ),2763993.400000000372529,2599673.349999999627471,3000417.660000000149012,2834243.440000000409782,11198327.850000001490116
FS( 40 ),2752054.000000000465661,2589095.770000000018626,2985974.819999999832362,2810317.120000000111759,11137441.710000000894070
FS( 41 ),2737682.500000000000000,2664766.149999999906868,3020744.619999999646097,2859257.320000000298023,11282450.589999999850988
FS( 42 ),2733481.600000000093132,2652968.079999999608845,3012185.899999999906868,2846206.600000000093132,11244842.179999999701977
FS( 43 ),2733702.700000000186265,2613912.399999999906868,3002289.879999999888241,2812492.240000000223517,11162397.219999998807907
FS( 44 ),2750727.400000000372529,2666393.470000000204891,2998545.439999999944121,2726937.520000000018626,11142603.830000000074506
FS( 45 ),2778364.900000000372529,2676157.390000000130385,2997743.060000000055879,2824092.880000000353903,11276358.230000002309680
FS( 46 ),2772174.100000000093132,2679005.199999999720603,3006301.780000000260770,2840406.279999999795109,11297887.359999999403954
FS( 47 ),2779691.500000000465661,2703008.169999999925494,3018337.479999999515712,2873395.600000000093132,11374432.749999998137355
FS( 48 ),2785440.100000000558794,2785187.829999999608845,3030640.640000000130385,2854907.080000000074506,11456175.650000000372529
FS( 49 ),2752717.300000000279397,2741657.020000000018626,3020477.160000000149012,2829168.160000000149012,11344019.640000000596046
FS( 50 ),2769520.900000000372529,2753455.090000000316650,3028233.500000000000000,2881371.040000000037253,11432580.530000001192093
FS( 51 ),2757360.400000000372529,2740029.699999999720603,3045083.479999999515712,2870495.440000000409782,11412969.019999999552965
FS( 52 ),2737461.400000000372529,2685107.649999999906868,2998545.439999999944121,2838956.200000000186265,11260070.690000001341105
FS( 53 ),2653222.300000000279397,2667207.129999999888241,2941309.000000000000000,2831705.800000000279397,11093444.230000000447035
FS( 54 ),2671794.700000000186265,2705855.979999999981374,2970462.140000000130385,2860344.880000000353903,11208457.700000001117587
FS( 55 ),2789862.100000000558794,2690396.439999999944121,2967252.619999999646097,2857807.240000000223517,11305318.400000000372529
FS( 56 ),2797821.700000000186265,2744098.000000000000000,3009778.759999999776483,2916898.000000000000000,11468596.460000000894070
FS( 57 ),2804896.900000000372529,2752641.429999999701977,3030373.179999999701977,2905659.880000000353903,11493571.390000000596046
FS( 58 ),2878965.400000000372529,2747759.470000000204891,3046688.239999999757856,2907109.959999999962747,11580523.070000000298023
FS( 59 ),2929597.300000000279397,2720908.689999999944121,3061666.000000000000000,2904209.800000000279397,11616381.790000000968575
FS( 60 ),2953918.300000000279397,2716840.390000000130385,3056584.259999999776483,2892609.160000000149012,11619952.109999999403954
FS( 61 ),2977133.800000000279397,2720095.029999999795109,3059793.780000000260770,2884271.200000000186265,11641293.809999998658895
FS( 62 ),2979123.700000000651926,2732706.759999999776483,3055246.959999999962747,2894421.760000000242144,11661499.180000001564622
FS( 63 ),2960109.100000000093132,2712772.090000000316650,3053374.739999999757856,2864332.600000000093132,11590588.529999999329448
