代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11433150.390000000596046
真實報酬,1433150.390000000596046

夏普值報酬,0.134615039000000
夏普值風險,0.041770113452676
夏普值,3.222759716765274

二次趨勢線,452.555861485831770 x^2 + -7999.173619098382005 x + 10000000.000000000000000
二次加權預期報酬,31524.038283997586404
風險,49819.959019795576751
二次加權趨勢值,0.632759217474903
一次趨勢線,14231.337592056803260 x + 10000000.000000000000000
一次預期報酬,14231.337592056803260
一次風險,223479.296888876764569
一次趨勢值,0.063680787393622
找到最佳解世代,3335
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
AXP[1](3),CAT[3](1),IBM[10](10),INTC[11](2),MCD[15](22),
Stock#,AXP[1](3),CAT[3](1),IBM[10](10),INTC[11](2),MCD[15](22),
FS( 51 ),2157671.360000000335276,2274086.500000000000000,2031932.479999999981374,2162309.000000000000000,2118275.130000000353903,10744274.470000000670552
FS( 52 ),2149459.310000000521541,2298665.870000000577420,2023811.719999999739230,2156256.799999999813735,2128142.209999999962747,10756335.910000000149012
FS( 53 ),2178788.060000000521541,2311397.630000000353903,2024775.199999999720603,2182666.399999999906868,2147097.390000000130385,10844724.680000001564622
FS( 54 ),2157671.360000000335276,2324836.709999999962747,2021058.919999999925494,2187618.199999999720603,2142423.510000000242144,10833608.699999999254942
FS( 55 ),2151336.349999999627471,2308391.520000000018626,2017067.359999999636784,2189268.799999999813735,2147486.880000000353903,10813550.909999998286366
FS( 56 ),2160486.919999999925494,2321653.770000000018626,2195861.719999999739230,2214578.000000000000000,2152290.590000000316650,11044871.000000000000000
FS( 57 ),2156263.580000000074506,2326251.350000000558794,2214718.399999999906868,2205774.800000000279397,2161768.180000000167638,11064776.310000000521541
FS( 58 ),2160721.549999999813735,2322891.580000000540167,2230822.279999999795109,2224481.600000000093132,2159171.580000000540167,11098088.589999999850988
FS( 59 ),2167525.820000000298023,2328550.140000000130385,2196137.000000000000000,2246489.600000000093132,2120741.900000000372529,11059444.460000000894070
FS( 60 ),2202251.060000000521541,2444550.620000000577420,2145623.119999999646097,2253092.000000000000000,2127752.720000000204891,11173269.520000001415610
FS( 61 ),2194508.270000000484288,2419794.420000000391155,2112864.799999999813735,2243738.600000000093132,2123857.820000000298023,11094763.910000002011657
FS( 62 ),2245188.349999999627471,2421562.720000000204891,2114241.199999999720603,2275100.000000000000000,2129440.510000000242144,11185532.779999999329448
FS( 63 ),2247534.650000000372529,2436946.930000000167638,2115342.319999999832362,2442911.000000000000000,2147357.049999999813735,11390091.949999999254942
FS( 64 ),2230641.290000000037253,2413605.370000000577420,2124701.839999999850988,2441260.399999999906868,2158262.770000000018626,11368471.669999999925494
FS( 65 ),2241199.639999999664724,2401404.100000000558794,2120572.639999999664724,2502882.800000000279397,2167091.209999999962747,11433150.390000000596046
