代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11467789.329999998211861
真實報酬,1467789.329999998211861

夏普值報酬,0.138078933000000
夏普值風險,0.042647398180583
夏普值,3.237687148353765

二次趨勢線,53.986223787849596 x^2 + 21705.768783522486046 x + 10000000.000000000000000
二次加權預期報酬,26132.639134126155113
風險,72307.480446211178787
二次加權趨勢值,0.361409898019693
一次趨勢線,24195.718763591336028 x + 10000000.000000000000000
一次預期報酬,24195.718763591336028
一次風險,75851.964428700637654
一次趨勢值,0.318986053239726
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
CSCO[4](1),CVX[5](8),PG[21](9),TRV[22](3),VZ[26](13),
FS( 9 ),2012106.899999999906868,2018610.040000000037253,1997151.700000000186265,2054698.399999999906868,2071759.010000000009313,10154326.050000000745058
FS( 10 ),2049824.549999999813735,2025837.240000000223517,2015994.300000000046566,2075827.999999999767169,2074258.080000000074506,10241742.169999999925494
FS( 11 ),2047030.649999999906868,2012828.280000000260770,2001971.900000000139698,2084007.199999999953434,2037843.059999999823049,10183681.089999999850988
FS( 12 ),2058671.899999999906868,2022946.359999999869615,1985977.599999999860302,2094912.799999999813735,2028917.809999999823049,10191426.469999998807907
FS( 13 ),2096855.199999999720603,2066490.240000000223517,2003067.399999999906868,2113145.599999999627471,2038200.070000000065193,10317758.509999999776483
FS( 14 ),2085213.949999999720603,2029812.200000000186265,1981595.599999999860302,2085029.599999999860302,2034629.969999999972060,10216281.320000000298023
FS( 15 ),2116878.149999999441206,2012647.600000000093132,2077999.600000000093132,2096276.000000000000000,2062119.739999999990687,10365921.089999999850988
FS( 16 ),2123862.899999999441206,2050951.760000000242144,2066168.199999999953434,2119450.399999999441206,2037486.050000000046566,10397919.309999998658895
FS( 17 ),2148076.700000000186265,2045712.040000000037253,2050831.199999999720603,2129674.400000000372529,2013566.379999999888241,10387860.719999998807907
FS( 18 ),2130382.000000000000000,2026740.640000000130385,2049078.399999999906868,2130526.400000000372529,1966084.050000000046566,10302811.490000000223517
FS( 19 ),2140160.649999999441206,2020597.520000000018626,2049516.600000000093132,2126948.000000000000000,1902179.260000000009313,10239402.029999999329448
FS( 20 ),2175084.399999999441206,2041917.760000000242144,2070988.399999999906868,2145010.399999999441206,1927883.979999999981374,10360884.940000001341105
FS( 21 ),2202092.099999999627471,2071549.280000000260770,2113712.900000000372529,2139216.799999999813735,1965727.040000000037253,10492298.120000001043081
FS( 22 ),2204420.349999999627471,2138762.240000000223517,2135622.900000000372529,2155404.799999999813735,1947519.529999999795109,10581729.819999998435378
FS( 23 ),2204886.000000000000000,2163515.399999999906868,2147892.500000000000000,2147736.799999999813735,1929312.020000000018626,10593342.719999998807907
FS( 24 ),2200695.149999999441206,2158817.720000000204891,2134965.599999999627471,2150122.400000000372529,1932882.120000000111759,10577482.989999998360872
FS( 25 ),2210939.449999999254942,2147976.919999999925494,2145482.400000000372529,2139387.200000000186265,1920386.770000000018626,10564172.739999998360872
FS( 26 ),2174618.750000000000000,2136232.720000000204891,2128392.599999999627471,2160005.599999999627471,1912532.550000000046566,10511782.220000000670552
FS( 27 ),2197435.599999999627471,2124488.520000000018626,2140881.299999999813735,2143476.799999999813735,1926098.930000000167638,10532381.149999998509884
FS( 28 ),2215595.949999999254942,2113105.680000000167638,2153150.899999999441206,2137172.000000000000000,1929669.029999999795109,10548693.559999996796250
FS( 29 ),2230031.099999999627471,2145086.040000000037253,2174841.799999999813735,2168525.599999999627471,1942878.400000000139698,10661362.939999999478459
FS( 30 ),2211870.750000000000000,2160443.839999999850988,2174403.599999999627471,2181816.799999999813735,1945020.459999999962747,10673555.449999999254942
FS( 31 ),2253779.250000000000000,2134967.959999999962747,2157313.799999999813735,2162902.400000000372529,1928955.010000000009313,10637918.419999999925494
FS( 32 ),2301741.200000000186265,2156468.879999999888241,2157752.000000000000000,2193744.799999999813735,1969297.139999999897555,10779004.019999999552965
FS( 33 ),2311985.500000000000000,2155746.160000000149012,2190836.099999999627471,2199879.200000000186265,1979293.419999999925494,10837740.380000000819564
FS( 34 ),2311054.200000000186265,2173272.120000000111759,2175280.000000000000000,2210784.799999999813735,1990717.739999999990687,10861108.860000001266599
FS( 35 ),2300809.899999999441206,2152674.600000000093132,2186235.000000000000000,2212148.000000000000000,2004641.129999999888241,10856508.629999998956919
FS( 36 ),2333405.399999999441206,2157191.600000000093132,2196532.700000000186265,2232596.000000000000000,2032130.900000000139698,10951856.599999999627471
FS( 37 ),2365069.599999999627471,2161347.240000000223517,2181633.899999999441206,2257644.799999999813735,2027132.760000000009313,10992828.299999998882413
FS( 38 ),2383229.950000000186265,2167129.000000000000000,2187330.500000000000000,2270936.000000000000000,2022134.620000000111759,11030760.070000000298023
FS( 39 ),2402321.599999999627471,2169658.520000000018626,2167173.299999999813735,2259860.000000000000000,2024990.699999999953434,11024004.119999997317791
FS( 40 ),2410703.299999999813735,2160624.520000000018626,2159285.700000000186265,2264801.599999999627471,2032130.900000000139698,11027546.020000001415610
FS( 41 ),2393939.899999999441206,2204891.120000000111759,2156875.599999999627471,2266846.400000000372529,2033558.939999999944121,11056111.959999999031425
FS( 42 ),2382298.649999999441206,2206517.240000000223517,2166296.900000000372529,2251851.200000000186265,2007854.219999999972060,11014818.210000000894070
FS( 43 ),2388817.750000000000000,2227656.800000000279397,2171117.099999999627471,2261052.799999999813735,2002142.059999999823049,11050786.509999999776483
FS( 44 ),2406046.799999999813735,2231993.120000000111759,2167611.500000000000000,2245887.200000000186265,1987861.659999999916181,11039400.280000001192093
FS( 45 ),2388352.099999999627471,2203265.000000000000000,2159285.700000000186265,2240604.799999999813735,2009996.279999999795109,11001503.879999998956919
FS( 46 ),2378107.799999999813735,2197483.240000000223517,2156218.299999999813735,2232596.000000000000000,2018207.510000000009313,10982612.849999999627471
FS( 47 ),2417688.049999999813735,2233619.240000000223517,2181853.000000000000000,2247080.000000000000000,2055693.559999999823049,11135933.849999999627471
FS( 48 ),2428398.000000000000000,2238678.280000000260770,2192150.700000000186265,2261564.000000000000000,2050338.409999999916181,11171129.390000000596046
FS( 49 ),2448886.599999999627471,2252590.640000000130385,2216909.000000000000000,2266335.200000000186265,2058549.639999999897555,11243271.080000001937151
FS( 50 ),2455871.349999999627471,2251325.879999999888241,2219976.399999999441206,2267357.599999999627471,2068902.930000000167638,11263434.159999998286366
FS( 51 ),2477291.250000000000000,2264154.160000000149012,2244515.599999999627471,2286442.400000000372529,2084611.370000000111759,11357014.780000001192093
FS( 52 ),2491726.399999999441206,2274452.919999999925494,2224139.299999999813735,2299392.799999999813735,2073187.050000000046566,11362898.469999998807907
FS( 53 ),2482413.399999999441206,2263612.120000000111759,2232684.200000000186265,2265142.400000000372529,2052837.479999999981374,11296689.600000001490116
FS( 54 ),2480085.149999999441206,2252952.000000000000000,2228740.400000000372529,2237878.400000000372529,2058906.650000000139698,11258562.599999999627471
FS( 55 ),2511749.349999999627471,2274091.560000000055879,2245611.099999999627471,2289680.000000000000000,2081041.270000000018626,11402173.279999999329448
FS( 56 ),2455871.349999999627471,2224043.200000000186265,2227425.799999999813735,2298711.200000000186265,2133521.739999999757856,11339573.290000000968575
FS( 57 ),2455405.699999999254942,2220429.600000000093132,2233998.799999999813735,2299563.200000000186265,2144946.060000000055879,11354343.359999999403954
FS( 58 ),2478688.199999999254942,2242833.919999999925494,2257223.399999999441206,2300074.399999999441206,2164581.609999999869615,11443401.529999997466803
FS( 59 ),2474497.349999999627471,2218622.800000000279397,2254594.200000000186265,2323419.200000000186265,2173506.859999999869615,11444640.410000000149012
FS( 60 ),2484741.649999999441206,2222778.439999999944121,2268835.700000000186265,2332791.200000000186265,2109245.060000000055879,11418392.050000000745058
FS( 61 ),2514077.599999999627471,2225669.320000000298023,2279790.700000000186265,2337221.599999999627471,2111030.109999999869615,11467789.329999998211861
