代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14331331.976250000000
真實報酬,4331331.976250000300

夏普值報酬,0.424433197625
夏普值風險,0.098580460479
夏普值,4.305449533943

預期報酬,33344.898354072924
風險,168375.049322275910
起點值,0.198039427387
找到最佳解世代,2946
找到最佳解實驗#,3
找到最佳解次數,37

投資組合檔數,8
1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
Stock#,1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
張數,63,27,24,19,24,3,139,27,
FS( 45 ),1472933.831750000100,1412944.885249999800,1282860.182000000000,1465387.695500000100,1371822.595999999900,1720572.867500000200,1343727.039750000000,1303737.296750000000,11373986.394500000000
FS( 46 ),1468543.345999999900,1428535.589749999800,1293134.516000000100,1486951.850000000100,1371822.595999999900,1706146.985750000000,1339575.491999999600,1301586.854749999900,11396297.230250001000
FS( 47 ),1459135.162249999600,1426653.952999999700,1301975.222000000100,1451200.751750000100,1377796.046000000100,1766299.627250000100,1368636.326250000200,1301586.854749999900,11453283.943250000000
FS( 48 ),1464780.072499999800,1424772.316249999900,1312488.493999999900,1458199.644000000100,1384008.433999999900,1787983.250749999900,1379707.120249999700,1299705.217999999900,11511644.549750000000
FS( 49 ),1462898.435749999900,1428535.589749999800,1323001.766000000100,1438148.763500000100,1377796.046000000100,1852944.519499999900,1379707.120249999700,1289221.813249999900,11552254.054000000000
FS( 50 ),1480460.378749999900,1426653.952999999700,1321090.261999999900,1445336.814999999900,1385919.937999999800,1840908.017749999600,1368636.326250000200,1293522.697250000000,11562528.387999998000
FS( 51 ),1466661.709249999800,1422890.679499999900,1310576.990000000000,1451200.751750000100,1396194.272000000100,1867400.268500000000,1353413.984499999800,1297554.775999999800,11565893.431500001000
FS( 52 ),1494259.048250000000,1438481.384000000100,1326346.897999999800,1413936.379500000000,1394043.830000000300,1898671.279249999700,1372787.873999999800,1303737.296750000000,11642263.989749998000
FS( 53 ),1527501.297499999900,1487403.939500000100,1354302.643999999900,1426799.208499999900,1414353.560000000100,2009389.175000000000,1408767.954499999800,1324166.495750000000,11952684.274750000000
FS( 54 ),1523110.811749999600,1485522.302750000000,1349046.007999999900,1446850.088999999900,1418415.506000000100,2103261.941749999800,1415687.200750000100,1311801.454250000200,12053695.314250000000
FS( 55 ),1527501.297499999900,1497349.733750000100,1364815.916000000000,1458199.644000000100,1420565.948000000100,2043079.433000000000,1419838.748499999800,1313951.896250000000,12045302.617000001000
FS( 56 ),1521229.175000000300,1483640.665999999700,1350718.574000000000,1448174.203750000300,1408380.110000000100,2047917.927500000200,1415687.200750000100,1309919.817499999900,11985667.674500000000
FS( 57 ),1531264.571000000000,1485522.302750000000,1359559.280000000000,1446850.088999999900,1414353.560000000100,2081608.185499999700,1440596.487250000000,1303737.296750000000,12063491.772250000000
FS( 58 ),1550708.150749999800,1493317.655000000000,1368161.048000000000,1452524.866500000000,1416504.002000000100,2043079.433000000000,1440596.487250000000,1313951.896250000000,12078843.538750000000
FS( 59 ),1550708.150749999800,1493317.655000000000,1368161.048000000000,1445336.814999999900,1416504.002000000100,2011808.422250000100,1448899.582749999800,1309919.817499999900,12044655.493250001000
