訓練日期,20180730 - 20181029
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11148890.900000000372529
真實報酬,1148890.900000000372529

夏普值報酬,0.106189090000000
夏普值風險,0.033458541161580
夏普值,3.173751344602397

預期報酬,18384.607316286772402
風險,105720.094835767231416
趨勢值,0.173898891642565
找到最佳解世代,1646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PFE[20](1),WBA[27](8),
20180827,3396831.000000000000000,3608431.940000000409782,3372182.599999999627471,10377446.539999999105930
20180828,3421383.560000000055879,3601489.380000000353903,3364412.679999999701977,10387286.620000001043081
20180829,3452497.580000000540167,3601489.380000000353903,3334304.239999999757856,10388292.200000001117587
20180830,3445936.120000000577420,3601489.380000000353903,3292540.919999999925494,10339967.420000001788139
20180831,3433871.500000000000000,3603225.020000000484288,3329448.040000000037253,10366545.560000000521541
20180904,3423076.840000000316650,3590207.720000000204891,3283799.760000000242144,10297085.320000000298023
20180905,3455249.160000000614673,3631863.080000000540167,3313908.199999999720603,10401021.440000001341105
20180906,3465832.160000000614673,3625788.340000000316650,3303710.179999999701977,10395331.679999999701977
20180907,3469218.720000000204891,3662236.780000000726432,3311480.099999999627471,10442936.600000001490116
20180910,3493982.939999999944121,3650087.300000000745058,3341102.919999999925494,10485174.160000000149012
20180911,3484458.240000000223517,3671782.800000000745058,3338189.199999999720603,10494431.240000000223517
20180912,3486998.160000000614673,3680461.000000000000000,3417830.879999999422580,10585291.039999999105930
20180913,3437469.720000000204891,3718645.080000000540167,3422687.080000000074506,10578802.880000000819564
20180914,3404450.760000000242144,3728191.100000000558794,3412974.679999999701977,10545617.540000000968575
20180917,3347302.560000000055879,3732530.200000000186265,3421230.219999999739230,10501063.980000000447035
20180918,3339471.140000000596046,3775921.200000000186265,3442111.879999999422580,10557505.220000000670552
20180919,3369315.200000000651926,3754225.700000000186265,3461536.679999999701977,10585078.580000000074506
20180920,3403392.459999999962747,3796748.880000000353903,3539721.500000000000000,10739863.839999999850988
20180921,3498851.120000000577420,3823651.300000000745058,3545063.319999999832362,10867566.740000002086163
20180924,3456730.780000000260770,3812369.640000000130385,3506213.719999999739230,10775315.140000000596046
20180925,3522345.380000000353903,3800220.160000000149012,3506699.339999999385327,10829265.880000000819564
20180926,3508587.479999999981374,3790674.140000000130385,3543120.839999999385327,10842383.459999999031425
20180927,3524885.300000000279397,3809766.180000000167638,3584398.540000000037253,10919051.019999999552965
20180928,3540971.459999999962747,3824519.120000000577420,3540207.120000000111759,10905698.699999999254942
20181001,3527848.540000000037253,3841875.520000000484288,3518839.839999999385327,10888564.900000000372529
20181002,3496311.200000000651926,3837536.420000000391155,3568858.699999999720603,10902707.320000000298023
20181003,3485304.880000000353903,3888737.800000000745058,3583912.919999999925494,10957956.600000001490116
20181004,3509434.120000000577420,3879191.780000000726432,3561574.399999999906868,10950201.300000000745058
20181005,3525731.939999999944121,3897416.000000000000000,3521267.939999999944121,10944416.879999998956919
20181008,3551131.140000000596046,3929525.340000000316650,3600909.620000000111759,11081567.100000001490116
20181009,3594733.100000000558794,3946013.920000000391155,3572258.040000000037253,11113006.060000002384186
20181010,3563830.740000000223517,3862703.200000000186265,3511555.540000000037253,10938090.480000000447035
20181011,3449534.340000000316650,3715173.800000000745058,3443083.120000000111759,10607792.260000001639128
20181012,3467525.439999999944121,3799352.340000000316650,3569344.319999999832362,10836223.099999999627471
20181015,3464350.540000000037253,3742076.220000000204891,3628589.959999999962747,10835017.719999998807907
20181016,3472816.939999999944121,3812369.640000000130385,3704346.679999999701977,10989534.259999999776483
20181017,3529965.140000000596046,3867910.120000000577420,3738340.080000000074506,11136216.340000001713634
20181018,3530811.780000000260770,3818444.380000000353903,3718915.279999999795109,11068172.439999999478459
20181019,3545204.660000000614673,3861835.380000000353903,3756308.019999999552965,11163349.060000000521541
20181022,3527001.900000000372529,3850553.720000000204891,3770876.620000000111759,11148433.240000002086163
20181023,3749668.220000000204891,3827122.580000000540167,3751937.439999999944121,11328729.240000000223517
20181024,3753901.420000000391155,3686535.740000000223517,3603337.719999999739230,11043775.879999998956919
20181025,3710722.780000000260770,3767243.000000000000000,3678123.199999999720603,11156089.980000000447035
20181026,3669025.760000000242144,3696949.580000000540167,3701918.580000000074506,11067894.920000001788139
20181029,3666697.500000000000000,3751622.240000000223517,3730570.159999999683350,11148890.900000000372529
