訓練日期,20160328 - 20160627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10699705.879999998956919
真實報酬,699705.879999998956919

夏普值報酬,0.061270588000000
夏普值風險,0.022654031008665
夏普值,2.704621882814806

預期報酬,12549.693531628679921
風險,70528.512144077220000
趨勢值,0.177937874344944
找到最佳解世代,2514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
20160506,2602248.830000000074506,2790888.500000000000000,2386110.560000000055879,2634849.040000000037253,10414096.929999999701977
20160509,2624868.209999999962747,2810835.140000000130385,2384243.520000000018626,2636635.119999999646097,10456581.989999998360872
20160510,2646795.160000000149012,2809172.919999999925494,2405714.479999999981374,2678905.679999999701977,10540588.240000000223517
20160511,2639870.860000000335276,2755981.879999999888241,2387510.839999999850988,2643779.439999999944121,10427143.019999999552965
20160512,2636639.520000000018626,2758475.209999999962747,2402447.159999999683350,2669379.919999999925494,10466941.810000000521541
20160513,2621175.250000000000000,2758475.209999999962747,2377708.879999999888241,2639314.239999999757856,10396673.580000000074506
20160516,2641486.530000000260770,2774266.300000000279397,2391244.919999999925494,2666403.119999999646097,10473400.869999999180436
20160517,2627407.120000000111759,2745177.450000000186265,2375841.839999999850988,2665212.399999999906868,10413638.810000000521541
20160518,2621867.680000000167638,2756812.990000000223517,2352037.080000000074506,2659854.159999999683350,10390571.910000000149012
20160519,2604787.740000000223517,2774266.300000000279397,2316563.319999999832362,2682477.839999999850988,10378095.200000001117587
20160520,2599940.729999999981374,2804186.260000000242144,2317963.599999999627471,2671463.679999999701977,10393554.269999999552965
20160523,2588861.850000000093132,2798368.490000000223517,2293692.080000000074506,2667296.159999999683350,10348218.580000000074506
20160524,2601094.780000000260770,2834106.220000000204891,2314229.520000000018626,2669379.919999999925494,10418810.439999999478459
20160525,2616328.240000000223517,2854883.970000000204891,2326832.040000000037253,2686943.040000000037253,10484987.290000000968575
20160526,2605941.790000000037253,2861532.850000000093132,2341301.599999999627471,2673249.759999999776483,10482026.000000000000000
20160527,2609634.750000000000000,2876492.830000000074506,2362772.560000000055879,2679501.040000000037253,10528401.179999999701977
20160531,2601094.780000000260770,2883972.820000000298023,2375841.839999999850988,2650030.719999999739230,10510940.160000000149012
20160601,2603172.070000000298023,2888128.370000000111759,2353904.120000000111759,2656579.679999999701977,10501784.240000000223517
20160602,2642640.580000000074506,2898101.689999999944121,2369773.959999999962747,2635444.399999999906868,10545960.629999998956919
20160603,2648872.450000000186265,2883141.709999999962747,2376775.359999999869615,2630681.520000000018626,10539471.039999999105930
20160606,2672184.260000000242144,2903088.350000000093132,2366973.399999999906868,2659556.479999999981374,10601802.490000000223517
20160607,2671261.020000000018626,2895608.360000000335276,2415516.439999999944121,2700338.639999999664724,10682724.460000000894070
20160608,2672876.689999999944121,2929683.870000000111759,2404780.959999999962747,2702720.080000000074506,10710061.600000001490116
20160609,2700573.890000000130385,2934670.530000000260770,2424851.640000000130385,2699147.919999999925494,10759243.980000000447035
20160610,2700804.700000000186265,2933008.310000000055879,2458458.359999999869615,2678608.000000000000000,10770879.369999999180436
20160613,2695726.880000000353903,2887297.260000000242144,2453790.759999999776483,2696766.479999999981374,10733581.380000000819564
20160614,2703343.610000000335276,2908075.010000000242144,2473394.680000000167638,2692003.600000000093132,10776816.900000000372529
20160615,2686956.100000000093132,2891452.810000000055879,2466393.280000000260770,2683966.239999999757856,10728768.429999999701977
20160616,2692264.729999999981374,2888128.370000000111759,2495332.399999999906868,2715520.319999999832362,10791245.820000000298023
20160617,2665490.770000000018626,2844079.540000000037253,2510268.720000000204891,2700636.319999999832362,10720475.350000001490116
20160620,2689956.630000000353903,2867350.620000000111759,2509335.199999999720603,2712543.520000000018626,10779185.969999998807907
20160621,2681647.470000000204891,2888128.370000000111759,2525205.040000000037253,2724748.399999999906868,10819729.279999999329448
20160622,2688110.149999999906868,2864857.290000000037253,2521937.720000000204891,2714031.919999999925494,10788937.080000000074506
20160623,2709344.669999999925494,2874830.610000000335276,2551810.359999999869615,2732785.759999999776483,10868771.400000000372529
20160624,2668952.919999999925494,2823301.790000000037253,2540608.120000000111759,2661044.879999999888241,10693907.710000000894070
20160627,2690187.439999999944121,2809172.919999999925494,2555077.680000000167638,2645267.839999999850988,10699705.879999998956919
