訓練日期,20120301 - 20120601
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10672258.130000000819564
真實報酬,672258.130000000819564

夏普值報酬,0.058525813000000
夏普值風險,0.027471474915264
夏普值,2.130421216207817

預期報酬,13508.221193295268677
風險,99336.831589464942226
趨勢值,0.135984014963568
找到最佳解世代,2045
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](3),WMT[28](8),
FS( 35 ),3535439.350000000093132,3520483.240000000223517,3499376.100000000093132,10555299.689999999478459
FS( 36 ),3550764.950000000651926,3580394.140000000130385,3539045.100000000093132,10670205.190000001341105
FS( 37 ),3529692.250000000465661,3589523.419999999925494,3374135.399999999906868,10493352.070000000298023
FS( 38 ),3549807.100000000558794,3615770.100000000093132,3273829.500000000465661,10439407.700000001117587
FS( 39 ),3589078.950000000186265,3639163.880000000353903,3250594.800000000279397,10478838.630000000819564
FS( 40 ),3625477.250000000465661,3695651.299999999813735,3340700.100000000093132,10661829.650000000372529
FS( 41 ),3670496.200000000651926,3652287.220000000204891,3345233.700000000186265,10668018.120000001043081
FS( 42 ),3655170.600000000093132,3669975.199999999720603,3338433.299999999813735,10663580.099999999627471
FS( 43 ),3684863.950000000186265,3685951.439999999944121,3347500.500000000000000,10718316.890000000596046
FS( 44 ),3695400.300000000279397,3693939.560000000055879,3344100.299999999813735,10733441.160000000149012
FS( 45 ),3708810.200000000186265,3694510.140000000130385,3342966.900000000372529,10746288.240000000223517
FS( 46 ),3687737.500000000465661,3680245.640000000130385,3326532.600000000093132,10694516.740000000223517
FS( 47 ),3701147.400000000372529,3685380.860000000335276,3354300.899999999906868,10740830.160000000149012
FS( 48 ),3694442.450000000651926,3673969.260000000242144,3346367.100000000093132,10714779.810000000521541
FS( 49 ),3677201.150000000372529,3647152.000000000000000,3345233.700000000186265,10669587.850000001490116
FS( 50 ),3707852.350000000558794,3688233.760000000242144,3354300.899999999906868,10750388.010000001639128
FS( 51 ),3710725.900000000838190,3687092.600000000558794,3367335.000000000000000,10765154.500000001862645
FS( 52 ),3681990.400000000372529,3679104.480000000447035,3347500.500000000000000,10708596.380000000819564
FS( 53 ),3666664.800000000745058,3660275.340000000316650,3363368.100000000093132,10690309.240000000223517
FS( 54 ),3656128.450000000651926,3629464.020000000018626,3354300.899999999906868,10639894.370000001043081
FS( 55 ),3597699.600000000558794,3577541.240000000223517,3495409.200000000186265,10670651.040000000968575
FS( 56 ),3546933.550000000745058,3547871.080000000074506,3537911.700000000186265,10632717.330000001937151
FS( 57 ),3568964.100000000093132,3577541.240000000223517,3572480.399999999906868,10718986.740000000223517
FS( 58 ),3553638.500000000465661,3584388.200000000186265,3611582.699999999720603,10749610.400000000372529
FS( 59 ),3553638.500000000465661,3584388.200000000186265,3611582.699999999720603,10749610.400000000372529
FS( 60 ),3618772.300000000745058,3605499.660000000149012,3687520.499999999534339,10911793.460000000894070
FS( 61 ),3603446.700000000186265,3571835.440000000409782,3701121.300000000279397,10876404.440000001341105
FS( 62 ),3613983.050000000279397,3587811.680000000167638,3722089.200000000651926,10923884.930000001564622
FS( 63 ),3594826.050000000745058,3531324.260000000242144,3708488.399999999906868,10834639.710000000894070
FS( 64 ),3579500.450000000186265,3565559.060000000055879,3730022.999999999534339,10875083.509999999776483
FS( 65 ),3500956.750000000000000,3456578.280000000260770,3714722.100000000093132,10672258.130000000819564
