訓練日期,20190724 - 20191023
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10897891.380000000819564
真實報酬,897891.380000000819564

夏普值報酬,0.081089138000000
夏普值風險,0.024938327557832
夏普值,3.251586852083542

預期報酬,13047.322516094602179
風險,97128.244763730574050
趨勢值,0.134330879218840
找到最佳解世代,2157
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),MRK[17](6),PG[21](2),VZ[26](1),
FS( 24 ),2473883.600000000558794,2626299.529999999795109,2649197.439999999944121,2533052.839999999850988,10282433.410000000149012
FS( 25 ),2445970.200000000186265,2615290.369999999646097,2676505.900000000372529,2554045.859999999869615,10291812.330000000074506
FS( 26 ),2462382.800000000279397,2644648.130000000353903,2695377.600000000558794,2588438.680000000167638,10390847.210000000894070
FS( 27 ),2504073.200000000186265,2651987.569999999832362,2690493.160000000614673,2587992.020000000018626,10434545.949999999254942
FS( 28 ),2500838.600000000558794,2644342.319999999832362,2669401.260000000242144,2597818.540000000037253,10412400.719999998807907
FS( 29 ),2464419.400000000372529,2649846.900000000372529,2694489.520000000484288,2592458.620000000111759,10401214.440000001341105
FS( 30 ),2506229.600000000558794,2631498.299999999813735,2735563.220000000204891,2598711.859999999869615,10472002.980000000447035
FS( 31 ),2555227.800000000279397,2633027.349999999627471,2725572.320000000298023,2617024.919999999925494,10530852.390000000596046
FS( 32 ),2554988.200000000186265,2647400.419999999925494,2728014.540000000502914,2638017.939999999944121,10568421.099999999627471
FS( 33 ),2565890.000000000000000,2552599.319999999832362,2712473.140000000130385,2620151.540000000037253,10451114.000000000000000
FS( 34 ),2596199.400000000372529,2498165.140000000130385,2661630.560000000055879,2667050.839999999850988,10423045.940000001341105
FS( 35 ),2678741.600000000558794,2535779.770000000018626,2692491.340000000316650,2685810.560000000055879,10592823.270000001415610
FS( 36 ),2672751.600000000558794,2547706.359999999869615,2725794.340000000316650,2699210.359999999869615,10645462.660000000149012
FS( 37 ),2620758.400000000372529,2526299.660000000149012,2711363.040000000502914,2678217.339999999850988,10536638.440000001341105
FS( 38 ),2634535.400000000372529,2508562.680000000167638,2658744.300000000279397,2657670.979999999981374,10459513.360000001266599
FS( 39 ),2644119.400000000372529,2523241.560000000055879,2690049.120000000111759,2674197.399999999906868,10531607.480000000447035
FS( 40 ),2668918.000000000465661,2538837.869999999646097,2695599.620000000111759,2676877.359999999869615,10580232.849999999627471
FS( 41 ),2647234.200000000651926,2567889.819999999832362,2706478.600000000558794,2679110.659999999683350,10600713.280000001192093
FS( 42 ),2608538.800000000279397,2604281.209999999962747,2714027.280000000260770,2692957.120000000111759,10619804.410000000149012
FS( 43 ),2620399.000000000465661,2579816.410000000149012,2735785.240000000223517,2689383.839999999850988,10625384.490000000223517
FS( 44 ),2607939.800000000279397,2556574.849999999627471,2744444.020000000484288,2702783.639999999664724,10611742.310000000521541
FS( 45 ),2648072.800000000279397,2541284.349999999627471,2731344.840000000316650,2692063.800000000279397,10612765.790000000968575
FS( 46 ),2634415.600000000093132,2565137.529999999795109,2759985.420000000391155,2699657.020000000018626,10659195.570000000298023
FS( 47 ),2621597.000000000465661,2535473.959999999962747,2765757.939999999944121,2693403.779999999795109,10616232.679999999701977
FS( 48 ),2683294.000000000465661,2574311.830000000074506,2761539.560000000055879,2696083.739999999757856,10715229.130000000819564
FS( 49 ),2690721.600000000558794,2556880.660000000149012,2749772.500000000000000,2673304.080000000074506,10670678.839999999850988
FS( 50 ),2623274.200000000651926,2496024.470000000204891,2688272.960000000428408,2631318.040000000037253,10438889.670000001788139
FS( 51 ),2645557.000000000465661,2530275.189999999944121,2702926.280000000260770,2635784.639999999664724,10514543.109999999403954
FS( 52 ),2719713.200000000186265,2599388.250000000000000,2753102.800000000279397,2675537.379999999888241,10747741.629999998956919
FS( 53 ),2720312.200000000186265,2580733.839999999850988,2727348.480000000447035,2691170.479999999981374,10719565.000000000000000
FS( 54 ),2688445.400000000372529,2547094.740000000223517,2684942.660000000614673,2667497.500000000000000,10587980.300000000745058
FS( 55 ),2719952.800000000279397,2574311.830000000074506,2708254.760000000242144,2645164.500000000000000,10647683.890000000596046
FS( 56 ),2756611.600000000558794,2561467.810000000055879,2707366.680000000167638,2672410.759999999776483,10697856.849999999627471
FS( 57 ),2829929.200000000651926,2579204.790000000037253,2688494.980000000447035,2676877.359999999869615,10774506.330000000074506
FS( 58 ),2825856.000000000465661,2589908.140000000130385,2665404.900000000372529,2662137.580000000074506,10743306.620000001043081
FS( 59 ),2819267.000000000465661,2600611.490000000223517,2602129.200000000186265,2704570.279999999795109,10726577.970000000670552
FS( 60 ),2807886.000000000465661,2582568.700000000186265,2609455.860000000335276,2692957.120000000111759,10692867.680000001564622
FS( 61 ),2818787.800000000279397,2562691.049999999813735,2589474.060000000055879,2698317.040000000037253,10669269.949999999254942
FS( 62 ),2832325.200000000186265,2589602.330000000074506,2608123.740000000223517,2726903.279999999795109,10756954.550000000745058
FS( 63 ),2881443.200000000186265,2584709.369999999646097,2643868.960000000428408,2713503.479999999981374,10823525.010000001639128
FS( 64 ),2874854.200000000651926,2486238.549999999813735,2712695.160000000614673,2714396.800000000279397,10788184.710000000894070
FS( 65 ),2913429.800000000279397,2534250.720000000204891,2730900.800000000279397,2719310.060000000055879,10897891.380000000819564
