代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11754445.679999999701977
真實報酬,1754445.679999999701977

夏普值報酬,0.166744568000000
夏普值風險,0.056767233427648
夏普值,2.937338283580850

二次趨勢線,269.978513736837442 x^2 + 13467.904447774468281 x + 10000000.000000000000000
二次加權預期報酬,36686.056629142491147
風險,139641.404704540094826
二次加權趨勢值,0.262716181542033
一次趨勢線,26527.330228533097397 x + 10000000.000000000000000
一次預期報酬,26527.330228533097397
一次風險,188106.545978851441760
一次趨勢值,0.141022897903380
找到最佳解世代,1849
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
UTX[24](2),WBA[27](1),WMT[28](8),
FS( 16 ),3247947.000000000000000,3472219.680000000167638,3329391.899999999906868,10049559.580000000074506
FS( 17 ),3312147.000000000000000,3504400.740000000223517,3339025.699999999720603,10155574.439999999478459
FS( 18 ),3332691.000000000000000,3537146.379999999888241,3344718.399999999441206,10214556.779999999329448
FS( 19 ),3344568.000000000000000,3563117.060000000055879,3353914.299999999813735,10261600.359999999403954
FS( 20 ),3411336.000000000000000,3596427.280000000260770,3343404.699999999254942,10351168.980000000447035
FS( 21 ),3397854.000000000000000,3547308.820000000298023,3345156.299999999813735,10290320.120000001043081
FS( 22 ),3413583.000000000000000,3554648.360000000335276,3347783.699999999720603,10316016.060000000521541
FS( 23 ),3434769.000000000000000,3625785.439999999944121,3339901.499999999534339,10400456.939999999478459
FS( 24 ),3412299.000000000000000,3668693.520000000484288,3340339.399999999906868,10421332.919999999925494
FS( 25 ),3430917.000000000000000,3683372.600000000093132,3383253.600000000093132,10497544.199999999254942
FS( 26 ),3464622.000000000000000,3707084.959999999962747,3402521.199999999720603,10574229.160000000149012
FS( 27 ),3485487.000000000000000,3762978.380000000353903,3407338.099999999627471,10655804.480000000447035
FS( 28 ),3501537.000000000000000,3778222.040000000037253,3449376.499999999534339,10729136.539999999105930
FS( 29 ),3498969.000000000000000,3826775.920000000391155,3478715.799999999813735,10804461.719999998807907
FS( 30 ),3475215.000000000000000,3810967.680000000167638,3459886.100000000093132,10746069.779999999329448
FS( 31 ),3471363.000000000000000,3807580.200000000186265,3468206.199999999720603,10747150.400000000372529
FS( 32 ),3471363.000000000000000,3780480.359999999869615,3631980.799999999813735,10883825.160000000149012
FS( 33 ),3449214.000000000000000,3778786.620000000577420,3632856.599999999627471,10860858.220000000670552
FS( 34 ),3446646.000000000000000,3757332.580000000074506,3659568.499999999534339,10863548.080000000074506
FS( 35 ),3492549.000000000000000,3842584.160000000149012,3669202.299999999813735,11004336.460000000894070
FS( 36 ),3488055.000000000000000,3827340.500000000465661,3721750.299999999348074,11037146.799999998882413
FS( 37 ),3493191.000000000000000,3801934.400000000372529,3703796.399999999441206,10998922.800000000745058
FS( 38 ),3540699.000000000000000,3816048.900000000372529,3706861.700000000186265,11063610.600000001490116
FS( 39 ),3492228.000000000000000,3823953.020000000484288,3739704.200000000186265,11055886.220000000670552
FS( 40 ),3585960.000000000000000,3828469.660000000149012,3719998.699999999720603,11134429.359999999403954
FS( 41 ),3536205.000000000000000,3865731.939999999944121,3721312.399999999906868,11123250.339999999850988
FS( 42 ),3533637.000000000000000,3873636.060000000055879,3833414.799999999813735,11240688.859999999403954
FS( 43 ),3521118.000000000000000,3826211.339999999850988,3775611.999999999534339,11122942.339999999850988
FS( 44 ),3520797.000000000000000,3768624.180000000167638,3783494.200000000186265,11072916.379999998956919
FS( 45 ),3562848.000000000000000,3804192.719999999739230,3719560.799999999813735,11086602.519999999552965
FS( 46 ),3569910.000000000000000,3833550.880000000353903,3711678.600000000093132,11115140.480000000447035
FS( 47 ),3572478.000000000000000,3873071.479999999981374,3683653.000000000000000,11129203.480000000447035
FS( 48 ),3628974.000000000000000,3823953.020000000484288,3688469.899999999906868,11141397.919999999925494
FS( 49 ),3691248.000000000000000,3872506.900000000372529,3659130.599999999627471,11222886.500000000000000
FS( 50 ),3643419.000000000000000,3847665.380000000353903,3633732.399999999906868,11124817.780000001192093
FS( 51 ),3660753.000000000000000,4122051.260000000242144,3670953.899999999441206,11453759.160000000149012
FS( 52 ),3600084.000000000000000,4206173.679999999701977,3670078.099999999627471,11476336.779999999329448
FS( 53 ),3592380.000000000000000,4146328.200000000186265,3675770.799999999813735,11414480.000000000000000
FS( 54 ),3634752.000000000000000,4087047.300000000279397,3632856.599999999627471,11354656.900000000372529
FS( 55 ),3656259.000000000000000,4064464.100000000093132,3688469.899999999906868,11409194.000000000000000
FS( 56 ),3754485.000000000000000,4199398.720000000670552,3763350.799999999813735,11717235.519999999552965
FS( 57 ),3710508.000000000000000,4134472.020000000484288,3729194.599999999627471,11574175.620000001043081
FS( 58 ),3760263.000000000000000,4193188.339999999850988,3782618.399999999441206,11736070.739999998360872
FS( 59 ),3762510.000000000000000,4319654.259999999776483,3794879.599999999627471,11877044.859999999403954
FS( 60 ),3752880.000000000000000,4328687.540000000968575,3784807.899999999906868,11866376.440000001341105
FS( 61 ),3763473.000000000000000,4316831.359999999403954,3805827.099999999627471,11886132.459999999031425
FS( 62 ),3751275.000000000000000,4335462.500000000000000,3794003.799999999813735,11880742.300000000745058
FS( 63 ),3730089.000000000000000,4293683.580000000074506,3800572.299999999813735,11824345.879999998956919
FS( 64 ),3691569.000000000000000,4302152.280000001192093,3760723.399999999441206,11754445.679999999701977
