代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10892425.660000002011657
真實報酬,892425.660000002011657

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14342.448866821334377
風險,43160.473554309370229
起點值,0.332305178458574
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](5),CSCO[4](11),INTC[11](12),KO[14](6),MCD[15](10),TRV[22](1),VZ[26](13),
FS( 8 ),1463635.400000000139698,1400742.099999999627471,1452756.040000000037253,1446423.160000000149012,1450896.760000000009313,1438727.800000000046566,1420194.239999999990687,10073378.500000000000000
FS( 9 ),1452042.680000000167638,1388992.119999999878928,1439014.540000000037253,1436753.240000000223517,1448853.880000000121072,1443975.479999999981374,1408227.439999999944121,10017862.379999998956919
FS( 10 ),1471077.640000000130385,1413110.500000000000000,1459901.620000000111759,1440472.439999999944121,1460819.319999999832362,1447361.080000000074506,1414210.840000000083819,10106956.439999999478459
FS( 11 ),1467070.280000000027940,1415584.179999999934807,1471444.480000000214204,1494400.840000000083819,1471325.559999999823049,1453963.000000000000000,1403739.890000000130385,10177531.230000000447035
FS( 12 ),1473224.440000000176951,1424242.059999999823049,1480239.040000000037253,1509649.560000000055879,1471325.559999999823049,1469028.920000000158325,1409124.949999999953434,10236837.529999999329448
FS( 13 ),1471793.239999999990687,1435373.619999999878928,1486285.300000000046566,1514484.520000000018626,1462862.199999999953434,1467336.120000000111759,1424083.449999999953434,10262221.449999999254942
FS( 14 ),1469073.959999999962747,1447123.599999999627471,1481338.360000000102445,1515600.280000000027940,1454398.840000000083819,1462596.280000000260770,1435451.909999999916181,10265586.230000000447035
FS( 15 ),1484101.560000000055879,1454544.639999999897555,1475292.100000000093132,1514112.600000000093132,1449291.639999999897555,1470891.000000000000000,1433656.890000000130385,10281893.429999999701977
FS( 16 ),1479664.839999999850988,1453307.799999999813735,1470345.160000000149012,1514856.439999999944121,1446519.159999999916181,1491881.719999999972060,1418997.560000000055879,10275575.680000001564622
FS( 17 ),1506857.640000000130385,1442794.659999999683350,1470345.160000000149012,1513740.680000000167638,1456879.479999999981374,1499668.600000000093132,1384593.010000000009313,10274882.230000000447035
FS( 18 ),1498413.560000000055879,1422386.799999999813735,1443411.820000000298023,1525270.199999999953434,1469866.360000000102445,1494928.760000000009313,1374421.229999999981374,10228701.730000000447035
FS( 19 ),1492259.400000000139698,1423623.639999999897555,1447259.439999999944121,1526014.040000000037253,1463737.719999999972060,1517443.000000000000000,1394166.449999999953434,10264506.689999999478459
FS( 20 ),1507143.879999999888241,1432281.519999999785796,1455504.340000000083819,1508905.719999999972060,1481102.199999999953434,1538772.280000000260770,1399252.340000000083819,10322965.279999999329448
FS( 21 ),1508575.080000000074506,1429189.419999999692664,1467047.200000000186265,1517087.959999999962747,1479351.159999999916181,1533355.320000000065193,1398055.659999999916181,10332664.800000000745058
FS( 22 ),1503852.119999999878928,1423005.219999999972060,1453855.360000000102445,1516716.040000000037253,1473222.519999999785796,1537587.320000000065193,1412714.989999999990687,10320956.570000000298023
FS( 23 ),1502993.400000000139698,1418676.279999999795109,1451656.720000000204891,1523038.680000000167638,1480080.760000000009313,1540465.080000000074506,1409723.290000000037253,10326637.210000000894070
FS( 24 ),1495980.520000000018626,1419913.119999999878928,1438464.880000000353903,1515972.199999999953434,1475849.080000000074506,1534540.280000000260770,1417800.880000000121072,10298523.960000000894070
FS( 25 ),1486677.720000000204891,1405071.039999999804422,1440113.860000000102445,1505930.360000000102445,1473076.600000000093132,1521505.719999999972060,1420194.239999999990687,10252572.540000000968575
FS( 26 ),1497411.720000000204891,1414347.339999999850988,1449458.080000000307336,1521551.000000000000000,1487814.519999999785796,1541650.040000000037253,1439041.949999999953434,10351277.649999998509884
FS( 27 ),1501991.560000000055879,1423623.639999999897555,1447809.100000000093132,1514856.439999999944121,1487668.600000000093132,1544527.800000000046566,1450709.580000000074506,10371189.720000000670552
FS( 28 ),1503709.000000000000000,1423623.639999999897555,1445610.460000000195578,1520063.319999999832362,1501968.760000000009313,1545543.479999999981374,1450410.409999999916181,10390932.070000000298023
FS( 29 ),1520024.680000000167638,1434136.779999999795109,1449458.080000000307336,1518203.719999999972060,1500947.319999999832362,1558070.200000000186265,1440836.969999999972060,10421680.750000001862645
FS( 30 ),1533621.080000000074506,1413728.919999999692664,1453855.360000000102445,1528989.399999999906868,1510723.959999999962747,1572797.560000000055879,1431562.699999999953434,10445281.979999998584390
FS( 31 ),1524747.640000000130385,1410636.819999999832362,1447259.439999999944121,1520807.160000000149012,1503427.959999999962747,1568396.280000000260770,1436349.419999999925494,10411627.720000000670552
FS( 32 ),1502707.159999999916181,1495360.359999999869615,1429670.320000000298023,1507046.120000000111759,1495694.199999999953434,1563656.440000000176951,1434853.570000000065193,10428991.169999999925494
FS( 33 ),1517591.640000000130385,1507110.339999999850988,1419226.780000000260770,1520807.160000000149012,1505033.080000000074506,1567211.320000000065193,1468061.439999999944121,10505044.759999999776483
FS( 34 ),1508431.959999999962747,1505873.500000000000000,1431319.300000000046566,1514112.600000000093132,1489711.479999999981374,1570427.639999999897555,1470454.800000000046566,10490334.280000001192093
FS( 35 ),1453617.000000000000000,1491649.839999999850988,1431319.300000000046566,1509277.639999999897555,1481539.959999999962747,1568734.840000000083819,1455496.300000000046566,10391637.880000000819564
FS( 36 ),1472508.839999999850988,1513912.959999999729916,1440113.860000000102445,1520063.319999999832362,1496569.719999999972060,1571951.160000000149012,1471053.140000000130385,10486176.000000000000000
FS( 37 ),1475371.239999999990687,1507728.759999999776483,1437365.560000000055879,1509277.639999999897555,1494964.600000000093132,1574490.360000000102445,1479429.900000000139698,10478631.060000000521541
FS( 38 ),1488967.640000000130385,1516386.639999999897555,1445060.800000000046566,1509277.639999999897555,1488398.199999999953434,1571951.160000000149012,1488105.830000000074506,10508150.910000000149012
FS( 39 ),1483958.440000000176951,1528136.619999999878928,1468146.520000000251457,1516344.120000000111759,1493651.319999999832362,1582615.800000000046566,1484515.790000000037253,10557371.609999999403954
FS( 40 ),1472938.199999999953434,1534939.239999999757856,1477490.739999999990687,1509277.639999999897555,1478183.799999999813735,1582107.959999999962747,1488105.830000000074506,10543046.409999998286366
FS( 41 ),1482813.479999999981374,1526281.359999999869615,1481888.020000000251457,1512253.000000000000000,1478767.479999999981374,1592941.879999999888241,1487507.489999999990687,10562455.709999999031425
FS( 42 ),1463206.040000000037253,1522570.839999999850988,1501675.780000000260770,1521551.000000000000000,1480080.760000000009313,1581938.680000000167638,1494687.570000000065193,10565713.669999999925494
FS( 43 ),1485103.400000000139698,1532465.559999999823049,1498377.820000000298023,1519691.399999999906868,1488835.959999999962747,1586339.959999999962747,1497380.099999999860302,10608197.199999999254942
FS( 44 ),1495551.159999999916181,1526281.359999999869615,1520364.220000000204891,1520435.240000000223517,1480372.600000000093132,1581261.560000000055879,1474643.179999999934807,10598912.320000000298023
FS( 45 ),1492975.000000000000000,1515149.799999999813735,1517066.260000000242144,1517087.959999999962747,1494818.679999999934807,1602590.840000000083819,1470454.800000000046566,10610146.340000001713634
FS( 46 ),1530901.800000000046566,1527518.199999999720603,1520364.220000000204891,1520807.160000000149012,1494964.600000000093132,1607669.239999999990687,1474344.010000000009313,10676572.230000000447035
FS( 47 ),1548362.440000000176951,1535557.659999999683350,1548396.880000000353903,1524526.360000000102445,1487814.519999999785796,1597343.160000000149012,1478532.390000000130385,10720536.410000000149012
FS( 48 ),1556520.280000000027940,1533702.399999999906868,1534105.720000000204891,1521551.000000000000000,1479351.159999999916181,1602421.560000000055879,1483019.939999999944121,10710675.060000000521541
FS( 49 ),1564535.000000000000000,1546070.799999999813735,1552244.500000000000000,1527501.719999999972060,1472055.159999999916181,1609869.879999999888241,1481524.090000000083819,10753804.149999998509884
FS( 50 ),1555661.560000000055879,1548544.479999999748543,1535205.040000000037253,1519691.399999999906868,1465342.840000000083819,1606484.280000000260770,1477036.540000000037253,10707969.140000000596046
FS( 51 ),1526465.080000000074506,1525044.519999999785796,1536854.020000000251457,1503326.920000000158325,1455712.120000000111759,1608177.080000000074506,1467163.929999999934807,10622746.669999999925494
FS( 52 ),1528182.520000000018626,1527518.199999999720603,1641839.080000000307336,1501467.319999999832362,1466364.279999999795109,1615117.560000000055879,1471352.310000000055879,10751844.269999999552965
FS( 53 ),1528755.000000000000000,1517005.059999999823049,1649534.320000000298023,1512253.000000000000000,1475265.399999999906868,1615963.959999999962747,1475241.520000000018626,10774021.259999997913837
FS( 54 ),1526751.320000000065193,1515149.799999999813735,1646236.360000000102445,1521922.920000000158325,1477746.039999999804422,1611901.239999999990687,1472249.820000000065193,10771960.500000000000000
FS( 55 ),1538344.040000000037253,1523189.259999999776483,1645137.040000000037253,1545725.800000000046566,1478913.399999999906868,1614948.280000000260770,1478532.390000000130385,10824793.210000000894070
FS( 56 ),1535052.280000000027940,1528136.619999999878928,1653931.600000000093132,1554279.959999999962747,1487084.919999999925494,1618333.879999999888241,1480028.239999999990687,10856850.500000000000000
FS( 57 ),1565536.839999999850988,1535557.659999999683350,1659977.860000000102445,1550560.760000000009313,1487230.840000000083819,1601236.600000000093132,1477634.880000000121072,10877738.439999999478459
FS( 58 ),1556949.640000000130385,1527518.199999999720603,1661626.840000000083819,1552048.439999999944121,1487084.919999999925494,1607330.680000000167638,1487806.659999999916181,10880368.379999998956919
FS( 59 ),1543067.000000000000000,1517005.059999999823049,1676467.660000000149012,1556511.479999999981374,1480664.439999999944121,1602590.840000000083819,1474344.010000000009313,10850653.489999998360872
FS( 60 ),1552083.560000000055879,1528755.039999999804422,1697354.739999999990687,1560602.600000000093132,1482707.319999999832362,1605807.160000000149012,1478233.219999999972060,10905546.640000000596046
FS( 61 ),1553228.520000000018626,1524426.099999999627471,1691858.140000000130385,1563206.040000000037253,1481248.120000000111759,1598189.560000000055879,1472249.820000000065193,10884409.300000000745058
FS( 62 ),1556949.640000000130385,1527518.199999999720603,1700103.040000000037253,1569156.760000000009313,1480518.519999999785796,1589894.840000000083819,1475540.689999999944121,10899684.689999999478459
FS( 63 ),1555375.320000000065193,1536794.500000000000000,1698454.060000000055879,1575479.399999999906868,1470012.279999999795109,1592434.040000000037253,1463873.060000000055879,10892425.660000002011657
