代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11365058.590000001713634
真實報酬,1365058.590000001713634

夏普值報酬,0.127805859000000
夏普值風險,0.037197155961338
夏普值,3.435904054945490

二次趨勢線,-51.923245167119589 x^2 + 17484.286757543879503 x + 10000000.000000000000000
二次平均預期報酬,10993.881111653927292
風險,106838.786859858970274
二次平均趨勢值,0.102901590656160
一次趨勢線,12636.031937722500516 x + 10000000.000000000000000
一次預期報酬,12636.031937722500516
一次風險,139795.702176659833640
一次趨勢值,0.090389273353728
找到最佳解世代,2006
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),DD[7](4),MRK[17](18),NKE[19](2),UNH[23](3),
FS( 16 ),2026026.260000000009313,1955021.780000000027940,2196886.730000000447035,2027777.419999999692664,2214921.350000000093132,10420633.540000000968575
FS( 17 ),2004693.260000000009313,1937769.860000000102445,2187794.270000000484288,1988636.509999999776483,2183169.350000000093132,10302063.250000000000000
FS( 18 ),1976960.360000000102445,1887862.520000000018626,2148976.459999999962747,1963805.179999999701977,2152409.599999999627471,10130014.119999999180436
FS( 19 ),1988693.510000000009313,1974738.259999999776483,2171357.900000000372529,1996633.039999999571592,2170865.449999999720603,10302288.159999998286366
FS( 20 ),1940480.929999999934807,1981207.730000000214204,2108060.389999999664724,1941499.069999999832362,2108552.149999999906868,10079800.269999999552965
FS( 21 ),1961173.940000000176951,1983980.360000000335276,2129042.990000000223517,1934344.279999999795109,2129190.950000000186265,10137732.519999999552965
FS( 22 ),2007466.549999999813735,2057301.020000000018626,2133938.929999999701977,1964646.919999999692664,2139510.350000000093132,10302863.769999999552965
FS( 23 ),2160637.490000000223517,2027726.299999999813735,2065046.059999999823049,1947391.250000000000000,2141693.299999999813735,10342494.399999998509884
FS( 24 ),2189650.370000000111759,2097042.049999999813735,2069242.580000000074506,1964226.049999999813735,2159553.799999999813735,10479714.849999999627471
FS( 25 ),2176423.909999999683350,2123536.070000000298023,2055953.600000000093132,1931819.059999999823049,2135342.899999999906868,10423075.539999999105930
FS( 26 ),2170237.340000000316650,2117374.670000000391155,2039866.939999999944121,1918772.089999999850988,2113314.949999999720603,10359565.990000000223517
FS( 27 ),2174290.609999999869615,2127849.049999999813735,2058051.860000000102445,1952020.819999999832362,2162530.549999999813735,10474742.890000000596046
FS( 28 ),2173223.959999999962747,2109364.850000000093132,2054205.050000000046566,1921718.179999999701977,2179994.149999999906868,10438506.189999999478459
FS( 29 ),2209703.390000000130385,2156191.489999999757856,2059100.989999999990687,1936027.759999999776483,2179795.700000000186265,10540819.330000000074506
FS( 30 ),2222289.859999999869615,2169130.430000000167638,2056653.020000000018626,1936869.500000000000000,2171857.699999999720603,10556800.509999999776483
FS( 31 ),2221223.209999999962747,2174675.689999999944121,2055953.600000000093132,1933081.669999999692664,2178208.100000000093132,10563142.269999999552965
FS( 32 ),2215676.629999999888241,2167590.080000000074506,2056303.309999999823049,1970118.229999999981374,2178406.549999999813735,10588094.800000000745058
FS( 33 ),2216316.620000000111759,2179604.810000000055879,2038817.809999999823049,1971801.709999999729916,2183566.250000000000000,10590107.199999999254942
FS( 34 ),2230396.399999999906868,2173135.340000000316650,2040566.360000000102445,1997895.649999999674037,2234964.799999999813735,10676958.550000000745058
FS( 35 ),2239782.919999999925494,2171286.920000000391155,2038817.809999999823049,1999579.129999999655411,2309978.899999999906868,10759445.679999999701977
FS( 36 ),2232956.359999999869615,2185150.070000000298023,2040916.070000000065193,2007996.529999999795109,2290729.250000000000000,10757748.279999999329448
FS( 37 ),2252156.060000000055879,2186998.489999999757856,2045462.300000000046566,2037457.429999999701977,2263343.149999999906868,10785417.429999999701977
FS( 38 ),2230609.729999999981374,2160812.540000000037253,2061898.669999999925494,2041245.259999999776483,2255603.599999999627471,10750169.799999998882413
FS( 39 ),2220369.890000000130385,2160196.400000000372529,2047210.850000000093132,2043770.479999999981374,2255008.250000000000000,10726555.870000001043081
FS( 40 ),2258982.620000000111759,2165125.520000000018626,2048609.689999999944121,2078281.819999999832362,2270288.899999999906868,10821288.550000000745058
FS( 41 ),2268795.799999999813735,2160812.540000000037253,2040216.650000000139698,2061867.889999999897555,2239727.600000000093132,10771420.480000000447035
FS( 42 ),2252156.060000000055879,2174675.689999999944121,2024129.989999999990687,2052187.879999999655411,2258778.799999999813735,10761928.419999998062849
FS( 43 ),2240636.240000000223517,2144792.900000000372529,2027627.089999999850988,2071968.769999999552965,2278028.450000000186265,10763053.449999999254942
FS( 44 ),2214823.310000000055879,2103203.449999999720603,1987760.150000000139698,2039561.779999999795109,2240124.500000000000000,10585473.189999999478459
FS( 45 ),2245542.830000000074506,2102895.380000000353903,2002447.969999999972060,2050504.399999999674037,2280211.399999999906868,10681601.980000000447035
FS( 46 ),2199250.220000000204891,2066851.190000000176951,1978667.689999999944121,2031144.379999999655411,2231789.599999999627471,10507703.079999998211861
FS( 47 ),2194983.620000000111759,2052371.900000000139698,1960482.770000000018626,2006313.049999999813735,2236949.299999999813735,10451100.640000000596046
FS( 48 ),2286288.859999999869615,2082254.690000000176951,1964329.580000000074506,2042087.000000000000000,2279814.500000000000000,10654774.629999998956919
FS( 49 ),2270715.770000000018626,2064078.560000000055879,1965378.710000000195578,2016413.929999999701977,2287157.149999999906868,10603744.119999999180436
FS( 50 ),2290555.459999999962747,2063462.420000000158325,1997552.030000000027940,2029460.899999999674037,2352050.299999999813735,10733081.109999999403954
FS( 51 ),2281808.929999999701977,2045902.429999999934807,1974820.879999999888241,2031565.250000000000000,2333792.899999999906868,10667890.389999998733401
FS( 52 ),2303355.259999999776483,2085643.460000000195578,2016086.659999999916181,2052187.879999999655411,2380627.099999999627471,10837900.359999999403954
FS( 53 ),2290555.459999999962747,2050215.409999999916181,2035670.419999999925494,2069022.679999999701977,2396503.100000000093132,10841967.069999998435378
FS( 54 ),2313168.439999999944121,2074861.009999999776483,2048609.689999999944121,2146041.889999999664724,2364354.199999999720603,10947035.229999996721745
FS( 55 ),2308688.509999999776483,2072088.380000000121072,2053855.339999999850988,2135099.269999999552965,2362369.700000000186265,10932101.199999999254942
FS( 56 ),2285008.879999999888241,2071164.170000000158325,2050358.239999999990687,2118264.469999999739230,2344112.299999999813735,10868908.059999998658895
FS( 57 ),2239996.250000000000000,2054528.389999999897555,2037418.969999999972060,2083332.259999999776483,2312757.200000000186265,10728033.070000000298023
FS( 58 ),2245116.169999999925494,2055760.670000000158325,2014338.110000000102445,2090487.049999999813735,2307002.149999999906868,10712704.150000000372529
FS( 59 ),2250236.090000000316650,2095193.630000000121072,2019583.760000000009313,2101850.539999999571592,2341929.350000000093132,10808793.369999999180436
FS( 60 ),2263889.209999999962747,2135550.799999999813735,2040216.650000000139698,2123314.909999999683350,2401265.899999999906868,10964237.470000000670552
FS( 61 ),2237649.620000000111759,2105051.870000000111759,2010141.589999999850988,2111530.549999999813735,2347485.950000000186265,10811859.579999998211861
FS( 62 ),2249382.770000000018626,2101355.029999999795109,1988459.570000000065193,2095116.619999999878928,2330816.149999999906868,10765130.140000000596046
FS( 63 ),2261329.250000000000000,2116450.459999999962747,1996852.610000000102445,2097220.969999999739230,2329030.100000000093132,10800883.389999998733401
FS( 64 ),2253436.040000000037253,2135550.799999999813735,1999650.290000000037253,2098904.449999999720603,2335777.399999999906868,10823318.980000000447035
FS( 65 ),2249169.439999999944121,2128773.259999999776483,2008393.040000000037253,2096379.229999999981374,2328831.649999999906868,10811546.619999999180436
FS( 66 ),2269009.129999999888241,2121995.719999999739230,1998601.159999999916181,2122052.299999999813735,2345501.449999999720603,10857159.759999997913837
FS( 67 ),2277755.659999999683350,2138323.430000000167638,2008393.040000000037253,2119527.079999999608845,2352645.649999999906868,10896644.859999999403954
FS( 68 ),2281595.600000000093132,2122919.930000000167638,2002098.260000000009313,2103954.889999999664724,2361575.899999999906868,10872144.580000000074506
FS( 69 ),2272209.080000000074506,2117682.739999999757856,1983913.339999999850988,2089224.439999999711290,2368918.549999999813735,10831948.149999998509884
FS( 70 ),2275409.029999999795109,2142328.340000000316650,2019933.469999999972060,2094695.750000000000000,2379833.299999999813735,10912199.890000000596046
FS( 71 ),2282235.590000000316650,2198397.080000000074506,2044063.460000000195578,2101008.799999999813735,2328236.299999999813735,10953941.230000000447035
FS( 72 ),2306128.549999999813735,2182685.509999999776483,2022731.150000000139698,2102271.409999999683350,2413172.899999999906868,11026989.519999999552965
FS( 73 ),2276049.020000000018626,2178680.600000000093132,1989158.989999999990687,2074073.119999999878928,2355820.849999999627471,10873782.580000000074506
FS( 74 ),2308688.509999999776483,2197472.870000000111759,2014687.820000000065193,2104375.759999999776483,2353241.000000000000000,10978465.960000000894070
FS( 75 ),2297168.689999999944121,2178372.529999999795109,2016436.369999999878928,2110688.809999999590218,2367132.500000000000000,10969798.899999998509884
FS( 76 ),2302715.270000000018626,2194392.170000000391155,2017485.500000000000000,2107742.719999999739230,2337960.350000000093132,10960296.009999999776483
FS( 77 ),2325328.250000000000000,2237521.969999999739230,2011190.719999999972060,2127944.479999999981374,2346890.600000000093132,11048876.019999999552965
FS( 78 ),2336634.740000000223517,2242759.160000000149012,2014338.110000000102445,2124577.519999999552965,2355423.949999999720603,11073733.480000000447035
FS( 79 ),2350074.529999999795109,2258162.660000000149012,1996852.610000000102445,2124156.649999999906868,2306803.699999999720603,11036050.149999998509884
FS( 80 ),2344954.609999999869615,2273566.160000000149012,2097569.089999999850988,2101429.669999999925494,2333594.450000000186265,11151113.980000000447035
FS( 81 ),2342607.979999999981374,2264324.060000000055879,2087077.790000000037253,2108163.589999999850988,2254611.350000000093132,11056784.769999999552965
FS( 82 ),2319355.009999999776483,2237521.969999999739230,2082881.270000000018626,2079965.299999999813735,2210753.899999999906868,10930477.450000001117587
FS( 83 ),2357754.409999999683350,2267712.830000000074506,2093372.570000000065193,2120789.689999999944121,2246474.899999999906868,11086104.400000000372529
FS( 84 ),2368634.240000000223517,2265864.410000000149012,2120649.950000000186265,2122052.299999999813735,2273464.100000000093132,11150665.000000000000000
FS( 85 ),2363940.979999999981374,2252925.469999999739230,2115404.299999999813735,2113214.029999999795109,2249848.549999999813735,11095333.329999998211861
FS( 86 ),2340688.009999999776483,2232284.779999999795109,2107360.969999999739230,2109005.329999999608845,2252229.949999999720603,11041569.039999997243285
FS( 87 ),2330874.830000000074506,2221810.400000000372529,2108759.809999999590218,2135099.269999999552965,2277433.100000000093132,11073977.409999998286366
FS( 88 ),2349007.879999999888241,2274798.439999999944121,2124147.049999999813735,2155721.899999999906868,2295690.500000000000000,11199365.769999999552965
FS( 89 ),2316795.049999999813735,2276954.930000000167638,2098268.509999999776483,2163297.559999999590218,2277631.549999999813735,11132947.600000001490116
FS( 90 ),2330448.169999999925494,2235365.479999999981374,2078684.750000000000000,2154459.289999999571592,2275051.699999999720603,11074009.389999998733401
FS( 91 ),2329381.520000000018626,2225507.239999999757856,2069592.290000000037253,2149829.719999999739230,2299262.600000000093132,11073573.369999999180436
FS( 92 ),2345167.939999999944121,2247996.350000000093132,2090574.890000000130385,2176765.399999999906868,2352248.750000000000000,11212753.330000000074506
FS( 93 ),2353061.149999999906868,2259703.009999999776483,2106311.839999999850988,2209172.389999999664724,2368124.750000000000000,11296373.140000000596046
FS( 94 ),2353701.140000000130385,2237521.969999999739230,2098618.219999999739230,2204542.819999999832362,2377451.899999999906868,11271836.049999998882413
FS( 95 ),2358607.729999999981374,2225507.239999999757856,2116453.429999999701977,2202017.599999999627471,2392335.649999999906868,11294921.650000000372529
FS( 96 ),2350927.850000000093132,2239370.390000000130385,2114355.169999999925494,2201596.729999999981374,2406028.699999999720603,11312278.839999999850988
FS( 97 ),2354981.120000000111759,2254157.750000000000000,2101765.610000000335276,2196967.159999999683350,2390549.599999999627471,11298421.240000000223517
FS( 98 ),2352207.830000000074506,2250152.840000000316650,2076586.489999999990687,2197808.899999999906868,2373284.450000000186265,11250040.510000001639128
FS( 99 ),2334714.770000000018626,2220886.189999999944121,2062248.379999999888241,2176344.529999999795109,2346493.699999999720603,11140687.569999998435378
FS( 100 ),2354554.459999999962747,2246147.930000000167638,2079384.169999999925494,2164139.299999999813735,2370506.149999999906868,11214732.009999999776483
FS( 101 ),2357967.740000000223517,2262475.640000000130385,2087777.210000000195578,2152775.809999999590218,2373879.799999999813735,11234876.199999999254942
FS( 102 ),2354554.459999999962747,2284348.610000000335276,2129392.700000000186265,2139728.839999999850988,2385588.349999999627471,11293612.959999999031425
FS( 103 ),2367140.929999999701977,2292666.500000000000000,2124496.759999999776483,2141412.319999999832362,2378642.600000000093132,11304359.109999999403954
FS( 104 ),2362661.000000000000000,2309918.420000000391155,2106661.549999999813735,2148987.979999999981374,2336769.649999999906868,11264998.599999999627471
FS( 105 ),2371620.859999999869615,2325629.989999999757856,2111907.200000000186265,2157405.379999999888241,2348676.649999999906868,11315240.080000000074506
FS( 106 ),2353061.149999999906868,2327478.410000000149012,2079733.879999999888241,2145621.019999999552965,2314940.149999999906868,11220834.610000001266599
FS( 107 ),2353061.149999999906868,2284348.610000000335276,2062947.800000000046566,2147304.500000000000000,2312558.750000000000000,11160220.809999998658895
FS( 108 ),2331514.820000000298023,2255081.959999999962747,2058751.280000000027940,2134678.399999999906868,2320099.849999999627471,11100126.310000000521541
FS( 109 ),2315088.409999999683350,2260319.150000000372529,2057702.150000000139698,2132994.919999999925494,2321687.449999999720603,11087792.080000000074506
FS( 110 ),2346661.250000000000000,2280959.840000000316650,2084629.820000000065193,2174661.049999999813735,2352645.649999999906868,11239557.610000001266599
FS( 111 ),2359887.709999999962747,2288353.520000000018626,2060150.119999999878928,2186024.539999999571592,2367926.299999999813735,11262342.190000001341105
FS( 112 ),2345594.600000000093132,2274182.299999999813735,2023780.280000000027940,2183920.189999999944121,2334785.149999999906868,11162262.520000001415610
FS( 113 ),2350501.189999999944121,2275106.509999999776483,1997552.030000000027940,2175081.919999999925494,2361179.000000000000000,11159420.649999998509884
FS( 114 ),2369274.229999999981374,2307145.790000000037253,2018184.919999999925494,2200334.119999999646097,2412180.649999999906868,11307119.709999999031425
FS( 115 ),2378447.419999999925494,2340725.420000000391155,2025179.119999999878928,2204542.819999999832362,2376261.199999999720603,11325155.979999998584390
FS( 116 ),2415353.509999999776483,2351199.799999999813735,2048959.400000000139698,2230636.759999999776483,2399082.949999999720603,11445232.419999998062849
FS( 117 ),2402553.709999999962747,2337644.719999999739230,2029725.350000000093132,2242000.250000000000000,2387969.750000000000000,11399893.779999999329448
FS( 118 ),2421966.740000000223517,2344422.259999999776483,2057352.439999999944121,2247471.559999999590218,2386382.149999999906868,11457595.150000000372529
FS( 119 ),2440739.779999999795109,2350275.590000000316650,2064346.640000000130385,2255888.959999999962747,2435796.199999999720603,11547047.169999998062849
FS( 120 ),2427086.659999999683350,2329634.900000000372529,2036719.550000000046566,2235266.329999999608845,2364949.549999999813735,11393656.989999998360872
FS( 121 ),2441593.100000000093132,2334872.090000000316650,2024829.409999999916181,2214222.829999999608845,2427659.750000000000000,11443177.179999999701977
FS( 122 ),2453112.919999999925494,2310842.630000000353903,2045462.300000000046566,2308918.579999999608845,2445917.149999999906868,11564253.580000000074506
FS( 123 ),2411726.899999999906868,2228279.870000000111759,2003497.100000000093132,2265989.839999999850988,2405036.449999999720603,11314530.159999998286366
FS( 124 ),2434979.870000000111759,2244915.650000000372529,1990907.540000000037253,2273144.629999999888241,2421110.899999999906868,11365058.590000001713634
