代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12201540.100000001490116
真實報酬,2201540.100000001490116

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19857.420753418678942
風險,253194.245010553102475
起點值,0.078427614942792
找到最佳解世代,1997
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
FS( 36 ),5720308.290000000037253,5369251.150000000372529,11089559.440000001341105
FS( 37 ),5709557.420000000856817,5336613.700000000186265,11046171.120000001043081
FS( 38 ),5703768.490000000223517,5327014.450000000186265,11030782.940000001341105
FS( 39 ),5709557.420000000856817,5334693.850000000558794,11044251.270000001415610
FS( 40 ),5705422.469999999739230,5339813.450000000186265,11045235.919999999925494
FS( 41 ),5675650.829999999143183,5342373.250000000931323,11018024.080000000074506
FS( 42 ),5690536.650000000372529,5343013.200000000186265,11033549.850000001490116
FS( 43 ),5668207.920000000856817,5337893.600000000558794,11006101.520000001415610
FS( 44 ),5672342.870000000111759,5308455.900000000372529,10980798.769999999552965
FS( 45 ),5619415.509999999776483,5292457.150000000372529,10911872.660000000149012
FS( 46 ),5674823.840000000782311,5330214.200000001117587,11005038.040000002831221
FS( 47 ),5737675.079999999143183,5289257.400000000372529,11026932.480000000447035
FS( 48 ),5761657.790000000037253,5241901.100000000558794,11003558.890000000596046
FS( 49 ),5752560.900000000372529,5271978.750000000000000,11024539.650000000372529
FS( 50 ),5712865.379999999888241,5248300.600000000558794,10961165.980000000447035
FS( 51 ),5777370.599999999627471,5318695.100000000558794,11096065.699999999254942
FS( 52 ),5857588.629999999888241,5340453.400000000372529,11198042.030000001192093
FS( 53 ),5787294.480000000447035,5350692.600000000558794,11137987.080000001937151
FS( 54 ),5823682.040000000037253,5391649.400000000372529,11215331.440000001341105
FS( 55 ),5823682.040000000037253,5375650.650000000372529,11199332.690000001341105
FS( 56 ),5787294.480000000447035,5375650.650000000372529,11162945.130000000819564
FS( 57 ),5853453.679999999701977,5462683.850000000558794,11316137.530000001192093
FS( 58 ),5879917.359999999403954,5492121.549999999813735,11372038.910000000149012
FS( 59 ),5853453.679999999701977,5392929.299999999813735,11246382.980000000447035
FS( 60 ),5842702.810000000521541,5319335.050000000745058,11162037.860000001266599
FS( 61 ),5816239.129999999888241,5328294.350000000558794,11144533.480000000447035
FS( 62 ),5848491.740000000223517,5302696.350000000558794,11151188.089999999850988
FS( 63 ),5866685.519999999552965,5326374.500000000931323,11193060.019999999552965
FS( 64 ),5915477.929999999701977,5354532.300000000745058,11270010.230000000447035
FS( 65 ),5933671.709999999962747,5398688.850000000558794,11332360.560000000521541
FS( 66 ),5902246.090000000782311,5313575.500000000000000,11215821.589999999850988
FS( 67 ),5889841.240000000223517,5242541.050000000745058,11132382.290000000968575
FS( 68 ),5874128.429999999701977,5257259.900000000372529,11131388.330000000074506
FS( 69 ),5909688.999999999068677,5273258.650000000372529,11182947.649999998509884
FS( 70 ),5982464.120000000111759,5260459.650000000372529,11242923.769999999552965
FS( 71 ),5826163.009999999776483,5211823.450000000186265,11037986.460000000894070
FS( 72 ),5654149.090000000782311,5047356.300000000745058,10701505.390000000596046
FS( 73 ),5773235.650000000372529,5059515.350000000558794,10832751.000000000000000
FS( 74 ),5744290.999999999068677,5127990.000000000000000,10872281.000000000000000
FS( 75 ),5889841.240000000223517,5184305.600000000558794,11074146.839999999850988
FS( 76 ),5939460.639999999664724,5238701.350000000558794,11178161.990000000223517
FS( 77 ),5971713.249999999068677,5135029.450000000186265,11106742.699999999254942
FS( 78 ),5983291.109999999403954,5586834.150000000372529,11570125.259999999776483
FS( 79 ),6001484.889999999664724,5542037.650000000372529,11543522.539999999105930
FS( 80 ),5962616.359999999403954,5577874.850000000558794,11540491.210000000894070
FS( 81 ),5833605.920000000856817,5725063.349999999627471,11558669.269999999552965
FS( 82 ),5785640.499999999068677,5695625.650000000372529,11481266.149999998509884
FS( 83 ),5822028.060000000521541,5622671.350000000558794,11444699.410000000149012
FS( 84 ),5908862.009999999776483,5646989.450000000186265,11555851.460000000894070
FS( 85 ),6026294.590000000782311,5707784.700000000186265,11734079.290000000968575
FS( 86 ),6087491.849999999627471,5675147.250000000931323,11762639.100000001490116
FS( 87 ),6046969.340000000782311,5733382.700000000186265,11780352.040000000968575
FS( 88 ),5976675.189999999478459,5747461.600000000558794,11724136.789999999105930
FS( 89 ),6046969.340000000782311,5836414.650000000372529,11883383.990000002086163
FS( 90 ),6062682.150000000372529,5856253.100000000558794,11918935.250000000000000
FS( 91 ),6209059.379999999888241,5842174.200000001117587,12051233.580000001937151
FS( 92 ),6242138.980000000447035,5846653.850000000558794,12088792.830000001937151
FS( 93 ),6190865.599999999627471,5913848.600000000558794,12104714.199999999254942
FS( 94 ),6176806.769999999552965,5932407.150000000372529,12109213.919999999925494
FS( 95 ),6170190.849999999627471,5981683.300000000745058,12151874.150000000372529
FS( 96 ),6127187.370000000111759,5982963.200000000186265,12110150.570000000298023
FS( 97 ),6189211.620000000111759,6004721.500000000000000,12193933.120000001043081
FS( 98 ),6290104.400000000372529,6004081.549999999813735,12294185.949999999254942
FS( 99 ),6314087.109999999403954,5970164.200000001117587,12284251.310000000521541
FS( 100 ),6184249.679999999701977,5894010.150000000372529,12078259.830000000074506
FS( 101 ),6185076.670000000856817,5849853.600000000558794,12034930.270000001415610
FS( 102 ),6175152.790000000037253,5858172.950000001117587,12033325.740000002086163
FS( 103 ),6238831.019999999552965,5883770.950000000186265,12122601.969999998807907
FS( 104 ),6313260.120000000111759,5933687.050000000745058,12246947.170000001788139
FS( 105 ),6386862.230000000447035,5952245.600000000558794,12339107.830000001937151
FS( 106 ),6443097.549999999813735,5940086.549999999813735,12383184.099999999627471
FS( 107 ),6561357.120000000111759,6048238.100000000558794,12609595.220000000670552
FS( 108 ),6551433.240000000223517,5972084.049999999813735,12523517.289999999105930
FS( 109 ),6467907.249999999068677,5971444.100000000558794,12439351.349999999627471
FS( 110 ),6481139.090000000782311,5986802.900000000372529,12467941.990000002086163
FS( 111 ),6344685.740000000223517,5916408.400000000372529,12261094.140000000596046
FS( 112 ),6402575.040000000037253,5953525.500000000000000,12356100.539999999105930
FS( 113 ),6376938.349999999627471,6009841.100000000558794,12386779.449999999254942
FS( 114 ),6451367.450000000186265,6017520.500000000000000,12468887.949999999254942
FS( 115 ),6534066.450000000186265,6174948.200000000186265,12709014.650000000372529
FS( 116 ),6324837.980000000447035,6184547.450000000186265,12509385.429999999701977
FS( 117 ),6221464.230000000447035,5936886.799999999813735,12158351.030000001192093
FS( 118 ),6147035.129999999888241,5918968.200000000186265,12066003.330000000074506
FS( 119 ),6100723.689999999478459,5872251.850000000558794,11972975.539999999105930
FS( 120 ),6077567.969999999739230,5822335.750000000931323,11899903.720000000670552
FS( 121 ),6028775.560000000521541,5821695.800000000745058,11850471.360000001266599
FS( 122 ),5884052.310000000521541,5590673.850000000558794,11474726.160000000149012
FS( 123 ),6119744.459999999962747,5765380.200000000186265,11885124.660000000149012
FS( 124 ),6233869.079999999143183,5888890.549999999813735,12122759.629999998956919
FS( 125 ),6233042.090000000782311,5835134.750000000931323,12068176.840000001713634
FS( 126 ),6319049.049999999813735,5882491.050000000745058,12201540.100000001490116
