代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12784649.439999999478459
真實報酬,2784649.439999999478459

夏普值報酬,0.269764944000000
夏普值風險,0.095169974611524
夏普值,2.834559377588975

二次趨勢線,74.893648275197478 x^2 + -6324.228969180849163 x + 10000000.000000000000000
二次平均預期報酬,12623.864044444109823
風險,201084.685390992963221
二次平均趨勢值,0.062778843748832
一次趨勢線,7858.700058839422127 x + 10000000.000000000000000
一次預期報酬,7858.700058839422127
一次風險,570956.764688323950395
一次趨勢值,0.013764089585889
找到最佳解世代,1329
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),HD[9](1),NKE[19](4),PG[21](6),UNH[23](3),
FS( 26 ),1879018.199999999953434,1864181.120000000111759,1858386.520000000251457,1919792.639999999897555,1913907.800000000046566,9435286.280000001192093
FS( 27 ),1912680.499999999767169,1863205.760000000009313,1857875.280000000260770,1937671.679999999701977,1870459.399999999906868,9441892.619999999180436
FS( 28 ),1937990.499999999767169,1870277.120000000111759,1891105.880000000121072,1957785.599999999860302,1894061.000000000232831,9551220.099999999627471
FS( 29 ),1937737.400000000139698,1884419.840000000083819,1894684.560000000288710,1924262.399999999674037,1883869.399999999906868,9524973.599999999627471
FS( 30 ),1968615.600000000093132,1891978.880000000121072,1914111.679999999934807,1931960.319999999599531,1909884.799999999813735,9616551.279999999329448
FS( 31 ),1966843.899999999906868,1900269.440000000176951,1918712.840000000083819,1971691.519999999785796,1971839.000000000000000,9729356.699999999254942
FS( 32 ),1974183.800000000046566,1891491.199999999953434,1922291.520000000251457,1936181.759999999776483,1980153.199999999953434,9704301.480000000447035
FS( 33 ),1943052.500000000000000,1864181.120000000111759,1912577.959999999962747,1940403.199999999720603,1972643.600000000093132,9632858.379999998956919
FS( 34 ),1920526.599999999860302,1889296.640000000130385,1932005.080000000074506,1934940.159999999683350,1970766.200000000186265,9647534.679999999701977
FS( 35 ),1899266.200000000186265,1895636.479999999981374,1955010.880000000121072,1936181.759999999776483,1979616.800000000046566,9665712.120000001043081
FS( 36 ),1907365.400000000139698,1898806.400000000139698,1989775.200000000186265,1933450.239999999757856,2038620.800000000279397,9768018.040000000968575
FS( 37 ),1887623.600000000093132,1974640.640000000130385,1996932.560000000288710,1939906.559999999823049,2020115.000000000000000,9819218.359999999403954
FS( 38 ),1870665.899999999906868,1992197.120000000111759,2004601.160000000149012,1933450.239999999757856,2039961.800000000046566,9840876.220000000670552
FS( 39 ),1907871.599999999860302,1998780.800000000046566,1994376.360000000102445,1941644.799999999580905,2038889.000000000000000,9881562.559999998658895
FS( 40 ),1902809.600000000325963,2000243.840000000083819,2001533.719999999972060,1953315.839999999618158,2072414.000000000000000,9930317.000000000000000
FS( 41 ),1908124.699999999953434,1999512.320000000065193,1978527.920000000158325,1924014.079999999841675,2067854.599999999860302,9878033.620000001043081
FS( 42 ),1920779.699999999953434,2020726.400000000139698,2009713.560000000288710,1948101.119999999878928,2095479.199999999953434,9994799.980000000447035
FS( 43 ),1924829.300000000046566,2021701.760000000009313,1979039.160000000149012,1932456.959999999497086,2091724.399999999906868,9949751.580000000074506
FS( 44 ),1919007.999999999767169,2009509.760000000009313,1999488.760000000009313,1938416.639999999897555,2082337.400000000139698,9948760.559999998658895
FS( 45 ),1917995.600000000093132,2012923.520000000018626,2031185.639999999897555,1946362.879999999655411,2075900.600000000325963,9984368.240000000223517
FS( 46 ),1919767.299999999813735,2003901.440000000176951,2018915.880000000121072,1950087.679999999701977,2088774.199999999953434,9981446.500000000000000
FS( 47 ),1938243.600000000093132,1982199.680000000167638,2014314.719999999972060,1960517.119999999878928,2086092.200000000186265,9981367.320000000298023
FS( 48 ),1940268.399999999906868,1964399.360000000102445,2018915.880000000121072,1967718.399999999674037,2081264.599999999860302,9972566.639999998733401
FS( 49 ),1918754.900000000139698,1921483.520000000018626,2007668.600000000325963,1966476.799999999580905,2065440.800000000279397,9879824.620000001043081
FS( 50 ),1897241.399999999906868,1935626.239999999990687,2002044.959999999962747,1961262.079999999841675,2030306.600000000093132,9826481.279999999329448
FS( 51 ),1904581.300000000046566,1940503.040000000037253,2018915.880000000121072,1982617.599999999860302,2058735.800000000279397,9905353.619999999180436
FS( 52 ),1921285.899999999906868,1946355.199999999953434,2035786.800000000046566,1980879.359999999636784,2091992.600000000093132,9976299.859999999403954
FS( 53 ),1920779.699999999953434,1944648.320000000065193,2023517.040000000037253,1956295.679999999701977,2144559.799999999813735,9989800.539999999105930
FS( 54 ),1911668.100000000093132,1952938.880000000121072,2026584.480000000214204,1944872.959999999497086,2186667.200000000186265,10022731.620000001043081
FS( 55 ),1926601.000000000232831,1960985.600000000093132,1922291.520000000251457,1933946.879999999655411,2181571.400000000372529,9925396.400000002235174
FS( 56 ),1949633.100000000093132,1942453.760000000009313,1913600.440000000176951,1969208.319999999599531,2179962.200000000186265,9954857.820000000298023
FS( 57 ),1970640.400000000139698,1937820.800000000046566,1882926.040000000037253,1981872.639999999897555,2175134.600000000093132,9948394.480000000447035
FS( 58 ),1951657.900000000139698,1923190.400000000139698,1871678.760000000009313,1974174.719999999739230,2186935.400000000372529,9907637.179999999701977
FS( 59 ),1943305.600000000093132,1918557.440000000176951,1874234.959999999962747,1977899.519999999785796,2172989.000000000000000,9886986.519999999552965
FS( 60 ),1941027.699999999953434,1919532.800000000046566,1879858.600000000325963,1980631.039999999804422,2189081.000000000000000,9910131.140000000596046
FS( 61 ),1940774.600000000325963,1929530.239999999990687,1888038.440000000176951,2001489.919999999692664,2199004.399999999906868,9958837.599999999627471
FS( 62 ),1958491.599999999860302,1935626.239999999990687,1901841.920000000158325,1995033.599999999860302,2194981.400000000372529,9985974.759999999776483
FS( 63 ),1961781.900000000139698,1949525.120000000111759,1905420.600000000325963,1989818.879999999655411,2188812.800000000279397,9995359.300000000745058
FS( 64 ),1948114.500000000000000,1936113.920000000158325,1891105.880000000121072,1989073.919999999692664,2205977.600000000093132,9970385.820000000298023
FS( 65 ),1922804.500000000000000,1919532.800000000046566,1861965.200000000186265,1980879.359999999636784,2186667.200000000186265,9871849.059999998658895
FS( 66 ),1892685.600000000093132,1880762.239999999990687,1810841.200000000186265,1998758.399999999674037,2174598.200000000186265,9757645.640000000596046
FS( 67 ),1892685.600000000093132,1880274.560000000055879,1864010.160000000149012,2020113.919999999692664,2163333.799999999813735,9820418.039999999105930
FS( 68 ),1917489.400000000139698,1896124.160000000149012,1880369.840000000083819,2023590.399999999674037,2182912.399999999906868,9900486.199999999254942
FS( 69 ),1892685.600000000093132,1872227.840000000083819,1852251.639999999897555,2013657.599999999860302,2145364.399999999906868,9776187.080000000074506
FS( 70 ),1878765.100000000093132,1845893.120000000111759,1821577.240000000223517,2005463.039999999804422,2117471.600000000093132,9669170.100000001490116
FS( 71 ),1886358.100000000093132,1852476.800000000046566,1850206.679999999934807,2006704.639999999897555,2123640.200000000186265,9719386.419999999925494
FS( 72 ),1872690.699999999953434,1850526.080000000074506,1847650.480000000214204,2007449.599999999860302,2132490.800000000279397,9710807.660000000149012
FS( 73 ),1876487.199999999953434,1867351.040000000037253,1868611.320000000065193,2027563.519999999785796,2097088.400000000139698,9737101.480000000447035
FS( 74 ),1898000.699999999953434,1879786.880000000121072,1892639.600000000325963,2030295.039999999804422,2032452.200000000186265,9733174.420000001788139
FS( 75 ),1920526.599999999860302,1901000.959999999962747,1889060.920000000158325,2025328.639999999897555,2010191.600000000093132,9746108.719999998807907
FS( 76 ),1922551.399999999906868,1942697.600000000093132,1900308.200000000186265,2017630.719999999739230,2031915.800000000279397,9815103.720000000670552
FS( 77 ),1897241.399999999906868,1914656.000000000000000,1894173.320000000065193,1995530.239999999757856,2020383.199999999953434,9721984.159999998286366
FS( 78 ),2052897.900000000139698,1945136.000000000000000,1876279.920000000158325,2015147.519999999785796,2054176.400000000139698,9943637.740000000223517
FS( 79 ),2068083.899999999906868,1935626.239999999990687,1858386.520000000251457,2021603.839999999618158,2029233.800000000046566,9912934.300000000745058
FS( 80 ),2148063.500000000000000,1954889.600000000093132,1832313.280000000260770,2059596.799999999580905,2031379.399999999906868,10026242.580000000074506
FS( 81 ),2141736.000000000000000,1939040.000000000000000,1852762.880000000121072,2047180.799999999580905,2016896.600000000093132,9997616.279999999329448
FS( 82 ),2133636.799999999813735,1938796.160000000149012,1865032.639999999897555,2049912.319999999599531,2012605.400000000372529,9999983.320000000298023
FS( 83 ),2138698.799999999813735,1934407.040000000037253,1864010.160000000149012,2044697.599999999860302,2010191.600000000093132,9992005.199999999254942
FS( 84 ),2142495.299999999813735,1936113.920000000158325,1865543.880000000121072,2034268.159999999683350,2012337.200000000186265,9990758.460000000894070
FS( 85 ),2172867.299999999813735,1918801.280000000027940,1873723.719999999972060,2028805.119999999878928,2017701.200000000186265,10011898.620000001043081
FS( 86 ),2149329.000000000000000,1887833.600000000093132,1847139.240000000223517,2014650.879999999655411,2018505.800000000279397,9917458.519999999552965
FS( 87 ),2141736.000000000000000,1879543.040000000037253,1845094.280000000260770,2038489.599999999860302,2089578.800000000046566,9994441.720000000670552
FS( 88 ),2126043.799999999813735,1878811.520000000018626,1867588.840000000083819,2040227.839999999618158,2062222.400000000139698,9974894.400000000372529
FS( 89 ),2117185.299999999813735,1894904.959999999962747,1877813.639999999897555,2045939.199999999720603,2063831.600000000093132,9999674.699999999254942
FS( 90 ),2143507.700000000186265,1908560.000000000000000,1907976.800000000046566,2029550.079999999841675,2085019.399999999906868,10074613.980000000447035
FS( 91 ),2146798.000000000000000,1884176.000000000000000,1906954.320000000065193,2026570.239999999757856,2093065.400000000372529,10057563.960000000894070
FS( 92 ),2147304.200000000186265,1860767.360000000102445,1880881.080000000074506,2015644.159999999683350,2069732.000000000232831,9974328.800000000745058
FS( 93 ),2129081.000000000000000,1859060.479999999981374,1864521.400000000139698,1999751.679999999701977,2051226.200000000186265,9903640.759999999776483
FS( 94 ),2160465.400000000372529,1886370.560000000055879,1890083.400000000139698,1994785.279999999795109,2055785.600000000325963,9987490.240000000223517
FS( 95 ),2186028.500000000000000,1865400.320000000065193,1903886.880000000121072,1984852.479999999981374,2070536.600000000093132,10010704.779999999329448
FS( 96 ),2186534.700000000186265,1901000.959999999962747,1872701.240000000223517,1992302.079999999841675,2056053.800000000046566,10008592.780000001192093
FS( 97 ),2192356.000000000000000,1903927.040000000037253,1896729.520000000251457,1998758.399999999674037,2084483.000000000000000,10076253.960000000894070
FS( 98 ),2195646.299999999813735,1920995.840000000083819,1914111.679999999934807,2002731.519999999785796,2101111.400000000372529,10134596.739999998360872
FS( 99 ),2220450.100000000558794,1930749.440000000176951,1938651.200000000186265,1999503.359999999636784,2112644.000000000000000,10201998.100000001490116
FS( 100 ),2262211.599999999627471,1943185.280000000027940,1958589.560000000288710,1988577.279999999795109,2121762.800000000279397,10274326.520000001415610
FS( 101 ),2256137.200000000186265,1942941.440000000176951,1949898.480000000214204,1989073.919999999692664,2107548.200000000186265,10245599.240000002086163
FS( 102 ),2297392.500000000000000,1948305.920000000158325,1952454.679999999934807,1996523.519999999785796,2128736.000000000000000,10323412.619999999180436
FS( 103 ),2288787.100000000558794,1956352.640000000130385,1966258.160000000149012,2006208.000000000000000,2135709.200000000186265,10353315.100000001490116
FS( 104 ),2273094.900000000372529,1971226.880000000121072,1961145.760000000009313,1995530.239999999757856,2131418.000000000000000,10332415.779999999329448
FS( 105 ),2305238.599999999627471,1967081.600000000093132,1931493.840000000083819,1984852.479999999981374,2142414.200000000186265,10331080.719999998807907
FS( 106 ),2331561.000000000000000,1963911.680000000167638,1946319.800000000046566,1983114.239999999757856,2159310.800000000279397,10384217.519999999552965
FS( 107 ),2340672.600000000558794,1960010.239999999990687,1939673.679999999934807,1989322.239999999757856,2140268.600000000093132,10369947.359999999403954
FS( 108 ),2334092.000000000000000,1966350.080000000074506,1948876.000000000000000,1987335.679999999701977,2143755.200000000186265,10380408.960000000894070
FS( 109 ),2371550.799999999813735,1965618.560000000055879,1960123.280000000260770,1988825.599999999860302,2139195.800000000279397,10425314.039999999105930
FS( 110 ),2385471.299999999813735,1968788.479999999981374,1950920.959999999962747,1990315.519999999785796,2140536.800000000279397,10436033.059999998658895
FS( 111 ),2375600.400000000372529,1946111.360000000102445,1920757.800000000046566,1988080.639999999897555,2150192.000000000000000,10380742.199999999254942
FS( 112 ),2335863.700000000186265,1912461.440000000176951,1911555.480000000214204,1980631.039999999804422,2130613.399999999906868,10271125.060000000521541
FS( 113 ),2310300.599999999627471,1903683.199999999953434,1907465.560000000288710,1977651.199999999720603,2123640.200000000186265,10222740.760000001639128
FS( 114 ),2333585.799999999813735,1923921.920000000158325,1905931.840000000083819,1978892.799999999580905,2091992.600000000093132,10234324.959999999031425
FS( 115 ),2330548.599999999627471,1951232.000000000000000,1919735.320000000065193,1976161.279999999795109,2096552.000000000232831,10274229.199999999254942
FS( 116 ),2333079.600000000558794,1968056.959999999962747,1947853.520000000251457,1981376.000000000000000,2124444.799999999813735,10354810.880000000819564
FS( 117 ),2324980.400000000372529,1961473.280000000027940,1933538.800000000046566,1992550.399999999674037,2159310.800000000279397,10371853.679999999701977
FS( 118 ),2300935.900000000372529,1954889.600000000093132,1919735.320000000065193,1984852.479999999981374,2183448.799999999813735,10343862.100000001490116
FS( 119 ),2298911.099999999627471,1966350.080000000074506,1928937.639999999897555,1974671.359999999636784,2185594.399999999906868,10354464.579999998211861
FS( 120 ),2284990.599999999627471,1961229.440000000176951,1916667.880000000121072,1962007.039999999804422,2192299.399999999906868,10317194.359999999403954
FS( 121 ),2287015.400000000372529,1963667.840000000083819,1955010.880000000121072,1969704.959999999497086,2208391.400000000372529,10383790.480000000447035
FS( 122 ),2300682.799999999813735,1969032.320000000065193,1964724.440000000176951,1952322.559999999823049,2207050.400000000372529,10393812.519999999552965
FS( 123 ),2328017.600000000558794,1978298.239999999990687,1985685.280000000260770,1962255.359999999636784,2199272.600000000093132,10453529.080000000074506
FS( 124 ),2352062.100000000558794,1974152.959999999962747,1982617.840000000083819,1951577.599999999860302,2192567.600000000093132,10452978.099999999627471
FS( 125 ),2366995.000000000000000,1995123.199999999953434,1993865.120000000111759,1968711.679999999701977,2196322.399999999906868,10521017.400000000372529
FS( 126 ),2365982.600000000558794,1999024.640000000130385,1988752.719999999972060,1975664.639999999897555,2212414.399999999906868,10541839.000000000000000
FS( 127 ),2379903.099999999627471,2000731.520000000018626,2005623.639999999897555,1986094.079999999841675,2235479.600000000093132,10607831.939999999478459
FS( 128 ),2429004.500000000000000,1985369.600000000093132,2010736.040000000037253,1991308.799999999580905,2205173.000000000000000,10621591.939999999478459
FS( 129 ),2413312.299999999813735,1969276.160000000149012,1985685.280000000260770,2000496.639999999897555,2197395.200000000186265,10566165.580000000074506
FS( 130 ),2414324.700000000186265,1968544.640000000130385,2011758.520000000251457,2028060.159999999683350,2219119.399999999906868,10641807.419999999925494
FS( 131 ),2405466.200000000186265,1936113.920000000158325,1981084.120000000111759,2026570.239999999757856,2201418.200000000186265,10550652.679999999701977
FS( 132 ),2410022.000000000000000,1941234.560000000055879,1975971.719999999972060,2015395.839999999618158,2222606.000000000000000,10565230.120000001043081
FS( 133 ),2441153.299999999813735,1937576.959999999962747,1992842.639999999897555,2019368.959999999497086,2260154.000000000000000,10651095.859999999403954
FS( 134 ),2412553.000000000000000,1947330.560000000055879,1994887.600000000325963,2017879.039999999804422,2250230.600000000093132,10622880.800000000745058
FS( 135 ),2398885.599999999627471,1942453.760000000009313,1966258.160000000149012,2009932.799999999580905,2246475.800000000279397,10564006.119999999180436
FS( 136 ),2356111.700000000186265,1939771.520000000018626,1956544.600000000325963,1996523.519999999785796,2282682.800000000279397,10531634.140000000596046
FS( 137 ),2390027.100000000558794,1952695.040000000037253,1981595.360000000102445,2000248.319999999599531,2293679.000000000000000,10618244.820000000298023
FS( 138 ),2377625.200000000186265,1943672.959999999962747,1963701.959999999962747,1993543.679999999701977,2281341.800000000279397,10559885.599999999627471
FS( 139 ),2397367.000000000000000,1963911.680000000167638,1969325.600000000325963,1989073.919999999692664,2307893.600000000093132,10627571.800000000745058
FS( 140 ),2459882.700000000186265,1975616.000000000000000,1978016.679999999934807,1986342.399999999674037,2304943.399999999906868,10704801.179999999701977
FS( 141 ),2455833.099999999627471,1980005.120000000111759,2009202.320000000065193,1993047.039999999804422,2297970.200000000186265,10736057.780000001192093
FS( 142 ),2472031.500000000000000,1975859.840000000083819,1986707.760000000009313,1975664.639999999897555,2271150.200000000186265,10681413.940000001341105
FS( 143 ),2506200.000000000000000,1976835.199999999953434,2004089.920000000158325,1968215.039999999804422,2299847.600000000093132,10755187.759999999776483
FS( 144 ),2490001.599999999627471,1974640.640000000130385,1996421.320000000065193,1953067.519999999785796,2260154.000000000000000,10674285.080000000074506
FS( 145 ),2484180.299999999813735,1993660.160000000149012,2035275.560000000288710,1940899.839999999618158,2224751.600000000093132,10678767.459999999031425
FS( 146 ),2419639.799999999813735,1971470.719999999972060,1971881.800000000046566,1920040.959999999497086,2173793.600000000093132,10456826.879999998956919
FS( 147 ),2433054.099999999627471,1944648.320000000065193,1962679.480000000214204,1977899.519999999785796,2185594.399999999906868,10503875.820000000298023
FS( 148 ),2419386.700000000186265,1951475.840000000083819,1972393.040000000037253,1967221.759999999776483,2206514.000000000000000,10516991.339999999850988
FS( 149 ),2407491.000000000000000,1951475.840000000083819,1966258.160000000149012,1971939.839999999618158,2172184.399999999906868,10469349.240000000223517
FS( 150 ),2403441.399999999441206,1963424.000000000000000,1971881.800000000046566,2013657.599999999860302,2185862.600000000093132,10538267.399999998509884
FS( 151 ),2391292.600000000558794,1962204.800000000046566,1951432.200000000186265,1990067.199999999720603,2125785.800000000279397,10420782.600000001490116
FS( 152 ),2397873.200000000186265,2009997.440000000176951,1969836.840000000083819,2010181.119999999878928,2148851.000000000000000,10536739.600000001490116
FS( 153 ),2429510.700000000186265,2020970.239999999990687,1969836.840000000083819,2023342.079999999841675,2142146.000000000000000,10585805.859999999403954
FS( 154 ),2429004.500000000000000,2021945.600000000093132,1961657.000000000000000,2021852.159999999683350,2151533.000000000000000,10585992.259999999776483
FS( 155 ),2461148.200000000186265,2026822.400000000139698,1974949.240000000223517,2023342.079999999841675,2186130.800000000279397,10672392.720000000670552
FS( 156 ),2467728.799999999813735,2044866.560000000055879,1975971.719999999972060,2035013.119999999878928,2194445.000000000000000,10718025.199999999254942
FS( 157 ),2479877.600000000558794,2040721.280000000027940,1971881.800000000046566,2030791.679999999701977,2185058.000000000000000,10708330.359999999403954
FS( 158 ),2509743.400000000372529,2038282.880000000121072,2008179.840000000083819,2047180.799999999580905,2208391.400000000372529,10811778.320000000298023
FS( 159 ),2544418.099999999627471,2151424.640000000596046,2007157.360000000102445,2053388.799999999580905,2238698.000000000000000,10995086.900000000372529
FS( 160 ),2545430.500000000000000,2212872.320000000298023,2017382.160000000149012,2056368.639999999897555,2237625.200000000186265,11069678.820000000298023
FS( 161 ),2545683.599999999627471,2222625.919999999925494,2017893.400000000139698,2068039.679999999701977,2246744.000000000000000,11100986.599999999627471
FS( 162 ),2564413.000000000000000,2219699.839999999850988,2027095.719999999972060,2070771.199999999720603,2247012.200000000186265,11128991.960000000894070
FS( 163 ),2569981.200000000186265,2223845.120000000111759,2045500.360000000102445,2074496.000000000000000,2259349.399999999906868,11173172.080000000074506
FS( 164 ),2553529.700000000186265,2234330.240000000223517,2031696.880000000121072,2070522.879999999655411,2282951.000000000000000,11173030.699999999254942
FS( 165 ),2584914.099999999627471,2240182.400000000372529,2037831.760000000009313,2068784.639999999897555,2316744.200000000186265,11248457.100000001490116
FS( 166 ),2587951.299999999813735,2255788.160000000149012,2014825.959999999962747,2061831.679999999701977,2315671.400000000372529,11236068.500000000000000
FS( 167 ),2594278.799999999813735,2279928.320000000298023,2008179.840000000083819,2063818.239999999757856,2324790.200000000186265,11270995.399999998509884
FS( 168 ),2614526.799999999813735,2222625.919999999925494,2026584.480000000214204,2060590.079999999841675,2317012.399999999906868,11241339.679999999701977
FS( 169 ),2504175.200000000186265,2170200.320000000298023,2014825.959999999962747,2058603.519999999785796,2327740.400000000372529,11075545.400000000372529
FS( 170 ),2483421.000000000000000,2192877.440000000409782,2042944.160000000149012,2078469.119999999878928,2334981.800000000279397,11132693.520000001415610
FS( 171 ),2504934.500000000000000,2233842.559999999590218,2097135.600000000325963,2080207.359999999636784,2353487.600000000093132,11269607.619999999180436
FS( 172 ),2489495.400000000372529,2214579.200000000186265,2106337.920000000391155,2069032.959999999497086,2357778.799999999813735,11237224.280000001192093
FS( 173 ),2480130.700000000186265,2168493.440000000409782,2092023.200000000186265,2060838.399999999674037,2375211.800000000279397,11176697.540000000968575
FS( 174 ),2556313.799999999813735,2176296.320000000298023,2108382.880000000353903,2076979.199999999720603,2340077.600000000093132,11258049.799999998882413
FS( 175 ),2567197.100000000558794,2175564.799999999813735,2091511.959999999962747,2073254.399999999674037,2335518.200000000186265,11243046.460000000894070
FS( 176 ),2573018.400000000372529,2166298.879999999888241,2092023.200000000186265,2067543.039999999804422,2311380.200000000186265,11210263.719999998807907
FS( 177 ),2572259.099999999627471,2179466.240000000223517,2086399.560000000288710,2082690.559999999823049,2307357.200000000186265,11228172.660000000149012
FS( 178 ),2552770.400000000372529,2201168.000000000000000,2075663.520000000251457,2087905.279999999795109,2337663.799999999813735,11255171.000000000000000
FS( 179 ),2570993.599999999627471,2224332.799999999813735,2083843.360000000102445,2089891.839999999618158,2333104.399999999906868,11302166.000000000000000
FS( 180 ),2576308.700000000186265,2245546.879999999888241,2095601.880000000121072,2090636.799999999580905,2350269.200000000186265,11358363.460000000894070
FS( 181 ),2555301.399999999441206,2251642.879999999888241,2091511.959999999962747,2097589.759999999776483,2354828.600000000093132,11350874.599999999627471
FS( 182 ),2557832.400000000372529,2240670.080000000074506,2062882.520000000251457,2106032.639999999664724,2354024.000000000000000,11321441.640000000596046
FS( 183 ),2597822.200000000186265,2230916.479999999515712,2048056.560000000288710,2096844.799999999580905,2322376.400000000372529,11296016.439999999478459
FS( 184 ),2575296.299999999813735,2268224.000000000000000,2066461.200000000186265,2116710.399999999441206,2365824.799999999813735,11392516.699999999254942
FS( 185 ),2477093.500000000000000,2240913.919999999925494,2038854.240000000223517,2094113.279999999795109,2311380.200000000186265,11162355.140000000596046
FS( 186 ),2549986.299999999813735,2263834.879999999888241,2287828.120000000111759,2100321.279999999795109,2322644.600000000093132,11524615.179999999701977
FS( 187 ),2533787.900000000372529,2264810.240000000223517,2278114.560000000055879,2096844.799999999580905,2320230.800000000279397,11493788.300000000745058
FS( 188 ),2549986.299999999813735,2237012.479999999515712,2280159.520000000018626,2079462.399999999674037,2313257.600000000093132,11459878.299999998882413
FS( 189 ),2510249.600000000558794,2219456.000000000000000,2241816.520000000018626,2064563.199999999720603,2276514.200000000186265,11312599.519999999552965
FS( 190 ),2528472.799999999813735,2249204.479999999515712,2282715.720000000204891,2062328.319999999599531,2277050.600000000093132,11399771.919999999925494
FS( 191 ),2521386.000000000000000,2280903.680000000633299,2308277.720000000204891,2080704.000000000000000,2307089.000000000000000,11498360.400000000372529
FS( 192 ),2521386.000000000000000,2274076.160000000149012,2280670.760000000242144,2075240.959999999497086,2282146.400000000372529,11433520.279999999329448
