代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14085785.660000000149012
真實報酬,4085785.660000000149012

夏普值報酬,0.399878566000000
夏普值風險,0.103563415663971
夏普值,3.861195224551808

二次趨勢線,5.633827115545239 x^2 + 14869.421064386628132 x + 10000000.000000000000000
二次平均預期報酬,16294.779324619570616
風險,276286.551610235881526
二次平均趨勢值,0.058977822951032
一次趨勢線,15936.322890858031315 x + 10000000.000000000000000
一次預期報酬,15936.322890858031315
一次風險,279195.521172134554945
一次趨勢值,0.057079436030898
找到最佳解世代,1284
找到最佳解實驗#,2
找到最佳解次數,6

stock[index](rank)
投資組合檔數,2
MSFT[18](2),V[25](1),
FS( 41 ),5087489.029999999329448,5149695.360000000335276,10237184.390000000596046
FS( 42 ),5088866.810000000521541,5183897.279999999329448,10272764.089999999850988
FS( 43 ),5131577.989999999292195,5183897.279999999329448,10315475.269999999552965
FS( 44 ),5139844.669999999925494,5226525.759999999776483,10366370.429999999701977
FS( 45 ),5115733.520000000484288,5233960.959999999962747,10349694.480000000447035
FS( 46 ),5145355.790000000037253,5220081.919999999925494,10365437.710000000894070
FS( 47 ),5233533.709999999962747,5266180.159999999217689,10499713.869999999180436
FS( 48 ),5235600.379999999888241,5290468.480000000447035,10526068.859999999403954
FS( 49 ),5255578.190000000409782,5304347.520000000484288,10559925.710000000894070
FS( 50 ),5255578.190000000409782,5319217.919999999925494,10574796.109999999403954
FS( 51 ),5264533.759999999776483,5375229.759999999776483,10639763.519999999552965
FS( 52 ),5312756.060000000521541,5358872.319999999366701,10671628.379999998956919
FS( 53 ),5338244.989999999292195,5386134.719999999739230,10724379.709999999031425
FS( 54 ),5349267.230000000447035,5368290.239999999292195,10717557.469999998807907
FS( 55 ),5345133.889999999664724,5330618.560000000521541,10675752.449999999254942
FS( 56 ),5346511.669999999925494,5343506.239999999292195,10690017.910000000149012
FS( 57 ),5367178.370000000111759,5304843.199999999254942,10672021.570000000298023
FS( 58 ),5429178.469999999739230,5331114.239999999292195,10760292.709999999031425
FS( 59 ),5430556.250000000000000,5330122.879999999888241,10760679.129999998956919
FS( 60 ),5432622.919999999925494,5373742.719999999739230,10806365.640000000596046
FS( 61 ),5416778.449999999254942,5427276.159999999217689,10844054.609999999403954
FS( 62 ),5425734.020000000484288,5442642.239999999292195,10868376.259999999776483
FS( 63 ),5773623.469999999739230,5438181.119999999180436,11211804.589999999850988
FS( 64 ),5779134.589999999850988,5454538.560000000521541,11233673.150000000372529
FS( 65 ),5730223.400000000372529,5451564.480000000447035,11181787.880000000819564
FS( 66 ),5730223.400000000372529,5505593.599999999627471,11235817.000000000000000
FS( 67 ),5790156.830000000074506,5501132.480000000447035,11291289.310000000521541
FS( 68 ),5796356.839999999850988,5519968.319999999366701,11316325.160000000149012
FS( 69 ),5819090.209999999962747,5547726.400000000372529,11366816.609999999403954
FS( 70 ),5805312.409999999217689,5556152.959999999962747,11361465.369999999180436
FS( 71 ),5825290.219999999739230,5574988.799999999813735,11400279.019999999552965
FS( 72 ),5792912.389999999664724,5558631.360000000335276,11351543.750000000000000
FS( 73 ),5777756.810000000521541,5545743.679999999701977,11323500.490000000223517
FS( 74 ),5781890.150000000372529,5521951.040000000037253,11303841.190000001341105
FS( 75 ),5790156.830000000074506,5550700.480000000447035,11340857.310000000521541
FS( 76 ),5716445.600000000558794,5464947.839999999850988,11181393.440000001341105
FS( 77 ),5731601.179999999701977,5503115.199999999254942,11234716.379999998956919
FS( 78 ),5676489.980000000447035,5443633.599999999627471,11120123.580000000074506
FS( 79 ),5685445.549999999813735,5450077.440000000409782,11135522.990000000223517
FS( 80 ),5767423.459999999962747,5524429.440000000409782,11291852.900000000372529
FS( 81 ),5725401.169999999925494,5493201.599999999627471,11218602.769999999552965
FS( 82 ),5735734.520000000484288,5550204.799999999813735,11285939.320000000298023
FS( 83 ),5777756.810000000521541,5570527.679999999701977,11348284.490000000223517
FS( 84 ),5847334.699999999254942,5619104.319999999366701,11466439.019999999552965
FS( 85 ),5741245.639999999664724,5445616.319999999366701,11186861.959999999031425
FS( 86 ),5798423.509999999776483,5580936.959999999962747,11379360.469999998807907
FS( 87 ),5804623.520000000484288,5488740.480000000447035,11293364.000000000000000
FS( 88 ),5585556.500000000000000,5325166.080000000074506,10910722.580000000074506
FS( 89 ),5620689.889999999664724,5382169.279999999329448,11002859.169999998062849
FS( 90 ),5702667.799999999813735,5439668.159999999217689,11142335.959999999031425
FS( 91 ),5682689.989999999292195,5521951.040000000037253,11204641.029999999329448
FS( 92 ),5797734.620000000111759,5581432.639999999664724,11379167.259999999776483
FS( 93 ),5871445.850000000558794,5570032.000000000000000,11441477.850000001490116
FS( 94 ),5895557.000000000000000,5624061.119999999180436,11519618.119999999180436
FS( 95 ),5879712.529999999329448,5616625.919999999925494,11496338.449999999254942
FS( 96 ),5834245.790000000037253,5597294.400000000372529,11431540.190000001341105
FS( 97 ),5983046.029999999329448,5641905.599999999627471,11624951.629999998956919
FS( 98 ),5950668.199999999254942,5628522.239999999292195,11579190.439999997615814
FS( 99 ),5912779.250000000000000,5558631.360000000335276,11471410.609999999403954
FS( 100 ),5891423.659999999217689,5557640.000000000000000,11449063.660000000149012
FS( 101 ),5890045.879999999888241,5572014.719999999739230,11462060.599999999627471
FS( 102 ),5890734.770000000484288,5585893.759999999776483,11476628.530000001192093
FS( 103 ),5883156.980000000447035,5600764.159999999217689,11483921.140000000596046
FS( 104 ),5904512.569999999366701,5651819.199999999254942,11556331.769999999552965
FS( 105 ),5905201.459999999962747,5668176.639999999664724,11573378.099999999627471
FS( 106 ),5892801.440000000409782,5651819.199999999254942,11544620.640000000596046
FS( 107 ),5921045.929999999701977,5676107.520000000484288,11597153.449999999254942
FS( 108 ),5948601.529999999329448,5732615.040000000037253,11681216.570000000298023
FS( 109 ),6000957.169999999925494,5753929.279999999329448,11754886.449999999254942
FS( 110 ),6075357.290000000037253,5891728.319999999366701,11967085.609999999403954
FS( 111 ),6081557.299999999813735,5915520.959999999962747,11997078.259999999776483
FS( 112 ),6077423.959999999962747,5904120.319999999366701,11981544.279999999329448
FS( 113 ),6049868.359999999403954,5897676.480000000447035,11947544.839999999850988
FS( 114 ),6067779.500000000000000,5940304.959999999962747,12008084.460000000894070
FS( 115 ),6172490.779999999329448,5952696.959999999962747,12125187.739999998360872
FS( 116 ),6086379.529999999329448,5967567.360000000335276,12053946.890000000596046
FS( 117 ),6209690.839999999850988,6046380.480000000447035,12256071.320000000298023
FS( 118 ),6206935.279999999329448,6102392.319999999366701,12309327.599999997764826
FS( 119 ),6200046.379999999888241,6082069.440000000409782,12282115.820000000298023
FS( 120 ),6310957.669999999925494,6162865.279999999329448,12473822.949999999254942
FS( 121 ),6330935.480000000447035,6178727.040000000037253,12509662.519999999552965
FS( 122 ),6325424.359999999403954,6173770.239999999292195,12499194.599999997764826
FS( 123 ),6360557.750000000000000,6206980.799999999813735,12567538.550000000745058
FS( 124 ),6479735.719999999739230,6261505.599999999627471,12741241.320000000298023
FS( 125 ),6470091.259999999776483,6188144.959999999962747,12658236.219999998807907
FS( 126 ),6388802.239999999292195,6124202.239999999292195,12513004.479999998584390
FS( 127 ),6545180.270000000484288,6157908.480000000447035,12703088.750000000000000
FS( 128 ),6493513.520000000484288,6231764.799999999813735,12725278.320000000298023
FS( 129 ),6322668.799999999813735,5993342.719999999739230,12316011.519999999552965
FS( 130 ),6062268.379999999888241,5763347.199999999254942,11825615.579999998211861
FS( 131 ),6291668.750000000000000,5946748.799999999813735,12238417.550000000745058
FS( 132 ),6173179.669999999925494,5930887.040000000037253,12104066.710000000894070
FS( 133 ),5856290.270000000484288,5643888.319999999366701,11500178.589999999850988
FS( 134 ),6074668.400000000372529,5765825.599999999627471,11840494.000000000000000
FS( 135 ),6140112.949999999254942,5872396.799999999813735,12012509.750000000000000
FS( 136 ),6188335.250000000000000,5866448.639999999664724,12054783.890000000596046
FS( 137 ),6255846.469999999739230,5989377.279999999329448,12245223.750000000000000
FS( 138 ),6383291.120000000111759,6061250.879999999888241,12444542.000000000000000
FS( 139 ),6337824.379999999888241,6039936.639999999664724,12377761.019999999552965
FS( 140 ),6387424.459999999962747,6047867.520000000484288,12435291.980000000447035
FS( 141 ),6302690.989999999292195,5969550.080000000074506,12272241.070000000298023
FS( 142 ),6319224.350000000558794,5967071.679999999701977,12286296.030000001192093
FS( 143 ),6479735.719999999739230,6093470.080000000074506,12573205.800000000745058
FS( 144 ),6573424.759999999776483,6175752.959999999962747,12749177.719999998807907
FS( 145 ),6489380.179999999701977,6115280.000000000000000,12604660.179999999701977
FS( 146 ),6459757.909999999217689,6093965.759999999776483,12553723.669999998062849
FS( 147 ),6396380.029999999329448,5968063.040000000037253,12364443.070000000298023
FS( 148 ),6410157.830000000074506,5986403.199999999254942,12396561.029999999329448
FS( 149 ),6450802.339999999850988,6041423.679999999701977,12492226.019999999552965
FS( 150 ),6428757.859999999403954,6000777.919999999925494,12429535.779999999329448
FS( 151 ),6465957.919999999925494,6039936.639999999664724,12505894.559999998658895
FS( 152 ),6505224.650000000372529,6058276.799999999813735,12563501.449999999254942
FS( 153 ),6650580.440000000409782,6171787.520000000484288,12822367.960000000894070
FS( 154 ),6666424.909999999217689,6158404.159999999217689,12824829.069999998435378
FS( 155 ),6503846.870000000111759,6106853.440000000409782,12610700.310000000521541
FS( 156 ),6465269.029999999329448,6076121.279999999329448,12541390.309999998658895
FS( 157 ),6488002.400000000372529,6117262.719999999739230,12605265.120000001043081
FS( 158 ),6516935.779999999329448,6172778.879999999888241,12689714.660000000149012
FS( 159 ),6399135.589999999850988,6107349.119999999180436,12506484.709999999031425
FS( 160 ),6415668.949999999254942,6191614.719999999739230,12607283.669999998062849
FS( 161 ),6370891.100000000558794,6107844.799999999813735,12478735.900000000372529
FS( 162 ),6185579.690000000409782,5947740.159999999217689,12133319.849999999627471
FS( 163 ),6005779.400000000372529,5799531.839999999850988,11805311.240000000223517
FS( 164 ),6460446.799999999813735,5979959.360000000335276,12440406.160000000149012
FS( 165 ),6163535.209999999962747,5819359.040000000037253,11982894.250000000000000
FS( 166 ),6158024.089999999850988,5799036.159999999217689,11957060.250000000000000
FS( 167 ),6287535.409999999217689,5929400.000000000000000,12216935.410000000149012
FS( 168 ),6098090.659999999217689,5868431.360000000335276,11966522.019999999552965
FS( 169 ),6180068.569999999366701,5908581.440000000409782,12088650.009999999776483
FS( 170 ),6360557.750000000000000,5938817.919999999925494,12299375.669999999925494
FS( 171 ),6364002.199999999254942,6007221.759999999776483,12371223.959999999031425
FS( 172 ),6215890.850000000558794,5834229.440000000409782,12050120.290000000968575
FS( 173 ),6253090.909999999217689,5888258.560000000521541,12141349.469999998807907
FS( 174 ),6398446.699999999254942,5983924.799999999813735,12382371.500000000000000
FS( 175 ),6328179.919999999925494,5937330.879999999888241,12265510.800000000745058
FS( 176 ),6446669.000000000000000,6001273.599999999627471,12447942.599999999627471
FS( 177 ),6412224.500000000000000,5985411.839999999850988,12397636.339999999850988
FS( 178 ),6487313.509999999776483,6041423.679999999701977,12528737.189999999478459
FS( 179 ),6618202.609999999403954,6136594.239999999292195,12754796.849999997764826
FS( 180 ),6643691.540000000037253,6136594.239999999292195,12780285.779999999329448
FS( 181 ),6620958.169999999925494,6144525.119999999180436,12765483.289999999105930
FS( 182 ),6544491.379999999888241,6156421.440000000409782,12700912.820000000298023
FS( 183 ),6568602.529999999329448,6169309.119999999180436,12737911.649999998509884
FS( 184 ),6414980.060000000521541,6011187.199999999254942,12426167.259999999776483
FS( 185 ),6359179.969999999739230,6008213.119999999180436,12367393.089999999850988
FS( 186 ),6493513.520000000484288,6299177.279999999329448,12792690.800000000745058
FS( 187 ),6600980.359999999403954,6246139.520000000484288,12847119.879999998956919
FS( 188 ),6442535.659999999217689,6289263.679999999701977,12731799.339999999850988
FS( 189 ),6544491.379999999888241,6320491.520000000484288,12864982.900000000372529
FS( 190 ),6441846.770000000484288,6264479.679999999701977,12706326.449999999254942
FS( 191 ),6480424.609999999403954,6304134.080000000074506,12784558.689999999478459
FS( 192 ),6555513.620000000111759,6352710.719999999739230,12908224.339999999850988
FS( 193 ),6628535.959999999962747,6407235.519999999552965,13035771.480000000447035
FS( 194 ),6600291.469999999739230,6438959.040000000037253,13039250.509999999776483
FS( 195 ),6678136.040000000037253,6485552.959999999962747,13163689.000000000000000
FS( 196 ),6744958.370000000111759,6485552.959999999962747,13230511.330000000074506
FS( 197 ),6730491.679999999701977,6534129.599999999627471,13264621.279999999329448
FS( 198 ),6753225.049999999813735,6503893.120000000111759,13257118.169999999925494
FS( 199 ),6704313.859999999403954,6498440.639999999664724,13202754.500000000000000
FS( 200 ),6692602.730000000447035,6488031.359999999403954,13180634.089999999850988
FS( 201 ),6625780.400000000372529,6440446.080000000074506,13066226.480000000447035
FS( 202 ),6638180.419999999925494,6440446.080000000074506,13078626.500000000000000
FS( 203 ),6723602.779999999329448,6476630.719999999739230,13200233.500000000000000
FS( 204 ),6716713.879999999888241,6479109.120000000111759,13195823.000000000000000
FS( 205 ),6796625.120000000111759,6537103.679999999701977,13333728.800000000745058
FS( 206 ),6772513.969999999739230,6537599.359999999403954,13310113.329999998211861
FS( 207 ),6775958.419999999925494,6507362.879999999888241,13283321.300000000745058
FS( 208 ),6751847.270000000484288,6428549.759999999776483,13180397.030000001192093
FS( 209 ),6816602.929999999701977,6475639.359999999403954,13292242.289999999105930
FS( 210 ),6809025.139999999664724,6479604.799999999813735,13288629.939999999478459
FS( 211 ),6943358.690000000409782,6486048.639999999664724,13429407.330000000074506
FS( 212 ),7003981.009999999776483,6596089.599999999627471,13600070.609999999403954
FS( 213 ),7039803.290000000037253,6620377.919999999925494,13660181.210000000894070
FS( 214 ),7060469.989999999292195,6755202.879999999888241,13815672.869999999180436
FS( 215 ),6949558.699999999254942,6634256.959999999962747,13583815.660000000149012
FS( 216 ),7001225.449999999254942,6678868.160000000149012,13680093.609999999403954
FS( 217 ),6961269.830000000074506,6637726.719999999739230,13598996.550000000745058
FS( 218 ),6979180.969999999739230,6684816.320000000298023,13663997.289999999105930
FS( 219 ),6947492.029999999329448,6662015.040000000037253,13609507.070000000298023
FS( 220 ),6986758.759999999776483,6691755.839999999850988,13678514.599999999627471
FS( 221 ),6897891.949999999254942,6696712.639999999664724,13594604.589999999850988
FS( 222 ),6948180.919999999925494,6751237.439999999478459,13699418.359999999403954
FS( 223 ),6948180.919999999925494,6697208.320000000298023,13645389.240000000223517
FS( 224 ),7017758.810000000521541,6716539.839999999850988,13734298.650000000372529
FS( 225 ),6967469.839999999850988,6668458.879999999888241,13635928.719999998807907
FS( 226 ),6917180.870000000111759,6708113.280000000260770,13625294.150000000372529
FS( 227 ),6778025.089999999850988,6490014.080000000074506,13268039.169999999925494
FS( 228 ),6825558.500000000000000,6570314.240000000223517,13395872.740000000223517
FS( 229 ),6719469.440000000409782,6494475.200000000186265,13213944.640000000596046
FS( 230 ),6794558.449999999254942,6579732.160000000149012,13374290.609999999403954
FS( 231 ),6793180.669999999925494,6565357.439999999478459,13358538.109999999403954
FS( 232 ),6889625.270000000484288,6567835.839999999850988,13457461.109999999403954
FS( 233 ),6823491.830000000074506,6515789.439999999478459,13339281.269999999552965
FS( 234 ),6872403.020000000484288,6606994.559999999590218,13479397.580000000074506
FS( 235 ),6968847.620000000111759,6646648.959999999962747,13615496.580000000074506
FS( 236 ),7016381.029999999329448,6717531.200000000186265,13733912.230000000447035
FS( 237 ),7034981.060000000521541,6775525.759999999776483,13810506.820000000298023
FS( 238 ),7025336.600000000558794,6847895.040000000037253,13873231.640000000596046
FS( 239 ),7177581.290000000037253,6934639.040000000037253,14112220.330000000074506
FS( 240 ),7263003.650000000372529,6910846.399999999441206,14173850.050000000745058
FS( 241 ),7227181.370000000111759,6863261.120000000111759,14090442.490000000223517
FS( 242 ),7298825.929999999701977,6921751.359999999403954,14220577.289999999105930
FS( 243 ),7241648.060000000521541,6984207.040000000037253,14225855.100000001490116
FS( 244 ),7192047.980000000447035,6946039.679999999701977,14138087.660000000149012
FS( 245 ),7320870.409999999217689,6988668.160000000149012,14309538.570000000298023
FS( 246 ),7437981.709999999962747,6941082.879999999888241,14379064.589999999850988
FS( 247 ),7416626.120000000111759,6941082.879999999888241,14357709.000000000000000
FS( 248 ),7635004.250000000000000,7070455.359999999403954,14705459.609999999403954
FS( 249 ),7551648.560000000521541,7063515.839999999850988,14615164.400000000372529
FS( 250 ),7418003.900000000372529,6974789.120000000111759,14392793.019999999552965
FS( 251 ),7258870.310000000521541,6765116.479999999515712,14023986.789999999105930
FS( 252 ),7307781.500000000000000,6778004.160000000149012,14085785.660000000149012
