代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14365901.750000000000000
真實報酬,4365901.750000000000000

夏普值報酬,0.427890175000000
夏普值風險,0.121015851886411
夏普值,3.535819219796350

二次趨勢線,89.666366107255143 x^2 + -5096.987343970976326 x + 10000000.000000000000000
二次平均預期報酬,17498.936915057325677
風險,213856.365826754772570
二次平均趨勢值,0.081825653622269
一次趨勢線,11816.264114327505013 x + 10000000.000000000000000
一次預期報酬,11816.264114327505013
一次風險,669783.730071787023917
一次趨勢值,0.017641909744599
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),UNH[23](1),
FS( 34 ),4700612.750000000000000,4914398.000000000000000,9615010.750000000000000
FS( 35 ),4753661.000000000000000,4860572.500000000000000,9614233.500000000000000
FS( 36 ),4857928.250000000000000,4913101.000000000000000,9771029.250000000000000
FS( 37 ),4787807.000000000000000,4885215.500000000000000,9673022.500000000000000
FS( 38 ),4864025.750000000000000,4966926.500000000000000,9830952.250000000000000
FS( 39 ),4840245.500000000000000,4906616.000000000000000,9746861.500000000000000
FS( 40 ),4888415.750000000000000,4911804.000000000000000,9800219.750000000000000
FS( 41 ),4848782.000000000000000,4876785.000000000000000,9725567.000000000000000
FS( 42 ),4848172.250000000000000,4866409.000000000000000,9714581.250000000000000
FS( 43 ),4837196.750000000000000,4860572.500000000000000,9697769.250000000000000
FS( 44 ),4841465.000000000000000,4865760.500000000000000,9707225.500000000000000
FS( 45 ),4798172.750000000000000,4878730.500000000000000,9676903.250000000000000
FS( 46 ),4720734.500000000000000,4880676.000000000000000,9601410.500000000000000
FS( 47 ),4700003.000000000000000,5052528.500000000000000,9752531.500000000000000
FS( 48 ),4698173.750000000000000,4986381.500000000000000,9684555.250000000000000
FS( 49 ),4738417.250000000000000,4990272.500000000000000,9728689.750000000000000
FS( 50 ),4772563.250000000000000,5041504.000000000000000,9814067.250000000000000
FS( 51 ),4711588.250000000000000,5060959.000000000000000,9772547.250000000000000
FS( 52 ),4653052.250000000000000,5004539.500000000000000,9657591.750000000000000
FS( 53 ),4648784.000000000000000,4959793.000000000000000,9608577.000000000000000
FS( 54 ),4717076.000000000000000,4970817.500000000000000,9687893.500000000000000
FS( 55 ),4664637.500000000000000,5006485.000000000000000,9671122.500000000000000
FS( 56 ),4753661.000000000000000,4971466.000000000000000,9725127.000000000000000
FS( 57 ),4760978.000000000000000,5040207.000000000000000,9801185.000000000000000
FS( 58 ),4803660.500000000000000,5080414.000000000000000,9884074.500000000000000
FS( 59 ),4828050.500000000000000,5108299.500000000000000,9936350.000000000000000
FS( 60 ),4859147.750000000000000,5130348.500000000000000,9989496.250000000000000
FS( 61 ),4858538.000000000000000,5095978.000000000000000,9954516.000000000000000
FS( 62 ),4871952.500000000000000,5147209.500000000000000,10019162.000000000000000
FS( 63 ),4892074.250000000000000,5164070.500000000000000,10056144.750000000000000
FS( 64 ),4929269.000000000000000,5153694.500000000000000,10082963.500000000000000
FS( 65 ),4918903.250000000000000,5180283.000000000000000,10099186.250000000000000
FS( 66 ),4910976.500000000000000,5221138.500000000000000,10132115.000000000000000
FS( 67 ),4901220.500000000000000,5175095.000000000000000,10076315.500000000000000
FS( 68 ),4917074.000000000000000,5183525.500000000000000,10100599.500000000000000
FS( 69 ),4915244.750000000000000,5172501.000000000000000,10087745.750000000000000
FS( 70 ),4923171.500000000000000,5175743.500000000000000,10098915.000000000000000
FS( 71 ),4866464.750000000000000,5199089.500000000000000,10065554.250000000000000
FS( 72 ),4782319.250000000000000,5151749.000000000000000,9934068.250000000000000
FS( 73 ),4760368.250000000000000,5134888.000000000000000,9895256.250000000000000
FS( 74 ),4810977.500000000000000,5058365.000000000000000,9869342.500000000000000
FS( 75 ),4879269.500000000000000,5069389.500000000000000,9948659.000000000000000
FS( 76 ),4921342.250000000000000,5136833.500000000000000,10058175.750000000000000
FS( 77 ),4904879.000000000000000,5221138.500000000000000,10126017.500000000000000
FS( 78 ),4888415.750000000000000,5279503.500000000000000,10167919.250000000000000
FS( 79 ),4917074.000000000000000,5284691.500000000000000,10201765.500000000000000
FS( 80 ),4904269.250000000000000,5300904.000000000000000,10205173.250000000000000
FS( 81 ),4910366.750000000000000,5339814.000000000000000,10250180.750000000000000
FS( 82 ),4923781.250000000000000,5336571.500000000000000,10260352.750000000000000
FS( 83 ),4946951.750000000000000,5317765.000000000000000,10264716.750000000000000
FS( 84 ),4936586.000000000000000,5301552.500000000000000,10238138.500000000000000
FS( 85 ),4989024.500000000000000,5310631.500000000000000,10299656.000000000000000
FS( 86 ),4998780.500000000000000,5349541.500000000000000,10348322.000000000000000
FS( 87 ),5003048.750000000000000,5405312.500000000000000,10408361.250000000000000
FS( 88 ),4964634.500000000000000,5332032.000000000000000,10296666.500000000000000
FS( 89 ),4924391.000000000000000,5313225.500000000000000,10237616.500000000000000
FS( 90 ),4922561.750000000000000,5365754.000000000000000,10288315.750000000000000
FS( 91 ),4841465.000000000000000,5322953.000000000000000,10164418.000000000000000
FS( 92 ),4854269.750000000000000,5374184.500000000000000,10228454.250000000000000
FS( 93 ),4845123.500000000000000,5464974.500000000000000,10310098.000000000000000
FS( 94 ),4869513.500000000000000,5440980.000000000000000,10310493.500000000000000
FS( 95 ),4857318.500000000000000,5431901.000000000000000,10289219.500000000000000
FS( 96 ),4850611.250000000000000,5519448.500000000000000,10370059.750000000000000
FS( 97 ),4882928.000000000000000,5546037.000000000000000,10428965.000000000000000
FS( 98 ),4860367.250000000000000,5516206.000000000000000,10376573.250000000000000
FS( 99 ),4910976.500000000000000,5580407.500000000000000,10491384.000000000000000
FS( 100 ),4940244.500000000000000,5573274.000000000000000,10513518.500000000000000
FS( 101 ),4951220.000000000000000,5556413.000000000000000,10507633.000000000000000
FS( 102 ),4940854.250000000000000,5491563.000000000000000,10432417.250000000000000
FS( 103 ),4943293.250000000000000,5560952.500000000000000,10504245.750000000000000
FS( 104 ),4937805.500000000000000,5464974.500000000000000,10402780.000000000000000
FS( 105 ),4985366.000000000000000,5379372.500000000000000,10364738.500000000000000
FS( 106 ),4929878.750000000000000,5256157.500000000000000,10186036.250000000000000
FS( 107 ),4862806.250000000000000,5284691.500000000000000,10147497.750000000000000
FS( 108 ),4879879.250000000000000,5335274.500000000000000,10215153.750000000000000
FS( 109 ),4879879.250000000000000,5252266.500000000000000,10132145.750000000000000
FS( 110 ),4909757.000000000000000,5285340.000000000000000,10195097.000000000000000
FS( 111 ),4906708.250000000000000,5140076.000000000000000,10046784.250000000000000
FS( 112 ),5026219.250000000000000,5195847.000000000000000,10222066.250000000000000
FS( 113 ),5053658.000000000000000,5179634.500000000000000,10233292.500000000000000
FS( 114 ),5056097.000000000000000,5202332.000000000000000,10258429.000000000000000
FS( 115 ),5068292.000000000000000,5285988.500000000000000,10354280.500000000000000
FS( 116 ),5113413.500000000000000,5306092.000000000000000,10419505.500000000000000
FS( 117 ),5103047.750000000000000,5283394.500000000000000,10386442.250000000000000
FS( 118 ),5096950.250000000000000,5339814.000000000000000,10436764.250000000000000
FS( 119 ),5379874.250000000000000,5413094.500000000000000,10792968.750000000000000
FS( 120 ),5533531.250000000000000,5410500.500000000000000,10944031.750000000000000
FS( 121 ),5557921.250000000000000,5432549.500000000000000,10990470.750000000000000
FS( 122 ),5550604.250000000000000,5433198.000000000000000,10983802.250000000000000
FS( 123 ),5560970.000000000000000,5463029.000000000000000,11023999.000000000000000
FS( 124 ),5587189.250000000000000,5520097.000000000000000,11107286.250000000000000
FS( 125 ),5601823.250000000000000,5601808.000000000000000,11203631.250000000000000
FS( 126 ),5640847.250000000000000,5599214.000000000000000,11240061.250000000000000
FS( 127 ),5701212.500000000000000,5621263.000000000000000,11322475.500000000000000
FS( 128 ),5557921.250000000000000,5602456.500000000000000,11160377.750000000000000
FS( 129 ),5426825.000000000000000,5628396.500000000000000,11055221.500000000000000
FS( 130 ),5483531.750000000000000,5645906.000000000000000,11129437.750000000000000
FS( 131 ),5585969.750000000000000,5690652.500000000000000,11276622.250000000000000
FS( 132 ),5537799.500000000000000,5701028.500000000000000,11238828.000000000000000
FS( 133 ),5422556.750000000000000,5743181.000000000000000,11165737.750000000000000
FS( 134 ),5442068.750000000000000,5658227.500000000000000,11100296.250000000000000
FS( 135 ),5440239.500000000000000,5647203.000000000000000,11087442.500000000000000
FS( 136 ),5417069.000000000000000,5588838.000000000000000,11005907.000000000000000
FS( 137 ),5449995.500000000000000,5579110.500000000000000,11029106.000000000000000
FS( 138 ),5504263.250000000000000,5652391.000000000000000,11156654.250000000000000
FS( 139 ),5562189.500000000000000,5641366.500000000000000,11203556.000000000000000
FS( 140 ),5615237.750000000000000,5682870.500000000000000,11298108.250000000000000
FS( 141 ),5630481.500000000000000,5693895.000000000000000,11324376.500000000000000
FS( 142 ),5603042.750000000000000,5691949.500000000000000,11294992.250000000000000
FS( 143 ),5578652.750000000000000,5615426.500000000000000,11194079.250000000000000
FS( 144 ),5671944.500000000000000,5720483.500000000000000,11392428.000000000000000
FS( 145 ),5603652.500000000000000,5588838.000000000000000,11192490.500000000000000
FS( 146 ),5660969.000000000000000,5616075.000000000000000,11277044.000000000000000
FS( 147 ),5663408.000000000000000,5610238.500000000000000,11273646.500000000000000
FS( 148 ),5593896.500000000000000,5593377.500000000000000,11187274.000000000000000
FS( 149 ),5549994.500000000000000,5504533.000000000000000,11054527.500000000000000
FS( 150 ),5624384.000000000000000,5505830.000000000000000,11130214.000000000000000
FS( 151 ),5703651.500000000000000,5578462.000000000000000,11282113.500000000000000
FS( 152 ),5686578.500000000000000,5518151.500000000000000,11204730.000000000000000
FS( 153 ),5638408.250000000000000,5459786.500000000000000,11098194.750000000000000
FS( 154 ),5737187.750000000000000,5617372.000000000000000,11354559.750000000000000
FS( 155 ),5674993.250000000000000,5508424.000000000000000,11183417.250000000000000
FS( 156 ),5643286.250000000000000,5537606.500000000000000,11180892.750000000000000
FS( 157 ),5524385.000000000000000,5444222.500000000000000,10968607.500000000000000
FS( 158 ),5493897.500000000000000,5370942.000000000000000,10864839.500000000000000
FS( 159 ),5356703.750000000000000,5328141.000000000000000,10684844.750000000000000
FS( 160 ),5419508.000000000000000,5537606.500000000000000,10957114.500000000000000
FS( 161 ),5502434.000000000000000,5718538.000000000000000,11220972.000000000000000
FS( 162 ),5600603.750000000000000,5741884.000000000000000,11342487.750000000000000
FS( 163 ),5743895.000000000000000,5898172.500000000000000,11642067.500000000000000
FS( 164 ),5691456.500000000000000,5821649.500000000000000,11513106.000000000000000
FS( 165 ),5780480.000000000000000,5879366.000000000000000,11659846.000000000000000
FS( 166 ),5792065.250000000000000,5942919.000000000000000,11734984.250000000000000
FS( 167 ),5821333.250000000000000,5974695.500000000000000,11796028.750000000000000
FS( 168 ),5889625.250000000000000,6007769.000000000000000,11897394.250000000000000
FS( 169 ),5879259.500000000000000,6028521.000000000000000,11907780.500000000000000
FS( 170 ),5946332.000000000000000,6088183.000000000000000,12034515.000000000000000
FS( 171 ),5946332.000000000000000,6161463.500000000000000,12107795.500000000000000
FS( 172 ),5859137.750000000000000,6151736.000000000000000,12010873.750000000000000
FS( 173 ),5851211.000000000000000,6159518.000000000000000,12010729.000000000000000
FS( 174 ),5840235.500000000000000,6212695.000000000000000,12052930.500000000000000
FS( 175 ),5932307.750000000000000,6239283.500000000000000,12171591.250000000000000
FS( 176 ),5954258.750000000000000,6070673.500000000000000,12024932.250000000000000
FS( 177 ),5985356.000000000000000,6144602.500000000000000,12129958.500000000000000
FS( 178 ),5984136.500000000000000,6205561.500000000000000,12189698.000000000000000
FS( 179 ),6005477.750000000000000,6204913.000000000000000,12210390.750000000000000
FS( 180 ),6036575.000000000000000,6219180.000000000000000,12255755.000000000000000
FS( 181 ),5990234.000000000000000,6167948.500000000000000,12158182.500000000000000
FS( 182 ),5977429.250000000000000,6256144.500000000000000,12233573.750000000000000
FS( 183 ),5852430.500000000000000,6367686.500000000000000,12220117.000000000000000
FS( 184 ),5896332.500000000000000,6281436.000000000000000,12177768.500000000000000
FS( 185 ),5949380.750000000000000,6280787.500000000000000,12230168.250000000000000
FS( 186 ),5992673.000000000000000,6271708.500000000000000,12264381.500000000000000
FS( 187 ),5999990.000000000000000,6284030.000000000000000,12284020.000000000000000
FS( 188 ),5915234.750000000000000,6348880.000000000000000,12264114.750000000000000
FS( 189 ),5957307.500000000000000,6362498.500000000000000,12319806.000000000000000
FS( 190 ),6060965.000000000000000,6396220.500000000000000,12457185.500000000000000
FS( 191 ),6029258.000000000000000,6424106.000000000000000,12453364.000000000000000
FS( 192 ),5985356.000000000000000,6474040.500000000000000,12459396.500000000000000
FS( 193 ),6011575.250000000000000,6536945.000000000000000,12548520.250000000000000
FS( 194 ),6033526.250000000000000,6463664.500000000000000,12497190.750000000000000
FS( 195 ),6075599.000000000000000,6506465.500000000000000,12582064.500000000000000
FS( 196 ),6123769.250000000000000,6479877.000000000000000,12603646.250000000000000
FS( 197 ),6075599.000000000000000,6551212.000000000000000,12626811.000000000000000
FS( 198 ),6032916.500000000000000,6426051.500000000000000,12458968.000000000000000
FS( 199 ),6114013.250000000000000,6467555.500000000000000,12581568.750000000000000
FS( 200 ),6084135.500000000000000,6404651.000000000000000,12488786.500000000000000
FS( 201 ),6100598.750000000000000,6372874.500000000000000,12473473.250000000000000
FS( 202 ),5918283.500000000000000,6215937.500000000000000,12134221.000000000000000
FS( 203 ),6032916.500000000000000,6429294.000000000000000,12462210.500000000000000
FS( 204 ),6138403.250000000000000,6630329.000000000000000,12768732.250000000000000
FS( 205 ),6215231.750000000000000,6646541.500000000000000,12861773.250000000000000
FS( 206 ),6310962.500000000000000,6682209.000000000000000,12993171.500000000000000
FS( 207 ),6326816.000000000000000,6669887.500000000000000,12996703.500000000000000
FS( 208 ),6314621.000000000000000,6658863.000000000000000,12973484.000000000000000
FS( 209 ),6326206.250000000000000,6650432.500000000000000,12976638.750000000000000
FS( 210 ),6373766.750000000000000,6636165.500000000000000,13009932.250000000000000
FS( 211 ),6357913.250000000000000,6669887.500000000000000,13027800.750000000000000
FS( 212 ),6400595.750000000000000,6555751.500000000000000,12956347.250000000000000
FS( 213 ),6306694.250000000000000,6535648.000000000000000,12842342.250000000000000
FS( 214 ),6174378.500000000000000,6427997.000000000000000,12602375.500000000000000
FS( 215 ),6155476.250000000000000,6415027.000000000000000,12570503.250000000000000
FS( 216 ),6366449.750000000000000,6480525.500000000000000,12846975.250000000000000
FS( 217 ),6507302.000000000000000,6789860.000000000000000,13297162.000000000000000
FS( 218 ),6395717.750000000000000,6726307.000000000000000,13122024.750000000000000
FS( 219 ),6367059.500000000000000,6650432.500000000000000,13017492.000000000000000
FS( 220 ),6324986.750000000000000,6684154.500000000000000,13009141.250000000000000
FS( 221 ),6258524.000000000000000,6701015.500000000000000,12959539.500000000000000
FS( 222 ),6159134.750000000000000,6774296.000000000000000,12933430.750000000000000
FS( 223 ),6348767.000000000000000,6859249.500000000000000,13208016.500000000000000
FS( 224 ),6295718.750000000000000,6849522.000000000000000,13145240.750000000000000
FS( 225 ),6312791.750000000000000,7089467.000000000000000,13402258.750000000000000
FS( 226 ),6467668.250000000000000,7383237.500000000000000,13850905.750000000000000
FS( 227 ),6424985.750000000000000,7263265.000000000000000,13688250.750000000000000
FS( 228 ),6485351.000000000000000,7237973.500000000000000,13723324.500000000000000
FS( 229 ),6412181.000000000000000,7134213.500000000000000,13546394.500000000000000
FS( 230 ),6386571.500000000000000,7033696.000000000000000,13420267.500000000000000
FS( 231 ),6562179.500000000000000,7094006.500000000000000,13656186.000000000000000
FS( 232 ),6367059.500000000000000,6890377.500000000000000,13257437.000000000000000
FS( 233 ),6367669.250000000000000,6957821.500000000000000,13325490.750000000000000
FS( 234 ),6539009.000000000000000,6991543.500000000000000,13530552.500000000000000
FS( 235 ),6610349.750000000000000,6998677.000000000000000,13609026.750000000000000
FS( 236 ),6645715.250000000000000,7057042.000000000000000,13702757.250000000000000
FS( 237 ),6648764.000000000000000,6977925.000000000000000,13626689.000000000000000
FS( 238 ),6606081.500000000000000,6905941.500000000000000,13512023.000000000000000
FS( 239 ),6748153.250000000000000,7066769.500000000000000,13814922.750000000000000
FS( 240 ),6726202.250000000000000,7123837.500000000000000,13850039.750000000000000
FS( 241 ),6839006.000000000000000,7123189.000000000000000,13962195.000000000000000
FS( 242 ),6822542.750000000000000,7097249.000000000000000,13919791.750000000000000
FS( 243 ),6829250.000000000000000,7118001.000000000000000,13947251.000000000000000
FS( 244 ),6828640.250000000000000,7118649.500000000000000,13947289.750000000000000
FS( 245 ),6764616.500000000000000,7135510.500000000000000,13900127.000000000000000
FS( 246 ),6843884.000000000000000,7303472.000000000000000,14147356.000000000000000
FS( 247 ),6846323.000000000000000,7548605.000000000000000,14394928.000000000000000
FS( 248 ),7118881.250000000000000,7485700.500000000000000,14604581.750000000000000
FS( 249 ),7092052.250000000000000,7396207.500000000000000,14488259.750000000000000
FS( 250 ),7035345.500000000000000,7370916.000000000000000,14406261.500000000000000
FS( 251 ),6996931.250000000000000,7368970.500000000000000,14365901.750000000000000
