代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13545748.449999997392297
真實報酬,3545748.449999997392297

夏普值報酬,0.345874845000000
夏普值風險,0.096232676870659
夏普值,3.594151760579940

二次趨勢線,2.136317986895962 x^2 + 15535.068031312839594 x + 10000000.000000000000000
二次平均預期報酬,16073.420164010620283
風險,205280.589214359060861
二次平均趨勢值,0.078299756569903
一次趨勢線,15938.029418908659864 x + 10000000.000000000000000
一次預期報酬,15938.029418908659864
一次風險,205836.849211649270728
一次趨勢值,0.077430399269863
找到最佳解世代,1444
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),HD[9](1),INTC[11](6),KO[14](13),PG[21](8),UNH[23](3),
FS( 20 ),1753662.139999999897555,1820033.449999999953434,1704939.949999999953434,1707883.839999999850988,1705854.480000000214204,1816507.599999999860302,10508885.459999999031425
FS( 21 ),1765292.639999999897555,1839343.100000000093132,1712594.739999999990687,1716396.219999999972060,1727210.000000000000000,1840774.399999999906868,10601615.099999999627471
FS( 22 ),1769014.399999999906868,1840230.899999999906868,1704939.949999999953434,1718188.299999999813735,1713339.919999999925494,1837476.000000000000000,10583193.469999998807907
FS( 23 ),1763664.369999999646097,1829133.399999999906868,1713986.519999999785796,1723564.539999999804422,1718623.760000000009313,1829230.000000000000000,10578206.589999999850988
FS( 24 ),1762733.929999999934807,1832240.699999999953434,1714682.409999999916181,1727148.699999999720603,1725668.879999999888241,1823575.600000000325963,10586054.220000000670552
FS( 25 ),1764362.199999999720603,1824028.550000000046566,1728600.209999999962747,1731628.899999999906868,1728971.280000000027940,1834884.399999999906868,10612479.539999999105930
FS( 26 ),1781342.729999999748543,1804275.000000000000000,1720945.419999999925494,1738349.199999999720603,1738218.000000000000000,1832528.400000000139698,10615662.750000000000000
FS( 27 ),1783203.609999999869615,1788072.649999999906868,1723033.090000000083819,1723564.539999999804422,1744602.639999999897555,1828287.599999999860302,10590768.129999998956919
FS( 28 ),1763431.760000000009313,1749009.449999999953434,1709811.179999999934807,1701163.539999999804422,1743501.840000000083819,1814387.200000000186265,10481308.969999998807907
FS( 29 ),1743659.909999999683350,1761882.549999999813735,1704939.949999999953434,1710123.939999999944121,1738878.480000000214204,1783523.600000000093132,10443012.429999999701977
FS( 30 ),1750405.599999999860302,1766321.549999999813735,1718857.750000000000000,1714604.139999999897555,1757812.240000000223517,1808497.200000000186265,10516502.480000000447035
FS( 31 ),1765757.859999999869615,1771648.349999999860302,1727208.429999999934807,1720428.399999999906868,1756271.119999999878928,1837711.600000000093132,10579029.759999997913837
FS( 32 ),1765292.639999999897555,1770094.699999999953434,1741126.229999999981374,1708779.879999999888241,1734475.280000000027940,1883889.199999999953434,10603661.929999999701977
FS( 33 ),1756918.679999999934807,1777641.000000000000000,1769657.719999999972060,1722668.500000000000000,1724347.919999999925494,1920878.400000000139698,10672116.220000000670552
FS( 34 ),1770642.669999999925494,1784965.350000000093132,1751564.580000000074506,1722220.479999999748543,1714660.879999999888241,1916402.000000000232831,10660459.959999999031425
FS( 35 ),1791810.179999999934807,1768097.149999999906868,1748085.130000000121072,1720428.399999999906868,1745923.600000000093132,1914988.400000000139698,10689336.859999999403954
FS( 36 ),1811116.809999999823049,1763880.099999999860302,1771745.389999999897555,1730284.839999999850988,1757151.760000000009313,1910747.599999999860302,10744930.500000000000000
FS( 37 ),1793671.059999999823049,1750563.100000000093132,1766178.269999999785796,1729836.819999999832362,1750326.800000000046566,1921114.000000000232831,10711694.050000000745058
FS( 38 ),1785994.929999999934807,1746346.050000000046566,1761307.039999999804422,1739245.239999999757856,1753629.200000000186265,1908862.800000000046566,10695389.260000001639128
FS( 39 ),1783901.439999999711290,1747233.849999999860302,1782879.630000000121072,1745069.500000000000000,1756050.960000000195578,1922998.800000000279397,10738138.180000001564622
FS( 40 ),1783668.830000000074506,1756333.799999999813735,1796101.539999999804422,1732076.919999999692664,1774544.399999999906868,1931716.000000000000000,10774445.490000000223517
FS( 41 ),1799951.529999999795109,1761882.549999999813735,1808627.559999999823049,1720876.419999999692664,1768820.240000000223517,1928182.000000000232831,10788344.300000000745058
FS( 42 ),1802975.459999999962747,1774533.699999999953434,1801668.659999999916181,1717292.259999999776483,1764196.879999999888241,1922763.200000000186265,10783434.160000000149012
FS( 43 ),1790414.519999999785796,1762326.450000000186265,1837854.939999999944121,1705643.739999999757856,1763536.399999999906868,1937841.600000000093132,10797621.650000000372529
FS( 44 ),1767153.519999999785796,1747233.849999999860302,1820457.689999999944121,1712364.039999999804422,1756271.119999999878928,1920878.400000000139698,10724362.619999999180436
FS( 45 ),1739472.929999999934807,1711943.799999999813735,1843422.059999999823049,1730284.839999999850988,1772122.639999999897555,1910276.400000000139698,10707526.669999999925494
FS( 46 ),1739472.929999999934807,1711499.899999999906868,1872649.439999999944121,1742829.399999999906868,1791056.399999999906868,1900381.199999999953434,10757893.269999999552965
FS( 47 ),1762268.709999999962747,1725926.650000000139698,1877520.669999999925494,1746861.579999999841675,1794138.639999999897555,1917580.000000000000000,10824300.250000000000000
FS( 48 ),1739472.929999999934807,1704175.550000000046566,1839246.719999999972060,1742381.379999999888241,1785332.240000000223517,1884596.000000000000000,10695208.820000000298023
FS( 49 ),1726679.379999999888241,1680204.949999999953434,1821849.469999999972060,1730732.859999999869615,1778066.960000000195578,1860093.600000000093132,10597631.220000000670552
FS( 50 ),1733657.679999999934807,1686197.599999999860302,1848293.289999999804422,1735213.059999999823049,1779167.760000000009313,1865512.400000000139698,10648045.789999999105930
FS( 51 ),1721096.739999999757856,1684422.000000000000000,1862906.979999999981374,1800175.959999999962747,1779828.240000000223517,1873287.200000000186265,10721721.120000001043081
FS( 52 ),1724585.889999999897555,1699736.549999999813735,1874041.219999999972060,1818544.780000000027940,1797661.200000000186265,1842188.000000000000000,10756761.640000000596046
FS( 53 ),1744357.739999999757856,1711056.000000000000000,1881696.010000000009313,1824369.039999999804422,1800082.960000000195578,1785408.400000000139698,10746974.150000000372529
FS( 54 ),1765060.029999999795109,1730365.649999999906868,1875433.000000000000000,1825713.099999999860302,1795679.760000000009313,1765853.600000000093132,10758109.139999998733401
FS( 55 ),1766920.909999999683350,1768319.100000000093132,1867778.209999999962747,1823921.019999999785796,1788854.800000000046566,1784937.200000000186265,10800735.239999998360872
FS( 56 ),1743659.909999999683350,1742794.849999999860302,1861515.199999999953434,1824817.059999999823049,1769260.560000000055879,1774806.400000000139698,10716857.980000000447035
FS( 57 ),1886715.059999999823049,1770538.599999999860302,1861515.199999999953434,1823473.000000000000000,1786653.200000000186265,1804492.000000000232831,10933391.059999998658895
FS( 58 ),1900671.659999999683350,1761882.549999999813735,1827416.590000000083819,1837361.619999999878928,1792377.359999999869615,1782581.199999999953434,10902294.979999998584390
FS( 59 ),1974176.419999999925494,1779416.600000000093132,1832287.819999999832362,1838257.659999999916181,1826061.840000000083819,1784466.000000000000000,11034670.339999999850988
FS( 60 ),1968361.169999999925494,1764989.849999999860302,1842726.169999999925494,1817648.739999999757856,1815053.840000000083819,1771743.600000000093132,10980527.369999999180436
FS( 61 ),1960917.649999999906868,1764767.900000000139698,1857339.860000000102445,1827505.179999999934807,1817475.600000000093132,1767974.000000000232831,10995984.189999999478459
FS( 62 ),1965569.849999999860302,1760772.799999999813735,1840638.500000000000000,1827057.159999999916181,1812852.240000000223517,1765853.600000000093132,10972748.150000000372529
FS( 63 ),1969059.000000000000000,1762326.450000000186265,1837854.939999999944121,1834673.500000000000000,1803605.520000000018626,1767738.400000000139698,10975261.810000000521541
FS( 64 ),1996972.199999999720603,1746568.000000000000000,1821153.580000000074506,1826161.119999999878928,1798762.000000000000000,1772450.400000000139698,10962071.299999998882413
FS( 65 ),1975339.469999999972060,1718380.350000000093132,1823241.250000000000000,1814064.579999999841675,1786212.879999999888241,1773157.200000000186265,10890399.730000000447035
FS( 66 ),1968361.169999999925494,1710834.049999999813735,1835071.380000000121072,1832881.419999999692664,1807348.240000000223517,1835591.199999999953434,10990091.459999999031425
FS( 67 ),1953939.349999999860302,1710168.199999999953434,1832983.709999999962747,1824817.059999999823049,1808889.359999999869615,1811560.000000000000000,10942361.679999999701977
FS( 68 ),1945798.000000000000000,1724816.899999999906868,1830200.149999999906868,1831089.339999999850988,1813953.040000000037253,1812973.600000000093132,10958835.029999999329448
FS( 69 ),1969989.439999999711290,1737246.099999999860302,1835071.380000000121072,1828849.239999999757856,1799422.480000000214204,1831586.000000000000000,11002168.640000000596046
FS( 70 ),1973013.369999999646097,1715051.099999999860302,1840638.500000000000000,1841841.819999999832362,1796780.560000000055879,1838654.000000000232831,11005983.349999999627471
FS( 71 ),1973478.589999999850988,1693743.899999999906868,1832287.819999999832362,1831985.379999999888241,1787093.520000000018626,1818156.800000000046566,10936750.009999999776483
FS( 72 ),1956730.669999999925494,1692190.249999999767169,1810019.340000000083819,1815408.639999999897555,1773003.280000000027940,1801900.400000000139698,10849256.580000000074506
FS( 73 ),1985574.309999999823049,1717048.649999999906868,1796797.429999999934807,1831985.379999999888241,1768600.080000000074506,1805905.600000000325963,10905915.449999999254942
FS( 74 ),2009067.919999999925494,1697960.949999999953434,1812107.010000000009313,1823921.019999999785796,1759793.680000000167638,1818863.600000000093132,10921718.179999999701977
FS( 75 ),2009533.139999999897555,1730365.649999999906868,1812107.010000000009313,1818096.759999999776483,1766398.480000000214204,1806141.199999999953434,10942646.239999998360872
FS( 76 ),2014883.169999999925494,1733029.049999999813735,1823241.250000000000000,1831089.339999999850988,1772122.639999999897555,1831114.800000000046566,11005484.250000000000000
FS( 77 ),2017907.099999999860302,1748565.550000000046566,1819761.799999999813735,1818096.759999999776483,1775645.200000000186265,1845722.000000000232831,11025702.410000000149012
FS( 78 ),2040702.879999999888241,1757443.550000000046566,1829504.260000000009313,1818096.759999999776483,1772783.119999999878928,1855852.800000000046566,11074387.369999999180436
FS( 79 ),2079083.529999999795109,1768763.000000000000000,1858731.639999999897555,1826609.139999999897555,1763096.080000000074506,1863863.200000000186265,11160150.589999999850988
FS( 80 ),2073500.889999999897555,1768541.050000000046566,1870561.769999999785796,1818096.759999999776483,1763536.399999999906868,1851376.400000000139698,11145617.269999999552965
FS( 81 ),2111416.319999999366701,1773423.950000000186265,1876128.889999999897555,1821680.919999999692664,1770141.200000000186265,1869988.800000000279397,11222784.080000000074506
FS( 82 ),2103507.580000000074506,1780748.300000000046566,1901180.929999999934807,1832881.419999999692664,1778727.440000000176951,1876114.399999999906868,11273164.070000000298023
FS( 83 ),2089085.760000000009313,1794287.250000000000000,1897005.590000000083819,1830641.319999999832362,1769260.560000000055879,1872344.800000000046566,11252629.280000001192093
FS( 84 ),2118627.229999999515712,1790514.100000000093132,1924841.189999999944121,1831537.359999999869615,1759793.680000000167638,1882004.399999999906868,11307321.959999999031425
FS( 85 ),2142818.669999999925494,1787628.750000000000000,1920665.850000000093132,1827505.179999999934807,1758252.560000000055879,1896847.200000000186265,11333722.210000000894070
FS( 86 ),2151192.629999999888241,1784077.549999999813735,1924841.189999999944121,1831985.379999999888241,1763756.560000000055879,1880119.600000000093132,11335976.909999998286366
FS( 87 ),2145144.769999999552965,1789848.250000000000000,1960331.580000000074506,1836465.579999999841675,1761995.280000000027940,1883182.400000000139698,11376971.859999999403954
FS( 88 ),2179571.049999999813735,1789182.399999999906868,1942238.439999999944121,1832881.419999999692664,1763316.240000000223517,1879177.200000000186265,11386370.750000000000000
FS( 89 ),2192364.599999999627471,1792067.749999999767169,1965202.809999999823049,1840049.739999999757856,1764637.200000000186265,1880355.200000000186265,11434681.299999997019768
FS( 90 ),2183292.809999999590218,1771426.399999999906868,1943630.219999999972060,1830641.319999999832362,1762655.760000000009313,1888836.800000000046566,11380487.310000000521541
FS( 91 ),2146773.040000000037253,1740797.300000000046566,1945717.889999999897555,1810928.439999999944121,1756050.960000000195578,1871638.000000000000000,11271909.630000000819564
FS( 92 ),2123279.429999999701977,1732807.099999999860302,2078632.880000000121072,1808688.339999999850988,1753409.040000000037253,1865512.400000000139698,11362333.189999999478459
FS( 93 ),2144679.549999999813735,1751228.950000000186265,2088375.340000000083819,1821680.919999999692664,1754509.840000000083819,1837711.600000000093132,11398190.199999999254942
FS( 94 ),2141888.229999999515712,1776087.349999999860302,2084200.000000000000000,1833329.439999999944121,1752088.080000000074506,1841716.800000000046566,11429313.900000000372529
FS( 95 ),2144214.330000000074506,1791401.899999999906868,2082808.219999999972060,1862002.719999999972060,1756711.440000000176951,1866219.199999999953434,11503361.809999998658895
FS( 96 ),2136770.809999999590218,1785409.250000000000000,2093942.459999999962747,1872307.179999999934807,1766618.639999999897555,1896847.200000000186265,11551899.539999999105930
FS( 97 ),2114672.859999999403954,1779416.600000000093132,2101597.250000000000000,1867826.979999999748543,1759793.680000000167638,1918051.199999999953434,11541362.569999998435378
FS( 98 ),2112811.979999999515712,1789848.250000000000000,2103684.919999999925494,1869619.059999999823049,1750767.119999999878928,1919936.000000000000000,11546671.329999998211861
FS( 99 ),2100018.429999999701977,1785187.300000000046566,2122473.950000000186265,1874995.299999999813735,1739538.960000000195578,1925826.000000000000000,11548043.939999999478459
FS( 100 ),2101879.309999999590218,1787406.800000000046566,2148917.769999999552965,1879923.519999999785796,1746363.919999999925494,1939962.000000000232831,11604457.319999998435378
FS( 101 ),2114440.250000000000000,1792289.699999999953434,2141958.870000000111759,1883059.659999999916181,1730952.720000000204891,1938784.000000000232831,11601489.200000001117587
FS( 102 ),2139562.129999999888241,1800723.799999999813735,2152397.219999999739230,1890227.979999999748543,1739759.119999999878928,1931951.600000000093132,11654625.849999997764826
FS( 103 ),2161660.080000000074506,1796950.649999999906868,2150309.549999999813735,1897844.319999999832362,1730292.240000000223517,1926061.600000000093132,11663122.439999999478459
FS( 104 ),2175384.069999999366701,1816038.349999999860302,2155876.669999999925494,1894708.179999999934807,1745483.280000000027940,1929360.000000000000000,11716854.549999998882413
FS( 105 ),2174453.629999999888241,1819589.550000000046566,2155876.669999999925494,1894708.179999999934807,1751647.760000000009313,1943496.000000000000000,11739775.789999999105930
FS( 106 ),2187247.179999999701977,1821143.199999999953434,2167010.910000000149012,1892020.059999999823049,1760894.480000000214204,1963757.599999999860302,11792077.429999999701977
FS( 107 ),2232373.519999999552965,1807160.350000000093132,2159356.120000000111759,1887987.879999999888241,1765517.840000000083819,1937134.800000000046566,11789534.510000001639128
FS( 108 ),2217951.700000000186265,1792511.650000000139698,2142654.759999999776483,1879027.479999999748543,1773663.760000000009313,1930302.400000000139698,11736115.750000000000000
FS( 109 ),2218882.139999999664724,1791845.800000000046566,2149613.660000000149012,1879475.500000000000000,1798101.520000000018626,1949386.000000000000000,11787308.619999999180436
FS( 110 ),2210740.790000000037253,1762326.450000000186265,2175361.589999999850988,1893364.119999999878928,1796780.560000000055879,1933836.400000000139698,11772413.910000000149012
FS( 111 ),2214927.769999999552965,1766987.399999999906868,2174665.700000000186265,1880371.539999999804422,1786873.359999999869615,1952448.800000000279397,11776278.570000000298023
FS( 112 ),2243538.799999999813735,1763658.149999999906868,2191367.059999999590218,1898740.359999999869615,1790395.919999999925494,1985432.800000000046566,11873137.089999999850988
FS( 113 ),2217253.870000000111759,1772536.149999999906868,2206676.639999999664724,1886195.799999999813735,1789074.960000000195578,1976715.600000000325963,11848457.019999999552965
FS( 114 ),2204692.929999999701977,1768097.149999999906868,2411268.299999999813735,1887091.839999999850988,1782029.840000000083819,1973417.200000000186265,12026601.259999997913837
FS( 115 ),2165381.839999999850988,1765655.699999999953434,2345158.750000000000000,1882611.639999999897555,1770141.200000000186265,2005223.200000000186265,11934176.329999998211861
FS( 116 ),2196551.580000000074506,1777419.049999999813735,2345158.750000000000000,1900980.459999999962747,1773443.600000000093132,2014882.800000000046566,12008440.240000000223517
FS( 117 ),2185153.689999999478459,1769206.899999999906868,2370210.790000000037253,1899636.399999999906868,1767499.280000000027940,2004045.200000000186265,11995756.259999997913837
FS( 118 ),2203297.269999999552965,1787628.750000000000000,2421010.759999999776483,1845425.979999999748543,1763536.399999999906868,2027369.600000000093132,12048272.759999997913837
FS( 119 ),2260751.939999999478459,1798282.349999999860302,2400829.950000000186265,1828401.219999999972060,1761114.639999999897555,2024778.000000000000000,12074162.099999999627471
FS( 120 ),2257030.179999999701977,1802277.449999999953434,2383432.700000000186265,1835569.539999999804422,1767058.960000000195578,2018652.400000000139698,12064025.230000000447035
FS( 121 ),2271917.219999999739230,1798504.300000000046566,2383432.700000000186265,1836913.599999999860302,1751647.760000000009313,1995092.400000000139698,12037511.980000000447035
FS( 122 ),2303319.569999999366701,1799392.099999999860302,2382040.919999999925494,1822576.959999999962747,1745042.960000000195578,2020301.600000000093132,12072678.109999999403954
FS( 123 ),2288432.529999999329448,1797394.550000000046566,2379257.359999999403954,1807792.299999999813735,1731613.200000000186265,1985432.800000000046566,11989926.739999998360872
FS( 124 ),2283082.500000000000000,1814706.650000000139698,2390391.599999999627471,1775086.839999999850988,1720825.359999999869615,1954333.600000000093132,11938430.549999998882413
FS( 125 ),2223766.950000000186265,1794509.199999999720603,2358380.660000000149012,1760302.179999999934807,1702331.919999999925494,1909569.600000000093132,11748864.509999999776483
FS( 126 ),2236095.279999999329448,1770094.699999999953434,2347942.310000000521541,1760302.179999999934807,1753629.200000000186265,1919936.000000000000000,11788003.669999999925494
FS( 127 ),2223534.339999999850988,1776309.300000000046566,2369514.899999999441206,1765230.399999999906868,1744162.320000000065193,1938312.800000000046566,11817068.060000000521541
FS( 128 ),2212601.669999999925494,1776309.300000000046566,2283920.429999999701977,1755373.959999999962747,1748345.359999999869615,1908156.000000000000000,11684710.719999998807907
FS( 129 ),2208879.910000000149012,1787184.849999999860302,2286008.099999999627471,1788527.439999999944121,1785332.240000000223517,1920171.600000000093132,11776108.139999998733401
FS( 130 ),2197714.629999999888241,1786075.099999999860302,2274177.969999999739230,1762990.299999999813735,1764417.040000000037253,1867397.200000000186265,11652776.239999998360872
FS( 131 ),2203762.489999999292195,1829577.300000000046566,2268610.849999999627471,1767470.500000000000000,1782250.000000000000000,1887658.800000000279397,11739333.939999999478459
FS( 132 ),2232838.739999999292195,1839565.049999999813735,2297838.230000000447035,1772846.739999999757856,1793918.480000000214204,1881768.800000000279397,11818780.040000000968575
FS( 133 ),2232373.519999999552965,1840452.850000000093132,2305493.020000000484288,1777774.959999999962747,1792597.520000000018626,1890014.800000000046566,11838710.670000001788139
FS( 134 ),2261914.989999999292195,1844891.850000000093132,2372994.349999999627471,1789423.479999999748543,1793918.480000000214204,1920407.200000000186265,11983554.349999997764826
FS( 135 ),2267962.849999999627471,1861316.149999999906868,2361860.109999999403954,1800175.959999999962747,1804266.000000000000000,1927710.800000000046566,12023295.870000001043081
FS( 136 ),2279128.129999999888241,1857543.000000000000000,2377865.580000000074506,1831537.359999999869615,1800523.280000000027940,1919464.800000000046566,12066066.150000000372529
FS( 137 ),2306576.109999999403954,1855323.500000000000000,2394566.939999999478459,1852594.299999999813735,1815053.840000000083819,1939962.000000000232831,12164080.689999997615814
FS( 138 ),2338443.679999999701977,1958308.300000000046566,2389695.709999999962747,1848562.119999999878928,1820557.840000000083819,1966584.800000000046566,12322156.449999999254942
FS( 139 ),2339374.120000000111759,2014239.699999999953434,2400829.950000000186265,1848114.099999999860302,1823199.760000000009313,1965642.400000000139698,12391404.030000001192093
FS( 140 ),2339606.729999999515712,2023117.700000000186265,2446062.799999999813735,1855282.419999999692664,1833547.280000000027940,1973652.800000000046566,12471273.729999998584390
FS( 141 ),2356819.870000000111759,2020454.300000000046566,2431449.109999999403954,1842289.839999999850988,1835969.040000000037253,1973888.400000000139698,12460874.560000000521541
FS( 142 ),2361937.290000000037253,2024227.449999999953434,2422402.540000000037253,1855282.419999999692664,1839271.440000000176951,1984726.000000000000000,12487851.139999998733401
FS( 143 ),2346817.639999999664724,2033771.299999999813735,2421706.649999999441206,1863794.799999999813735,1835748.879999999888241,2005458.800000000279397,12507302.070000000298023
FS( 144 ),2375661.279999999329448,2039098.100000000093132,2421010.759999999776483,1863794.799999999813735,1834207.760000000009313,2035144.399999999906868,12568921.099999997764826
FS( 145 ),2378452.599999999627471,2053302.900000000139698,2411268.299999999813735,1865138.859999999869615,1828043.280000000027940,2034202.000000000232831,12570411.939999999478459
FS( 146 ),2384267.849999999627471,2075275.949999999953434,2430057.330000000074506,1869171.039999999804422,1829804.560000000055879,2042212.400000000139698,12630793.130000000819564
FS( 147 ),2402876.649999999441206,2023117.700000000186265,2405701.179999999701977,1865586.879999999888241,1826942.480000000214204,2035380.000000000000000,12559608.890000000596046
FS( 148 ),2301458.689999999478459,1975398.449999999953434,2405701.179999999701977,1871859.159999999916181,1825181.200000000186265,2044804.000000000232831,12424406.679999999701977
FS( 149 ),2282384.669999999925494,1996039.800000000046566,2429361.439999999478459,1875891.339999999850988,1842794.000000000000000,2051165.200000000186265,12477640.449999999254942
FS( 150 ),2302156.519999999552965,2033327.399999999906868,2435624.450000000186265,1874547.280000000027940,1844335.119999999878928,2067421.600000000093132,12557416.369999999180436
FS( 151 ),2287967.309999999590218,2015793.349999999860302,2458588.820000000298023,1871859.159999999916181,1834427.919999999925494,2071191.199999999953434,12539831.759999997913837
FS( 152 ),2279360.739999999292195,1973844.800000000046566,2429361.439999999478459,1879027.479999999748543,1827162.639999999897555,2086505.200000000186265,12475266.300000000745058
FS( 153 ),2349376.349999999627471,1980947.199999999953434,2437016.230000000447035,1889331.939999999944121,1841473.040000000037253,2055641.600000000093132,12553790.360000001266599
FS( 154 ),2359378.580000000074506,1980281.349999999860302,2437016.230000000447035,1879475.500000000000000,1838170.639999999897555,2051636.400000000139698,12545962.700000001117587
FS( 155 ),2364728.609999999403954,1971847.250000000000000,2409180.629999999888241,1857522.519999999785796,1833106.960000000195578,2030432.400000000139698,12466822.370000001043081
FS( 156 ),2364030.779999999329448,1983832.549999999813735,2403613.509999999776483,1859314.599999999860302,1846536.720000000204891,2026898.400000000139698,12484230.560000000521541
FS( 157 ),2346119.809999999590218,2003586.099999999860302,2430753.219999999739230,1865586.879999999888241,1851160.080000000074506,2053521.199999999953434,12550731.289999997243285
FS( 158 ),2362867.729999999515712,2024671.349999999860302,2434232.669999999925494,1864242.819999999832362,1852921.359999999869615,2049516.000000000000000,12588455.929999997839332
FS( 159 ),2367752.540000000037253,2043981.000000000000000,2447454.580000000074506,1872307.179999999934807,1853581.840000000083819,2064594.399999999906868,12649675.540000000968575
FS( 160 ),2348445.910000000149012,2049529.750000000000000,2423098.429999999701977,1883955.699999999720603,1859746.320000000065193,2068599.600000000093132,12633379.709999999031425
FS( 161 ),2350772.009999999776483,2039542.000000000000000,2415443.639999999664724,1891572.039999999804422,1867231.760000000009313,2067892.800000000046566,12632458.250000000000000
FS( 162 ),2387524.389999999664724,2030663.999999999767169,2395262.830000000074506,1876787.379999999888241,1859085.840000000083819,2040092.000000000232831,12589420.439999999478459
FS( 163 ),2366822.099999999627471,2064622.349999999860302,2418227.200000000186265,1893812.139999999897555,1876698.639999999897555,2078259.199999999953434,12698445.629999998956919
FS( 164 ),2276569.419999999925494,2039763.950000000186265,2375777.910000000149012,1871859.159999999916181,1856664.080000000074506,2030432.400000000139698,12451070.919999999925494
FS( 165 ),2343561.099999999627471,2060627.250000000000000,2384128.589999999850988,1890676.000000000000000,1862168.080000000074506,2040327.599999999860302,12581492.619999999180436
FS( 166 ),2328674.059999999590218,2061515.049999999813735,2428665.549999999813735,1892916.099999999860302,1859085.840000000083819,2038207.200000000186265,12609067.800000000745058
