代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13590339.599999999627471
真實報酬,3590339.599999999627471

夏普值報酬,0.350333960000000
夏普值風險,0.095481757349707
夏普值,3.669119313722753

二次趨勢線,12.033212792733794 x^2 + 11879.136994005426459 x + 10000000.000000000000000
二次平均預期報酬,14911.506617774341066
風險,200384.952770877192961
二次平均趨勢值,0.074414303127962
一次趨勢線,14148.892785951718906 x + 10000000.000000000000000
一次預期報酬,14148.892785951718906
一次風險,217737.822367428161670
一次趨勢值,0.064981327690858
找到最佳解世代,2095
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),GS[8](7),NKE[19](5),UNH[23](1),
FS( 9 ),2456390.979999999981374,2592638.459999999962747,2436783.160000000149012,2499056.260000000242144,9984868.859999999403954
FS( 10 ),2456390.979999999981374,2591544.919999999459833,2431569.400000000372529,2490877.180000000633299,9970382.480000000447035
FS( 11 ),2471223.979999999981374,2590920.039999999571592,2429614.240000000223517,2453756.740000000223517,9945515.000000000000000
FS( 12 ),2467070.740000000223517,2627944.179999999701977,2447210.679999999701977,2459104.600000000093132,10001330.199999999254942
FS( 13 ),2479530.459999999962747,2653564.260000000242144,2483055.280000000260770,2491820.919999999925494,10107970.920000001788139
FS( 14 ),2485167.000000000000000,2651533.399999999906868,2464807.120000000111759,2532716.320000000298023,10134223.839999999850988
FS( 15 ),2456984.299999999813735,2653251.819999999832362,2447210.679999999701977,2561028.520000000018626,10118475.319999998435378
FS( 16 ),2455204.340000000316650,2659500.620000000111759,2458941.639999999664724,2563545.160000000149012,10137191.760000001639128
FS( 17 ),2452831.060000000521541,2628100.399999999906868,2443300.360000000335276,2571409.660000000149012,10095641.480000000447035
FS( 18 ),2489023.580000000540167,2630443.699999999720603,2492179.360000000335276,2590284.460000000428408,10201931.100000001490116
FS( 19 ),2505339.880000000353903,2624663.559999999590218,2504562.040000000037253,2588711.560000000521541,10223277.039999999105930
FS( 20 ),2530555.979999999981374,2605448.500000000000000,2531282.560000000521541,2579588.740000000223517,10246875.780000001192093
FS( 21 ),2543609.020000000018626,2615759.020000000018626,2527372.240000000223517,2571724.240000000223517,10258464.519999999552965
FS( 22 ),2565265.200000000186265,2605917.159999999683350,2541710.080000000074506,2576128.360000000335276,10289020.800000000745058
FS( 23 ),2564375.220000000204891,2607166.919999999459833,2535192.879999999888241,2595003.160000000149012,10301738.179999999701977
FS( 24 ),2576241.620000000111759,2647315.459999999962747,2556699.639999999664724,2622057.040000000037253,10402313.759999999776483
FS( 25 ),2568825.120000000111759,2621070.500000000000000,2563216.839999999850988,2586509.500000000000000,10339621.960000000894070
FS( 26 ),2547168.939999999944121,2576235.359999999869615,2531282.560000000521541,2577386.680000000633299,10232073.540000000968575
FS( 27 ),2587514.700000000186265,2572486.079999999608845,2564520.280000000260770,2602867.660000000149012,10327388.719999998807907
FS( 28 ),2576834.939999999944121,2552958.579999999608845,2525417.080000000074506,2582105.380000000353903,10237315.980000000447035
FS( 29 ),2577724.920000000391155,2574516.939999999944121,2518899.879999999888241,2606957.200000000186265,10278098.940000001341105
FS( 30 ),2573868.340000000316650,2608885.339999999850988,2540406.639999999664724,2650998.399999999906868,10374158.719999998807907
FS( 31 ),2555772.080000000540167,2642785.079999999608845,2543013.520000000484288,2639358.940000000409782,10380929.620000001043081
FS( 32 ),2532039.279999999795109,2663093.679999999701977,2506517.200000000186265,2634954.820000000298023,10336604.980000000447035
FS( 33 ),2522546.160000000149012,2657938.419999999459833,2494134.520000000484288,2677423.120000000111759,10352042.220000000670552
FS( 34 ),2545685.640000000130385,2678715.679999999701977,2526068.799999999813735,2690320.899999999906868,10440791.019999999552965
FS( 35 ),2543609.020000000018626,2682621.179999999701977,2503258.599999999627471,2675850.220000000204891,10405339.019999999552965
FS( 36 ),2557552.040000000037253,2734173.779999999795109,2510427.520000000484288,2706993.640000000130385,10509146.980000000447035
FS( 37 ),2552508.820000000298023,2762293.379999999888241,2521506.759999999776483,2703533.260000000242144,10539842.220000000670552
FS( 38 ),2575054.979999999981374,2753545.059999999590218,2561261.679999999701977,2695354.180000000633299,10585215.899999998509884
FS( 39 ),2558145.360000000335276,2740110.140000000130385,2532586.000000000000000,2663896.180000000633299,10494737.679999999701977
FS( 40 ),2585438.080000000540167,2748702.239999999757856,2554744.480000000447035,2697556.240000000223517,10586441.040000000968575
FS( 41 ),2557255.380000000353903,2742297.219999999739230,2544968.679999999701977,2650998.399999999906868,10495519.679999999701977
FS( 42 ),2587218.040000000037253,2745734.059999999590218,2594499.400000000372529,2609473.840000000316650,10536925.339999999850988
FS( 43 ),2547762.260000000242144,2700586.479999999981374,2513686.120000000111759,2549703.640000000130385,10311738.500000000000000
FS( 44 ),2532929.260000000242144,2659656.839999999850988,2501955.160000000149012,2563545.160000000149012,10258086.419999999925494
FS( 45 ),2588108.020000000018626,2682152.520000000018626,2514337.839999999850988,2588082.399999999906868,10372680.779999999329448
FS( 46 ),2573571.680000000167638,2646690.579999999608845,2506517.200000000186265,2547816.160000000149012,10274595.620000001043081
FS( 47 ),2568825.120000000111759,2651689.620000000111759,2513686.120000000111759,2563859.740000000223517,10298060.600000001490116
FS( 48 ),2536785.840000000316650,2641691.539999999571592,2487617.320000000298023,2493393.820000000298023,10159488.519999999552965
FS( 49 ),2576538.279999999795109,2691057.059999999590218,2511079.240000000223517,2520447.700000000186265,10299122.280000001192093
FS( 50 ),2595821.180000000167638,2694181.459999999962747,2511079.240000000223517,2512583.200000000186265,10313665.080000001937151
FS( 51 ),2587218.040000000037253,2692150.600000000093132,2500651.719999999739230,2523593.500000000000000,10303613.859999999403954
FS( 52 ),2598787.779999999795109,2692775.479999999981374,2517596.440000000409782,2564174.320000000298023,10373334.019999999552965
FS( 53 ),2628750.439999999944121,2698399.399999999906868,2518899.879999999888241,2573926.299999999813735,10419976.019999999552965
FS( 54 ),2648626.660000000149012,2685433.140000000130385,2513686.120000000111759,2562916.000000000000000,10410661.920000001788139
FS( 55 ),2669096.200000000186265,2726831.439999999944121,2559958.240000000223517,2590284.460000000428408,10546170.340000001713634
FS( 56 ),2672656.120000000111759,2717614.459999999962747,2558654.799999999813735,2625832.000000000000000,10574757.379999998956919
FS( 57 ),2665239.620000000111759,2718708.000000000000000,2571689.200000000186265,2624573.680000000633299,10580210.500000000000000
FS( 58 ),2681259.260000000242144,2736204.640000000130385,2572340.919999999925494,2635269.399999999906868,10625074.220000000670552
FS( 59 ),2684522.520000000018626,2741203.679999999701977,2584071.879999999888241,2635583.980000000447035,10645382.059999998658895
FS( 60 ),2681259.260000000242144,2778696.479999999981374,2607533.799999999813735,2650054.660000000149012,10717544.199999999254942
FS( 61 ),2670579.500000000000000,2779165.140000000130385,2589937.360000000335276,2677737.700000000186265,10717419.700000001117587
FS( 62 ),2680962.600000000093132,2777759.159999999683350,2597758.000000000000000,2717374.780000000260770,10773854.539999999105930
FS( 63 ),2676809.360000000335276,2775259.640000000130385,2568430.599999999627471,2716116.460000000428408,10736616.060000000521541
FS( 64 ),2666426.260000000242144,2798067.760000000242144,2559958.240000000223517,2726812.180000000633299,10751264.440000001341105
FS( 65 ),2693718.979999999981374,2808378.279999999795109,2583420.160000000149012,2717689.360000000335276,10803206.780000001192093
FS( 66 ),2697872.220000000204891,2805722.539999999571592,2568430.599999999627471,2730272.560000000521541,10802297.919999999925494
FS( 67 ),2674139.420000000391155,2813221.100000000093132,2604275.200000000186265,2738766.220000000204891,10830401.940000001341105
FS( 68 ),2697872.220000000204891,2808065.839999999850988,2673357.520000000484288,2760472.240000000223517,10939767.820000000298023
FS( 69 ),2686599.140000000130385,2813689.760000000242144,2685088.480000000447035,2765505.520000000018626,10950882.900000000372529
FS( 70 ),2658119.779999999795109,2771354.140000000130385,2666840.320000000298023,2785953.220000000204891,10882267.460000000894070
FS( 71 ),2655746.500000000000000,2809940.479999999981374,2687695.360000000335276,2744743.240000000223517,10898125.580000001937151
FS( 72 ),2669096.200000000186265,2827593.339999999850988,2666188.599999999627471,2739395.380000000353903,10902273.519999999552965
FS( 73 ),2660196.400000000372529,2861493.079999999608845,2666840.320000000298023,2711083.180000000633299,10899612.980000000447035
FS( 74 ),2672359.459999999962747,2874146.899999999906868,2659671.400000000372529,2706364.480000000447035,10912542.240000000223517
FS( 75 ),2677996.000000000000000,2875084.219999999739230,2645985.280000000260770,2741912.020000000018626,10940977.519999999552965
FS( 76 ),2679775.959999999962747,2887269.379999999888241,2656412.799999999813735,2736564.160000000149012,10960022.300000000745058
FS( 77 ),2680072.620000000111759,2935228.919999999459833,2671402.360000000335276,2756697.280000000260770,11043401.179999999701977
FS( 78 ),2684522.520000000018626,2908827.739999999757856,2666188.599999999627471,2762045.140000000130385,11021584.000000000000000
FS( 79 ),2648923.320000000298023,2894611.719999999739230,2629692.280000000260770,2761101.399999999906868,10934328.720000000670552
FS( 80 ),2619850.640000000130385,2891487.319999999832362,2610792.400000000372529,2723980.960000000428408,10846111.320000000298023
FS( 81 ),2653669.880000000353903,2933979.159999999683350,2634254.320000000298023,2774942.919999999925494,10996846.280000001192093
FS( 82 ),2612730.799999999813735,2875865.319999999832362,2599061.440000000409782,2711083.180000000633299,10798740.740000000223517
FS( 83 ),2632607.020000000018626,2891955.979999999981374,2916449.080000000074506,2724295.540000000037253,11165307.620000001043081
FS( 84 ),2635276.959999999962747,2871803.600000000093132,2904066.400000000372529,2721464.320000000298023,11132611.280000001192093
FS( 85 ),2641210.160000000149012,2867741.879999999888241,2906673.280000000260770,2713285.240000000223517,11128910.560000000521541
FS( 86 ),2595524.520000000018626,2822906.739999999757856,2857794.280000000260770,2670187.780000000260770,10946413.320000000298023
FS( 87 ),2574758.320000000298023,2856962.699999999720603,2909931.879999999888241,2670816.940000000409782,11012469.839999999850988
FS( 88 ),2624003.880000000353903,2938040.879999999888241,2942517.879999999888241,2706049.899999999906868,11210612.540000000968575
FS( 89 ),2627267.140000000130385,2928823.899999999906868,2907325.000000000000000,2676793.960000000428408,11140210.000000000000000
FS( 90 ),2584251.439999999944121,2871334.939999999944121,2870176.959999999962747,2648481.760000000242144,10974245.099999999627471
FS( 91 ),2613917.439999999944121,2915701.419999999459833,2894942.320000000298023,2724924.700000000186265,11149485.879999998956919
FS( 92 ),2542719.040000000037253,2831811.279999999795109,2842804.719999999739230,2672075.260000000242144,10889410.300000000745058
FS( 93 ),2559332.000000000000000,2817907.699999999720603,2841501.280000000260770,2686231.360000000335276,10904972.339999999850988
FS( 94 ),2489320.240000000223517,2792756.279999999795109,2782846.480000000447035,2640931.840000000316650,10705854.839999999850988
FS( 95 ),2496143.420000000391155,2791662.739999999757856,2773070.679999999701977,2605384.299999999813735,10666261.140000000596046
FS( 96 ),2435031.459999999962747,2768854.620000000111759,2775677.560000000521541,2584622.020000000018626,10564185.660000000149012
FS( 97 ),2424945.020000000018626,2696056.100000000093132,2836287.520000000484288,2686231.360000000335276,10643520.000000000000000
FS( 98 ),2486946.959999999962747,2763699.359999999869615,2840849.560000000521541,2773999.180000000633299,10865495.060000002384186
FS( 99 ),2537082.500000000000000,2778227.819999999832362,2896897.480000000447035,2785324.060000000521541,10997531.860000001266599
FS( 100 ),2597007.820000000298023,2814783.299999999813735,2953597.120000000111759,2861137.840000000316650,11226526.080000000074506
FS( 101 ),2583954.779999999795109,2762449.600000000093132,2928180.040000000037253,2824017.399999999906868,11098601.820000000298023
FS( 102 ),2610357.520000000018626,2812908.659999999683350,2945124.759999999776483,2852015.020000000018626,11220405.959999999031425
FS( 103 ),2628750.439999999944121,2864305.039999999571592,2962069.480000000447035,2882843.860000000335276,11337968.820000000298023
FS( 104 ),2624003.880000000353903,2873053.359999999869615,2986183.120000000111759,2898258.280000000260770,11381498.640000000596046
FS( 105 ),2667909.560000000521541,2910702.379999999888241,3012903.639999999664724,2914301.860000000335276,11505817.440000001341105
FS( 106 ),2656043.160000000149012,2906953.100000000093132,2996610.639999999664724,2924368.419999999925494,11483975.319999998435378
FS( 107 ),2676512.700000000186265,2920856.679999999701977,3030500.080000000074506,2953309.780000000260770,11581179.240000002086163
FS( 108 ),2710925.260000000242144,2968035.120000000111759,3029848.360000000335276,2988857.320000000298023,11697666.060000002384186
FS( 109 ),2720715.040000000037253,2981157.600000000093132,3045489.639999999664724,2984138.620000000111759,11731500.900000002235174
FS( 110 ),2680369.279999999795109,2972409.279999999795109,3061782.639999999664724,2987913.580000000540167,11702474.779999999329448
FS( 111 ),2699652.180000000167638,2965691.819999999832362,3085244.560000000521541,3013709.140000000130385,11764297.700000001117587
FS( 112 ),2729318.180000000167638,2983813.339999999850988,3082637.679999999701977,3026606.919999999925494,11822376.119999999180436
FS( 113 ),2669986.180000000167638,2979282.959999999962747,3055917.160000000149012,2944816.120000000111759,11650002.420000001788139
FS( 114 ),2663459.660000000149012,2996310.939999999944121,3094368.639999999664724,2980678.240000000223517,11734817.479999998584390
FS( 115 ),2669392.860000000335276,2997560.699999999720603,3091761.759999999776483,3010248.760000000242144,11768964.080000000074506
FS( 116 ),2667019.580000000540167,2971003.299999999813735,3122392.599999999627471,3009934.180000000633299,11770349.660000000149012
FS( 117 ),2684522.520000000018626,2971940.620000000111759,3132168.400000000372529,3016854.940000000409782,11805486.480000000447035
FS( 118 ),2693718.979999999981374,2967878.899999999906868,3111965.080000000074506,2992003.120000000111759,11765566.080000001937151
FS( 119 ),2682149.240000000223517,2967097.799999999813735,3130213.240000000223517,3034786.000000000000000,11814246.280000001192093
FS( 120 ),2678292.660000000149012,2962567.419999999459833,3143899.360000000335276,3088893.760000000242144,11873653.200000001117587
FS( 121 ),2664646.299999999813735,2955537.520000000018626,3159540.639999999664724,3047054.620000000111759,11826779.080000001937151
FS( 122 ),2637353.580000000540167,2964285.839999999850988,3170619.879999999888241,3046740.040000000037253,11818999.339999999850988
FS( 123 ),2639133.540000000037253,2961786.319999999832362,3174530.200000000186265,3042335.919999999925494,11817785.979999998584390
FS( 124 ),2687192.459999999962747,2969284.879999999888241,3192126.639999999664724,3048312.940000000409782,11896916.920000001788139
FS( 125 ),2718935.080000000540167,2950382.260000000242144,3170619.879999999888241,3079770.940000000409782,11919708.160000000149012
FS( 126 ),2726944.900000000372529,2945070.779999999795109,3186912.879999999888241,3086377.120000000111759,11945305.679999999701977
FS( 127 ),2744447.840000000316650,2943352.359999999869615,3235791.879999999888241,3102735.280000000260770,12026327.359999999403954
FS( 128 ),2750084.380000000353903,2940071.739999999757856,3183654.280000000260770,3116262.220000000204891,11990072.620000001043081
FS( 129 ),2772927.200000000186265,2971159.520000000018626,3194733.520000000484288,3140484.880000000353903,12079305.120000002905726
FS( 130 ),2762247.439999999944121,2983032.239999999757856,3209723.080000000074506,3170999.140000000130385,12126001.900000000372529
FS( 131 ),2765807.360000000335276,2998654.239999999757856,3227971.240000000223517,3135451.600000000093132,12127884.439999999478459
FS( 132 ),2781530.340000000316650,3053331.239999999757856,3237095.320000000298023,3156213.880000000353903,12228170.780000001192093
FS( 133 ),2782716.979999999981374,3071608.979999999981374,3184306.000000000000000,3143316.100000000093132,12181948.060000000521541
FS( 134 ),2757204.220000000204891,3075826.919999999459833,3162147.520000000484288,3177919.899999999906868,12173098.560000000521541
FS( 135 ),2718341.760000000242144,2999435.339999999850988,3182350.839999999850988,3117205.960000000428408,12017333.900000000372529
FS( 136 ),2721901.680000000167638,3023493.219999999739230,3158888.919999999925494,3137339.080000000540167,12041622.900000000372529
FS( 137 ),2714188.520000000018626,2949757.379999999888241,3134123.560000000521541,3106824.820000000298023,11904894.280000001192093
FS( 138 ),2696685.580000000540167,2898517.219999999739230,3110009.919999999925494,3091410.399999999906868,11796623.120000001043081
FS( 139 ),2675029.400000000372529,2863680.159999999683350,3037669.000000000000000,3015282.040000000037253,11591660.600000001490116
FS( 140 ),2710925.260000000242144,2890550.000000000000000,3079379.080000000074506,3118778.860000000335276,11799633.199999999254942
FS( 141 ),2747414.439999999944121,2993342.760000000242144,3163450.959999999962747,3216298.660000000149012,12120506.820000000298023
FS( 142 ),2755720.920000000391155,3019431.500000000000000,3090458.320000000298023,3224163.160000000149012,12089773.900000000372529
FS( 143 ),2794583.380000000353903,3037553.020000000018626,3126302.919999999925494,3241465.060000000521541,12199904.380000000819564
FS( 144 ),2809119.720000000204891,3054112.339999999850988,3127606.360000000335276,3235488.040000000037253,12226326.460000000894070
FS( 145 ),2801109.900000000372529,3060204.919999999459833,3138033.879999999888241,3230140.180000000633299,12229488.879999998956919
FS( 146 ),2819206.160000000149012,3053331.239999999757856,3155630.320000000298023,3226050.640000000130385,12254218.360000001266599
FS( 147 ),2833149.180000000167638,3064891.520000000018626,3170619.879999999888241,3219129.880000000353903,12287790.460000000894070
FS( 148 ),2809416.380000000353903,3057392.959999999962747,3156933.759999999776483,3235488.040000000037253,12259231.140000000596046
FS( 149 ),2794286.720000000204891,3028023.600000000093132,3133471.839999999850988,3180121.960000000428408,12135904.120000001043081
FS( 150 ),2781233.680000000167638,3037084.359999999869615,3096975.520000000484288,3170369.980000000447035,12085663.540000000968575
FS( 151 ),2740591.260000000242144,2942258.819999999832362,3046793.080000000074506,3118149.700000000186265,11847792.859999999403954
FS( 152 ),2726054.920000000391155,2882739.000000000000000,3029196.639999999664724,3111858.100000000093132,11749848.659999998286366
FS( 153 ),2753940.959999999962747,2925699.500000000000000,3091761.759999999776483,3143630.680000000633299,11915032.899999998509884
FS( 154 ),2782420.320000000298023,2972409.279999999795109,3162799.240000000223517,3293685.340000000316650,12211314.179999999701977
FS( 155 ),2796066.680000000167638,2926793.039999999571592,3128258.080000000074506,3262856.500000000000000,12113974.300000000745058
FS( 156 ),2802296.540000000037253,2891174.879999999888241,3123696.040000000037253,3226050.640000000130385,12043218.100000001490116
FS( 157 ),2823952.720000000204891,2888987.799999999813735,3096323.799999999813735,3242408.799999999813735,12051673.120000001043081
FS( 158 ),2795473.360000000335276,2815564.399999999906868,3053962.000000000000000,3250587.880000000353903,11915587.640000000596046
FS( 159 ),2799033.279999999795109,2788382.120000000111759,3024634.599999999627471,3286135.419999999925494,11898185.419999999925494
FS( 160 ),2823656.060000000521541,2768698.399999999906868,3030500.080000000074506,3327345.399999999906868,11950199.940000001341105
FS( 161 ),2810603.020000000018626,2743703.199999999720603,3050703.400000000372529,3322626.700000000186265,11927636.320000000298023
FS( 162 ),2793693.400000000372529,2767448.640000000130385,3047444.799999999813735,3439021.299999999813735,12047608.140000000596046
FS( 163 ),2822766.080000000540167,2843840.219999999739230,3123696.040000000037253,3581526.040000000037253,12371828.379999998956919
FS( 164 ),2810009.700000000186265,2819626.120000000111759,3133471.839999999850988,3523328.740000000223517,12286436.400000000372529
FS( 165 ),2817426.200000000186265,2818532.579999999608845,3139989.040000000037253,3511060.120000000111759,12287007.940000001341105
FS( 166 ),2787760.200000000186265,2757138.120000000111759,3079379.080000000074506,3460727.320000000298023,12085004.720000000670552
FS( 167 ),2749194.400000000372529,2703398.439999999944121,3040927.599999999627471,3411967.419999999925494,11905487.859999999403954
FS( 168 ),2765510.700000000186265,2749327.120000000111759,3091761.759999999776483,3441223.360000000335276,12047822.940000001341105
FS( 169 ),2698465.540000000037253,2693400.359999999869615,3006386.440000000409782,3342445.240000000223517,11740697.580000000074506
FS( 170 ),2727241.560000000521541,2741516.120000000111759,2995307.200000000186265,3375161.560000000521541,11839226.440000001341105
FS( 171 ),2791616.779999999795109,2815720.620000000111759,3042231.040000000037253,3391519.720000000204891,12041088.160000002011657
FS( 172 ),3004618.660000000149012,2792912.500000000000000,3015510.520000000484288,3394980.100000000093132,12208021.779999999329448
FS( 173 ),3044964.420000000391155,2824000.279999999795109,3041579.320000000298023,3423292.299999999813735,12333836.320000000298023
FS( 174 ),3026571.500000000000000,2865554.799999999813735,2991396.879999999888241,3384913.540000000037253,12268436.719999998807907
FS( 175 ),3017968.360000000335276,2846652.179999999701977,2971193.560000000521541,3349995.160000000149012,12185809.260000001639128
FS( 176 ),3023604.900000000372529,2883207.659999999683350,3022679.440000000409782,3428011.000000000000000,12357503.000000000000000
FS( 177 ),3022121.600000000093132,2931479.640000000130385,2975755.599999999627471,3455694.040000000037253,12385050.879999998956919
FS( 178 ),3072850.459999999962747,2964754.500000000000000,2997914.080000000074506,3455379.460000000428408,12490898.500000000000000
FS( 179 ),3090353.400000000372529,2952569.339999999850988,2999217.520000000484288,3442796.260000000242144,12484936.520000001415610
FS( 180 ),3088870.100000000093132,2968503.779999999795109,2993352.040000000037253,3452862.820000000298023,12503588.740000000223517
FS( 181 ),3081156.939999999944121,2947414.079999999608845,3050703.400000000372529,3453177.399999999906868,12532451.820000000298023
FS( 182 ),3082046.920000000391155,2954287.760000000242144,3053310.280000000260770,3461356.480000000447035,12551001.440000001341105
FS( 183 ),3101626.479999999981374,2991780.559999999590218,3093716.919999999925494,3542832.700000000186265,12729956.660000000149012
FS( 184 ),3114679.520000000018626,2973034.159999999683350,3096323.799999999813735,3661743.940000000409782,12845781.420000001788139
FS( 185 ),3105186.400000000372529,3002872.179999999701977,3109358.200000000186265,3631229.680000000633299,12848646.460000000894070
FS( 186 ),3131885.799999999813735,2995061.179999999701977,3154978.599999999627471,3587817.640000000130385,12869743.219999998807907
FS( 187 ),3101923.140000000130385,3002559.739999999757856,3160844.080000000074506,3575549.020000000018626,12840875.980000000447035
FS( 188 ),3087683.459999999962747,2964910.719999999739230,3164754.400000000372529,3574605.280000000260770,12791953.859999999403954
FS( 189 ),3141378.920000000391155,2996154.719999999739230,3218195.440000000409782,3598827.940000000409782,12954557.020000003278255
FS( 190 ),3155025.279999999795109,2988031.279999999795109,3192778.360000000335276,3550382.620000000111759,12886217.539999999105930
FS( 191 ),3131885.799999999813735,2963036.079999999608845,3177788.799999999813735,3580582.299999999813735,12853292.980000000447035
FS( 192 ),3115866.160000000149012,2969441.100000000093132,3208419.639999999664724,3611096.560000000521541,12904823.459999999031425
FS( 193 ),3079970.299999999813735,2919919.359999999869615,3158237.200000000186265,3551011.780000000260770,12709138.640000000596046
FS( 194 ),3122689.340000000316650,2935853.799999999813735,3175181.919999999925494,3614556.940000000409782,12848282.000000000000000
FS( 195 ),3058314.120000000111759,2854306.959999999962747,3145202.799999999813735,3537799.419999999925494,12595623.299999998882413
FS( 196 ),3052380.920000000391155,2877271.299999999813735,3106751.320000000298023,3545978.500000000000000,12582382.040000000968575
FS( 197 ),3179351.400000000372529,2967410.239999999757856,3162147.520000000484288,3613927.780000000260770,12922836.940000001341105
FS( 198 ),3157695.220000000204891,2957880.819999999832362,3122392.599999999627471,3625567.240000000223517,12863535.880000000819564
FS( 199 ),3185284.600000000093132,2997873.140000000130385,3142595.919999999925494,3728434.899999999906868,13054188.560000000521541
FS( 200 ),3173121.540000000037253,2977095.879999999888241,3145854.520000000484288,3699493.540000000037253,12995565.480000000447035
FS( 201 ),3203084.200000000186265,3004434.379999999888241,3177788.799999999813735,3773734.419999999925494,13159041.799999998882413
FS( 202 ),3185284.600000000093132,2967722.679999999701977,3203857.599999999627471,3798900.820000000298023,13155765.699999999254942
FS( 203 ),3216730.560000000521541,3017088.199999999720603,3323122.360000000335276,3747938.860000000335276,13304879.980000000447035
FS( 204 ),3210500.700000000186265,2998810.459999999962747,3306177.639999999664724,3744793.060000000521541,13260281.860000001266599
FS( 205 ),3177571.439999999944121,2988187.500000000000000,3280108.839999999850988,3715851.700000000186265,13161719.480000000447035
FS( 206 ),3114976.180000000167638,2926793.039999999571592,3226016.080000000074506,3666148.060000000521541,12933933.360000001266599
FS( 207 ),3122096.020000000018626,2925074.620000000111759,3237095.320000000298023,3657025.240000000223517,12941291.200000001117587
FS( 208 ),3129215.860000000335276,2937884.659999999683350,3254691.759999999776483,3712391.320000000298023,13034183.599999999627471
FS( 209 ),3148202.100000000093132,2984125.779999999795109,3287929.480000000447035,3806450.740000000223517,13226708.099999999627471
FS( 210 ),3111712.920000000391155,2936478.679999999701977,3269681.320000000298023,3721199.560000000521541,13039072.480000000447035
FS( 211 ),3128029.220000000204891,3003028.399999999906868,3244264.240000000223517,3694774.840000000316650,13070096.699999999254942
FS( 212 ),3144642.180000000167638,2992405.439999999944121,3247522.839999999850988,3691943.620000000111759,13076514.080000001937151
FS( 213 ),3133665.760000000242144,3000216.439999999944121,3250129.719999999739230,3702639.340000000316650,13086651.259999999776483
FS( 214 ),3127732.560000000521541,3005527.919999999459833,3246219.400000000372529,3691629.040000000037253,13071108.920000001788139
FS( 215 ),3155321.939999999944121,3008183.659999999683350,3285974.320000000298023,3718053.760000000242144,13167533.679999999701977
FS( 216 ),3167485.000000000000000,3044582.919999999459833,3282064.000000000000000,3729378.640000000130385,13223510.560000000521541
FS( 217 ),3172824.880000000353903,3056299.419999999459833,3257950.360000000335276,3743534.740000000223517,13230609.400000000372529
FS( 218 ),3159771.840000000316650,3055362.100000000093132,3235140.160000000149012,3755174.200000000186265,13205448.300000000745058
FS( 219 ),3164221.740000000223517,3088793.179999999701977,3243612.520000000484288,3772476.100000000093132,13269103.540000000968575
FS( 220 ),3173714.860000000335276,3141595.539999999571592,3253388.320000000298023,3690685.299999999813735,13259384.019999999552965
FS( 221 ),3206940.779999999795109,3127691.959999999962747,3255343.480000000447035,3825325.540000000037253,13415301.760000001639128
FS( 222 ),3165111.720000000204891,3083013.039999999571592,3211678.240000000223517,3734411.919999999925494,13194214.919999999925494
FS( 223 ),3210500.700000000186265,3094729.539999999571592,3258602.080000000074506,3730322.380000000353903,13294154.700000001117587
FS( 224 ),3194481.060000000521541,3075045.819999999832362,3268377.879999999888241,3752342.980000000447035,13290247.740000002086163
FS( 225 ),3202194.220000000204891,3098166.379999999888241,3263815.839999999850988,3706099.720000000204891,13270276.160000000149012
