代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13650827.279999999329448
真實報酬,3650827.279999999329448

夏普值報酬,0.356382728000000
夏普值風險,0.100453615796802
夏普值,3.547734197252709

二次趨勢線,46.540992303853912 x^2 + 3835.770786109495930 x + 10000000.000000000000000
二次平均預期報酬,15517.559854376830117
風險,188559.362710941437399
二次平均趨勢值,0.082295355856527
一次趨勢線,12579.624879123981373 x + 10000000.000000000000000
一次預期報酬,12579.624879123981373
一次風險,377329.850488009629771
一次趨勢值,0.033338536198115
找到最佳解世代,2119
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
FS( 36 ),5370591.709999999962747,5162115.599999999627471,10532707.309999998658895
FS( 37 ),5384285.629999999888241,5039249.040000000037253,10423534.669999999925494
FS( 38 ),5423655.649999999441206,5073378.639999999664724,10497034.289999999105930
FS( 39 ),5458746.320000000298023,5196245.199999999254942,10654991.519999999552965
FS( 40 ),5543477.449999999254942,5255972.000000000000000,10799449.449999999254942
FS( 41 ),5478431.330000000074506,5269623.839999999850988,10748055.169999999925494
FS( 42 ),5504963.299999999813735,5247439.599999999627471,10752402.899999998509884
FS( 43 ),5528927.659999999217689,5250852.559999999590218,10779780.219999998807907
FS( 44 ),5540909.839999999850988,5213310.000000000000000,10754219.839999999850988
FS( 45 ),5541765.709999999962747,4965870.399999999441206,10507636.109999999403954
FS( 46 ),5520368.959999999962747,5025597.199999999254942,10545966.160000000149012
FS( 47 ),5528071.790000000037253,5056313.839999999850988,10584385.629999998956919
FS( 48 ),5510954.389999999664724,5040955.519999999552965,10551909.910000000149012
FS( 49 ),5470728.500000000000000,5010238.879999999888241,10480967.379999998956919
FS( 50 ),5532351.139999999664724,5040955.519999999552965,10573306.660000000149012
FS( 51 ),5530639.400000000372529,5030716.639999999664724,10561356.039999999105930
FS( 52 ),5518657.220000000670552,4979522.239999999292195,10498179.460000000894070
FS( 53 ),5490413.510000000707805,4974402.799999999813735,10464816.310000000521541
FS( 54 ),5444196.530000000260770,5013651.839999999850988,10457848.370000001043081
FS( 55 ),5366312.360000000335276,4906143.599999999627471,10272455.960000000894070
FS( 56 ),5321807.120000000111759,4805461.279999999329448,10127268.399999998509884
FS( 57 ),5366312.360000000335276,4959044.479999999515712,10325356.839999999850988
FS( 58 ),5376582.799999999813735,5051194.399999999441206,10427777.199999999254942
FS( 59 ),5376582.799999999813735,5051194.399999999441206,10427777.199999999254942
FS( 60 ),5408249.990000000223517,5109214.719999999739230,10517464.710000000894070
FS( 61 ),5357753.660000000149012,5092149.919999999925494,10449903.580000000074506
FS( 62 ),5381718.020000000484288,5131398.959999999962747,10513116.980000000447035
FS( 63 ),5296986.889999999664724,5011945.359999999403954,10308932.250000000000000
FS( 64 ),5348339.089999999850988,4914676.000000000000000,10263015.089999999850988
FS( 65 ),5184867.919999999925494,4788396.479999999515712,9973264.399999998509884
FS( 66 ),5167750.520000000484288,4870307.519999999552965,10038058.039999999105930
FS( 67 ),5203697.059999999590218,4854949.199999999254942,10058646.259999997913837
FS( 68 ),5275590.139999999664724,4964163.919999999925494,10239754.059999998658895
FS( 69 ),5298698.629999999888241,4982935.199999999254942,10281633.829999998211861
FS( 70 ),5318383.639999999664724,4974402.799999999813735,10292786.439999999478459
FS( 71 ),5268743.179999999701977,4964163.919999999925494,10232907.099999999627471
FS( 72 ),5301266.240000000223517,4998293.519999999552965,10299559.759999999776483
FS( 73 ),5276446.009999999776483,4902730.639999999664724,10179176.649999998509884
FS( 74 ),5402258.899999999441206,4969283.359999999403954,10371542.259999997913837
FS( 75 ),5427079.129999999888241,5051194.399999999441206,10478273.529999999329448
FS( 76 ),5397979.549999999813735,5124573.040000000037253,10522552.589999999850988
FS( 77 ),5430502.610000000335276,5177473.919999999925494,10607976.530000001192093
FS( 78 ),5464737.410000000149012,5230374.799999999813735,10695112.210000000894070
FS( 79 ),5356041.919999999925494,5097269.359999999403954,10453311.279999999329448
FS( 80 ),5421943.910000000149012,5331057.119999999180436,10753001.029999999329448
FS( 81 ),5319239.509999999776483,5174060.959999999962747,10493300.469999998807907
FS( 82 ),5319239.509999999776483,5254265.519999999552965,10573505.029999999329448
FS( 83 ),5377438.669999999925494,5266210.879999999888241,10643649.550000000745058
FS( 84 ),5379150.410000000149012,5184299.839999999850988,10563450.250000000000000
FS( 85 ),5463881.540000000037253,5274743.279999999329448,10738624.820000000298023
FS( 86 ),5470728.500000000000000,5402729.279999999329448,10873457.779999999329448
FS( 87 ),5488701.769999999552965,5390783.919999999925494,10879485.689999999478459
FS( 88 ),5474151.980000000447035,5418087.599999999627471,10892239.580000000074506
FS( 89 ),5414241.080000000074506,5344708.959999999962747,10758950.039999999105930
FS( 90 ),5397979.549999999813735,5274743.279999999329448,10672722.829999998211861
FS( 91 ),5409961.730000000447035,5216722.959999999962747,10626684.690000001341105
FS( 92 ),5351762.570000000298023,5151876.719999999739230,10503639.289999999105930
FS( 93 ),5326942.339999999850988,5232081.279999999329448,10559023.619999999180436
FS( 94 ),5403114.770000000484288,5293514.559999999590218,10696629.330000000074506
FS( 95 ),5353474.309999999590218,5424913.519999999552965,10778387.829999998211861
FS( 96 ),5418520.429999999701977,5470988.480000000447035,10889508.910000000149012
FS( 97 ),5477575.459999999962747,5453923.679999999701977,10931499.140000000596046
FS( 98 ),5451043.490000000223517,5349828.399999999441206,10800871.890000000596046
FS( 99 ),5367168.230000000447035,5365186.719999999739230,10732354.949999999254942
FS( 100 ),5284148.839999999850988,5310579.359999999403954,10594728.199999999254942
FS( 101 ),5211399.889999999664724,5232081.279999999329448,10443481.169999998062849
FS( 102 ),5219102.719999999739230,5213310.000000000000000,10432412.719999998807907
FS( 103 ),5273022.530000000260770,5407848.719999999739230,10680871.250000000000000
FS( 104 ),5368024.099999999627471,5508531.040000000037253,10876555.140000000596046
FS( 105 ),5409961.730000000447035,5581909.679999999701977,10991871.410000000149012
FS( 106 ),5362033.009999999776483,5506824.560000000521541,10868857.570000000298023
FS( 107 ),5421943.910000000149012,5438565.359999999403954,10860509.269999999552965
FS( 108 ),5380862.149999999441206,5515356.959999999962747,10896219.109999999403954
FS( 109 ),5452755.230000000447035,5587029.120000000111759,11039784.350000001490116
FS( 110 ),5436493.700000000186265,5590442.079999999143183,11026935.779999999329448
FS( 111 ),5423655.649999999441206,5563138.399999999441206,10986794.049999998882413
FS( 112 ),5461313.929999999701977,5595561.519999999552965,11056875.449999999254942
FS( 113 ),5468160.889999999664724,5482933.839999999850988,10951094.730000000447035
FS( 114 ),5475863.719999999739230,5506824.560000000521541,10982688.280000001192093
FS( 115 ),5454466.969999999739230,5474401.439999999478459,10928868.410000000149012
FS( 116 ),5438205.439999999478459,5540954.159999999217689,10979159.599999997764826
FS( 117 ),5456178.709999999962747,5506824.560000000521541,10963003.269999999552965
FS( 118 ),5480143.070000000298023,5532421.759999999776483,11012564.830000000074506
FS( 119 ),5574288.769999999552965,5489759.759999999776483,11064048.529999999329448
FS( 120 ),5617938.139999999664724,5467575.519999999552965,11085513.660000000149012
FS( 121 ),5582847.470000000670552,5440271.839999999850988,11023119.310000000521541
FS( 122 ),5601676.610000000335276,5465869.040000000037253,11067545.650000000372529
FS( 123 ),5546045.059999999590218,5424913.519999999552965,10970958.579999998211861
FS( 124 ),5597397.260000000707805,5404435.759999999776483,11001833.019999999552965
FS( 125 ),5578568.120000000111759,5447097.759999999776483,11025665.879999998956919
FS( 126 ),5549468.540000000037253,5435152.399999999441206,10984620.939999999478459
FS( 127 ),5546045.059999999590218,5462456.079999999143183,11008501.139999998733401
FS( 128 ),5519513.089999999850988,5406142.239999999292195,10925655.329999998211861
FS( 129 ),5540909.839999999850988,5470988.480000000447035,11011898.320000000298023
FS( 130 ),5532351.139999999664724,5482933.839999999850988,11015284.980000000447035
FS( 131 ),5522936.570000000298023,5443684.799999999813735,10966621.370000001043081
FS( 132 ),5592262.040000000037253,5525595.839999999850988,11117857.879999998956919
FS( 133 ),5581135.729999999515712,5534128.239999999292195,11115263.969999998807907
FS( 134 ),5589694.429999999701977,5489759.759999999776483,11079454.189999999478459
FS( 135 ),5730057.110000000335276,5609213.359999999403954,11339270.469999998807907
FS( 136 ),5780553.440000000409782,5694537.359999999403954,11475090.800000000745058
FS( 137 ),5858437.610000000335276,5757677.120000000111759,11616114.730000000447035
FS( 138 ),5869563.919999999925494,5726960.480000000447035,11596524.400000000372529
FS( 139 ),5861005.220000000670552,5711602.159999999217689,11572607.379999998956919
FS( 140 ),5859293.479999999515712,5703069.759999999776483,11562363.239999998360872
FS( 141 ),5839608.470000000670552,5750851.200000000186265,11590459.670000001788139
FS( 142 ),5858437.610000000335276,5742318.799999999813735,11600756.410000000149012
FS( 143 ),5872131.530000000260770,5759383.599999999627471,11631515.129999998956919
FS( 144 ),5855870.000000000000000,5706482.719999998807907,11562352.719999998807907
FS( 145 ),5861005.220000000670552,5740612.319999999366701,11601617.539999999105930
FS( 146 ),5801094.320000000298023,5653581.839999999850988,11454676.160000000149012
FS( 147 ),5855014.129999999888241,5713308.639999998733401,11568322.769999999552965
FS( 148 ),5842176.080000000074506,5728666.959999999962747,11570843.039999999105930
FS( 149 ),5911501.549999999813735,5832762.239999999292195,11744263.789999999105930
FS( 150 ),5879834.360000000335276,5802045.599999999627471,11681879.960000000894070
FS( 151 ),5906366.330000000074506,5909553.839999999850988,11815920.169999999925494
FS( 152 ),5929474.820000000298023,5959041.759999999776483,11888516.580000000074506
FS( 153 ),5953439.179999999701977,5984638.959999999962747,11938078.140000000596046
FS( 154 ),5951727.440000000409782,5918086.239999999292195,11869813.679999999701977
FS( 155 ),5932898.299999999813735,5834468.719999998807907,11767367.019999999552965
FS( 156 ),5939745.260000000707805,5861772.399999999441206,11801517.660000000149012
FS( 157 ),5919204.379999999888241,5931738.079999999143183,11850942.459999999031425
FS( 158 ),5881546.099999999627471,5935151.040000000037253,11816697.140000000596046
FS( 159 ),5973124.190000000409782,5967574.159999999217689,11940698.349999999627471
FS( 160 ),6033035.089999999850988,6022181.519999999552965,12055216.609999999403954
FS( 161 ),6109207.519999999552965,6081908.319999999366701,12191115.839999999850988
FS( 162 ),6328310.240000000223517,6052898.159999999217689,12381208.399999998509884
FS( 163 ),6291507.830000000074506,5970987.120000000111759,12262494.949999999254942
FS( 164 ),6332589.589999999850988,5930031.599999999627471,12262621.189999999478459
FS( 165 ),6280381.519999999552965,5829349.279999999329448,12109730.799999998882413
FS( 166 ),6263264.120000000111759,5822523.359999999403954,12085787.480000000447035
FS( 167 ),6172541.900000000372529,5868598.319999999366701,12041140.219999998807907
FS( 168 ),6124613.179999999701977,5901021.439999999478459,12025634.619999999180436
FS( 169 ),6071549.240000000223517,5919792.719999998807907,11991341.959999999031425
FS( 170 ),6010782.470000000670552,6138222.159999999217689,12149004.629999998956919
FS( 171 ),5958574.400000000372529,6117744.399999999441206,12076318.800000000745058
FS( 172 ),5914925.030000000260770,6037539.839999999850988,11952464.870000001043081
FS( 173 ),6005647.250000000000000,6138222.159999999217689,12143869.410000000149012
FS( 174 ),5880690.229999999515712,6081908.319999999366701,11962598.549999998882413
FS( 175 ),5905510.459999999962747,6061430.560000000521541,11966941.019999999552965
FS( 176 ),5903798.720000000670552,6097266.639999998733401,12001065.359999999403954
FS( 177 ),5856725.870000000111759,6110918.480000000447035,11967644.350000001490116
FS( 178 ),5839608.470000000670552,6076788.879999999888241,11916397.350000001490116
FS( 179 ),5825914.549999999813735,5970987.120000000111759,11796901.669999999925494
FS( 180 ),5847311.299999999813735,5972693.599999999627471,11820004.899999998509884
FS( 181 ),5875555.010000000707805,6088734.239999999292195,11964289.250000000000000
FS( 182 ),5951727.440000000409782,6213307.279999999329448,12165034.719999998807907
FS( 183 ),5960286.139999999664724,6244023.919999999925494,12204310.059999998658895
FS( 184 ),6009926.599999999627471,6257675.759999999776483,12267602.359999999403954
FS( 185 ),6099792.949999999254942,6319109.040000000037253,12418901.989999998360872
FS( 186 ),6064702.280000000260770,6281566.480000000447035,12346268.760000001639128
FS( 187 ),6062134.669999999925494,6262795.200000000186265,12324929.870000001043081
FS( 188 ),6073260.979999999515712,6283272.959999999962747,12356533.939999999478459
FS( 189 ),6092090.120000000111759,6322521.999999999068677,12414612.119999999180436
FS( 190 ),6061278.799999999813735,6387368.239999999292195,12448647.039999999105930
FS( 191 ),6072405.110000000335276,6341293.279999999329448,12413698.390000000596046
FS( 192 ),6036458.570000000298023,6296924.799999999813735,12333383.370000001043081
FS( 193 ),6333445.459999999962747,6317402.560000000521541,12650848.019999999552965
FS( 194 ),6260696.510000000707805,6334467.359999999403954,12595163.870000001043081
FS( 195 ),6281237.389999999664724,6337880.319999999366701,12619117.709999999031425
FS( 196 ),6276958.040000000037253,6342999.759999999776483,12619957.800000000745058
FS( 197 ),6284660.870000000111759,6353238.639999998733401,12637899.509999997913837
FS( 198 ),6274390.429999999701977,6308870.159999999217689,12583260.589999999850988
FS( 199 ),6267543.470000000670552,6279859.999999999068677,12547403.469999998807907
FS( 200 ),6279525.650000000372529,6264501.679999999701977,12544027.330000000074506
FS( 201 ),6349706.990000000223517,6361771.040000000037253,12711478.030000001192093
FS( 202 ),6361689.169999999925494,6430030.239999999292195,12791719.410000000149012
FS( 203 ),6284660.870000000111759,6363477.519999999552965,12648138.390000000596046
FS( 204 ),6318039.799999999813735,6505115.359999999403954,12823155.160000000149012
FS( 205 ),6232452.799999999813735,6431736.719999998807907,12664189.519999999552965
FS( 206 ),6193082.780000000260770,6450507.999999999068677,12643590.779999999329448
FS( 207 ),6185379.949999999254942,6389074.719999998807907,12574454.669999998062849
FS( 208 ),6146865.799999999813735,6373716.399999999441206,12520582.199999999254942
FS( 209 ),6097225.339999999850988,6341293.279999999329448,12438518.619999999180436
FS( 210 ),6146865.799999999813735,6467572.799999999813735,12614438.599999999627471
FS( 211 ),6235876.280000000260770,6629688.399999999441206,12865564.679999999701977
FS( 212 ),6283805.000000000000000,6634807.839999999850988,12918612.839999999850988
FS( 213 ),6338580.679999999701977,6687708.719999998807907,13026289.399999998509884
FS( 214 ),6252993.679999999701977,6735490.159999999217689,12988483.839999999850988
FS( 215 ),6264119.990000000223517,6798629.919999999925494,13062749.910000000149012
FS( 216 ),6328310.240000000223517,6902725.200000000186265,13231035.440000001341105
FS( 217 ),6371959.610000000335276,6848117.839999999850988,13220077.449999999254942
FS( 218 ),6406194.409999999217689,6875421.519999999552965,13281615.929999999701977
FS( 219 ),6414753.110000000335276,6853237.279999999329448,13267990.390000000596046
FS( 220 ),6466961.179999999701977,6844704.879999999888241,13311666.059999998658895
FS( 221 ),6466105.309999999590218,6834465.999999999068677,13300571.309999998658895
FS( 222 ),6496060.760000000707805,6820814.159999999217689,13316874.919999999925494
FS( 223 ),6531151.429999999701977,6752554.959999999962747,13283706.390000000596046
FS( 224 ),6671514.110000000335276,6784978.079999999143183,13456492.189999999478459
FS( 225 ),6644982.139999999664724,6784978.079999999143183,13429960.219999998807907
FS( 226 ),6683496.290000000037253,6807162.319999999366701,13490658.609999999403954
FS( 227 ),6705748.909999999217689,6819107.679999999701977,13524856.589999999850988
FS( 228 ),6620161.909999999217689,6670643.919999999925494,13290805.829999998211861
FS( 229 ),6659531.929999999701977,6684295.759999999776483,13343827.689999999478459
FS( 230 ),6639846.919999999925494,6612623.599999999627471,13252470.519999999552965
FS( 231 ),6715163.479999999515712,6737196.639999998733401,13452360.119999997317791
FS( 232 ),6837552.889999999664724,6764500.319999999366701,13602053.209999999031425
FS( 233 ),6675793.459999999962747,6682589.279999999329448,13358382.739999998360872
FS( 234 ),6731425.010000000707805,6805455.839999999850988,13536880.850000001490116
FS( 235 ),6757956.979999999515712,6861769.679999999701977,13619726.660000000149012
FS( 236 ),6771650.900000000372529,6701360.560000000521541,13473011.460000000894070
FS( 237 ),6749398.280000000260770,6732077.200000000186265,13481475.480000000447035
FS( 238 ),6779353.729999999515712,6668937.439999999478459,13448291.169999998062849
FS( 239 ),6838408.760000000707805,6689415.200000000186265,13527823.960000000894070
FS( 240 ),6846111.589999999850988,6602384.719999998807907,13448496.309999998658895
FS( 241 ),6876067.040000000037253,6653579.120000000111759,13529646.160000000149012
FS( 242 ),6880346.389999999664724,6740609.599999999627471,13620955.989999998360872
FS( 243 ),6898319.659999999217689,6723544.799999999813735,13621864.459999999031425
FS( 244 ),6856382.030000000260770,6629688.399999999441206,13486070.429999999701977
FS( 245 ),6879490.519999999552965,6716718.879999999888241,13596209.399999998509884
FS( 246 ),6933410.330000000074506,6802042.879999999888241,13735453.210000000894070
FS( 247 ),6782777.209999999962747,6650166.159999999217689,13432943.369999999180436
FS( 248 ),6850390.940000000409782,6733783.679999999701977,13584174.620000001043081
FS( 249 ),6913725.320000000298023,6820814.159999999217689,13734539.480000000447035
FS( 250 ),6882914.000000000000000,6767913.279999999329448,13650827.279999999329448
