代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13539401.320000000298023
真實報酬,3539401.320000000298023

夏普值報酬,0.345240132000000
夏普值風險,0.111647854376513
夏普值,3.092223616190030

二次趨勢線,81.969118649072541 x^2 + -5731.437141001129930 x + 10000000.000000000000000
二次平均預期報酬,15006.749877214222579
風險,334761.017772701859940
二次平均趨勢值,0.044828247855919
一次趨勢線,9791.403835009583418 x + 10000000.000000000000000
一次預期報酬,9791.403835009583418
一次風險,673888.180414101807401
一次趨勢值,0.014529715937432
找到最佳解世代,2188
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
FS( 37 ),9842374.839999997988343,9842374.839999997988343
FS( 38 ),9862845.639999998733401,9862845.639999998733401
FS( 39 ),9672467.199999999254942,9672467.199999999254942
FS( 40 ),9551689.479999998584390,9551689.479999998584390
FS( 41 ),9711361.719999998807907,9711361.719999998807907
FS( 42 ),9443194.240000000223517,9443194.240000000223517
FS( 43 ),9408393.879999998956919,9408393.879999998956919
FS( 44 ),9555783.639999998733401,9555783.639999998733401
FS( 45 ),9471853.359999999403954,9471853.359999999403954
FS( 46 ),9553736.560000000521541,9553736.560000000521541
FS( 47 ),9396111.399999998509884,9396111.399999998509884
FS( 48 ),9332651.919999999925494,9332651.919999999925494
FS( 49 ),9494371.240000000223517,9494371.240000000223517
FS( 50 ),9346981.479999998584390,9346981.479999998584390
FS( 51 ),9416582.199999999254942,9416582.199999999254942
FS( 52 ),9420676.359999999403954,9420676.359999999403954
FS( 53 ),9402252.639999998733401,9402252.639999998733401
FS( 54 ),9582395.679999999701977,9582395.679999999701977
FS( 55 ),9590584.000000000000000,9590584.000000000000000
FS( 56 ),9717502.959999999031425,9717502.959999999031425
FS( 57 ),9725691.279999999329448,9725691.279999999329448
FS( 58 ),9766632.879999998956919,9766632.879999998956919
FS( 59 ),9909928.479999998584390,9909928.479999998584390
FS( 60 ),9928352.199999999254942,9928352.199999999254942
FS( 61 ),9940634.679999999701977,9940634.679999999701977
FS( 62 ),10108495.240000000223517,10108495.240000000223517
FS( 63 ),10028659.119999999180436,10028659.119999999180436
FS( 64 ),9981576.279999999329448,9981576.279999999329448
FS( 65 ),10077789.039999999105930,10077789.039999999105930
FS( 66 ),9920163.879999998956919,9920163.879999998956919
FS( 67 ),9973387.959999999031425,9973387.959999999031425
FS( 68 ),9879222.279999999329448,9879222.279999999329448
FS( 69 ),9758444.560000000521541,9758444.560000000521541
FS( 70 ),9932446.359999999403954,9932446.359999999403954
FS( 71 ),9807574.479999998584390,9807574.479999998584390
FS( 72 ),9871033.959999999031425,9871033.959999999031425
FS( 73 ),9881269.359999999403954,9881269.359999999403954
FS( 74 ),9981576.279999999329448,9981576.279999999329448
FS( 75 ),10063459.479999998584390,10063459.479999998584390
FS( 76 ),10438075.119999999180436,10438075.119999999180436
FS( 77 ),10384851.039999999105930,10384851.039999999105930
FS( 78 ),10302967.839999997988343,10302967.839999997988343
FS( 79 ),10133060.199999999254942,10133060.199999999254942
FS( 80 ),10167860.560000000521541,10167860.560000000521541
FS( 81 ),10223131.719999998807907,10223131.719999998807907
FS( 82 ),10327532.800000000745058,10327532.800000000745058
FS( 83 ),10270214.560000000521541,10270214.560000000521541
FS( 84 ),10190378.439999999478459,10190378.439999999478459
FS( 85 ),10200613.839999997988343,10200613.839999997988343
FS( 86 ),10208802.159999998286366,10208802.159999998286366
FS( 87 ),10196519.679999999701977,10196519.679999999701977
FS( 88 ),10321391.560000000521541,10321391.560000000521541
FS( 89 ),10309109.079999998211861,10309109.079999998211861
FS( 90 ),10233367.119999999180436,10233367.119999999180436
FS( 91 ),10161719.320000000298023,10161719.320000000298023
FS( 92 ),10188331.359999999403954,10188331.359999999403954
FS( 93 ),10219037.560000000521541,10219037.560000000521541
FS( 94 ),10225178.800000000745058,10225178.800000000745058
FS( 95 ),10088024.439999999478459,10088024.439999999478459
FS( 96 ),10235414.199999999254942,10235414.199999999254942
FS( 97 ),10266120.399999998509884,10266120.399999998509884
FS( 98 ),10251790.839999997988343,10251790.839999997988343
FS( 99 ),10350050.679999999701977,10350050.679999999701977
FS( 100 ),10333674.039999999105930,10333674.039999999105930
FS( 101 ),10331626.959999999031425,10331626.959999999031425
FS( 102 ),10221084.639999998733401,10221084.639999998733401
FS( 103 ),10253837.919999999925494,10253837.919999999925494
FS( 104 ),10116683.560000000521541,10116683.560000000521541
FS( 105 ),10315250.320000000298023,10315250.320000000298023
FS( 106 ),10321391.560000000521541,10321391.560000000521541
FS( 107 ),10278402.879999998956919,10278402.879999998956919
FS( 108 ),10257932.079999998211861,10257932.079999998211861
FS( 109 ),10384851.039999999105930,10384851.039999999105930
FS( 110 ),10485157.959999999031425,10485157.959999999031425
FS( 111 ),10522005.399999998509884,10522005.399999998509884
FS( 112 ),10479016.719999998807907,10479016.719999998807907
FS( 113 ),10456498.839999997988343,10456498.839999997988343
FS( 114 ),10587511.959999999031425,10587511.959999999031425
FS( 115 ),10745137.119999999180436,10745137.119999999180436
FS( 116 ),10722619.240000000223517,10722619.240000000223517
FS( 117 ),10710336.759999999776483,10710336.759999999776483
FS( 118 ),10708289.679999999701977,10708289.679999999701977
FS( 119 ),10685771.800000000745058,10685771.800000000745058
FS( 120 ),10689865.959999999031425,10689865.959999999031425
FS( 121 ),10585464.879999998956919,10585464.879999998956919
FS( 122 ),10526099.560000000521541,10526099.560000000521541
FS( 123 ),10470828.399999998509884,10470828.399999998509884
FS( 124 ),10407368.919999999925494,10407368.919999999925494
FS( 125 ),10415557.240000000223517,10415557.240000000223517
FS( 126 ),10452404.679999999701977,10452404.679999999701977
FS( 127 ),10493346.279999999329448,10493346.279999999329448
FS( 128 ),10436028.039999999105930,10436028.039999999105930
FS( 129 ),10444216.359999999403954,10444216.359999999403954
FS( 130 ),10382803.959999999031425,10382803.959999999031425
FS( 131 ),10374615.639999998733401,10374615.639999998733401
FS( 132 ),10577276.560000000521541,10577276.560000000521541
FS( 133 ),10632547.719999998807907,10632547.719999998807907
FS( 134 ),10622312.320000000298023,10622312.320000000298023
FS( 135 ),10579323.639999998733401,10579323.639999998733401
FS( 136 ),10702148.439999999478459,10702148.439999999478459
FS( 137 ),10722619.240000000223517,10722619.240000000223517
FS( 138 ),10849538.199999999254942,10849538.199999999254942
FS( 139 ),10904809.359999999403954,10904809.359999999403954
FS( 140 ),10931421.399999998509884,10931421.399999998509884
FS( 141 ),10972363.000000000000000,10972363.000000000000000
FS( 142 ),10872056.079999998211861,10872056.079999998211861
FS( 143 ),10769702.079999998211861,10769702.079999998211861
FS( 144 ),11230295.079999998211861,11230295.079999998211861
FS( 145 ),11021492.919999999925494,11021492.919999999925494
FS( 146 ),11056293.279999999329448,11056293.279999999329448
FS( 147 ),11201635.959999999031425,11201635.959999999031425
FS( 148 ),11246671.719999998807907,11246671.719999998807907
FS( 149 ),11242577.560000000521541,11242577.560000000521541
FS( 150 ),11392014.399999998509884,11392014.399999998509884
FS( 151 ),11185259.320000000298023,11185259.320000000298023
FS( 152 ),11201635.959999999031425,11201635.959999999031425
FS( 153 ),11312178.279999999329448,11312178.279999999329448
FS( 154 ),11506650.879999998956919,11506650.879999998956919
FS( 155 ),11498462.560000000521541,11498462.560000000521541
FS( 156 ),11453426.800000000745058,11453426.800000000745058
FS( 157 ),11498462.560000000521541,11498462.560000000521541
FS( 158 ),11545545.399999998509884,11545545.399999998509884
FS( 159 ),11580345.759999999776483,11580345.759999999776483
FS( 160 ),11566016.199999999254942,11566016.199999999254942
FS( 161 ),11678605.599999997764826,11678605.599999997764826
FS( 162 ),11668370.199999999254942,11668370.199999999254942
FS( 163 ),11566016.199999999254942,11566016.199999999254942
FS( 164 ),11437050.159999998286366,11437050.159999998286366
FS( 165 ),11615146.119999999180436,11615146.119999999180436
FS( 166 ),11762535.879999998956919,11762535.879999998956919
FS( 167 ),11772771.279999999329448,11772771.279999999329448
FS( 168 ),11793242.079999998211861,11793242.079999998211861
FS( 169 ),11754347.560000000521541,11754347.560000000521541
FS( 170 ),11850560.320000000298023,11850560.320000000298023
FS( 171 ),11950867.240000000223517,11950867.240000000223517
FS( 172 ),11783006.679999999701977,11783006.679999999701977
FS( 173 ),11721594.279999999329448,11721594.279999999329448
FS( 174 ),11807571.639999998733401,11807571.639999998733401
FS( 175 ),11715453.039999999105930,11715453.039999999105930
FS( 176 ),11572157.439999999478459,11572157.439999999478459
FS( 177 ),11627428.599999997764826,11627428.599999997764826
FS( 178 ),11705217.639999998733401,11705217.639999998733401
FS( 179 ),11768677.119999999180436,11768677.119999999180436
FS( 180 ),11752300.479999998584390,11752300.479999998584390
FS( 181 ),11766630.039999999105930,11766630.039999999105930
FS( 182 ),11494368.399999998509884,11494368.399999998509884
FS( 183 ),10939609.719999998807907,10939609.719999998807907
FS( 184 ),10632547.719999998807907,10632547.719999998807907
FS( 185 ),10597747.359999999403954,10597747.359999999403954
FS( 186 ),11132035.240000000223517,11132035.240000000223517
FS( 187 ),11527121.679999999701977,11527121.679999999701977
FS( 188 ),11514839.199999999254942,11514839.199999999254942
FS( 189 ),11439097.240000000223517,11439097.240000000223517
FS( 190 ),11119752.759999999776483,11119752.759999999776483
FS( 191 ),11330602.000000000000000,11330602.000000000000000
FS( 192 ),11346978.639999998733401,11346978.639999998733401
FS( 193 ),11228248.000000000000000,11228248.000000000000000
FS( 194 ),11439097.240000000223517,11439097.240000000223517
FS( 195 ),11244624.639999998733401,11244624.639999998733401
FS( 196 ),11297848.719999998807907,11297848.719999998807907
FS( 197 ),11445238.479999998584390,11445238.479999998584390
FS( 198 ),11453426.800000000745058,11453426.800000000745058
FS( 199 ),11651993.560000000521541,11651993.560000000521541
FS( 200 ),11830089.519999999552965,11830089.519999999552965
FS( 201 ),11799383.320000000298023,11799383.320000000298023
FS( 202 ),11776865.439999999478459,11776865.439999999478459
FS( 203 ),11930396.439999999478459,11930396.439999999478459
FS( 204 ),11871031.119999999180436,11871031.119999999180436
FS( 205 ),11815759.959999999031425,11815759.959999999031425
FS( 206 ),11750253.399999998509884,11750253.399999998509884
FS( 207 ),12794264.199999999254942,12794264.199999999254942
FS( 208 ),12501531.759999999776483,12501531.759999999776483
FS( 209 ),12249740.919999999925494,12249740.919999999925494
FS( 210 ),12587509.119999999180436,12587509.119999999180436
FS( 211 ),12675533.560000000521541,12675533.560000000521541
FS( 212 ),12816782.079999998211861,12816782.079999998211861
FS( 213 ),12720569.320000000298023,12720569.320000000298023
FS( 214 ),12610027.000000000000000,12610027.000000000000000
FS( 215 ),12497437.599999997764826,12497437.599999997764826
FS( 216 ),12786075.879999998956919,12786075.879999998956919
FS( 217 ),12788122.959999999031425,12788122.959999999031425
FS( 218 ),12941653.959999999031425,12941653.959999999031425
FS( 219 ),12878194.479999998584390,12878194.479999998584390
FS( 220 ),12880241.560000000521541,12880241.560000000521541
FS( 221 ),13183209.400000000372529,13183209.400000000372529
FS( 222 ),13355164.119999997317791,13355164.119999997317791
FS( 223 ),13635614.079999998211861,13635614.079999998211861
FS( 224 ),13549636.719999998807907,13549636.719999998807907
FS( 225 ),13559872.119999997317791,13559872.119999997317791
FS( 226 ),13553730.879999997094274,13553730.879999997094274
FS( 227 ),13361305.359999997541308,13361305.359999997541308
FS( 228 ),13447282.719999998807907,13447282.719999998807907
FS( 229 ),13389964.479999998584390,13389964.479999998584390
FS( 230 ),13439094.400000000372529,13439094.400000000372529
FS( 231 ),13420670.679999999701977,13420670.679999999701977
FS( 232 ),13412482.359999997541308,13412482.359999997541308
FS( 233 ),13428858.999999998137355,13428858.999999998137355
FS( 234 ),13449329.800000000745058,13449329.800000000745058
FS( 235 ),13342881.640000000596046,13342881.640000000596046
FS( 236 ),13496412.640000000596046,13496412.640000000596046
FS( 237 ),13488224.320000000298023,13488224.320000000298023
FS( 238 ),13355164.119999997317791,13355164.119999997317791
FS( 239 ),13306034.199999999254942,13306034.199999999254942
FS( 240 ),13041960.879999998956919,13041960.879999998956919
FS( 241 ),12894571.119999999180436,12894571.119999999180436
FS( 242 ),12472872.639999998733401,12472872.639999998733401
FS( 243 ),12636639.039999999105930,12636639.039999999105930
FS( 244 ),12546567.519999999552965,12546567.519999999552965
FS( 245 ),12874100.320000000298023,12874100.320000000298023
FS( 246 ),12874100.320000000298023,12874100.320000000298023
FS( 247 ),13578295.839999997988343,13578295.839999997988343
FS( 248 ),13557825.040000000968575,13557825.040000000968575
FS( 249 ),13563966.280000001192093,13563966.280000001192093
FS( 250 ),13729779.759999997913837,13729779.759999997913837
FS( 251 ),13750250.560000000521541,13750250.560000000521541
FS( 252 ),13539401.320000000298023,13539401.320000000298023
