代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12295825.689999999478459
真實報酬,2295825.689999999478459

夏普值報酬,0.220882569000000
夏普值風險,0.057050767588123
夏普值,3.871684437178098

二次趨勢線,5.144551195443579 x^2 + 7130.920790968732945 x + 10000000.000000000000000
二次平均預期報酬,8437.636794611404184
風險,213497.632091251201928
二次平均趨勢值,0.039520985370953
一次趨勢線,8109.024781861017800 x + 10000000.000000000000000
一次預期報酬,8109.024781861017800
一次風險,216679.723650412342977
一次趨勢值,0.037424012940611
找到最佳解世代,2804
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),IBM[10](2),KO[14](5),MCD[15](1),
FS( 44 ),2708859.309999999590218,2572562.879999999888241,2641769.250000000000000,2458912.000000000000000,10382103.439999999478459
FS( 45 ),2723243.559999999590218,2575353.759999999776483,2587491.880000000353903,2385403.000000000000000,10271492.199999999254942
FS( 46 ),2745107.619999999646097,2565062.390000000596046,2572099.790000000037253,2396638.000000000000000,10278907.800000000745058
FS( 47 ),2743381.509999999776483,2593145.620000000111759,2553467.259999999776483,2382193.000000000000000,10272187.390000000596046
FS( 48 ),2762944.089999999850988,2580412.230000000447035,2548606.600000000093132,2387329.000000000000000,10279291.919999999925494
FS( 49 ),2814727.389999999664724,2575353.759999999776483,2554277.370000000111759,2361328.000000000000000,10305686.519999999552965
FS( 50 ),2808398.319999999832362,2569074.280000000260770,2539695.390000000130385,2372242.000000000000000,10289409.990000000223517
FS( 51 ),2830837.750000000000000,2600820.540000000037253,2553467.259999999776483,2362612.000000000000000,10347737.550000000745058
FS( 52 ),2841194.409999999683350,2595936.500000000000000,2568049.239999999757856,2332759.000000000000000,10337939.150000000372529
FS( 53 ),2864209.209999999497086,2616519.240000000223517,2557517.810000000055879,2377378.000000000000000,10415624.259999999776483
FS( 54 ),2799767.769999999552965,2627857.190000000409782,2571289.679999999701977,2397280.000000000000000,10396194.640000000596046
FS( 55 ),2785383.519999999552965,2715769.910000000149012,2568859.350000000093132,2418787.000000000000000,10488799.779999999329448
FS( 56 ),2734750.959999999497086,2717688.640000000596046,2549416.709999999962747,2412688.000000000000000,10414544.309999998658895
FS( 57 ),2685269.139999999664724,2712455.740000000223517,2542935.830000000074506,2407873.000000000000000,10348533.710000000894070
FS( 58 ),2773876.119999999646097,2784495.330000000074506,2562378.469999999739230,2419750.000000000000000,10540499.919999998062849
FS( 59 ),2806096.839999999850988,2816067.160000000149012,2550226.820000000298023,2422960.000000000000000,10595350.820000000298023
FS( 60 ),2826234.789999999571592,2809089.959999999962747,2550226.820000000298023,2413009.000000000000000,10598560.570000000298023
FS( 61 ),2821056.459999999497086,2809613.250000000000000,2539695.390000000130385,2386687.000000000000000,10557052.099999999627471
FS( 62 ),2762368.719999999739230,2777169.270000000484288,2520252.750000000000000,2352340.000000000000000,10412130.740000000223517
FS( 63 ),2788835.739999999757856,2825835.240000000223517,2546176.270000000018626,2364859.000000000000000,10525706.250000000000000
FS( 64 ),2836016.079999999608845,2853046.320000000298023,2554277.370000000111759,2358439.000000000000000,10601778.769999999552965
FS( 65 ),2830262.379999999422580,2848511.140000000596046,2546176.270000000018626,2363896.000000000000000,10588845.789999999105930
FS( 66 ),2822782.569999999832362,2852523.030000000260770,2534834.729999999981374,2369995.000000000000000,10580135.330000000074506
FS( 67 ),2848098.849999999627471,2860721.240000000223517,2534024.620000000111759,2377057.000000000000000,10619901.710000000894070
FS( 68 ),2892402.339999999850988,2875024.500000000000000,2532404.400000000372529,2357797.000000000000000,10657628.240000000223517
FS( 69 ),2919444.729999999515712,2896479.390000000596046,2546986.380000000353903,2419108.000000000000000,10782018.500000000000000
FS( 70 ),2944185.639999999664724,2872059.190000000409782,2558327.919999999925494,2437405.000000000000000,10811977.750000000000000
FS( 71 ),2914266.399999999441206,2862291.110000000335276,2573720.009999999776483,2431948.000000000000000,10782225.519999999552965
FS( 72 ),2933253.609999999403954,2858104.790000000037253,2575340.229999999981374,2444146.000000000000000,10810844.629999998956919
FS( 73 ),2952240.819999999832362,2847115.700000000186265,2557517.810000000055879,2447356.000000000000000,10804230.330000000074506
FS( 74 ),2957994.519999999552965,2840487.360000000335276,2559948.140000000130385,2444467.000000000000000,10802897.019999999552965
FS( 75 ),2985036.909999999683350,2850255.440000000409782,2568049.239999999757856,2440294.000000000000000,10843635.589999999850988
FS( 76 ),2945336.379999999422580,2864907.560000000521541,2615035.620000000111759,2439010.000000000000000,10864289.559999998658895
FS( 77 ),2881470.309999999590218,2875373.360000000335276,2615035.620000000111759,2443825.000000000000000,10815704.289999999105930
FS( 78 ),2783082.039999999571592,2824963.089999999850988,2582631.219999999739230,2430022.000000000000000,10620698.349999997764826
FS( 79 ),2816453.500000000000000,2794088.980000000447035,2589112.100000000093132,2413651.000000000000000,10613305.580000000074506
FS( 80 ),2818179.609999999403954,2804380.350000000558794,2587491.880000000353903,2414293.000000000000000,10624344.839999999850988
FS( 81 ),2861907.729999999515712,2830719.280000000260770,2605314.299999999813735,2389576.000000000000000,10687517.309999998658895
FS( 82 ),2903334.369999999646097,2823742.080000000074506,2589112.100000000093132,2429380.000000000000000,10745568.549999998882413
FS( 83 ),2871113.649999999441206,2790425.950000000186265,2629617.600000000093132,2404021.000000000000000,10695178.199999999254942
FS( 84 ),2894128.449999999254942,2793740.120000000111759,2610174.959999999962747,2397601.000000000000000,10695644.529999999329448
FS( 85 ),2955693.039999999571592,2851650.879999999888241,2655541.120000000111759,2447356.000000000000000,10910241.039999999105930
FS( 86 ),2959145.259999999776483,2822869.930000000633299,2640959.140000000130385,2440615.000000000000000,10863589.330000000074506
FS( 87 ),2921170.839999999850988,2789728.230000000447035,2641769.250000000000000,2448961.000000000000000,10801629.320000000298023
FS( 88 ),2924047.689999999478459,2830719.280000000260770,2658781.560000000055879,2424886.000000000000000,10838434.529999999329448
FS( 89 ),2897005.299999999813735,2893165.220000000670552,2657971.450000000186265,2432590.000000000000000,10880731.970000000670552
FS( 90 ),2849249.589999999850988,2826184.100000000558794,2645009.689999999944121,2461480.000000000000000,10781923.380000000819564
FS( 91 ),2892977.709999999497086,2833335.730000000447035,2625567.049999999813735,2463085.000000000000000,10814965.489999998360872
FS( 92 ),2906211.219999999739230,2815195.009999999776483,2589922.209999999962747,2429059.000000000000000,10740387.439999999478459
FS( 93 ),2839468.299999999813735,2773855.100000000558794,2553467.259999999776483,2411404.000000000000000,10578194.660000000149012
FS( 94 ),2712311.529999999795109,2668848.240000000223517,2495139.340000000316650,2355550.000000000000000,10231849.109999999403954
FS( 95 ),2750861.319999999832362,2689430.980000000447035,2522683.080000000074506,2356192.000000000000000,10319167.380000000819564
FS( 96 ),2718065.229999999515712,2719258.509999999776483,2539695.390000000130385,2343031.000000000000000,10320050.129999998956919
FS( 97 ),2788835.739999999757856,2750481.480000000447035,2575340.229999999981374,2367748.000000000000000,10482405.450000001117587
FS( 98 ),2804370.729999999515712,2756063.240000000223517,2572909.900000000372529,2371279.000000000000000,10504622.870000001043081
FS( 99 ),2788260.369999999646097,2782751.030000000260770,2603694.080000000074506,2392465.000000000000000,10567170.480000000447035
FS( 100 ),2835440.709999999497086,2791646.959999999962747,2620706.390000000130385,2405305.000000000000000,10653099.060000000521541
FS( 101 ),2889525.489999999757856,2828974.980000000447035,2641769.250000000000000,2415577.000000000000000,10775846.720000000670552
FS( 102 ),2880319.569999999832362,2814846.150000000372529,2634478.260000000242144,2407552.000000000000000,10737195.980000000447035
FS( 103 ),2884922.529999999795109,2841185.080000000074506,2662022.000000000000000,2419429.000000000000000,10807558.609999999403954
FS( 104 ),2865359.949999999254942,2853744.040000000037253,2674983.760000000242144,2433553.000000000000000,10827640.750000000000000
FS( 105 ),2864784.579999999608845,2844499.250000000000000,2687135.410000000149012,2442541.000000000000000,10838960.240000000223517
FS( 106 ),2831988.489999999757856,2865430.850000000558794,2722780.250000000000000,2439331.000000000000000,10859530.589999999850988
FS( 107 ),2804370.729999999515712,2865081.990000000223517,2740602.669999999925494,2452171.000000000000000,10862226.390000000596046
FS( 108 ),2785383.519999999552965,2860546.810000000521541,2733311.680000000167638,2458912.000000000000000,10838154.009999999776483
FS( 109 ),2778479.079999999608845,2861418.959999999962747,2739792.560000000055879,2462764.000000000000000,10842454.599999999627471
FS( 110 ),2779054.449999999254942,2867349.580000000074506,2731691.459999999962747,2439973.000000000000000,10818068.489999998360872
FS( 111 ),2754313.539999999571592,2861593.390000000596046,2725210.580000000074506,2440936.000000000000000,10782053.509999999776483
FS( 112 ),2719215.969999999739230,2859849.089999999850988,2730071.240000000223517,2447677.000000000000000,10756813.300000000745058
FS( 113 ),2732449.479999999515712,2847638.990000000223517,2709818.490000000223517,2460838.000000000000000,10750744.960000000894070
FS( 114 ),2762944.089999999850988,2859849.089999999850988,2725210.580000000074506,2468221.000000000000000,10816224.759999999776483
FS( 115 ),2732449.479999999515712,2877640.950000000186265,2767336.299999999813735,2473999.000000000000000,10851425.730000000447035
FS( 116 ),2691598.209999999497086,2899270.270000000484288,2755184.649999999906868,2483950.000000000000000,10830003.130000000819564
FS( 117 ),2727846.519999999552965,2894560.660000000149012,2726830.799999999813735,2471752.000000000000000,10820989.980000000447035
FS( 118 ),2777328.339999999850988,2885141.440000000409782,2717109.479999999981374,2458912.000000000000000,10838491.259999999776483
FS( 119 ),2814727.389999999664724,2873803.490000000223517,2747893.660000000149012,2516692.000000000000000,10953116.539999999105930
FS( 120 ),2882621.049999999813735,2935377.280000000260770,2749513.879999999888241,2468863.000000000000000,11036375.210000000894070
FS( 121 ),2901608.259999999776483,2924737.049999999813735,2743843.109999999869615,2475925.000000000000000,11046113.419999999925494
FS( 122 ),2880319.569999999832362,2939040.310000000521541,2711438.709999999962747,2469826.000000000000000,11000624.589999999850988
FS( 123 ),2878018.089999999850988,2971833.150000000372529,2713869.040000000037253,2499679.000000000000000,11063399.280000001192093
FS( 124 ),2850400.329999999608845,2978984.780000000260770,2730881.350000000093132,2504815.000000000000000,11065081.459999999031425
FS( 125 ),2878018.089999999850988,2975496.180000000633299,2732501.569999999832362,2513803.000000000000000,11099818.839999999850988
FS( 126 ),2846372.739999999757856,3002881.690000000409782,2743033.000000000000000,2524396.000000000000000,11116683.429999999701977
FS( 127 ),2861907.729999999515712,3015440.650000000372529,2749513.879999999888241,2534026.000000000000000,11160888.259999999776483
FS( 128 ),2873415.129999999422580,2976193.900000000372529,2732501.569999999832362,2538199.000000000000000,11120309.599999999627471
FS( 129 ),2850400.329999999608845,2938517.020000000484288,2701717.390000000130385,2523112.000000000000000,11013746.740000000223517
FS( 130 ),2849249.589999999850988,2946017.509999999776483,2709818.490000000223517,2526322.000000000000000,11031407.589999999850988
FS( 131 ),2857304.769999999552965,2949680.540000000037253,2712248.819999999832362,2545903.000000000000000,11065137.129999998956919
FS( 132 ),2872264.389999999664724,2972007.580000000074506,2727640.910000000149012,2558743.000000000000000,11130655.879999998956919
FS( 133 ),2853852.549999999813735,2956657.740000000223517,2726830.799999999813735,2552323.000000000000000,11089664.089999999850988
FS( 134 ),2848674.219999999739230,3004451.560000000521541,2767336.299999999813735,2589238.000000000000000,11209700.080000000074506
FS( 135 ),2798617.029999999795109,2963983.799999999813735,2761665.530000000260770,2591806.000000000000000,11116072.359999999403954
FS( 136 ),2739353.919999999459833,2945494.220000000670552,2747893.660000000149012,2604646.000000000000000,11037387.800000000745058
FS( 137 ),2762944.089999999850988,2974100.740000000223517,2753564.430000000167638,2597905.000000000000000,11088514.259999999776483
FS( 138 ),2793438.699999999254942,2973054.160000000149012,2766526.189999999944121,2616202.000000000000000,11149221.049999998882413
FS( 139 ),2799192.399999999441206,2975670.610000000335276,2773007.069999999832362,2648623.000000000000000,11196493.080000000074506
FS( 140 ),2755464.279999999795109,2968170.120000000111759,2766526.189999999944121,2642845.000000000000000,11133005.589999999850988
FS( 141 ),2748559.839999999850988,2935028.419999999925494,2733311.680000000167638,2648302.000000000000000,11065201.939999999478459
FS( 142 ),2730723.369999999646097,2930318.810000000521541,2733311.680000000167638,2652796.000000000000000,11047149.859999999403954
FS( 143 ),2768122.419999999459833,2926132.490000000223517,2710628.600000000093132,2655364.000000000000000,11060247.509999999776483
FS( 144 ),2753738.169999999459833,2916189.980000000447035,2701717.390000000130385,2646055.000000000000000,11017700.540000000968575
FS( 145 ),2773300.750000000000000,2921771.740000000223517,2694426.399999999906868,2620054.000000000000000,11009552.890000000596046
FS( 146 ),2859030.879999999422580,2946715.230000000447035,2706578.049999999813735,2617486.000000000000000,11129810.160000000149012
FS( 147 ),2840043.669999999459833,2905375.320000000298023,2704147.720000000204891,2599510.000000000000000,11049076.710000000894070
FS( 148 ),2844646.629999999422580,2897177.110000000335276,2674983.760000000242144,2592127.000000000000000,11008934.500000000000000
FS( 149 ),2822782.569999999832362,2879036.390000000596046,2654731.010000000242144,2585386.000000000000000,10941935.970000000670552
FS( 150 ),2778479.079999999608845,2873803.490000000223517,2649870.350000000093132,2590522.000000000000000,10892674.919999999925494
FS( 151 ),2728997.259999999776483,2855313.910000000149012,2640959.140000000130385,2604646.000000000000000,10829916.310000000521541
FS( 152 ),2730723.369999999646097,2866651.860000000335276,2649060.240000000223517,2604967.000000000000000,10851402.470000000670552
FS( 153 ),2724969.669999999459833,2875373.360000000335276,2669312.990000000223517,2608498.000000000000000,10878154.019999999552965
FS( 154 ),2678940.069999999832362,2846417.980000000447035,2649060.240000000223517,2579608.000000000000000,10754026.290000000968575
FS( 155 ),2684693.769999999552965,2846243.549999999813735,2637718.700000000186265,2591485.000000000000000,10760141.019999999552965
FS( 156 ),2732449.479999999515712,2862814.400000000372529,2657971.450000000186265,2615239.000000000000000,10868474.330000000074506
FS( 157 ),2685844.509999999776483,2831591.430000000633299,2632047.930000000167638,2607856.000000000000000,10757339.870000001043081
FS( 158 ),2672611.000000000000000,2837522.049999999813735,2652300.680000000167638,2626153.000000000000000,10788586.730000000447035
FS( 159 ),2632335.099999999627471,2868396.160000000149012,2657971.450000000186265,2648944.000000000000000,10807646.710000000894070
FS( 160 ),2592059.199999999254942,2878513.100000000558794,2666882.660000000149012,2654401.000000000000000,10791855.960000000894070
FS( 161 ),2673761.739999999757856,2899444.700000000186265,2683894.970000000204891,2657932.000000000000000,10915033.410000000149012
FS( 162 ),2651897.679999999701977,2890025.480000000447035,2689565.740000000223517,2653117.000000000000000,10884605.900000000372529
FS( 163 ),2722668.189999999478459,2897700.400000000372529,2632047.930000000167638,2641561.000000000000000,10893977.519999999552965
FS( 164 ),2682392.289999999571592,2879385.250000000000000,2630427.709999999962747,2627116.000000000000000,10819321.250000000000000
FS( 165 ),2728997.259999999776483,2923864.900000000372529,2640959.140000000130385,2642524.000000000000000,10936345.300000000745058
FS( 166 ),2755464.279999999795109,2965553.669999999925494,2674983.760000000242144,2707687.000000000000000,11103688.709999999031425
FS( 167 ),2745682.989999999757856,2974798.459999999962747,2701717.390000000130385,2714749.000000000000000,11136947.839999999850988
FS( 168 ),2758916.500000000000000,2992415.890000000596046,2726020.689999999944121,2706724.000000000000000,11184077.080000000074506
FS( 169 ),2821631.829999999608845,3044570.459999999962747,2758425.089999999850988,2749417.000000000000000,11374044.379999998956919
FS( 170 ),2872264.389999999664724,3060094.730000000447035,2766526.189999999944121,2749096.000000000000000,11447981.310000000521541
FS( 171 ),2891251.599999999627471,3099864.770000000484288,2776247.510000000242144,2756158.000000000000000,11523521.880000000819564
FS( 172 ),2936130.459999999497086,3078409.879999999888241,2785158.720000000204891,2762578.000000000000000,11562277.060000000521541
FS( 173 ),2956843.779999999795109,3078584.310000000521541,2781918.280000000260770,2747812.000000000000000,11565158.370000001043081
FS( 174 ),2909663.439999999478459,3052419.810000000521541,2758425.089999999850988,2739787.000000000000000,11460295.339999999850988
FS( 175 ),2907937.329999999608845,3036023.390000000596046,2747893.660000000149012,2728231.000000000000000,11420085.380000000819564
FS( 176 ),2943034.899999999441206,3040733.000000000000000,2756804.870000000111759,2727268.000000000000000,11467840.769999999552965
FS( 177 ),2940733.419999999459833,3039163.129999999888241,2741412.780000000260770,2754553.000000000000000,11475862.329999998211861
FS( 178 ),2999421.159999999683350,3062013.459999999962747,2735742.010000000242144,2743960.000000000000000,11541136.629999998956919
FS( 179 ),3072493.149999999441206,3057478.280000000260770,2718729.700000000186265,2741392.000000000000000,11590093.129999998956919
FS( 180 ),3097809.429999999701977,3230687.270000000484288,2807841.799999999813735,2767393.000000000000000,11903731.500000000000000
FS( 181 ),3180087.339999999850988,3203476.190000000409782,2790019.379999999888241,2769319.000000000000000,11942901.910000000149012
FS( 182 ),3183539.559999999590218,3225279.940000000409782,2808651.910000000149012,2777986.000000000000000,11995457.410000000149012
FS( 183 ),3233021.379999999422580,3230163.980000000447035,2824854.109999999869615,2842828.000000000000000,12130867.469999998807907
FS( 184 ),3275598.759999999776483,3204348.339999999850988,2805411.470000000204891,2828704.000000000000000,12114062.570000000298023
FS( 185 ),3315874.659999999683350,3190917.230000000447035,2802981.140000000130385,2825494.000000000000000,12135267.030000001192093
FS( 186 ),3226692.309999999590218,3163357.290000000037253,2782728.390000000130385,2795641.000000000000000,11968418.990000000223517
FS( 187 ),3220363.239999999757856,3171206.640000000596046,2787589.049999999813735,2785690.000000000000000,11964848.929999999701977
FS( 188 ),3209431.209999999497086,3172078.790000000037253,2755184.649999999906868,2776060.000000000000000,11912754.650000000372529
FS( 189 ),3261214.509999999776483,3152891.490000000223517,2743843.109999999869615,2773171.000000000000000,11931120.109999999403954
FS( 190 ),3196773.069999999832362,3105795.390000000596046,2716299.370000000111759,2730478.000000000000000,11749345.830000001937151
FS( 191 ),3226692.309999999590218,3119400.930000000633299,2770576.740000000223517,2745886.000000000000000,11862555.980000000447035
FS( 192 ),3101837.019999999552965,2991194.879999999888241,2666072.549999999813735,2705440.000000000000000,11464544.449999999254942
FS( 193 ),3070767.039999999571592,3017359.379999999888241,2704957.830000000074506,2731120.000000000000000,11524204.250000000000000
FS( 194 ),2903334.369999999646097,2899444.700000000186265,2637718.700000000186265,2635783.000000000000000,11076280.769999999552965
FS( 195 ),3074219.259999999776483,2976019.470000000670552,2700907.280000000260770,2759368.000000000000000,11510514.010000001639128
FS( 196 ),2989639.869999999646097,2835254.459999999962747,2590732.320000000298023,2699020.000000000000000,11114646.650000000372529
FS( 197 ),3071917.779999999795109,2908340.629999999888241,2692806.180000000167638,2769640.000000000000000,11442704.589999999850988
FS( 198 ),3098960.169999999459833,2933981.839999999850988,2719539.810000000055879,2776702.000000000000000,11529183.820000000298023
FS( 199 ),3151318.839999999850988,3017533.810000000521541,2762475.640000000130385,2786974.000000000000000,11718302.290000000968575
FS( 200 ),3127153.299999999813735,2987008.560000000521541,2761665.530000000260770,2782159.000000000000000,11657986.390000000596046
FS( 201 ),3127153.299999999813735,2991194.879999999888241,2806221.580000000074506,2808802.000000000000000,11733371.759999999776483
FS( 202 ),3008627.079999999608845,2857755.930000000633299,2744653.220000000204891,2748133.000000000000000,11359169.230000000447035
FS( 203 ),2926349.169999999459833,2748039.459999999962747,2717919.589999999850988,2800135.000000000000000,11192443.219999998807907
FS( 204 ),2929801.389999999664724,2773157.379999999888241,2725210.580000000074506,2817148.000000000000000,11245317.349999999627471
FS( 205 ),3070767.039999999571592,2866303.000000000000000,2797310.370000000111759,2873965.000000000000000,11608345.410000000149012
FS( 206 ),3092055.729999999515712,2908863.919999999925494,2822423.780000000260770,2893225.000000000000000,11716568.429999999701977
FS( 207 ),3071917.779999999795109,2888281.180000000633299,2753564.430000000167638,2847643.000000000000000,11561406.390000000596046
FS( 208 ),3153044.949999999254942,2950378.259999999776483,2774627.290000000037253,2886805.000000000000000,11764855.500000000000000
FS( 209 ),3205403.619999999646097,3011079.900000000372529,2824854.109999999869615,2914411.000000000000000,11955748.629999998956919
FS( 210 ),3205403.619999999646097,3009161.169999999925494,2829714.770000000018626,2914090.000000000000000,11958369.559999998658895
FS( 211 ),3163401.609999999403954,2998695.370000000111759,2854018.069999999832362,2902213.000000000000000,11918328.049999998882413
FS( 212 ),3131756.259999999776483,2971135.430000000633299,2854018.069999999832362,2891299.000000000000000,11848208.759999999776483
FS( 213 ),3074794.629999999422580,2912701.379999999888241,2824854.109999999869615,2859841.000000000000000,11672191.119999999180436
FS( 214 ),3121399.599999999627471,2880082.970000000670552,2812702.459999999962747,2851174.000000000000000,11665359.030000001192093
FS( 215 ),3155921.799999999813735,2918457.570000000298023,2867789.939999999944121,2866261.000000000000000,11808430.310000000521541
FS( 216 ),3157647.909999999683350,2882524.990000000223517,2883182.030000000260770,2844433.000000000000000,11767787.929999999701977
FS( 217 ),3102987.759999999776483,2814846.150000000372529,2810272.129999999888241,2729515.000000000000000,11457621.039999999105930
FS( 218 ),3123125.709999999497086,2833161.299999999813735,2810272.129999999888241,2766751.000000000000000,11533310.140000000596046
FS( 219 ),3161675.500000000000000,2850778.730000000447035,2798930.589999999850988,2764504.000000000000000,11575888.820000000298023
FS( 220 ),3199649.919999999459833,2917236.560000000521541,2826474.330000000074506,2784727.000000000000000,11728087.810000000521541
FS( 221 ),3230144.529999999795109,2966949.110000000335276,2876701.149999999906868,2827099.000000000000000,11900893.790000000968575
FS( 222 ),3291709.119999999646097,3017533.810000000521541,2885612.359999999869615,2834161.000000000000000,12029016.289999999105930
FS( 223 ),3383192.949999999254942,3019975.830000000074506,2854828.180000000167638,2850853.000000000000000,12108849.959999999031425
FS( 224 ),3398152.569999999832362,3047710.200000000186265,2862119.169999999925494,2866903.000000000000000,12174884.939999999478459
FS( 225 ),3387795.909999999683350,3018057.100000000558794,2806221.580000000074506,2809444.000000000000000,12021518.589999999850988
