代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13436160.459999999031425
真實報酬,3436160.459999999031425

夏普值報酬,0.334916046000000
夏普值風險,0.092004897801872
夏普值,3.640198011210483

二次趨勢線,18.343560024659183 x^2 + 9710.834013539202715 x + 10000000.000000000000000
二次平均預期報酬,14333.411139753314274
風險,376064.460992134292610
二次平均趨勢值,0.038114240047940
一次趨勢線,13170.874347574197600 x + 10000000.000000000000000
一次預期報酬,13170.874347574197600
一次風險,397850.873983810481150
一次趨勢值,0.033105053196666
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),NKE[19](2),
FS( 82 ),5184844.160000000149012,5530895.200000000186265,10715739.359999999403954
FS( 83 ),5200518.079999999143183,5535246.799999999813735,10735764.879999998956919
FS( 84 ),5204301.439999999478459,5554829.000000000000000,10759130.439999999478459
FS( 85 ),5216732.479999999515712,5576586.999999999068677,10793319.479999998584390
FS( 86 ),5205382.399999999441206,5546125.799999998882413,10751508.199999999254942
FS( 87 ),5163765.439999999478459,5550477.400000000372529,10714242.839999999850988
FS( 88 ),5151874.879999998956919,5517840.399999999441206,10669715.279999997466803
FS( 89 ),5119986.559999999590218,5513488.799999999813735,10633475.359999999403954
FS( 90 ),5150793.919999998994172,5621190.899999999441206,10771984.819999998435378
FS( 91 ),5166467.839999999850988,5650564.199999999254942,10817032.039999999105930
FS( 92 ),5137822.399999999441206,5645124.699999999254942,10782947.099999997764826
FS( 93 ),5096745.919999998994172,5622278.799999999813735,10719024.719999998807907
FS( 94 ),5114581.759999998845160,5687552.799999999813735,10802134.559999998658895
FS( 95 ),5146470.079999999143183,5698431.799999999813735,10844901.879999998956919
FS( 96 ),5197815.679999999701977,5765881.599999999627471,10963697.279999999329448
FS( 97 ),5192951.359999999403954,5795254.900000000372529,10988206.259999999776483
FS( 98 ),5235649.280000000260770,5809397.599999999627471,11045046.879999998956919
FS( 99 ),5252404.160000000149012,5831155.599999999627471,11083559.759999999776483
FS( 100 ),5223218.239999999292195,5777848.500000000000000,11001066.739999998360872
FS( 101 ),5177277.439999999478459,5723453.500000000000000,10900730.939999999478459
FS( 102 ),5258349.439999999478459,5968231.000000000000000,11226580.439999999478459
FS( 103 ),5158360.639999999664724,5857265.200000000186265,11015625.839999999850988
FS( 104 ),5138362.879999998956919,5875759.499999999068677,11014122.379999998956919
FS( 105 ),5175656.000000000000000,5953000.399999999441206,11128656.399999998509884
FS( 106 ),5197815.679999999701977,5976934.199999999254942,11174749.879999998956919
FS( 107 ),5169710.719999999739230,5974758.399999999441206,11144469.119999999180436
FS( 108 ),5225380.160000000149012,6054175.099999999627471,11279555.259999999776483
FS( 109 ),5179979.839999999850988,5944297.199999999254942,11124277.039999999105930
FS( 110 ),5215111.039999999105930,5953000.399999999441206,11168111.439999997615814
FS( 111 ),5277806.719999999739230,6011746.999999999068677,11289553.719999998807907
FS( 112 ),5319964.160000000149012,6115097.500000000000000,11435061.660000000149012
FS( 113 ),5338880.959999999962747,6110745.899999999441206,11449626.859999999403954
FS( 114 ),5354554.879999998956919,6086812.099999999627471,11441366.979999998584390
FS( 115 ),5289156.799999999813735,6110745.899999999441206,11399902.699999999254942
FS( 116 ),5269699.519999999552965,6135767.599999999627471,11405467.119999999180436
FS( 117 ),5269159.039999999105930,6154261.899999999441206,11423420.939999997615814
FS( 118 ),5259970.879999998956919,6146646.599999999627471,11406617.479999998584390
FS( 119 ),5274023.359999999403954,6206481.099999999627471,11480504.459999999031425
FS( 120 ),5247539.839999999850988,6201041.599999999627471,11448581.439999999478459
FS( 121 ),5194032.319999999366701,6146646.599999999627471,11340678.919999998062849
FS( 122 ),5190789.439999999478459,6078108.899999999441206,11268898.339999999850988
FS( 123 ),5260511.359999999403954,6172756.200000000186265,11433267.559999998658895
FS( 124 ),5308073.599999999627471,6251085.000000000000000,11559158.599999999627471
FS( 125 ),5359959.679999999701977,6256524.499999999068677,11616484.179999999701977
FS( 126 ),5397252.799999999813735,6267403.500000000000000,11664656.300000000745058
FS( 127 ),5373471.679999999701977,6246733.399999999441206,11620205.079999998211861
FS( 128 ),5358338.239999999292195,6297864.699999999254942,11656202.939999997615814
FS( 129 ),5394009.919999998994172,6351171.799999999813735,11745181.719999998807907
FS( 130 ),5369688.319999999366701,6261964.000000000000000,11631652.320000000298023
FS( 131 ),5346447.679999999701977,6229326.999999999068677,11575774.679999999701977
FS( 132 ),5371850.239999999292195,6275018.799999999813735,11646869.039999999105930
FS( 133 ),5340502.399999999441206,6226063.299999998882413,11566565.699999999254942
FS( 134 ),5311856.959999999962747,6149910.299999999813735,11461767.259999999776483
FS( 135 ),5370769.280000000260770,6179283.599999999627471,11550052.879999998956919
FS( 136 ),5365364.479999999515712,6220623.799999999813735,11585988.279999999329448
FS( 137 ),5440491.199999999254942,6254348.700000000186265,11694839.899999998509884
FS( 138 ),5445896.000000000000000,6245645.499999999068677,11691541.500000000000000
FS( 139 ),5464272.319999999366701,6253260.799999998882413,11717533.119999997317791
FS( 140 ),5391848.000000000000000,6108570.099999999627471,11500418.099999999627471
FS( 141 ),5249701.759999998845160,5813749.199999999254942,11063450.959999997168779
FS( 142 ),5019457.280000000260770,5650564.199999999254942,10670021.480000000447035
FS( 143 ),4929737.599999999627471,5632069.900000000372529,10561807.500000000000000
FS( 144 ),5142686.719999999739230,5916011.799999999813735,11058698.519999999552965
FS( 145 ),5260511.359999999403954,6125976.500000000000000,11386487.859999999403954
FS( 146 ),5202139.519999999552965,6119449.099999999627471,11321588.619999999180436
FS( 147 ),5135660.479999999515712,6079196.799999999813735,11214857.279999999329448
FS( 148 ),5051886.079999999143183,5909484.399999999441206,10961370.479999998584390
FS( 149 ),5190789.439999999478459,6021538.099999999627471,11212327.539999999105930
FS( 150 ),5189168.000000000000000,6030241.299999999813735,11219409.300000000745058
FS( 151 ),5126472.319999999366701,5967143.099999999627471,11093615.419999998062849
FS( 152 ),5230784.959999999962747,6079196.799999999813735,11309981.759999999776483
FS( 153 ),5157820.160000000149012,5975846.299999999813735,11133666.460000000894070
FS( 154 ),5148091.519999999552965,6004131.699999999254942,11152223.219999998807907
FS( 155 ),5264835.199999999254942,6082460.499999999068677,11347295.699999999254942
FS( 156 ),5241054.079999999143183,6086812.099999999627471,11327866.179999999701977
FS( 157 ),5306992.639999999664724,6192338.399999999441206,11499331.039999999105930
FS( 158 ),5334016.639999999664724,6286985.699999999254942,11621002.339999999850988
FS( 159 ),5288075.839999999850988,6270667.199999999254942,11558743.039999999105930
FS( 160 ),5245377.919999998994172,6258700.299999999813735,11504078.219999998807907
FS( 161 ),5291318.719999999739230,6340292.799999999813735,11631611.519999999552965
FS( 162 ),5253485.120000000111759,6308743.700000000186265,11562228.820000000298023
FS( 163 ),5263213.759999998845160,6279370.399999999441206,11542584.159999998286366
FS( 164 ),5258349.439999999478459,6244557.599999999627471,11502907.039999999105930
FS( 165 ),5274563.839999999850988,6799386.599999999627471,12073950.439999999478459
FS( 166 ),5186465.599999999627471,6643816.899999999441206,11830282.500000000000000
FS( 167 ),5268618.559999999590218,6510005.200000000186265,11778623.759999999776483
FS( 168 ),5325368.959999999962747,6689508.700000000186265,12014877.660000000149012
FS( 169 ),5338880.959999999962747,6736288.399999999441206,12075169.359999999403954
FS( 170 ),5393469.439999999478459,6811353.500000000000000,12204822.939999999478459
FS( 171 ),5468055.679999999701977,6760222.199999999254942,12228277.879999998956919
FS( 172 ),5507510.719999999739230,6701475.599999999627471,12208986.320000000298023
FS( 173 ),5500484.479999999515712,6641641.099999999627471,12142125.579999998211861
FS( 174 ),5564261.120000000111759,6795035.000000000000000,12359296.120000001043081
FS( 175 ),5553992.000000000000000,6796122.899999999441206,12350114.899999998509884
FS( 176 ),5579935.039999999105930,6877715.399999999441206,12457650.439999997615814
FS( 177 ),5587501.759999998845160,6843990.499999999068677,12431492.259999997913837
FS( 178 ),5557234.879999998956919,6845078.399999999441206,12402313.279999997466803
FS( 179 ),5602635.199999999254942,7006087.600000000558794,12608722.800000000745058
FS( 180 ),5665330.879999998956919,7097471.199999999254942,12762802.079999998211861
FS( 181 ),5647495.039999999105930,7246513.500000000000000,12894008.539999999105930
FS( 182 ),5612363.839999999850988,7200821.699999999254942,12813185.539999999105930
FS( 183 ),5542101.439999999478459,7206261.199999999254942,12748362.639999998733401
FS( 184 ),5992321.280000000260770,7202997.499999999068677,13195318.779999999329448
FS( 185 ),6085283.839999999850988,7100734.899999999441206,13186018.739999998360872
FS( 186 ),6063124.160000000149012,7146426.699999999254942,13209550.859999999403954
FS( 187 ),6033938.239999999292195,7115965.499999999068677,13149903.739999998360872
FS( 188 ),6104200.639999999664724,7142075.100000000558794,13246275.740000000223517
FS( 189 ),6086905.280000000260770,7132284.000000000000000,13219189.280000001192093
FS( 190 ),6066907.519999999552965,7127932.399999999441206,13194839.919999998062849
FS( 191 ),6059340.799999999813735,7136635.599999998696148,13195976.399999998509884
FS( 192 ),6057719.359999999403954,7147514.599999999627471,13205233.959999999031425
FS( 193 ),6075014.719999999739230,7090943.800000000745058,13165958.519999999552965
FS( 194 ),6099336.319999999366701,7172536.300000000745058,13271872.620000001043081
FS( 195 ),6124198.399999999441206,7168184.699999999254942,13292383.099999997764826
FS( 196 ),6103660.160000000149012,7097471.199999999254942,13201131.359999999403954
FS( 197 ),6119334.079999999143183,7071361.599999999627471,13190695.679999999701977
FS( 198 ),6153384.319999999366701,6931022.500000000000000,13084406.820000000298023
FS( 199 ),6059340.799999999813735,6852693.700000000186265,12912034.500000000000000
FS( 200 ),5943678.079999999143183,6628586.299999999813735,12572264.379999998956919
FS( 201 ),6002590.399999999441206,6715618.299999998882413,12718208.699999999254942
FS( 202 ),5996104.639999999664724,6667750.699999999254942,12663855.339999999850988
FS( 203 ),6082040.959999999962747,6841814.699999999254942,12923855.660000000149012
FS( 204 ),6123657.919999998994172,6841814.699999999254942,12965472.619999997317791
FS( 205 ),6156627.199999999254942,7216052.299999999813735,13372679.500000000000000
FS( 206 ),6186894.079999999143183,7205173.299999999813735,13392067.379999998956919
FS( 207 ),6176624.959999999962747,7208437.000000000000000,13385061.960000000894070
FS( 208 ),6183110.719999999739230,7296556.899999998509884,13479667.619999997317791
FS( 209 ),6173922.559999999590218,7307435.899999999441206,13481358.459999999031425
FS( 210 ),6170139.199999999254942,7195382.199999999254942,13365521.399999998509884
FS( 211 ),6185813.120000000111759,7251952.999999999068677,13437766.119999999180436
FS( 212 ),6146358.079999999143183,7216052.299999999813735,13362410.379999998956919
FS( 213 ),6128522.239999999292195,7023494.000000000000000,13152016.239999998360872
FS( 214 ),6280397.120000000111759,7198645.899999999441206,13479043.019999999552965
FS( 215 ),6292287.679999999701977,7158393.599999999627471,13450681.279999999329448
FS( 216 ),6298232.959999999962747,7163833.099999998696148,13462066.059999998658895
FS( 217 ),6300935.359999999403954,7008263.399999999441206,13309198.759999997913837
FS( 218 ),6334445.120000000111759,6997384.399999998509884,13331829.519999999552965
FS( 219 ),6273911.359999999403954,6870100.099999999627471,13144011.459999999031425
FS( 220 ),6283640.000000000000000,6954956.299999999813735,13238596.300000000745058
FS( 221 ),6319852.160000000149012,6996296.500000000000000,13316148.660000000149012
FS( 222 ),6369035.839999999850988,7122492.899999999441206,13491528.739999998360872
FS( 223 ),6350659.519999999552965,7083328.500000000000000,13433988.019999999552965
FS( 224 ),6305259.199999999254942,6990857.000000000000000,13296116.199999999254942
FS( 225 ),6360928.639999999664724,7060482.600000000558794,13421411.240000000223517
FS( 226 ),6362550.079999999143183,7172536.300000000745058,13535086.379999998956919
FS( 227 ),6420921.919999998994172,7001736.000000000000000,13422657.919999998062849
FS( 228 ),6408490.879999998956919,6873363.799999999813735,13281854.679999999701977
FS( 229 ),6418219.519999999552965,6941901.500000000000000,13360121.019999999552965
FS( 230 ),6489562.879999998956919,6990857.000000000000000,13480419.879999998956919
FS( 231 ),6454972.160000000149012,6880979.099999999627471,13335951.259999999776483
FS( 232 ),6385250.239999999292195,6799386.599999999627471,13184636.839999999850988
FS( 233 ),6354983.359999999403954,6692772.400000000372529,13047755.759999999776483
FS( 234 ),6442541.120000000111759,6786331.799999999813735,13228872.919999999925494
FS( 235 ),6399302.719999999739230,6689508.700000000186265,13088811.419999999925494
FS( 236 ),6251211.199999999254942,6511093.099999999627471,12762304.299999998882413
FS( 237 ),6241482.559999999590218,6404478.899999999441206,12645961.459999999031425
FS( 238 ),6306880.639999999664724,6478456.099999999627471,12785336.739999998360872
FS( 239 ),6347416.639999999664724,6520884.199999999254942,12868300.839999999850988
FS( 240 ),6222025.280000000260770,6394687.799999999813735,12616713.080000000074506
FS( 241 ),6303097.280000000260770,6365314.499999999068677,12668411.779999999329448
FS( 242 ),6225268.160000000149012,6261964.000000000000000,12487232.160000000149012
FS( 243 ),6350659.519999999552965,6344644.399999999441206,12695303.919999998062849
FS( 244 ),6257696.959999999962747,6422973.199999999254942,12680670.160000000149012
FS( 245 ),6369035.839999999850988,6588334.000000000000000,12957369.839999999850988
FS( 246 ),6399302.719999999739230,6623146.799999999813735,13022449.519999999552965
FS( 247 ),6442541.120000000111759,6603564.599999999627471,13046105.719999998807907
FS( 248 ),6509020.160000000149012,6648168.500000000000000,13157188.660000000149012
FS( 249 ),6532801.280000000260770,6481719.799999999813735,13014521.080000000074506
FS( 250 ),6614413.759999998845160,6657959.599999999627471,13272373.359999999403954
FS( 251 ),6690080.959999999962747,6746079.499999999068677,13436160.459999999031425
